	WT_126_sn scaled	WT_127n_sn scaled	WT_127c_sn scaled	WT_128n_sn scaled	mct1_128c_sn scaled	mct1_129n_sn scaled	mct1_129c_sn scaled	mct1_130n_sn scaled	sit4_130c_sn scaled	sit4_131_sn scaled	sit4_131c_sn scaled	sit4_132n_sn scaled	mct1sit4_132c_sn scaled	mct1sit4_133n_sn scaled	mct1sit4_133c_sn scaled	mct1sit4_134n_sn scaled
ALB	0.414344	0.527028	0.542527	0.51001	1.4885	0.524864	0.603558	0.520573	0.469653	0.355825	90.787	1.05238	0.397242	0.584122	0.62205	0.600318
ULI1	0.283344	0.736999	0.581724	0.578425	0.717784	0.60116	0.619995	0.638576	35.8597	18.8704	17.0857	15.5437	1.45798	3.09404	2.30206	1.02842
NQM1	0.467506	0.447015	0.61787	0.54847	0.530967	0.293666	0.451224	0.305611	4.64592	22.2205	13.1107	28.2858	8.39795	4.54222	11.9782	3.15635
ALB	0.781129	1.12604	1.30587	1.55527	1.87842	0.485434	3.43763	0.995194	1.21694	0.263587	82.4305	1.17854	0.575926	0.826589	0.927674	1.01521
PDR12	0.977802	0.747054	1.06407	1.23732	5.18521	7.75096	3.3645	3.74871	9.57562	16.0098	23.2819	20.6844	1.34711	2.18061	2.11172	0.733245
SSA3	0.659868	0.440032	0.717128	0.525838	0.665156	0.415624	0.759305	0.467766	8.70889	8.44893	8.32974	6.05144	21.2754	12.2125	21.303	9.01931
POT1	1.00917	0.969419	1.24729	1.17561	3.07323	3.23354	3.11737	2.96094	9.91368	18.3133	17.2392	13.7125	6.79001	6.19249	5.99097	5.06121
OYE3	0.922615	0.719922	1.10892	0.999505	0.288144	0.254378	0.389888	0.373647	11.1922	11.2318	15.2179	12.2249	11.6216	9.38733	16.8253	7.24195
HXT5	0.894368	0.589453	1.01717	0.858474	5.59195	4.98803	6.55475	7.41568	8.7405	9.32087	13.1603	8.60566	10.5874	4.83973	8.35344	8.48223
DAL7	1.16244	1.00257	1.08277	1.0723	1.77751	1.66701	2.26018	1.9436	9.70638	12.4586	16.4788	12.0255	8.67672	9.84318	12.4958	6.34657
SFC1	1.1169	1.00888	1.53353	1.7299	0.355701	0.435618	0.497223	0.475903	11.0887	12.1973	15.0946	18.9894	5.39683	9.13264	9.8152	11.1316
FOX2	2.01905	1.32951	1.25178	1.76945	2.39416	2.58672	2.23665	2.77809	22.2243	14.7833	13.9905	14.5496	6.10803	4.82366	3.56755	3.5877
SIP18	0.942627	0.528684	0.440786	0.305082	1.10521	1.43969	1.32749	0.911407	3.2883	6.04697	6.78031	4.62834	14.8831	17.4598	23.9977	15.9146
CTA1	1.5846	1.32859	1.28054	1.5034	9.09269	9.07387	5.84879	8.86669	17.3332	13.0514	11.7088	11.1214	2.7628	1.90231	1.42077	2.12014
YDL218W	4.21569E-05	0.934314	0.828708	0.797766	1.33572	2.7887	1.20207	2.90104	3.48614	5.90531	7.94908	5.07494	17.916	8.42975	17.3357	23.1147
IDP2	2.07962	1.45968	1.91992	2.30197	1.22406	0.726109	1.36873	0.988078	13.199	19.0804	16.5501	15.0856	7.25919	5.02285	8.37672	3.35802
PMA2	1.36818	1.03327	1.03949	1.30863	5.86065	5.17785	6.09341	5.50916	8.13092	8.57429	10.5643	6.92515	13.7807	6.59853	8.12641	9.909
BNA2	2.63051	3.32913	2.16028	2.85171	1.03284	1.15384	1.28296	0.783371	16.9063	35.342	13.0662	11.6135	1.96034	2.14746	2.14818	1.59142
YIR035C	2.16215	1.65626	1.79799	1.62522	1.31071	0.900304	1.42069	0.876503	10.4541	18.5283	14.5816	6.77129	11.7674	8.85831	13.1916	4.09748
PCK1	1.97013	1.10265	1.78103	1.61768	2.67599	2.19262	4.71123	1.95179	9.84591	9.18524	13.5157	11.1543	12.4286	5.74479	13.8871	6.23532
AI4	1.6882	1.87123	2.04788	2.05972	0.374676	0.653465	0.428635	0.408128	9.98723	10.6734	14.1593	15.5852	7.54063	10.0406	8.37773	14.1039
AAC1	1.21344	1.94574	1.58365	1.64528	3.079	4.71775	4.67892	4.93431	9.78412	7.66742	10.0903	13.5927	8.59614	7.06588	8.75578	10.6496
YKL065W-A	0.973773	1.48453	1.60415	1.62361	0.97036	1.83435	1.63058	1.25185	8.67339	6.93616	8.5129	9.59081	10.9329	9.68158	11.4371	22.862
HSP26	1.31933	1.03203	1.45404	1.25119	0.661817	0.391901	0.618275	0.805345	6.78454	7.68628	8.71491	6.48084	19.0155	13.2036	21.6793	8.90099
YPL088W	2.55922	2.39249	2.17094	2.94418	1.61796	1.54309	1.11458	1.7654	12.0688	10.4917	14.3537	21.3361	7.46355	5.42577	9.08967	3.66278
