Gene Symbol	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3	mpc1_1	mpc1_2	mpc1_3	WT_starv_1	WT_starv_2
											
COX1	10.944	10.6895	11.3294	0.992332	1.45093	0.727111	11.2216	10.3164	9.5586	16.0301	16.7401
											
AI1	11.9375	11.5059	11.949	2.49562	3.32846	2.36718	10.0534	10.0399	10.8373	12.6398	12.8459
											
AI2	8.20084	10.8566	8.05445	3.95185	4.02127	4.15627	10.6697	10.9178	10.7106	14.6791	13.7817
											
AI3	7.9857	7.28361	7.54829	1.38567	2.03661	1.58752	7.61913	7.12703	8.37214	24.4385	24.6158
											
AI4	12.2263	11.7476	13.7598	2.06197	3.29747	1.95963	10.3437	11.2132	10.3136	11.6354	11.4414
											
ATP6	11.5022	11.0663	9.52785	1.23931	1.5752	1.13105	10.8665	9.54513	9.19609	16.3807	17.9696
											
BI2	12.9142	12.1557	12.8188	1.13915	1.42331	1.00256	11.9308	10.5315	10.577	12.8431	12.664
											
BI4	13.0592	13.4632	11.9495	2.00282	2.95548	2.02515	10.6012	9.81262	9.71552	13.7545	10.6609
											
VAR1	13.5432	10.7585	11.7597	1.99065	2.36646	1.7467	11.9198	10.7085	11.5997	11.7064	11.9004
											
COX2	9.74852	11.2946	12.1712	0.802129	1.16994	0.550973	11.0006	11.2288	10.2574	15.2909	16.4851
											
COX3	11.3197	9.75949	11.2488	0.933093	1.572	1.20236	10.5497	10.8753	9.92866	16.635	15.9759
											
REP1	8.43844	7.88756	8.07375	11.452	8.82607	10.4899	7.97329	11.8403	8.5153	7.84711	8.65618
											
RAF1	8.24438	8.38111	7.88886	12.2818	10.3658	11.2836	9.47902	10.7132	8.74561	5.75218	6.86446
											
REP2	9.11621	8.37606	7.81272	10.0934	7.13172	10.4831	7.77518	13.5298	9.43962	7.58077	8.66136
											
TFC3	8.58849	7.70876	8.23549	8.90232	9.86567	9.94517	9.82562	9.12679	9.47799	9.23984	9.08387
											
VPS8	7.76442	8.86741	9.96649	12.1412	9.37933	10.6465	8.29186	8.73856	8.15405	8.00797	8.04221
											
EFB1	8.93926	12.1922	8.8311	9.9723	8.53646	9.05701	8.11497	8.67761	8.10549	8.95103	8.62257
											
SSA1	7.64925	14.5253	7.77959	10.54	9.15523	9.36282	7.81574	7.93926	8.0814	8.92951	8.22197
											
ERP2	8.92121	9.1147	10.1495	10.1227	9.56177	10.2252	8.58842	9.55988	8.91751	7.36746	7.47164
											
FUN14	8.17482	6.98783	8.81827	10.194	12.3878	11.1191	7.77863	7.46206	8.48515	9.08982	9.50259
											
SPO7	8.76868	8.23954	8.57751	10.1891	11.7614	11.3054	8.85924	8.93404	8.82012	7.53492	7.01011
											
MDM10	7.81953	6.7828	7.48496	7.95695	9.83242	8.76142	9.8124	9.83387	9.64575	11.3637	10.7062
											
SWC3	9.04851	8.34015	7.66936	9.11406	8.58093	11.4915	8.97723	10.3865	9.02224	9.61909	7.75043
											
CYS3	9.27892	10.5574	8.78266	8.87494	9.71232	8.69456	9.04217	8.66669	8.80239	8.77044	8.81748
											
DEP1	8.64685	9.09103	8.32989	9.18101	10.0892	9.89568	9.05102	9.38189	8.7803	8.84165	8.71148
											
SYN8	7.26171	10.2367	11.5356	12.9554	4.97395	11.0871	8.1918	10.6608	8.35341	6.80195	7.94157
											
NTG1	10.2542	9.10277	9.77388	8.45975	8.99252	8.85966	9.9904	10.0992	10.0074	7.37231	7.088
											
TPD3	7.98456	7.86469	9.23837	8.95431	8.62175	8.587	9.55372	9.1589	9.49216	9.71382	10.8307
											
PSK1	9.5041	9.00024	10.0206	9.22971	9.84113	9.39297	9.7718	10.0802	9.72115	6.99192	6.44614
											
FUN30	10.1828	9.17231	10.0741	9.29336	10.4398	9.26612	9.07668	9.3745	9.38912	7.02154	6.7097
											
ATS1	8.65125	8.55717	8.9203	10.3673	9.40563	9.61702	8.33792	8.692	8.78176	8.7607	9.9089
											
CCR4	8.96672	7.56403	8.30434	8.5044	9.13869	9.36958	9.90044	9.23253	10.0963	9.25019	9.67273
											
FUN26	10.9438	9.03992	10.698	9.21491	9.93144	9.08863	8.73779	8.39853	10.3483	7.01925	6.57949
											
PMT2	9.45784	8.43018	10.5285	10.0309	8.94416	9.81265	8.8139	9.33792	9.43021	7.51215	7.70162
											
LTE1	9.29913	8.75373	9.0914	8.91146	11.0806	9.03588	9.39981	9.2307	9.30051	7.88649	8.0103
											
MAK16	10.7132	8.73435	9.35714	9.46126	9.1196	9.75754	10.6085	9.45592	9.59925	6.76451	6.42881
											
DRS2	8.89199	8.16658	8.73382	9.87337	9.86967	10.0926	9.03075	9.1169	8.79483	8.71598	8.71348
											
SAW1	7.61304	9.07275	8.67232	9.97904	6.43278	10.2218	8.8259	10.0394	9.68482	10.3195	9.13876
											
FRT2	5.01806	5.98836	7.29037	9.83413	13.1193	10.6725	5.58936	6.93845	7.18715	13.5336	14.8287
											
MYO4	9.19584	8.60275	9.50141	9.41165	8.71104	8.89212	9.49909	9.01416	9.34246	8.64446	9.18502
											
SNC1	11.2947	7.54	11.2522	7.62943	13.1784	7.80997	8.44001	6.41399	9.73456	6.75167	9.95504
											
GIP4	9.49639	8.10151	8.75468	8.17679	10.0835	8.84811	9.08276	9.06729	9.23212	9.59443	9.56239
											
PRP45	8.76651	8.19139	8.33912	9.55606	10.9668	9.72371	8.63933	8.97751	8.95914	9.02118	8.85926
											
POP5	8.97853	9.33624	9.25271	9.20576	9.4675	10.4782	9.31348	9.14583	8.71391	8.3628	7.74499
											
FUN19	3.34182	4.44715	4.68915	2.03932	2.01027	2.04784	2.49418	4.32857	4.06072	35.7771	34.7639
											
MTW1	9.07248	9.40003	9.64736	10.0342	13.4618	9.51779	9.19435	9.48682	8.64647	5.67799	5.86073
											
FUN12	9.0646	8.8197	8.73512	8.44637	8.62782	8.98	9.19814	9.14589	9.51099	9.95376	9.51761
											
RBG1	10.1925	9.19771	9.90715	9.05381	9.01275	9.26324	9.42432	9.01115	9.51894	7.66636	7.75205
											
CDC19	7.0454	12.2307	7.54906	12.2417	9.6146	10.4826	7.67551	8.02285	8.05883	8.81024	8.26854
											
CYC3	9.73781	7.80317	9.03824	11.5149	13.2904	11.4768	9.70629	7.82692	8.34864	5.89988	5.35699
											
CDC24	8.15442	8.9497	8.74774	9.74794	8.73915	9.70685	8.74834	9.34411	8.91819	9.52255	9.42099
											
ERV46	9.01072	8.45963	9.52201	10.3015	10.7148	10.426	8.42247	9.29817	8.02511	7.62406	8.19549
											
PTA1	8.49178	8.12713	9.28514	8.99142	8.84797	8.95083	9.46871	9.8269	9.43553	9.19764	9.37697
											
GCV3	6.67411	6.67202	5.29793	4.35652	4.64894	4.63548	11.3961	13.3834	12.1958	16.5356	14.2041
											
YAL044W-A	8.35007	10.6945	11.7511	11.4498	6.26054	10.9805	9.8272	11.8875	10.6479	3.90714	4.24379
											
AIM1	7.72238	10.5242	11.9034	9.24247	4.18218	8.46131	10.2085	11.6778	11.0982	7.35231	7.62727
											
SPC72	11.5498	8.34872	9.05956	8.56971	9.20872	9.12089	8.93787	8.83435	9.0306	8.66525	8.67453
											
GEM1	6.13003	9.52047	9.38501	10.8903	5.10452	9.90063	9.53477	11.4117	9.38054	9.14661	9.59544
											
AIM2	11.6149	8.97169	10.4123	8.66063	11.6566	9.08276	7.68447	7.0157	7.23706	8.46233	9.20151
											
OAF1	8.23016	8.49014	8.88639	9.69887	10.0565	9.94842	9.07363	9.2164	9.21662	8.68164	8.50124
											
FLC2	9.72001	8.84458	10.107	8.60789	10.5496	8.9616	9.70462	8.91251	9.35317	7.26475	7.97435
											
ACS1	0.290545	0.456233	0.459147	6.87712	7.27456	8.00039	0.670719	1.73251	1.74109	34.8221	37.6756
											
PEX22	7.91314	8.37491	9.30715	10.28	8.63119	9.63536	8.02775	9.64006	7.51721	10.2529	10.4204
											
GPB2	8.41121	8.31562	8.609	8.72945	9.78746	9.07725	10.0271	10.1864	9.58979	8.66912	8.59759
											
CNE1	8.84803	8.10505	9.118	10.9066	10.3216	11.053	8.02954	9.06223	7.95079	8.5241	8.0811
											
ECM1	10.2177	9.06973	9.70332	9.55403	11.4382	10.0701	8.98197	8.69559	8.78467	6.59312	6.89165
											
BDH1	7.16096	7.50689	7.41288	6.63317	6.13771	6.45638	11.0981	11.0316	11.4542	12.2545	12.8536
											
BDH2	6.43447	9.81354	10.5295	17.1558	8.75013	15.0392	3.65492	4.63431	3.56848	9.92226	10.4974
											
GDH3	13.9335	14.115	13.0078	5.41047	5.70355	5.45704	6.61441	7.46503	6.33595	12.5191	9.43819
											
ERP1	8.87126	8.79569	10.2231	11.4106	10.6923	9.89384	8.55232	9.33753	7.71473	7.5147	6.9939
											
NUP60	9.9352	8.01925	9.51471	8.16631	10.5809	8.19022	9.08501	8.63446	9.27013	9.07129	9.53254
											
SWD1	8.47149	7.80289	8.4966	9.57584	10.1146	10.421	9.43094	9.35265	9.20284	8.15962	8.97153
											
RFA1	9.40681	8.64148	9.44153	9.94805	8.10988	9.78879	8.9944	9.07942	8.64451	8.7398	9.20532
											
SEN34	8.9343	9.13055	9.19489	10.8068	11.5864	11.4406	10.7209	9.24289	9.01487	4.8935	5.03435
											
YAR010C	10.5015	14.1842	9.34639	12.3681	11.1996	11.4557	7.02473	6.39239	7.11978	5.35193	5.05567
											
BUD14	10.3327	9.40198	9.93939	9.21183	11.218	9.11048	9.74609	9.18579	9.77297	5.9636	6.11717
											
ADE1	6.66213	6.20179	6.34327	7.48031	8.66398	7.88573	9.88059	10.5194	10.2753	13.4069	12.6806
											
KIN3	8.64521	7.66338	8.87685	7.86728	8.29095	7.66651	10.227	10.1066	10.4769	7.75032	12.4289
											
CDC15	9.68174	8.84845	9.06538	9.07471	9.72917	8.69943	9.00206	9.71731	9.04927	9.43883	7.69365
											
UIP3	11.8281	10.3916	12.5778	9.78381	11.9658	10.3936	8.49013	9.06397	8.30267	3.40212	3.80036
											
PRM9	8.15297	8.47353	9.61704	10.513	11.2788	10.5464	6.76946	8.11127	7.2668	9.58979	9.68095
											
MST28	8.50487	7.90123	8.9301	13.7119	14.8082	13.8008	6.14027	7.20375	6.04889	7.19167	5.75826
											
YAT1	2.97049	3.57545	2.58538	3.56482	4.63278	4.51797	5.75977	6.66381	6.85031	29.9665	28.9127
											
SWH1	8.21769	7.81555	8.46614	8.62573	9.78459	8.91391	9.0398	9.24153	8.40323	10.4211	11.0708
											
HTB2	9.34085	15.8236	7.22092	10.3997	7.52937	8.3332	8.34989	6.79123	9.13132	8.97252	8.10739
											
HTA2	6.7901	18.1252	6.12154	10.4921	9.23505	8.50087	7.28389	7.14554	8.09996	9.6318	8.57403
											
