	SMN468_WT_0hr	SMN470_mct1_0hr	SMN476_WT_0hr	SMN478_mct1_0hr	SMN492_WT_0hr	SMN494_mct1_0hr	SMN500_WT_0hr	SMN502_mct1_0hr	SMN469_WT_3hr	SMN471_mct1_3hr	SMN477_WT_3hr	SMN479_mct1_3hr	SMN493_WT_3hr	SMN495_mct1_3hr	SMN501_WT_3hr	SMN503_mct1_3hr	SMN465_WT_12hr	SMN467_mct1_12hr	SMN473_WT_12hr	SMN475_mct1_12hr	SMN481_WT_12hr	SMN483_mct1_12hr	SMN489_WT_12hr	SMN491_mct1_12hr
15S_rRNA	536	22	17	27	330	1	14	1	257	46	101	108	16830	8	49	130	2096	75	237	562	1205	25	701	68
21S_rRNA	1182	35	59	43	690	11	92	34	733	161	437	522	29297	63	172	526	4745	301	694	1824	2292	121	1478	299
HRA1	7	8	3	6	4	20	8	19	2	2	2	5	3	5	3	5	1	1	0	4	1	2	13	1
LSR1	1270	289	154	234	1243	250	231	261	723	625	542	1060	7462	660	356	1420	1900	634	750	1289	1311	434	1114	734
NME1	443	145	95	152	435	89	72	88	152	162	118	288	4943	118	81	320	338	150	122	278	168	142	153	180
Q0045	19	0	0	0	21	0	0	0	14	2	5	7	375	2	4	3	114	3	16	23	53	0	29	4
Q0050	145	3	7	1	113	1	21	2	72	17	53	35	2186	2	13	21	610	25	108	119	276	13	147	19
Q0055	117	2	2	3	66	1	13	2	72	15	52	35	1597	4	10	21	402	22	95	119	169	7	119	14
Q0060	5	0	0	0	2	0	0	0	1	0	0	1	53	0	1	4	13	0	3	3	3	0	3	1
Q0065	6	0	0	0	3	0	0	0	0	1	0	1	73	2	1	0	20	2	0	4	2	1	2	5
Q0075	3	0	0	0	2	0	2	0	2	2	0	4	232	0	1	3	13	0	1	11	7	1	2	1
Q0085	8	0	1	0	2	0	0	0	1	1	2	1	187	1	0	1	17	3	2	3	5	0	2	0
Q0105	11	0	1	0	14	0	2	0	4	0	2	1	232	0	0	4	40	1	2	11	6	1	6	1
Q0110	1	0	0	0	0	0	0	0	0	0	0	2	62	0	1	0	1	0	0	3	0	0	2	0
Q0115	0	0	0	0	0	0	0	0	1	0	0	0	29	1	0	1	1	1	0	0	0	0	0	0
Q0120	1	0	0	0	5	0	0	0	1	0	0	4	22	0	0	2	0	0	2	2	1	0	2	2
Q0130	70	2	1	1	33	1	3	0	22	5	21	12	509	4	12	15	191	17	27	56	99	9	86	13
Q0140	4	0	0	0	1	0	0	0	1	1	0	3	163	1	0	2	0	1	0	1	1	0	0	1
Q0160	6	0	0	1	8	0	0	1	5	2	0	4	110	1	2	1	21	1	3	4	5	1	6	0
Q0182	0	0	0	0	1	0	0	0	0	4	0	1	50	1	5	2	4	5	2	10	5	1	4	5
Q0250	43	3	2	0	44	0	1	0	12	2	11	24	1012	1	1	27	166	12	30	72	61	0	69	21
Q0255	1	0	0	0	2	0	0	0	2	0	0	4	115	0	0	1	15	0	5	7	1	0	3	0
Q0275	27	0	1	0	34	1	1	1	14	4	5	18	300	3	4	8	67	12	12	29	48	5	28	18
RDN5-1	6	2	8	1	4	6	1	4	5	21	1	4	46	0	3	2	5	13	7	6	5	6	11	7
RNA170	15	19	10	27	16	14	16	15	20	30	26	38	20	28	31	23	11	24	9	12	7	13	10	19
RPM1	0	0	0	0	0	0	0	0	0	2	4	2	98	0	0	2	4	1	1	1	2	1	4	1
RPR1	306	45	96	46	419	17	59	26	216	83	193	243	2136	35	129	261	409	555	280	577	293	379	302	463
RUF20	264	303	323	338	236	442	264	417	130	178	139	138	240	127	174	120	201	320	217	284	305	305	320	297
