	mcm5U	mcm5S2U
190219_MM_wt_1	0.002383673	0.002318367
190219_MM_wt_2	0.003863354	0.004242236
190219_MM_wt_3	0.002747191	0.002505618
190219_MM_htd2_1	0.002180328	0.002224044
190219_MM_htd2_2	0.002823232	0.003121212
190219_MM_htd2_3	0.002196532	0.002132948
190219_MM_oar1_1	0.002512821	0.00254359
190219_MM_oar1_2	0.002353933	0.002202247
190219_MM_oar1_3	0.002005291	0.002481481
190219_MM_mtc1_1	0.001673575	0.001678756
190219_MM_mct1_2	0.002392473	0.002516129
190219_MM_mct1_3	0.002322917	0.00228125
190219_MM_elp3_1	0.002322222	0.002361111
190219_MM_elp3_2	0.002676136	0.002784091
190219_MM_elp3_3	0.002784314	0.002436275
190219_MM_ncs6_1	0.005785276	5.68098E-06
190219_MM_ncs6_2	0.005251572	2.91195E-06
190219_MM_nsc6_3	0.002360215	7.47312E-06
