	ID	Sample Name	Condition
18607X1	18607X1	WT_1	WT
18607X2	18607X2	WT_2	WT
18607X3	18607X3	WT_3	WT
18607X4	18607X4	mct1_1	mct1
18607X5	18607X5	mct1_2	mct1
18607X6	18607X6	mct1_3	mct1
18607X7	18607X7	sit4_1	sit4
18607X8	18607X8	sit4_1	sit4
18607X9	18607X9	sit4_3	sit4
18607X10	18607X10	sit4mct1_1	sit4mct1
18607X11	18607X11	sit4mct1_2	sit4mct1
18607X12	18607X12	sit4mct1_3	sit4mct1
18607X13	18607X13	reg1_1	reg1
18607X14	18607X14	reg1_2	reg1
18607X15	18607X15	reg1_3	reg1
18607X16	18607X16	reg1mct1_1	reg1mct1
18607X17	18607X17	reg1mct1_2	reg1mct1
18607X18	18607X18	reg1mct1_3	reg1mct1
18607X19	18607X19	sit4sfn1_1	sit4sfn1
18607X20	18607X20	sit4snf1_2	sit4snf1
18607X21	18607X21	sit4snf1_3	sit4snf1
18607X22	18607X22	sit4snf1mct1_1	sit4snf1mct1
18607X23	18607X23	sit4snf1mct1_2	sit4snf1mct1
18607X24	18607X24	sit4snf1mct1_3	sit4snf1mct1
18607X25	18607X25	reg1snf1_1	reg1snf1
18607X26	18607X26	reg1snf1_2	reg1snf1
18607X27	18607X27	reg1snf1_3	reg1snf1
18607X28	18607X28	reg1snf1mct1_1	reg1snf1mct1
18607X29	18607X29	reg1snf1mct1_2	reg1snf1mct1
18607X30	18607X30	reg1snf1mct1_3	reg1snf1mct1
