""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YOR153W"	15945.1889231123	-1.91550864289039	0.115052054781895	-16.649060692759	3.07389040493658e-62	1.87261403468737e-58
"YMR102C"	1154.49193252003	-1.17827898425698	0.0997409311132967	-11.8133946726301	3.32845830385055e-32	1.01384839935288e-28
"YLR303W"	1723.21153884159	-13.9679157218122	1.1967729799389	-11.6713160774447	1.78638107810865e-31	3.62754450927931e-28
"YGL009C"	3890.43021949741	2.03089872427107	0.174408367063626	11.6445028324253	2.44744727415951e-31	3.72746219854494e-28
"YBR115C"	633.153944965387	12.9854890288316	1.18611872711238	10.9478829833881	6.80187402747601e-28	8.28740331507677e-25
"YBR047W"	122.944516543917	-2.45901384975741	0.245060117695252	-10.0343290164226	1.07689066330946e-23	1.09340298681353e-20
"YER175C"	680.563637290627	-1.72260611851741	0.178192533260844	-9.66710606215918	4.15974392441147e-22	3.6201657125021e-19
"YMR096W"	735.258487822976	-2.09191519439631	0.237638975839178	-8.80291285134984	1.33310078988692e-18	1.01515625149889e-15
"YBL005W"	968.121482641868	-0.913157165913153	0.10551937356338	-8.65392899024997	4.9756173614261e-18	3.36794010731198e-15
"YGL117W"	425.237644612424	-1.99828870282487	0.231746157769498	-8.62274793272917	6.53662361903206e-18	3.95140483468363e-15
"YLR346C"	136.053773432723	-3.01007572374781	0.349491961082024	-8.61271805631418	7.13484129703216e-18	3.95140483468363e-15
"YPL250C"	403.652592359692	-1.77982178161038	0.207728945401941	-8.56800085402902	1.05297016850296e-17	5.34557855543334e-15
"YOR383C"	3584.75939291834	-2.97575384528015	0.360728977040667	-8.24927864041451	1.59353486695681e-16	7.4675495457699e-14
"YOR221C"	279.07685850997	1.87922489363954	0.231857864681825	8.10507289117998	5.27139044409289e-16	2.29380789895813e-13
"YKL120W"	989.250414831392	1.37124211447675	0.177435814190904	7.72810224773124	1.09161653549925e-14	4.43341862284096e-12
"YJL088W"	784.027721831478	-2.2078166409689	0.293172379323585	-7.53077983015599	5.04381735843356e-14	1.92043345922358e-11
"YHL040C"	1347.97595950472	-1.45839408326513	0.204455844743994	-7.1330515647094	9.81677585323629e-13	3.51787049987738e-10
"YOL058W"	5342.72858992007	-2.01073316999086	0.282276931614979	-7.12326423022576	1.05400478105675e-12	3.56722062566541e-10
"YHL047C"	1539.94453717279	-1.54577121001449	0.221847729188738	-6.96771256423102	3.22135522765227e-12	1.03286821299251e-09
"YDR011W"	3081.11456837977	-0.87397009522439	0.128261634344728	-6.81396350272155	9.49458021573149e-12	2.89204913371181e-09
"YOR303W"	3561.63837752414	-1.0471463570618	0.161973079192063	-6.46494073141699	1.01338520417885e-10	2.93978222088455e-08
"YHR029C"	413.575241332762	-1.1572461727118	0.183923260947106	-6.29200551769583	3.13390341206062e-10	8.46418516173054e-08
"YJR150C"	32.3894662557242	-3.040168853983	0.483412142104789	-6.28897909089752	3.19560503479649e-10	8.46418516173054e-08
"YEL034C-A"	6127.14789404646	0.521094905317542	0.0839012974795505	6.21080866412763	5.27126255598759e-10	1.33802214546152e-07
"YER001W"	1590.16566510951	0.906604626303368	0.148228034062738	6.11628314465566	9.57830772123874e-10	2.16115002362172e-07
"YJR109C"	2636.243087708	-1.73935792555519	0.283820168239062	-6.12838029216488	8.87781857689781e-10	2.16115002362172e-07
"YOR382W"	2885.76819812286	-2.79311526396387	0.456403247693735	-6.1198409040204	9.36688315399879e-10	2.16115002362172e-07
"YMR251W"	137.258905459621	-1.2040612923252	0.214174344329594	-5.62187453447864	1.88896438456773e-08	4.1098467967095e-06
