""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YMR303C"	6245.31254324469	4.83895469888405	0.100920665906101	47.9481051322661	0	0
"YPL134C"	1262.10044539903	3.35327304182766	0.113154142291377	29.6345584343951	5.36302477298638e-193	1.73654742149299e-189
"YDL215C"	3215.30308877319	3.02931329608635	0.106142740094028	28.5399952309767	3.73873007596369e-179	8.07067199064695e-176
"YNL117W"	896.35126337048	5.27934895243712	0.205975924543848	25.6309030491243	6.90424437250226e-145	1.11779716390812e-141
"YJR095W"	2073.94155704091	7.71530890537725	0.301161836388208	25.6184814049013	9.49647281137212e-145	1.22998315852892e-141
"YLR174W"	1772.83003957079	5.51845536889317	0.227005307721916	24.3098076616487	1.54393066383038e-130	1.66641582982759e-127
"YLR377C"	1821.12311580725	5.70395891374271	0.23942144713148	23.8239263110391	1.88733971214995e-125	1.74605885369758e-122
"YKL217W"	1704.03673049277	5.04262962973088	0.214518959956302	23.5066850536571	3.48470156741891e-122	2.82086591882561e-119
"YBR039W"	4250.72454121542	1.92825131955129	0.0829638866269058	23.2420562481935	1.71161827914435e-119	1.23160444174876e-116
"YKL016C"	2814.89500728951	1.9337766788398	0.0835950732305359	23.1326632552482	2.17295779685366e-118	1.40720746924243e-115
"YIL162W"	5946.94703194413	3.73080714940245	0.166233835564603	22.4431273978068	1.49363128753333e-111	8.7934147436962e-109
"YJR121W"	14007.0773941991	1.75669237660885	0.0824196846059162	21.3139905231178	8.42037252002475e-101	4.54419436997336e-98
"YBL045C"	5068.33735457881	2.35525804565188	0.111037770158425	21.2113233388195	7.50713195863099e-100	3.73970665877648e-97
"YLR038C"	1251.18636330667	2.10056208402566	0.0994881139452575	21.1136989206718	5.95266462423001e-99	2.75353257903668e-96
"YDR028C"	655.866312374679	-8.24348867989925	0.415057277588586	-19.8610869511614	8.83770986600657e-88	3.8155339394839e-85
"YBL043W"	389.762766355881	3.76041294765874	0.190659750810693	19.7231609276175	1.36429821895436e-86	5.52199704121776e-84
"YPR010C-A"	768.111737019309	2.91348508159583	0.148078403407381	19.6752869733509	3.51183185633486e-86	1.33780135891909e-83
"YDR377W"	1549.35539275719	1.89777185904271	0.097301303661949	19.5040743301454	1.01375741708967e-84	3.64727390726259e-82
"YER065C"	2704.14104883328	3.35395679473183	0.172786368657462	19.4110034303738	6.22985241868811e-84	2.12339601386443e-81
"YPL078C"	3213.13276508211	1.61204020116406	0.086320197008335	18.6751218953822	7.89095926857201e-78	2.55509261116362e-75
