""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ETS2-2"	6.91934853817095	-0.242628078319141	0.811689848659	-0.298917226475099	0.76500320287535	0.999457969507645
"HRA1"	21.1608313356202	0.00904568850032714	0.429959686480721	0.0210384572897225	0.983214977976354	0.999457969507645
"ICR1"	93.1183530924155	-0.189092217896518	0.237336537844826	-0.796726115639847	0.425610113234547	0.999457969507645
"IRT1"	88.6495214893999	0.215378095710985	0.233577449487355	0.92208428589184	0.356484612931226	0.999457969507645
"LSR1"	35.8081300057236	-0.747366718954957	0.60573299586647	-1.23382203719295	0.217269225802622	0.999457969507645
"NME1"	14.8338529047806	0.415205801927837	0.624878891697138	0.664458037300892	0.506397197801306	0.999457969507645
"Q0020"	5.41209754011135	-0.40189728991024	1.68639744261547	-0.238317065570811	0.811635186197897	0.999457969507645
"Q0045"	0.710606894974385	-2.98130732444296	3.82389539986744	-0.779651902755057	0.435595796525852	0.999457969507645
"Q0050"	1.06476978959507	-1.12778790944749	2.27017346970613	-0.496784904104036	0.619340741718681	0.999457969507645
"Q0055"	0.583796025301301	0.316250387443114	2.48500238008672	0.127263615510935	0.898731756721793	0.999457969507645
"Q0085"	0.315945262490477	0.011669739890553	3.55679624740902	0.0032809694676927	0.997382169813982	0.999457969507645
"Q0120"	0.149416280315093	0.973439379176521	4.0804728567969	0.238560434866035	0.811446447756359	0.999457969507645
"Q0130"	0.118434482495731	-0.950113972465967	4.0804728567969	-0.232844085920912	0.815882478007723	0.999457969507645
"Q0158"	14.1945802594665	-1.99512519916746	0.964167306931065	-2.069272816891	0.0385204929860849	0.999457969507645
"Q0250"	0.706825308869274	0.82449649679975	2.95834309760234	0.278702121288089	0.780473434441954	0.999457969507645
"Q0275"	0.236868964991462	-1.5207853658144	4.06122704256906	-0.374464502938101	0.708058761245665	0.999457969507645
"RDN5-1"	11.9626221878655	-0.0768479876848214	0.566699133738428	-0.135606326372633	0.89213250393465	0.999457969507645
"RDN5-2"	0.195968199576198	-0.950113972465967	4.0804728567969	-0.232844085920912	0.815882478007723	0.999457969507645
"RME2"	149.167799500435	0.0311698039956815	0.219914001620363	0.14173633222995	0.887288275666692	0.999457969507645
