""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YML123C"	10341.7224031811	-5.3800825180891	0.144207914093941	-37.3078173406236	1.22573357521206e-304	7.930496231622e-301
"YHR136C"	474.324450882164	-6.20960288668363	0.299899656448293	-20.7056018677176	3.0835908483809e-95	9.97541639451222e-92
"YHR215W"	991.296249225775	-4.82962567958833	0.261266410700959	-18.485444288957	2.70462013308362e-76	5.832964087017e-73
"YDR281C"	234.062746688738	-3.89906692615538	0.230440300988676	-16.9200739168753	3.20028610669078e-64	5.17646277757233e-61
"YDR377W"	1559.62747011577	-1.9895558425979	0.125446493030986	-15.8597964321447	1.20283128337306e-56	1.55646368068474e-53
"YER072W"	2936.30968920995	-2.05397351587491	0.130837160709411	-15.6987013837512	1.54369814186341e-55	1.66462116297604e-52
"YAR071W"	456.97768167784	-4.21102259294488	0.271804426952763	-15.4928403490526	3.87773403602242e-54	3.58413417329501e-51
"YBR039W"	4414.03745138518	-2.07523861571628	0.135427932076541	-15.3235642300393	5.32174956529668e-53	4.30396496093369e-50
"YPL271W"	1574.54363953231	-2.22434657021024	0.147237381385048	-15.1072135981096	1.45148924292483e-51	1.04345948908041e-48
"YJR048W"	1534.21566989291	-3.33136992996479	0.220667469653049	-15.0967876470539	1.70016831717878e-51	1.10000890121467e-48
"YML081C-A"	1447.33617706557	-1.89176984036929	0.131940708058955	-14.3380300757822	1.2659815104932e-46	7.44627306626455e-44
"YBL045C"	4706.36695687153	-2.30283003611055	0.162887678455755	-14.1375336547391	2.22962525579164e-45	1.20213961708099e-42
"YBR296C"	155.10093220652	-3.49378923528231	0.247531325912076	-14.1145336753188	3.09053520629333e-45	1.53813559882445e-42
"YPL019C"	3261.33260080739	-2.96369010447816	0.211832091816783	-13.990751255204	1.77526691021893e-44	8.20426922079746e-42
"YJL166W"	1033.53795038546	-1.97846570197333	0.149102152386479	-13.2691961202885	3.49307773843431e-40	1.50668086451133e-37
"YJL012C"	3381.8822025726	-1.82666477653602	0.138370027555396	-13.2013038430936	8.62294941352251e-40	3.48690516909316e-37
"YMR256C"	716.991243238338	-2.04410432959335	0.1575227602666	-12.9765649493051	1.66167368888201e-38	6.3241345688627e-36
"YGL187C"	1681.06808499995	-2.20417202903896	0.173387014483115	-12.7124400613843	5.04357383789472e-37	1.8128845961766e-34
"YLR038C"	1016.05700394517	-1.80220362256922	0.142393999056048	-12.6564576774043	1.03045016682283e-36	3.50895398912828e-34
"YKL016C"	2472.6294654254	-1.7756339973631	0.141418719971831	-12.5558624609019	3.69136991841105e-36	1.19415816860597e-33
"YOL077W-A"	858.116431868609	-1.80936187322899	0.144181898275366	-12.5491611282116	4.01743440584255e-36	1.23775240980006e-33
"YPR010C-A"	530.081517990136	-2.36558342463954	0.191421808486434	-12.3579619445878	4.41201084264525e-35	1.29753227963249e-32
"YJR121W"	13927.1971066802	-1.82747714744547	0.147969855727221	-12.350334049216	4.85095845642204e-35	1.36459570491524e-32
"YPR191W"	3191.91572911338	-2.17112673521063	0.180915054720072	-12.0008074428631	3.5184699660572e-33	9.48520861682919e-31
"YHR001W-A"	749.947220579128	-2.31521992166566	0.19429048645273	-11.9162804311005	9.73588953189447e-33	2.51964821085429e-30
"YJR078W"	139.650754181658	-2.79364310777205	0.234802665819105	-11.8978338598775	1.21458977552086e-32	3.02245994139229e-30
"YEL024W"	1425.04098392551	-2.58585518252546	0.228751471884479	-11.304212214343	1.25071564077029e-29	2.99708525769769e-27
"YLR295C"	1067.13915589045	-1.42107630554812	0.12690350118611	-11.1980858862518	4.166382391543e-29	9.62731931188686e-27
"YGR183C"	878.800733253642	-1.90412560282293	0.171862128307032	-11.0793786948874	1.57964897541073e-28	3.52425133479566e-26
"YKL029C"	2251.48700960696	1.18948878270762	0.107605424878251	11.054171144749	2.09260760265179e-28	4.51305706305237e-26
"YLR395C"	1438.56846108808	-1.5520020372907	0.141516450645667	-10.966937272732	5.51075364474333e-28	1.15014761553192e-25
"YDL047W"	719.397895509789	12.9741938892717	1.18593290305017	10.940074144079	7.41392522405877e-28	1.49900300623938e-25
"YHR051W"	1345.30164532262	-2.01075849172449	0.184115989352391	-10.9211508397349	9.13311400561768e-28	1.79064386716201e-25
"YGL188C"	133.680758092142	-2.27519365709884	0.209806117882369	-10.8442674601818	2.12329955446357e-27	4.04051415217038e-25
"YDR529C"	2119.08681742118	-2.14551644139726	0.199672170003875	-10.7451951934795	6.24297296191752e-27	1.15405814467447e-24
"YBL015W"	1182.50688464157	-2.06693412959237	0.194612855508627	-10.620748173035	2.38640700948317e-26	4.28890370871003e-24
"YLL052C"	257.339694001514	-3.23209823020596	0.305398282261425	-10.5832233445218	3.56479183517927e-26	6.23356842529996e-24
"YBL099W"	6657.90971425057	-1.74535751702163	0.16535759318314	-10.5550491115855	4.81387780274765e-26	8.19626036415192e-24
"YGL191W"	1460.57204003188	-1.65665729191849	0.157972146158775	-10.487021492089	9.9103330482602e-26	1.64409884159599e-23
"YOR153W"	3973.98256319431	1.48807433641733	0.142356104821933	10.4531824488925	1.41689325100658e-25	2.29182483350314e-23
"YLL053C"	281.231170861367	-3.20642015305743	0.308581610255599	-10.3908335639365	2.72957041774841e-25	4.30739526898347e-23
"YLL041C"	2082.8524417495	-2.82032012298917	0.272050123950207	-10.3669135747402	3.50668286080167e-25	5.40196145461591e-23
"YDR322C-A"	839.896363768517	-1.37596804351152	0.133077432544722	-10.339604673761	4.66457772919184e-25	7.0185623041561e-23
"RDN5-1"	145.475365882245	-4.82501248941086	0.480004110635815	-10.052023269175	9.00003052489829e-24	1.32341357945664e-21
"YPL078C"	2937.72860102239	-1.52371757191017	0.152348057206377	-10.0015556473167	1.50021570135888e-23	2.1569767972871e-21
"YDR298C"	2509.88113212458	-1.65160576512347	0.166347900424063	-9.9286240518402	3.12538368161702e-23	4.39592009131786e-21
"YDL004W"	2234.76068177895	-1.59789981222358	0.161664866375885	-9.88402643100156	4.88305053756948e-23	6.72198659107969e-21
"YPL018W"	204.510656428252	-1.69706535608683	0.172203890303624	-9.85497687128105	6.5231711700002e-23	8.79269113956277e-21
"YGR182C"	366.124820726353	-1.91950856924825	0.200892403814353	-9.55490866156434	1.23692981654069e-21	1.63325222714659e-19
"YFR011C"	508.428355610264	-1.28128341026274	0.135759112478443	-9.43791828681991	3.80258728532734e-21	4.92054794721358e-19
"YBL066C"	494.368217007339	-1.25107806421208	0.132957158587893	-9.40963297876919	4.97872336391349e-21	6.31614513029809e-19
"YBL100C"	563.537601124117	-1.66940250039795	0.177748576217192	-9.39193177197713	5.89097350348306e-21	7.32973049375681e-19
"YKL141W"	1894.68704278183	-1.88783269361137	0.203845264258721	-9.26110645972787	2.02324564897697e-20	2.46988666960019e-18
"YML120C"	1758.20814521299	-2.82683483937172	0.305364731214962	-9.25724076950384	2.09783184883149e-20	2.51351334480365e-18
"YPR020W"	671.20180941297	-1.85012237042949	0.202907311532232	-9.11806655195663	7.64764503452015e-20	8.99641152242643e-18
"YJR077C"	5558.02713779437	-1.51457744847718	0.167636719510757	-9.03487883142448	1.64184221456185e-19	1.89691413003842e-17
"YBL030C"	9372.95693624855	-1.91513633412823	0.212241235404789	-9.02339420742467	1.82349986395414e-19	2.06983230171636e-17
"YNL052W"	1645.7959291697	-1.81295033264108	0.202496661015598	-8.95298877299233	3.45985063646739e-19	3.85952303757656e-17
"YNR044W"	1394.90163441219	1.86628957758578	0.211626191522012	8.81880245617736	1.15690335533977e-18	1.26867198458446e-16
"YLR307W"	46.6195046836086	-3.24552377872126	0.373476670228995	-8.69003083038971	3.62341144893151e-18	3.90724534576448e-16
"YGR233C"	760.511609465576	-1.41322922302149	0.162989984416933	-8.6706507033365	4.29657868662475e-18	4.5571908364692e-16
"YBL043W"	221.038495793305	-2.93113687412813	0.339938758464561	-8.62254391752068	6.54828366749148e-18	6.83345085946288e-16
"YKL161C"	277.109855602402	-1.3897678776429	0.161420611136177	-8.609606095906	7.33120460829138e-18	7.52903076438813e-16
"YJL191W"	2199.6146467914	-1.26303754258421	0.148604911962477	-8.49929875065721	1.9073943000469e-17	1.91501026721466e-15
"YKL150W"	2046.66796619598	-1.54791320125886	0.182143884953175	-8.49829903242044	1.92388975840731e-17	1.91501026721466e-15
"YPL017C"	307.09304153133	-1.67233787634388	0.199552982433974	-8.38042035727132	5.27390087614135e-17	5.17002101039917e-15
"YDR148C"	2008.49834379322	-1.57206569329342	0.190004532036067	-8.27383261045063	1.29720245348146e-16	1.25267162298882e-14
"YJR120W"	94.3429704102867	-2.19477040255784	0.267688614968144	-8.19896805405427	2.42459343313981e-16	2.30692934006097e-14
"YDL067C"	1206.34002667267	-1.4930253007257	0.182525043492336	-8.17983807678638	2.84225548426408e-16	2.66512941785342e-14
"YML131W"	473.248796938438	-1.90321028870487	0.234648664679831	-8.11089332769792	5.02489543957765e-16	4.64443907058105e-14
"YNL040W"	340.418301532421	1.31763349872989	0.162799459434184	8.09359873373888	5.79272996682776e-16	5.27872716695431e-14
"YLR040C"	206.548730498848	1.53763582232566	0.190893638496769	8.05493485500141	7.95211502604586e-16	7.14585891923843e-14
"YML087C"	173.987742216751	-1.90199493708338	0.237124010458496	-8.02109804656954	1.0480402924857e-15	9.28879546901708e-14
"YML091C"	892.58960567081	-2.54004351825899	0.317905035808862	-7.98994426683501	1.34999770459804e-15	1.18033583091207e-13
"YPL134C"	348.726307781375	-1.16323402462866	0.146449845905553	-7.94288322692295	1.97534893985806e-15	1.70406768545088e-13
"YKL085W"	3866.74361100662	-2.54281746195765	0.321968348537465	-7.89772495808468	2.84040060419257e-15	2.41807788277973e-13
"YFR033C"	1665.47377586671	-1.72042521424436	0.218303557511754	-7.88088491939362	3.25070596216291e-15	2.7314373474278e-13
"YPR158C-D"	206.105189553176	1.36776661025392	0.173789453064719	7.87025096249402	3.53930540621012e-15	2.93580845874096e-13
"YFL059W"	164.174522873662	-1.70045937759891	0.220339708701981	-7.7174440667835	1.18685583201194e-14	9.72019902926237e-13
"YLR227W-B"	185.705609556637	1.31873621091329	0.172696649697863	7.63614241052419	2.23826741229219e-14	1.81019876969131e-12
"YGR032W"	990.026653936883	-1.17622691204657	0.154955728536185	-7.5907288046592	3.18111124475916e-14	2.54096169797429e-12
"YMR145C"	4641.67713766845	-1.85850628437718	0.246322991044589	-7.54499722699761	4.52297124055501e-14	3.56873462516962e-12
"YDR178W"	1070.98462054923	-1.60666353213667	0.215395950538515	-7.45911670168274	8.71044327902771e-14	6.78994795365172e-12
"YER174C"	725.865324956269	-1.07083402272658	0.145002850351103	-7.3849170560007	1.52548456285751e-13	1.17498632401048e-11
"YNL332W"	51.8281356534754	-2.44546619689671	0.332323667717301	-7.35868803354987	1.85726505279893e-13	1.41370645783636e-11
"YMR056C"	197.066953497852	-1.39414055786109	0.189654162406549	-7.35096208894466	1.96785234173544e-13	1.46824445450663e-11
"YPL088W"	317.816355996885	-1.21399090116728	0.165157036823234	-7.35052483695626	1.9743008893675e-13	1.46824445450663e-11
"YGR254W"	14221.4683982363	-2.11249776513246	0.288493743191198	-7.32250807856314	2.43378659587883e-13	1.78938628128819e-11
"YCR098C"	139.965189552486	-2.46043138280889	0.336369966308252	-7.31465835018734	2.58037058912945e-13	1.87584243951321e-11
"YOR065W"	2068.75360694731	-2.24449278016594	0.307746603733491	-7.29331454169249	3.0242091899141e-13	2.17407038430491e-11
"YPL110C"	480.265244401406	-1.00472600191848	0.138626638385661	-7.24771237057142	4.23869532708146e-13	3.01366579848539e-11
"YDL181W"	698.69171447153	-2.881451660023	0.401524728808401	-7.17627446900777	7.16366696506348e-13	5.03792665912616e-11
"YFL030W"	241.731705813488	-1.75581321481475	0.245797784910643	-7.14332399477503	9.11005503502517e-13	6.33785549210891e-11
"YLR348C"	858.257703284654	1.623241951233	0.227602922067473	7.1319029496106	9.89906659771859e-13	6.81350647736588e-11
"YKL030W"	149.615339733186	1.27812869269155	0.17959449113094	7.11674776126447	1.10503447296416e-12	7.52586635797696e-11
"YCL049C"	506.100236761202	-0.987126293398141	0.140727859323025	-7.01443408680226	2.30881538657631e-12	1.55604536991133e-10
"YOL155C"	1883.06907003131	-2.16847420699726	0.311028881034175	-6.97193842509754	3.1260338173516e-12	2.08509678332628e-10
"YLR023C"	1241.07181832782	-1.18487391159873	0.170691748984128	-6.94160039164464	3.87682572515423e-12	2.55949616752529e-10
"YNL134C"	3210.12883069219	-0.906970840859225	0.130786550147622	-6.93474091820224	4.06966302728843e-12	2.6596686653087e-10
"YCL057C-A"	748.827488226922	-1.22917750288172	0.177909918237235	-6.90898807138268	4.88122997104649e-12	3.15815579126708e-10
"YDR481C"	1318.05486732767	-0.896605311068848	0.131474215904222	-6.81962850968451	9.12762317324148e-12	5.84710118127449e-10
"YPR078C"	38.3910054232883	-2.38934453079923	0.351793761694861	-6.79188999625213	1.10673927746488e-11	7.02019914235074e-10
"YIL125W"	1793.52306063012	-1.27036045633226	0.187357865092554	-6.78039566529381	1.19847201837934e-11	7.5282659795285e-10
"YHR046C"	696.776194886388	-0.847074116106679	0.12571147610552	-6.7382401539511	1.60316442164974e-11	9.87854648387983e-10
"YLR294C"	136.043931889376	-1.47229883479016	0.218482625980199	-6.73874560132569	1.5975983437402e-11	9.87854648387983e-10
"YOR083W"	60.5276996992001	1.89732195296321	0.2831059841851	6.70180801166925	2.05856392182528e-11	1.2565008088877e-09
"YBR068C"	3421.61640736817	-0.703951008744332	0.105298455300882	-6.68529283485546	2.30463330862851e-11	1.36797958778225e-09
"YCR005C"	877.512919960948	2.1497313031525	0.321558476894338	6.68535105625247	2.30371720191978e-11	1.36797958778225e-09
"YNL055C"	8067.49184819465	-1.81842036190433	0.271999851252954	-6.68537263358001	2.30337777580816e-11	1.36797958778225e-09
"YJL078C"	1902.46501129718	-0.809176786990733	0.121136621170078	-6.67986921852997	2.39155576370717e-11	1.40666961738049e-09
"YKL209C"	2106.79925334029	0.758159172199176	0.113831447216117	6.66036662750813	2.73145342412464e-11	1.59211744631409e-09
"YKL109W"	1209.87904012193	-1.93608260534466	0.290829707546654	-6.65710054752257	2.79282138706949e-11	1.61335306913746e-09
"YNR073C"	40.0226147345276	-2.19432880196979	0.330502832740938	-6.6393645820573	3.15038282705388e-11	1.80380326469368e-09
"YHR152W"	539.496052469712	0.871954609949596	0.131571710146872	6.62721955180366	3.42068680303539e-11	1.94138979084552e-09
"YLR206W"	697.8613825623	0.882896051582514	0.13547984532333	6.51680734854275	7.1819568917337e-11	4.04063139908844e-09
"YEL071W"	2440.56178347721	1.59042604798365	0.244718133773895	6.499011836422	8.08493013251655e-11	4.50943947908466e-09
"YIL082W-A"	503.886335028553	0.852797797340685	0.132063962106284	6.45746033769877	1.06474644561987e-10	5.88795684030817e-09
"YGL032C"	690.494755950163	1.30418003575891	0.206205844873057	6.32465115895127	2.53805294098938e-10	1.39162733289841e-08
"YBR093C"	3887.22766511766	-4.2583762902459	0.677670287234421	-6.28384683593607	3.30296131282358e-10	1.79581173898895e-08
"YNL333W"	156.82304368585	-1.39539862386219	0.223315721530242	-6.24854629266764	4.14290439738337e-10	2.23371595425587e-08
"YBR104W"	662.715438124417	0.81044995151997	0.130692308436005	6.20120618587753	5.60320474997434e-10	2.99609377953173e-08
"YER091C"	11453.188592681	1.47030358154231	0.238100872050705	6.17512892279201	6.61095026299754e-10	3.50597116406509e-08
"YBR262C"	567.382598400434	-0.954310448779888	0.154653601282738	-6.17063192104538	6.80175973221002e-10	3.57783621686169e-08
"YBR265W"	828.02382126887	0.679329855285741	0.110456738252538	6.15018935044581	7.73904979744797e-10	4.03803646689422e-08
"YJR147W"	745.822302795334	-0.743701472149446	0.121232213637784	-6.13452027174451	8.54165522909647e-10	4.38797455119224e-08
"YJR156C"	95.4044426311507	-1.54980846640943	0.252640111295153	-6.13445132866817	8.54536002241456e-10	4.38797455119224e-08
"YCR021C"	187.445434259673	-1.24690928548266	0.205570772447361	-6.0655961479249	1.31465094203091e-09	6.69747369680312e-08
"YMR318C"	3793.1720861012	-0.617004533871388	0.101987430311337	-6.04980958916075	1.45017131203966e-09	7.33016280382547e-08
"YKL067W"	1323.90156323167	-1.34536822107245	0.222877992716629	-6.03634394169625	1.57645062598715e-09	7.90669422491227e-08
"YFR049W"	382.071990750782	-1.24855468361516	0.207908387349775	-6.005311760293	1.90964605811393e-09	9.50416153538238e-08
"YFL061W"	16.4317682088066	-7.44644520119772	1.24264912039022	-5.99239566423977	2.06772096598057e-09	1.02123317938124e-07
