""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YKL209C"	1397.52648123935	-4.82989742451831	0.148123526332638	-32.6072268470837	3.23957358726433e-233	2.1018353434171e-229
"YNL145W"	2452.15053145361	-8.59753698857988	0.301675696373489	-28.499269553142	1.1961006021098e-178	3.88015035324419e-175
"YIL015W"	1634.73533961471	-5.31388799263801	0.236782190945298	-22.442093180334	1.52877490965538e-111	3.30623053794802e-108
"YFL026W"	4330.73526833635	-6.1908911437185	0.277476751731984	-22.3113868281776	2.8647519105215e-110	4.64662759886587e-107
"YKL178C"	933.868282283929	5.01292024469649	0.247477719598056	20.2560466972069	3.14200878615923e-91	4.07707060092022e-88
"YBR039W"	3741.79668055609	1.73757400245706	0.0953297465595809	18.2269864881166	3.15218648814361e-74	3.40856432251262e-71
"YLR040C"	1144.66623653868	2.65720217622489	0.164735052887391	16.1301564521382	1.56623186561005e-58	1.45167319201114e-55
"YJR121W"	11699.3657854747	1.45828841397134	0.0956542112761938	15.2454177867888	1.76599729835045e-52	1.37313217459831e-49
"YPL187W"	7188.49428580581	10.4730189159328	0.687184503001726	15.2404759859763	1.90477644441812e-52	1.37313217459831e-49
"YBL045C"	3501.95372156758	1.73584077518723	0.122818196418614	14.1334169187014	2.36390268849669e-45	1.53370006429665e-42
"YDR377W"	1332.09321955621	1.66162512601846	0.118320852844464	14.0433836138987	8.45761279980021e-45	4.98845380410034e-42
"YKL016C"	2030.81591989333	1.35787830594469	0.0998505234469346	13.5991105411313	4.05332829953221e-42	2.19149950061375e-39
"YML081C-A"	1194.92715471559	1.49283763220973	0.116639152068463	12.7987695875351	1.66569484293135e-37	8.31309856995276e-35
"YPL271W"	1376.82558426212	1.95044946882729	0.152661597714365	12.7762940911744	2.22417314767454e-37	1.0307453844366e-34
"YGL009C"	3418.78600054426	-2.15840602114983	0.173804660448147	-12.4185739069624	2.07222396151738e-35	8.96305937488317e-33
"YOR153W"	3841.34271632043	-1.80591123546096	0.148300010207032	-12.1774181467678	4.10058110739575e-34	1.66278563904898e-31
"YOL077W-A"	760.899788648823	1.54447987224996	0.126889934917563	12.1718075846865	4.39246222528971e-34	1.67637028927527e-31
"YPL078C"	2545.8041201266	1.19751131058513	0.101626713684473	11.7834304305374	4.75189818816346e-32	1.71279530248914e-29
"YML123C"	1096.0966190903	1.77942804794039	0.152578467755106	11.6623798503235	1.98417759984324e-31	6.7754443514647e-29
