""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YOR153W"	15945.1889231123	1.91550882366724	0.115052054795631	16.6490622620326	3.07380980698525e-62	1.87256493441542e-58
"YMR102C"	1154.49193252003	1.17827908384614	0.0997409311760098	11.8133956636806	3.32841906022109e-32	1.01383644574335e-28
"YLR303W"	1723.21153884159	13.9679128598905	1.19677131951927	11.671329879046	1.78609126359103e-31	3.62695599259884e-28
"YGL009C"	3890.43021949741	-2.03089837185867	0.174408367034376	-11.6445008137618	2.44750522359511e-31	3.72755045553536e-28
"YBR115C"	633.153944965387	-12.9854926684582	1.18612037220352	-10.9478708677218	6.80278370121878e-28	8.28851166156496e-25
"YBR047W"	122.944516543917	2.45901421555532	0.245060118750476	10.0343304659014	1.07687484792459e-23	1.0933869289261e-20
"YER175C"	680.563637290627	1.72260640789074	0.178192533441201	9.66710767631101	4.1596783351018e-22	3.62010863106288e-19
"YMR096W"	735.258487822976	2.0919157098902	0.23763897608271	8.80291501155983	1.33307512050517e-18	1.01513670426469e-15
"YBL005W"	968.121482641868	0.913157275217906	0.105519373625008	8.65393002106952	4.97557239812874e-18	3.36790967215559e-15
"YGL117W"	425.237644612424	1.99828915058893	0.231746158085691	8.6227498530959	6.53651396203832e-18	3.95133127184661e-15
"YLR346C"	136.053773432723	3.01007647047781	0.349491961206722	8.61272018985686	7.13470846853459e-18	3.95133127184661e-15
"YPL250C"	403.652592359692	1.77982214091577	0.207728945686774	8.56800257196459	1.05295446393103e-17	5.34549882855654e-15
"YOR383C"	3584.75939291834	2.97575529446922	0.360728977253204	8.24928265294438	1.59348136723403e-16	7.46729883783823e-14
"YOR221C"	279.07685850997	-1.87922447501426	0.231857864566986	-8.10507108966897	5.27146855267296e-16	2.29384188734883e-13
"YKL120W"	989.250414831392	-1.37124180654139	0.177435814157441	-7.72810051371403	1.09163140132897e-14	4.43347899793073e-12
"YJL088W"	784.027721831478	2.20781743140957	0.29317237960903	7.53078251898723	5.04371348491243e-14	1.92039390938041e-11
"YHL040C"	1347.97595950472	1.45839450990816	0.204455844849506	7.13305364775285	9.81662722841716e-13	3.51781723973631e-10
"YOL058W"	5342.72858992007	2.01073413046884	0.282276931692815	7.12326763087039	1.05397876442503e-12	3.56713257382072e-10
"YHL047C"	1539.94453717279	1.54577172081571	0.221847729297975	6.9677148632858	3.22130260163431e-12	1.03285133942927e-09
"YDR011W"	3081.11456837977	0.873970284711193	0.128261634371154	6.81396497866355	9.49448275282541e-12	2.89201944651062e-09
"YOR303W"	3561.63837752414	1.04714666403493	0.16197307922549	6.46494262529361	1.01337251245679e-10	2.93974540280322e-08
"YHR029C"	413.575241332762	1.157246461665	0.183923261132495	6.29200708240669	3.13387181421346e-10	8.46407900495265e-08
"YJR150C"	32.3894662557242	3.0401697060233	0.483412127906825	6.28898103816145	3.19556495590793e-10	8.46407900495265e-08
"YEL034C-A"	6127.14789404646	-0.521094816924571	0.0839012974802216	-6.21080761054274	5.27129790212965e-10	1.33803111749058e-07
"YER001W"	1590.16566510951	-0.906604394196971	0.148228034055498	-6.11628157908057	9.57840177418113e-10	2.16117124475228e-07
"YJR109C"	2636.243087708	1.73935882057526	0.2838201683471	6.12838344330801	8.87764278643981e-10	2.16117124475228e-07
"YOR382W"	2885.76819812286	2.79311753391584	0.456403247972111	6.11984587385433	9.36659102238003e-10	2.16117124475228e-07
"YMR251W"	137.258905459621	1.20406160851577	0.214174344807607	5.6218759982545	1.88894837529763e-08	4.10981196511185e-06
"YOL031C"	751.784839396945	-0.53038614439621	0.0963120587351698	-5.50695469873215	3.65094161550337e-08	7.66949528332639e-06
"YMR015C"	1932.42226096265	-0.599545950484166	0.111307682623265	-5.38638426705375	7.18891822630801e-08	1.45982966115561e-05
"YDR186C"	1372.73456933664	0.666109907438421	0.12585494139519	5.29267981101202	1.20536856146773e-07	2.36874363756819e-05
"YOR273C"	890.165920735199	-1.77704066891296	0.339239245468899	-5.23831099334252	1.62052821662869e-07	3.08508059240686e-05
"YOL143C"	3738.25353363562	-0.868339099115128	0.166593173249532	-5.21233302768347	1.86480390339346e-07	3.44254102408271e-05
"YOL119C"	515.669915672439	0.896161717958945	0.172689634881687	5.18943547812191	2.10932575440399e-07	3.77941543994973e-05
"YER068C-A"	64.2856933869718	1.62029169130573	0.318110741325002	5.09348312023937	3.51544362797355e-07	6.11888073760425e-05
"YER069W"	1585.89006930969	1.23458952364518	0.243930363813906	5.06123757756966	4.16543775431685e-07	7.0488463331384e-05
"YKL218C"	296.587795851105	0.867261472843959	0.173762820572269	4.99106465921609	6.00473908120592e-07	9.62654486387012e-05
"YLR350W"	1135.52293290125	-0.514826132915998	0.103146110776009	-4.99123165229166	5.99954914482708e-07	9.62654486387012e-05
"YIL014C-A"	169.569673682135	1.23892900115325	0.248691723856267	4.98178621283473	6.30000155494149e-07	9.84092550582143e-05
"YIL116W"	1360.96070612877	0.972789743088859	0.196025090911324	4.96257769128605	6.95637263276673e-07	0.000105945555197037
"YOR302W"	122.256561550299	1.40667419151586	0.284050744734852	4.95219328795959	7.33816609161177e-07	0.000109034409341705
"YMR095C"	124.973264838265	1.09802781408489	0.222742810456125	4.92957690457611	8.24078913469974e-07	0.000119530684306169
