""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YMR303C"	7297.65318757887	5.06976119345681	0.132422106155961	38.2848554567306	0	0
"YHR092C"	21899.5805292064	7.0046891546316	0.211057381888527	33.1885532358741	1.57471178410788e-241	5.21308336128913e-238
"YJR048W"	1373.79417443348	3.5096503634799	0.130066827514965	26.9834394405913	2.31226933480573e-160	5.10317842191625e-157
"YGL009C"	6705.64888890158	2.82888484139861	0.106991064564772	26.44038409101	4.70694766192363e-154	7.79117511739908e-151
"YJR095W"	2442.28644427612	7.10481678299857	0.270993021719624	26.2177112086281	1.66943029407765e-151	2.21065959541763e-148
"YKL217W"	2008.10100974944	4.88238127159673	0.186452481723426	26.1856598875365	3.87095319372056e-151	4.27159684927064e-148
"YOR153W"	14889.5891060086	-3.44089263496507	0.13873185775163	-24.8024692434038	8.43153431722322e-136	7.97502695919071e-133
"YJR121W"	15911.6063205647	1.98047195511093	0.0818096532703872	24.2082917594738	1.81956294666229e-129	1.50591578373138e-126
"YPL134C"	1493.87309087049	3.23469970198676	0.134184562501491	24.1063475684904	2.14451909249904e-128	1.57765121238179e-125
"YLR377C"	2150.58517060288	5.34742106871203	0.222144822650117	24.0717789634662	4.93854508646636e-128	3.26981070174938e-125
"YBR039W"	4869.15525547793	2.11090189796005	0.0882517112291918	23.9191044406832	1.93815008219133e-126	1.16659015401716e-123
"YDL215C"	3840.2906567229	2.82142907530123	0.118266092533022	23.8566187050903	8.64508768122085e-126	4.7699271281136e-123
"YDR298C"	3188.73466358612	1.84044375398748	0.0836059980135307	22.0132980613379	2.14785145727001e-107	1.0939172691219e-104
"YFR033C"	2515.86273855846	2.62903983480656	0.120139555987135	21.8832158418173	3.75415541037042e-106	1.77544735514733e-103
"YKL016C"	3242.56076711443	2.0741759373473	0.0960638630793179	21.5916357187791	2.15257992924274e-103	9.50148780767745e-101
"YDR461W"	1789.40066239374	-2.38952437114829	0.112446096496886	-21.2503985962239	3.26878946676671e-100	1.3526659412164e-97
"YDR377W"	1801.14584597239	1.9693530853957	0.0934458602143235	21.0748028952687	1.35468926279689e-98	5.27611624057541e-96
"YNL117W"	1060.42516449047	4.91807487355158	0.235735215829806	20.862707577396	1.16864637989683e-96	4.29867093405383e-94
"YDR028C"	777.859999061112	-8.25757294405954	0.403970009587677	-20.4410544052214	7.21632067767552e-93	2.51469785299419e-90
"YBL043W"	494.664465511308	2.63811742701732	0.129095120709431	20.43545420245	8.09362163845291e-93	2.67939344340984e-90
"YER065C"	3201.53483918831	3.23099154204781	0.159731426239059	20.2276509896819	5.59033946410202e-91	1.76255417103902e-88
"YJL153C"	5194.59641465639	6.00652209755055	0.310672666441026	19.3339252093192	2.78408832548689e-83	8.37884036502215e-81
"YDR277C"	1671.44197612927	3.31888238430716	0.174197833516706	19.0523746323681	6.27883035296755e-81	1.80748416378253e-78
"YDR216W"	1730.86030817945	2.15272146153979	0.113758030154131	18.923687924475	7.27792686685546e-80	2.00779807439375e-77
"YKL120W"	1507.03966016071	2.01798949439479	0.107147324359904	18.8337833581027	3.99195611430045e-79	1.05722965731133e-76
"YKR075C"	2930.86246080421	2.80912588904999	0.155138574682738	18.1072044447663	2.79590842312811e-73	7.11988833443507e-71
"YDL067C"	1629.04380852331	1.65171268100915	0.0914260186488331	18.06611187296	5.89227794500185e-73	1.44491749162434e-70
"YDR322C-A"	1296.79241819674	1.68952314300201	0.0937301651613218	18.0253938536662	1.23132105217271e-72	2.91163453086982e-70
"YNL052W"	2038.33439117806	2.34833192953346	0.132701338057718	17.6963696365447	4.47223527784153e-70	1.0210575784341e-67
"YKR097W"	4035.53912749566	5.38852495697274	0.306280848277671	17.5934113650082	2.76706950634626e-69	6.1069224005062e-67
"YPR010C-A"	915.113398360645	2.74958636398518	0.158519855841014	17.3453751228669	2.13778081355724e-67	4.56588605372983e-65
"YNR044W"	1390.3228855019	-2.33039669788394	0.135836897688815	-17.1558445277703	5.68377662013353e-66	1.1760089063095e-63
"YLR038C"	1418.34274105226	2.39591216831293	0.140822078655988	17.0137537464268	6.49403512960517e-65	1.30293959373078e-62
"YMR256C"	775.633766648717	2.35962231822511	0.139586456893076	16.9043786248733	4.17704562915589e-64	8.13418209136504e-62
"YDL004W"	2889.10148402455	1.83106835082075	0.108356369462233	16.8985760588717	4.60902851992056e-64	8.71896509439829e-62
"YMR102C"	1089.44538664904	-1.9544832840202	0.117045412847007	-16.6985039095462	1.34392466609568e-62	2.4717014483943e-60
