""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YOR153W"	15910.2286100748	-2.42162388258672	0.108153187169602	-22.3906844168098	4.85083013233429e-111	3.08270254909844e-107
"YGL009C"	4256.57801091169	2.08053044415703	0.0968118560542409	21.4904509525297	1.91244917180138e-102	6.07680724339888e-99
"YDR028C"	765.255757092844	-8.21019537595425	0.403761684685498	-20.3342607467804	6.39966679634745e-92	1.35566274969293e-88
"YMR102C"	1140.34290323392	-1.56189754857012	0.0883824317452541	-17.6720363733824	6.88654864973791e-70	1.09410041672711e-66
"YBR105C"	1709.57806614647	-1.64148866363095	0.0958663265878475	-17.1226824063898	1.00534127486934e-65	1.27778876035894e-62
"YLR136C"	845.714275264917	-2.2679248810701	0.138614563568121	-16.3613751880808	3.60885475297961e-60	3.82237865919757e-57
"YKL120W"	1288.2403788936	1.76046964635172	0.108123350262058	16.2820486239547	1.3236261932325e-59	1.20166349399893e-56
"YHL047C"	1492.69792590094	-2.16266529001951	0.135061268806687	-16.0124757388067	1.04564958401812e-57	8.30637888304398e-55
"YOR221C"	364.391107076963	2.24792971866981	0.145795437875777	15.4183817506356	1.23151742130134e-53	8.69588134707783e-51
"YOR383C"	3688.9513033984	-3.46288138735738	0.240532801900476	-14.3967116334936	5.42646217795178e-47	3.44851671408836e-44
"YMR096W"	773.618198938022	-2.17636935487617	0.164955329571641	-13.1936892280341	9.5399817536332e-40	5.51150764039445e-37
"YKR075C"	473.313649674901	-1.66768876205451	0.126881890382645	-13.1436311125659	1.85125441989834e-39	9.80393486537829e-37
"YMR291W"	585.404353012209	-1.59733205596698	0.126247013400382	-12.6524344057247	1.08461178108759e-36	5.30208297600894e-34
"YOL143C"	4423.68487664727	1.09916747808189	0.0884605190145103	12.4255146852755	1.89999646094285e-35	8.62462679235128e-33
"YPL111W"	1335.19529220626	1.20296528480187	0.0971362602663518	12.3843071732769	3.17817641566499e-35	1.3464874081034e-32
"YOR382W"	2960.89266439272	-3.26569889963349	0.268834049240312	-12.1476386970397	5.90464024217535e-34	2.34524929618902e-31
"YLR303W"	1833.22023860398	-14.1395539081703	1.19319087735988	-11.8502028271087	2.14670590691343e-32	8.02489178731461e-30
"YOL109W"	9157.06198341873	0.906889193355702	0.0774568262072279	11.7083185274002	1.15548400465689e-31	4.07950047199697e-29
"YEL065W"	2100.85175964183	-1.52719012673829	0.133834374940668	-11.411045386623	3.68276420013552e-30	1.23178771009796e-27
"YBR115C"	742.985345403828	13.1269029193684	1.18328638619443	11.0935975200272	1.34757051201836e-28	4.28190530193834e-26
"YDR477W"	648.37927962613	-12.6404286988757	1.18555153001176	-10.6620660333088	1.53156747091974e-26	4.63481489414046e-24
"YBL005W"	1007.56104256312	-1.00709090899511	0.102516147772349	-9.8237295380187	8.89889829000217e-23	2.57056811968017e-20
"YLR350W"	1425.33196942345	0.899730878275788	0.0933342381424238	9.63988024311979	5.42512297638379e-22	1.49898506586604e-19
"YGR032W"	816.427554975148	-1.20602900592666	0.125991926134835	-9.57227215207417	1.04581569532511e-21	2.76923280991295e-19
"YJL116C"	639.162824273109	-2.21421831637262	0.233765108818575	-9.47197949070782	2.74589949598609e-21	6.98007651879665e-19
"YER175C"	760.974645924423	-1.43573908311838	0.158131993844466	-9.07937127846836	1.09203822663583e-19	2.58273935914894e-17
"YMR120C"	2786.50098205567	-2.05372282616908	0.226209647707287	-9.07884719765173	1.09730861836383e-19	2.58273935914894e-17
