""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDR028C"	846.58796311978	-9.5241103012814	0.559189979701593	-17.0319759777596	4.75704324981459e-65	3.2148098282247e-61
"YKR075C"	489.352399539898	-2.14124447742616	0.127625865320384	-16.7775119255875	3.56461234915774e-63	1.2044825127804e-59
"YLR303W"	2032.55379237675	-14.4406964743378	1.19468435205965	-12.0874576196146	1.23035350663031e-33	2.77157633260254e-30
"YDR477W"	718.853234518298	-12.9414806618898	1.18655529672488	-10.9067657424907	1.06995517977941e-27	1.80768927623731e-24
"YDR476C"	678.682131548441	-0.962471817538525	0.112154974163359	-8.5816239958884	9.35429792414001e-18	1.26432690742676e-14
"YER125W"	1820.87967304046	-0.899306773010106	0.112466519823349	-7.99621766924635	1.28299484206551e-15	1.44507985711312e-12
"YLR136C"	1170.39260511589	-0.976481146452102	0.128956954863957	-7.57214798908863	3.67102913330513e-14	3.54411641183943e-11
"YGL209W"	2062.6126935561	-1.00293051743733	0.134742055286196	-7.4433369396591	9.81732624042318e-14	8.29318634159748e-11
"YMR291W"	698.887794152168	-1.2057781955321	0.169406987624068	-7.117641441142	1.0978953190265e-12	8.2439739622012e-10
"YNL190W"	5091.29749666534	-0.626976579913261	0.0886699115799992	-7.0709056628256	1.53925759449003e-12	1.04023028235636e-09
"YBR068C"	3593.33387150225	-0.535274966713945	0.0781398503710353	-6.8502174520718	7.3737815428857e-12	4.53018324243832e-09
"YMR011W"	3488.46889662881	-2.41709668826099	0.353756540960674	-6.83265581944303	8.33567841260976e-12	4.69437622603473e-09
"YLR023C"	1253.0948619489	-0.606676441277775	0.0890369413987462	-6.81376102713158	9.50795985929872e-12	4.94267636378006e-09
"YDR277C"	222.632584251475	-1.54433835878487	0.228001991007563	-6.77335470607204	1.25829938796914e-11	6.07399090278244e-09
"YBL043W"	106.558647920771	-1.21267571533878	0.194097610584205	-6.24776220422706	4.16374933956086e-10	1.87590786911682e-07
"YHL047C"	2106.13297439911	-0.843939412681511	0.138789811189362	-6.08070149710094	1.19657875116855e-09	5.05404950024817e-07
"YJL116C"	814.680215586686	-1.32914896178687	0.221851018970515	-5.99117807957207	2.08326366165715e-09	8.28158577969353e-07
"YBR127C"	8168.07638974014	-0.5041627784732	0.0854660176135544	-5.89898526397752	3.65743896302454e-09	1.37316513956221e-06
"YHR092C"	251.20908274057	-1.46234582080034	0.250482963585018	-5.83810491488374	5.27979084350878e-09	1.87793823791749e-06
"YGR032W"	991.662017896507	-0.807576762209886	0.139926430938008	-5.77143829651219	7.8597740130897e-09	2.65581763902301e-06
"YOL109W"	8914.22193773287	0.608510255928264	0.106498694616215	5.71378135780092	1.10492946998206e-08	3.55576826578036e-06
"YKL184W"	1181.34011640954	-0.925880669995688	0.162920012564531	-5.68303829235807	1.32322626802653e-08	4.06471050878332e-06
