""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YML123C"	12049.5781333352	-5.64540438723873	0.184992429720268	-30.5169481571506	1.55294337171625e-204	1.0086367199297e-200
"YHR136C"	552.400628322089	-6.79427120179492	0.306457117088218	-22.1703815083502	6.63457229185965e-109	2.15457735178142e-105
"YOR153W"	14230.7538512934	3.41254117572643	0.15940394625698	21.4081348414358	1.12214631143991e-101	2.42944676426741e-98
"YPL019C"	3712.07126035226	-3.35627895148475	0.159771869050091	-21.0066951800664	5.69638595204168e-98	9.24950668962767e-95
"YJR048W"	1738.50579451125	-3.94630909049324	0.193745431269505	-20.3685272196371	3.18101309460682e-92	4.13213600989427e-89
"YDR281C"	273.552037670368	-3.91099176508621	0.213932696307917	-18.2814120168759	1.16373886902269e-74	1.25974732571706e-71
"YHR215W"	1166.64160055898	-4.59720322828031	0.273686312091136	-16.7973443507451	2.55217707857088e-63	2.36805573218826e-60
"YDR377W"	1807.01700320176	-2.05961424717777	0.123167666190285	-16.722036804658	9.05701742414841e-63	7.35316602123049e-60
"YHL047C"	1404.42038767245	2.42405253408954	0.149404073677061	16.2248088317134	3.36764439700551e-59	2.43031670650564e-56
"YBR039W"	5046.66948543925	-2.25629015732478	0.140148696823189	-16.0992589190558	2.58178294168029e-58	1.67686802062135e-55
"YER072W"	3479.63208425477	-1.96030131790425	0.122198167677802	-16.0419861865109	6.50405241203595e-58	3.84034731056123e-55
"YLL052C"	296.467615411922	-3.47699273711249	0.221447286351769	-15.7012207934185	1.48359337159312e-55	8.02994912374777e-53
"YLL053C"	322.673109708551	-3.51305556689257	0.22652946452622	-15.5081617053217	3.05500702507584e-54	1.52632850983597e-51
"YJL012C"	3812.8502916103	-2.08635259154272	0.135432552911666	-15.4051042137817	1.51245095663768e-53	7.01669211668694e-51
"YGR183C"	990.298467979693	-2.1804454391161	0.14513936670163	-15.0231152902751	5.18141976474243e-51	2.24355475813347e-48
"YMR256C"	795.859992507708	-2.48329860200448	0.167875423916013	-14.7925083021494	1.63736375680787e-49	6.64667350029196e-47
"YAR071W"	537.847735990409	-4.05403372714242	0.27972379674141	-14.4929883491112	1.34175966445648e-47	5.12631118861463e-45
"YOR383C"	3464.70454853521	4.17241984967384	0.289403244291132	14.4173223071283	4.02663857869185e-47	1.45294542047797e-44
"YLR136C"	827.75208532228	2.19598456913799	0.153896860726231	14.2691966475161	3.40478178085651e-46	1.16389777192963e-43
"YPL271W"	1906.25830842599	-1.96415133762175	0.137834102192248	-14.2501115934444	4.47565479221667e-46	1.45346889377236e-43
"YER175C"	639.247608361312	2.42695408116588	0.171815312507315	14.1253654621881	2.65021397029627e-45	8.19673320813061e-43
"YPR036W-A"	5716.27171691436	3.79979264158852	0.271385547862835	14.0014553888811	1.52711058749229e-44	4.50844693898291e-42
"YJR121W"	15780.2043149909	-2.04981729990639	0.151967886372018	-13.4884898964011	1.82806514965559e-41	5.16229702044046e-39
"YML081C-A"	1727.11500963002	-1.76100101498161	0.131122635408075	-13.4301831983554	4.02414753232855e-41	1.08903492593641e-38
"YGL187C"	1854.42520295996	-2.76077580567126	0.206476468416908	-13.3708980342342	8.94542729043838e-41	2.32402201005589e-38
"YFR033C"	1828.91274916902	-2.161330833139	0.163284876494565	-13.2365647054333	5.39611042869163e-40	1.34798989362893e-37
"YMR096W"	729.609808000345	2.42016346957792	0.184873226507823	13.09093542258	3.71010303920373e-39	8.92485897764007e-37
"YJR078W"	166.232107090458	-2.59913269526589	0.201813440059102	-12.8788880190771	5.91820859637487e-38	1.37281302976624e-35
"YKL016C"	2832.52411618837	-1.91443120165946	0.149690319177848	-12.7892786398893	1.88212752687236e-37	4.21531665070206e-35
"YBL030C"	10758.6117939064	-2.05032519255073	0.160568671257846	-12.7691484054088	2.4380727525581e-37	5.27842750928828e-35
"YJL166W"	1194.25029187906	-2.06889816389513	0.16433378359834	-12.5896095044698	2.40861949431739e-36	5.04644632761014e-34
"YBL045C"	5379.18481706424	-2.51410876738513	0.200787590382973	-12.5212358123818	5.71385043102444e-36	1.15973307967199e-33
"YLR038C"	1139.98696137302	-2.0956936833685	0.170507657478219	-12.290906545568	1.01362883059126e-34	1.99500583475461e-32
"YHR051W"	1496.78670248399	-2.41844718360298	0.197466465706715	-12.2473817260443	1.73507552682679e-34	3.31450457257059e-32
"YOR221C"	291.903975757346	-1.90518871062201	0.157410065115884	-12.1033474525242	1.01390708879558e-33	1.88152186906494e-31
"YPR191W"	3634.630753489	-2.39953607886831	0.201785190719993	-11.891537086079	1.30973742165134e-32	2.3629845982293e-30
"YLR303W"	1778.42249678552	14.0538493956113	1.19522662299189	11.7583135493014	6.39998612544417e-32	1.12345702391243e-29
"YBL005W"	868.995939634823	1.59196363361732	0.136896371952927	11.6289687659855	2.93623242221203e-31	5.01863936375452e-29
"YGR233C"	873.562354737032	-1.51124628529295	0.131353694825273	-11.5051676871611	1.24247625871594e-30	2.06920084624616e-28
"YOL077W-A"	999.533817884494	-1.83641661186813	0.161274067804381	-11.386930564036	4.85802672717229e-30	7.88822089824601e-28
"YBR115C"	895.632968700225	-13.4401808155725	1.18664991248558	-11.3261549797956	9.73866957302875e-30	1.54274777748346e-27
"YPR010C-A"	632.518569987086	-2.19958570538073	0.198269144412731	-11.0939385545636	1.34244117875283e-28	2.07598939428563e-26
"YBR296C"	190.983093777199	-2.78843878319204	0.253845856063006	-10.9847717289501	4.52380762297655e-28	6.83305360726342e-26
"YLR395C"	1592.54827749905	-1.89435216910503	0.172996676449242	-10.9502229059345	6.62842981450087e-28	9.78446628299618e-26
"YDL047W"	839.356687533745	12.97079147251	1.18730814753592	10.9245367341485	8.7988244110315e-28	1.26996365665888e-25
"YGL191W"	1623.25373526786	-1.99247300857355	0.182740993872217	-10.903262406282	1.11197394022809e-27	1.570058856909e-25
"YBL099W"	7684.50538380464	-1.83151725175993	0.168555238711645	-10.8659764345455	1.67422506799862e-27	2.31363655673427e-25
"YDR529C"	2441.6268908943	-2.2686626599328	0.210806109441372	-10.7618449291848	5.21161934061626e-27	7.05197242027138e-25
"YLR295C"	1220.89541017289	-1.54245387756891	0.143498461888135	-10.7489227220522	5.99577740366164e-27	7.94746412995558e-25
"YDR298C"	2891.38292926208	-1.74544522168197	0.16330762828425	-10.6880813837054	1.15740439336159e-26	1.5034683069767e-24
"YDR322C-A"	1001.83003223173	-1.27636748000677	0.121989154149165	-10.4629586860326	1.27801437460921e-25	1.62758889472291e-23
"YMR102C"	1195.87111646905	1.16138147317798	0.11138262159994	10.4269540121742	1.86780036454772e-25	2.33295449379566e-23
"YGR182C"	419.788445656291	-2.06350493004072	0.199371314149317	-10.3500593294744	4.18226555638894e-25	5.12524807334833e-23
"YKL109W"	1434.01885253603	-1.84574446622586	0.178453054657328	-10.3430253394661	4.50099403135794e-25	5.41369559882775e-23
"YNL040W"	468.596828376846	1.63684299573054	0.158321677846003	10.3387168327175	4.7079905302384e-25	5.55970881707244e-23
"YBL100C"	640.876643703844	-1.84665956507752	0.180231650761085	-10.2460336865329	1.23299773373919e-24	1.43005719297072e-22
"YNL052W"	1818.16358648503	-2.23042707181966	0.21827412074523	-10.2184677881397	1.63911166724974e-24	1.86772461031352e-22
"YGL188C"	150.386530083144	-2.65488916589466	0.267098732739373	-9.93972954744501	2.79585167815519e-23	3.13087183614103e-21
"YDL004W"	2570.03787235016	-1.69975710098062	0.171764713236609	-9.89584571214681	4.33927113024167e-23	4.7768755916813e-21
"YGL117W"	433.426372414945	2.08998308486888	0.211757665376006	9.86969270348637	5.63369345665415e-23	6.09847316682812e-21
"YBR047W"	130.032616138508	2.2480542323769	0.227967044303627	9.86131236312709	6.12436063918218e-23	6.52093809040791e-21
"YOL058W"	5083.45898418303	2.72892956778049	0.277072454668452	9.84915505601579	6.91226156091545e-23	7.2411514255074e-21
"YEL024W"	1643.37132761278	-2.73768762076641	0.2820846819897	-9.70519774932823	2.86520165893875e-22	2.91489089914292e-20
"YJR077C"	6246.51073181026	-1.75091834954096	0.180415034944928	-9.70494698557378	2.87225585134945e-22	2.91489089914292e-20
"YLR307W"	53.4266067170227	-3.63441013557392	0.377027429819368	-9.63964382462873	5.43763166003606e-22	5.43344886645141e-20
"YDR148C"	2372.54940811537	-1.51728037045918	0.159224115584765	-9.52921211015578	1.58481429215361e-21	1.55960133750571e-19
"YHR001W-A"	847.982265814426	-2.63843126460162	0.278690631573085	-9.46724060908988	2.87333654188618e-21	2.78542102082847e-19
"YBR093C"	4502.91867749131	-4.58014339736728	0.484876539379077	-9.44599918823154	3.52029402491406e-21	3.36239848409071e-19
"YGR234W"	9238.39661282651	-3.28893718333452	0.349449102361081	-9.41177745517888	4.87816669257771e-21	4.5918395171438e-19
"YOR381W"	273.344295166015	1.4462612613606	0.154695785561247	9.34906698403883	8.84242771969856e-21	8.2045097199203e-19
"YPR020W"	760.634018094997	-2.07228949473877	0.225929804528738	-9.17227144537797	4.63155013832468e-20	4.23688988005899e-18
"YKL085W"	4770.78707535332	-2.0850110599474	0.228104309849821	-9.14060353055202	6.21047553175064e-20	5.60236646926673e-18
"YPL078C"	3421.49296512061	-1.54851890374993	0.170044873277054	-9.1065309638999	8.50581987032538e-20	7.56784932298128e-18
"YOR065W"	2328.24865293387	-2.59883355482255	0.289749563211309	-8.96924062980302	2.98565650620861e-19	2.6205187848412e-17
"YBL015W"	1357.38491560705	-2.21535085087442	0.248923993953525	-8.89970796181278	5.59938208957095e-19	4.84906488956844e-17
"YJL191W"	2519.98373398522	-1.3678638955425	0.154090484911693	-8.87701726895338	6.86771422587877e-19	5.86918472330034e-17
"YCR005C"	2878.46804600562	3.83257967943962	0.433195162468424	8.84723563763014	8.97138332030226e-19	7.5674200864108e-17
"YGR161C"	698.998723770856	2.28149866327321	0.258701946698656	8.81902394778177	1.15461746669453e-18	9.61441082843712e-17
"YJL088W"	713.523073185498	3.78132337543957	0.428854820023668	8.81725749341207	1.17297282933103e-18	9.64361838798108e-17
"YLL041C"	2449.17586427962	-2.76168108918579	0.313274376959838	-8.81553453552902	1.1911537546156e-18	9.67067954528544e-17
"YEL065W"	2189.95722182209	1.16137081076915	0.135151237701029	8.59312005220589	8.46390240852241e-18	6.78679582016704e-16
"YJR120W"	112.167153647008	-2.06794167798597	0.242486664644946	-8.52806351645726	1.48817829087672e-17	1.17874609746881e-15
"YKL218C"	284.715627433247	1.18554445291793	0.139701248490751	8.48628387881887	2.13349889679765e-17	1.66952714875912e-15
"YDL067C"	1416.49868592686	-1.4724294935268	0.174516094337656	-8.43721319294439	3.24993350748399e-17	2.51289501560816e-15
