""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YKL209C"	1407.60123006383	-4.6083929954991	0.145875541803901	-31.5912656673736	4.8667706296144e-219	3.28799023736749e-215
"YNL145W"	2336.29266157848	-8.3030036919915	0.308817672441965	-26.88642662946	3.16536953662691e-159	1.06926182947257e-155
"YPL187W"	8392.78356068338	12.2017193799401	0.471506541237663	25.8781550472485	1.17336547655114e-147	2.64241905319317e-144
"YOR153W"	14238.9758181112	-3.73004737527256	0.165604407169128	-22.5238412372876	2.42417474156532e-112	4.09443113850383e-109
"YIL015W"	1536.68875323089	-4.99213453784811	0.22217260078385	-22.4696228078318	8.22871000821814e-112	1.11186329631043e-108
"YFL026W"	4089.18197226023	-5.87928912913657	0.28638800413082	-20.5291040278731	1.18336696280905e-93	1.33247120012299e-90
"YBR039W"	4251.24015874557	1.91922693991839	0.0973168987394958	19.7214149318085	1.41222049216413e-86	1.36299452072298e-83
"YKL178C"	1106.4089575215	4.45805110205197	0.238595812021666	18.68453207237	6.61563849474662e-78	5.58690670881352e-75
"YJR121W"	13142.9454744144	1.6810928008713	0.0926542960820251	18.1437113221719	1.43972361139964e-73	1.08075252429066e-70
"YLR040C"	1315.14863218998	2.83945069143372	0.183915157665668	15.4389161147633	8.95932341610588e-54	6.05291889992113e-51
"YDR377W"	1537.96324642147	1.7320763875641	0.11280471250272	15.3546456449888	3.29706148141997e-53	2.02499521531575e-50
"YER175C"	646.071828687564	-2.49188599284797	0.176055276536771	-14.1539977776668	1.76435178237872e-45	9.93330053479222e-43
"YMR102C"	1143.24590428435	-1.47709431400585	0.105447312136663	-14.0078896661822	1.39488591482583e-44	7.24911480043332e-42
"YMR256C"	578.02941651887	1.88954523950196	0.135819447325129	13.9121847181332	5.34223609750077e-44	2.5780105053368e-41
"YKL016C"	2310.79405393935	1.49733399943297	0.108576662173946	13.7905694414712	2.90458090179583e-43	1.30822323816884e-40
"YHL047C"	1455.92661777757	-2.26267543096674	0.16476052231787	-13.7331163990934	6.43068267471242e-43	2.71535575939732e-40
"YDR298C"	2396.20651693516	1.34752285906952	0.0994241077034437	13.5532808912787	7.57664664073372e-42	3.01104851204689e-39
"YDR461W"	1474.68145302836	-6.5570762130862	0.487268255966772	-13.4568097404099	2.80779640959783e-41	1.05385958573572e-38
"YJR048W"	538.971688553008	2.00059372135498	0.149381505927595	13.3925127406646	6.68792167207168e-41	2.3780841482377e-38
"YBL005W"	911.935183325361	-1.42234404322771	0.113274865820264	-12.5565723069103	3.65841071401901e-36	1.23581113919562e-33
"YML081C-A"	1430.19107791164	1.36254601988161	0.11197292535444	12.1685310584554	4.57236934964773e-34	1.47099653934381e-31
"YHR051W"	1054.97251468345	1.76359325677871	0.146748604395117	12.0177855458869	2.86548140123128e-33	8.79963288487206e-31
"YKL177W"	94.3559648666022	5.10384464751317	0.426615165530788	11.9635799659467	5.51327115342807e-33	1.61946347445913e-30
"YLR303W"	1809.74504520799	-14.1121522475077	1.1963406886102	-11.7960982033487	4.08832176938421e-32	1.12029153232222e-29
"YPL271W"	1673.58550248063	1.69039275090337	0.143315222407679	11.7949281486291	4.14554297040489e-32	1.12029153232222e-29
"YGR183C"	729.679518293695	1.58723693974913	0.135086222330838	11.7498062523493	7.07809467875853e-32	1.83921567883433e-29
"YLR121C"	1170.50855009927	1.25110853675198	0.108601357553013	11.5201924261514	1.04377639617524e-30	2.61176049354071e-28
"YGL187C"	1234.52315943732	2.03101556422311	0.182155907291136	11.1498748211167	7.17071746274189e-29	1.73019168493872e-26
"YLL052C"	158.76229487193	2.4291106862381	0.217946352009163	11.1454523732334	7.53603550471207e-29	1.75563640930465e-26
"YBL045C"	3961.67499473363	1.94735014683004	0.175122314484207	11.1199429528192	1.00336128636027e-28	2.25956961688332e-26
"YDL047W"	854.19140016123	-13.0291635465846	1.18808095621556	-10.9665620666852	5.53366225528314e-28	1.20598136118364e-25
"YBL100C"	537.132598192299	1.47712478981778	0.135321154654717	10.9156975018931	9.69819688407138e-28	2.04753181714957e-25
"YPR157W"	342.175858802824	2.20566641502079	0.203921947462147	10.8162286721502	2.88401916386273e-27	5.90437377910806e-25
"YOL077W-A"	884.253930968677	1.57199869962585	0.145385915626795	10.812592766284	3.00067041348774e-27	5.96250862162446e-25
"YLL053C"	192.285527424293	2.65064838138375	0.246343451814419	10.7599709343222	5.31869392485917e-27	1.02665989018139e-24
"YMR096W"	757.085554281134	-2.2532727191113	0.211468999015684	-10.655333545813	1.64653362966633e-26	3.08999477834047e-24
"YDL004W"	2081.45787816992	1.25149665252633	0.117535939152285	10.6477785565216	1.78575615014306e-26	3.26069420280175e-24
"YML123C"	1231.42852205345	2.04571223133879	0.192843082808059	10.6081701326821	2.73044014071984e-26	4.85443515544821e-24
"YGL089C"	1077.78110121568	4.6766887971138	0.446787976325392	10.4673559829815	1.22003111122724e-25	2.11346927883365e-23
"YFR033C"	1335.42598107686	1.54892996982826	0.149281611453891	10.3758926149232	3.192150852196e-25	5.39154278935904e-23
"YGR182C"	318.230711357203	1.51542572266819	0.147728245698636	10.2581988671255	1.08715534833227e-24	1.79141988617874e-22
"YJR078W"	136.26047760842	2.22843720045168	0.219829553320254	10.1371138083751	3.7810591556747e-24	6.08210372755673e-22
"YJL166W"	869.103820212703	1.44077619861663	0.142877222698748	10.0840159922094	6.50132990275932e-24	1.02146476332656e-21
"YBL099W"	6226.92966449608	1.39481372585881	0.138430339966957	10.0759250189788	7.0593369597107e-24	1.08392910226831e-21
"YGR138C"	1359.34877754113	2.04985615052355	0.205613146693523	9.96947998456037	2.07311395330631e-23	3.11243508189721e-21
"YLR136C"	791.502123284983	-2.79500871498669	0.291239259390278	-9.59695035909017	8.23447554501514e-22	1.20939384308962e-19
"YOR383C"	3637.824280107	-3.49762303439486	0.364816331155328	-9.58735323969278	9.03735521561882e-22	1.29907174120682e-19
"YPR020W"	604.025349900667	1.61319896156153	0.168925009090103	9.54979354596961	1.29955003333224e-21	1.82911667191513e-19
"YLR346C"	138.219549570307	-3.53450881909523	0.37046195610571	-9.54081454476442	1.4171480636646e-21	1.95392904451389e-19
"YDR011W"	2782.43382161394	-1.60437147661573	0.168258867781132	-9.53513771828459	1.49686757975243e-21	2.02256747376148e-19
"YPL078C"	2957.97977472987	1.22283229250831	0.128820798257102	9.49250671516385	2.25544082508101e-21	2.98779572828378e-19
"YGL191W"	1193.97125820454	1.37768742568701	0.146450245005055	9.40720464919302	5.0950670262344e-21	6.61966785177685e-19
"YMR251W"	121.21704679055	-2.28088869048763	0.243301664824425	-9.37473523715343	6.9349601644935e-21	8.84011148515436e-19
"YPR191W"	2590.84813730211	1.76338977092992	0.18860160200431	9.34981332178512	8.78025570455994e-21	1.09850754703717e-18
"YDR529C"	1821.68074670932	1.7071351819397	0.185583013383088	9.19876852315015	3.62075354064571e-20	4.44760198556407e-18
"YJR004C"	3153.93639665688	3.59960989728213	0.392397856562084	9.17336788946658	4.58466613001444e-20	5.53107220971027e-18
"YLR307W"	51.8317136819501	3.55798892640066	0.390828847963792	9.10370087811502	8.73049980940766e-20	1.03479397740979e-17
"YLR038C"	803.342523643952	1.40693911739031	0.155695978633097	9.03645122849195	1.61840526765779e-19	1.88516310143035e-17
"YJR077C"	5201.3970317303	1.36303178233826	0.151777165004027	8.98047991805685	2.69588256044388e-19	3.08701399633201e-17
"YCR097W"	140.676380778245	-10.4278908845526	1.19294834517642	-8.74127612206922	2.30491907403132e-18	2.59533887735926e-16
"YLR027C"	4928.8915434049	-1.19536187215092	0.136882671343957	-8.73274798346989	2.48558505535318e-18	2.75288731704362e-16
"YJL170C"	138.054494128701	-3.12675619745097	0.360726963175014	-8.66793036464524	4.40045702560434e-18	4.79507865564241e-16
"YJL191W"	2582.77112132532	1.38164983745143	0.161043374713054	8.57936465820614	9.53985936208376e-18	1.02303634682917e-15
"YGL117W"	441.304360738451	-2.08684181741151	0.249246626943715	-8.37259802870978	5.63616034231616e-17	5.9496717613575e-15
"YLR395C"	1197.82054451482	1.31361396334705	0.158454300498269	8.2901755220042	1.13081472030505e-16	1.17535142313553e-14
"YLR295C"	987.918142426639	1.07769841311761	0.13047417951586	8.25985966814693	1.45843829013518e-16	1.49291046790201e-14
"YBL030C"	7450.39911521737	1.3209178620388	0.163451755624545	8.08139292840022	6.40311331055632e-16	6.45663186956992e-14
"YGR161C"	735.194184647638	-2.02635759514078	0.253331166153272	-7.99884840823251	1.25588218592651e-15	1.24775588942934e-13
"YOL136C"	2031.45183217408	1.06904401045572	0.134199383692796	7.9660873324347	1.63777218862132e-15	1.60359259511965e-13
"YBL015W"	1099.03960949461	1.80283777406532	0.227411555951175	7.92764363501557	2.23343124262137e-15	2.15558021073571e-13
"YOR107W"	1039.63547825303	1.98238365189591	0.258514537711958	7.66836429951465	1.74203528351279e-14	1.65763244724118e-12
"YKL085W"	3551.99113651051	1.50315250393334	0.199931998722278	7.51831879608901	5.54850771525676e-14	5.20634973948259e-12
"YJR109C"	2706.89678047711	-1.88515834030536	0.260407067887276	-7.23927486146957	4.51090014071257e-13	4.17474539050056e-11
"YOR381W"	275.989240131564	-1.4911245393208	0.206530784714326	-7.21986575213632	5.20389218040917e-13	4.75101291497897e-11
"YDR277C"	196.6391714697	-1.59109875085214	0.221102155331156	-7.19621547093954	6.190677370428e-13	5.57656217528154e-11
"YDL067C"	1141.81829876209	0.992727958895691	0.140175571253109	7.08203255404012	1.42055273900872e-12	1.26279661904512e-10
"YFL027C"	387.16621864185	-1.16209502565974	0.16484433198663	-7.04965109600488	1.79366970227247e-12	1.57377045565621e-10
"RDN5-1"	162.156423907463	3.49834546881289	0.497078295602896	7.03781577220107	1.95276632960145e-12	1.69139606702402e-10
"YNL052W"	1082.19659679339	1.21993499200247	0.174055123370193	7.00890021724801	2.4019867488239e-12	2.05415474367776e-10
"YHR001W-A"	577.207965573499	1.93757213124455	0.278449356761657	6.95843636982449	3.44070078292687e-12	2.90567181118174e-10
