""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YGL037C"	2530.00240820085	3.30354662520999	0.301359293838837	10.9621527948519	5.81005710196191e-28	3.37854820479085e-24
"YCL040W"	3855.19618464182	3.48335633288316	0.325652018203245	10.6965599418123	1.05627100698737e-26	3.07110795281576e-23
"YPL061W"	17200.2311258709	2.10635386469846	0.221248944383821	9.52028887895787	1.72698313375165e-21	3.34746897425527e-18
"YOL052C-A"	542.947216332079	4.39786809947654	0.464412594707915	9.46974339109497	2.80531997709583e-21	4.07823391670306e-18
"YML100W"	2673.47437754765	4.4503207633334	0.475842680403164	9.35250440242732	8.559649663571e-21	9.95487255873307e-18
"YPR149W"	6166.63337973732	1.87949159134814	0.203954067622303	9.21526897334903	3.10498857316547e-20	3.00925142549287e-17
"YDR171W"	666.599292358456	4.10366617109865	0.458435673008135	8.95145472465409	3.50827999776213e-19	2.91437831242668e-16
"YPR160W"	849.205085557421	3.41225327301689	0.383511847700853	8.89738685642514	5.71769270513349e-19	4.1560478850439e-16
"YGR248W"	263.318054251923	4.9829386270575	0.572411490645547	8.70516876144102	3.17102560734118e-18	2.04883487852099e-15
"YFR053C"	5793.5194458847	2.55975943297831	0.305196457342979	8.38725146177454	4.97639795624325e-17	2.89377541155545e-14
"YLL026W"	3144.3035171356	2.66494163859696	0.319253599533835	8.34741297353649	6.97744072742926e-17	3.68852889363647e-14
"YMR105C"	1342.74077117814	2.89793693129977	0.348485542993516	8.31580244737354	9.11335178750117e-17	4.41617838702661e-14
"YDR258C"	956.218614347029	2.72634717560608	0.332175190263463	8.20755810644283	2.25732227429694e-16	1.00971761731051e-13
"YML128C"	1617.64930967827	3.0816480889612	0.381220246472041	8.08364224481767	6.28605586726192e-16	2.61095820486629e-13
"YNL036W"	3913.0582921048	2.24690910011407	0.279929138910052	8.02670671893165	1.00124056266182e-15	3.88147591458565e-13
"YKL103C"	1268.42095925533	2.08946561628234	0.262652754301517	7.95523969218955	1.78785040788256e-15	6.49771882614819e-13
"YFR015C"	309.5858682861	3.46248905321841	0.470209122866735	7.36372155458951	1.78852563915025e-13	6.11780975979923e-11
"YEL007W"	1235.72637984232	1.41691259291324	0.19657330619481	7.20806207282811	5.67537599271371e-13	1.83346174431279e-10
"YLR327C"	532.742089818222	2.70022370107237	0.379751361069698	7.11050434017215	1.15619666469418e-12	3.53857031852455e-10
"YPL240C"	2523.92462170664	3.07655264955592	0.441812444468786	6.96348119676669	3.31965487907948e-12	9.65189656092358e-10
"YBR054W"	1280.73221283515	3.2366405487473	0.473141909942494	6.84073949217623	7.87854138110825e-12	2.18160562529259e-09
"YMR250W"	1031.4254012651	2.79970550226814	0.410630786039137	6.81806040232283	9.22778468064296e-12	2.43907126899722e-09
"YLR258W"	1253.06416446835	2.45417174886453	0.360981248400222	6.79861283582126	1.05631264490838e-11	2.67063392614879e-09
"YBR214W"	877.667472279776	2.09299771990794	0.310066306940566	6.75016173333894	1.47680441221205e-11	3.57817402375546e-09
"YBR085C-A"	1230.99741582391	1.57276960245668	0.235907719458038	6.66688485679857	2.61289922303377e-11	6.07760359277656e-09
"YIL101C"	414.767702461833	1.91921001041292	0.289946528901519	6.61918601917383	3.61182118103793e-11	8.0779769875906e-09
"YDL124W"	3682.84952752878	1.59676758991894	0.242303561643694	6.58994683811944	4.39984091985518e-11	9.47595368479922e-09
"YER150W"	682.580704692141	2.41521957680119	0.367436299108735	6.57316542393776	4.92566808865281e-11	1.02295571198272e-08
"YBR139W"	811.005544837555	1.6872999453111	0.260617002911198	6.47425120565148	9.52832679318747e-11	1.91059380353052e-08
"YOL151W"	1738.18471520335	1.22910761165185	0.190576479228023	6.44941923909317	1.12279572230709e-10	2.17635237507191e-08
"YBR072W"	1052.64416250441	2.6036089884956	0.415183489612198	6.27098392310228	3.58773665670251e-10	6.72989956733067e-08
"YNL200C"	516.671582811311	1.73904463569021	0.277684558521445	6.26266237110878	3.78459464593978e-10	6.8773180831687e-08
"YDR516C"	1435.16994031538	1.80083974186648	0.291283574998697	6.18242804069722	6.31230876591836e-10	1.11230531738834e-07
"YPL004C"	4665.09064625249	1.53030504753056	0.248957371742276	6.14685573205181	7.90339518220681e-10	1.35171302895684e-07
"YGR008C"	1162.4362546798	2.55119816348986	0.41825590018608	6.09961069850981	1.0632710368635e-09	1.7665488798175e-07
"YHL028W"	438.355709338446	1.52763895743592	0.254809931749978	5.99520963309569	2.03223111375063e-09	3.28261775734997e-07
"YDL130W-A"	662.722336436194	1.82330368502727	0.308337819746502	5.91333131474526	3.35256853855105e-09	5.26896920315523e-07
"YKR077W"	435.205319095512	1.41396821476695	0.241257116274628	5.8608352640566	4.60544690513884e-09	6.8668394239442e-07
"YLL039C"	3589.45299981653	1.33863127443781	0.228325517380634	5.86281940711086	4.5507308482591e-09	6.8668394239442e-07
"YDR358W"	376.368101279597	1.48961126957657	0.255420477772779	5.83199625404244	5.47681488903324e-09	7.64926291429117e-07
"YKL035W"	3396.70876840702	1.47035682754992	0.252003690009022	5.83466387931573	5.38991097170737e-09	7.64926291429117e-07
"YNL274C"	480.963480080666	2.36858730536107	0.40623807600981	5.83053988593593	5.52483305933326e-09	7.64926291429117e-07
"YEL039C"	102.944967222544	5.33139140005501	0.916979566740242	5.8140787356991	6.09687145569812e-09	8.24495523601967e-07
"YBR126C"	3354.08636279946	1.97573121647915	0.344114841375598	5.74148795379232	9.38482359222806e-09	1.23657082098061e-06
"YOR173W"	359.580318825982	2.22863953666873	0.388387153842113	5.73819065492241	9.56933567396859e-09	1.23657082098061e-06
"YNL112W"	12160.8655817958	-1.55521651671332	0.273691908491802	-5.68236205916152	1.32847051702154e-08	1.67936001227831e-06
"YDL204W"	460.934500299779	2.27018393529624	0.403473003714543	5.62660677268606	1.83789042379904e-08	2.27390059880669e-06
"YJL164C"	296.472343710911	2.10366863390345	0.374691730625443	5.61439834925623	1.97247340825875e-08	2.38956934771346e-06
"YOR161C"	816.549013213	1.84557129268805	0.328943537862225	5.61060206466514	2.01623914604592e-08	2.39274094576674e-06
"YBR230C"	650.19053022801	1.95224694870301	0.351079646264582	5.5606953278965	2.68701927517704e-08	3.12500341703089e-06
"YNL180C"	1518.00726647079	1.25937491536657	0.226669752005529	5.55599017612131	2.76042397206584e-08	3.14742458775742e-06
"YFR032C"	100.218304964341	2.35519252905183	0.428026144008918	5.50245017043341	3.74549105784476e-08	4.18846740410909e-06
"YLR108C"	809.930941605701	1.69822975675609	0.310266442406867	5.47345611591833	4.41342213687687e-08	4.84227353319604e-06
"YNR001C"	2821.09227965315	1.57298721446249	0.28908325120064	5.44129487934515	5.28946737462135e-08	5.69597273767095e-06
"YFR052C-A"	168.508237764689	2.08782695315045	0.385628823932653	5.41408427891551	6.16031476073673e-08	6.51313278794256e-06
"YLR432W"	6190.80137686239	-1.14922015745434	0.212666539183796	-5.40385977909357	6.52219381402616e-08	6.77259946938609e-06
"YGR052W"	383.433491074332	3.07587122763703	0.573220556609346	5.36594717717576	8.05255076946445e-08	8.21501451305891e-06
"YER037W"	425.002193835516	1.74439468444052	0.326522014116299	5.34234939460838	9.17495920191755e-08	9.19868754468113e-06
"YBR056W"	770.751087159971	1.5234906974014	0.286462141498631	5.31829682425482	1.04743095767742e-07	1.03234085066003e-05
"YDL023C"	266.718283241779	3.1072244688757	0.584891180415824	5.31248302746955	1.08141501447562e-07	1.03298585172743e-05
"YJL052W"	4642.81397569819	2.03743732395567	0.38373774668806	5.30945246210532	1.09955057548656e-07	1.03298585172743e-05
"YKL216W"	9347.86493746088	-1.05596209838544	0.198894764425842	-5.30914979805393	1.10137786426656e-07	1.03298585172743e-05
"YPL123C"	243.109082499552	1.80840979929618	0.344698454432624	5.2463530835171	1.55139453247349e-07	1.43196177878307e-05
"YKL142W"	1306.79883312399	1.2331651850452	0.235473682042464	5.23695546079253	1.6324706730155e-07	1.48325265056017e-05
"YLR178C"	900.970831624711	2.2457217801723	0.437554159826912	5.13244298959623	2.86005373398819e-07	2.55864807125251e-05
"YER079W"	399.023641278108	1.3454768348289	0.264187713940353	5.0928819314159	3.52661332335487e-07	3.10716007201645e-05
"YBL064C"	869.125494760829	1.83242302413233	0.360253974453881	5.08647552580136	3.6477876802042e-07	3.11939490593933e-05
"YPL222W"	323.470205627372	1.36889443649353	0.268991067031309	5.08899589715445	3.59964400358535e-07	3.11939490593933e-05
"YOR027W"	3430.39268221731	1.17754451179358	0.234520526241566	5.02107227313935	5.13838193557385e-07	4.33038999353072e-05
"YDR342C"	118.17726717338	2.41080596764209	0.481482130018028	5.00705180387862	5.52700555048433e-07	4.52669539099527e-05
"YPL203W"	589.620837429577	1.22617571737744	0.244887900750307	5.00708983016551	5.52591416539002e-07	4.52669539099527e-05
"YDR077W"	39831.8122582365	1.3804022997411	0.276485619599121	4.99267304296894	5.95493189087529e-07	4.80943457575553e-05
"YHR104W"	1753.58505525443	1.45607142593223	0.292033589665681	4.98597242734693	6.16509369393556e-07	4.91096162058017e-05
"YKL014C"	1186.84681315054	-1.23703896010276	0.249271619894235	-4.96261451916442	6.95505330268828e-07	5.46535607501789e-05
"YGR159C"	10488.6223733145	-1.12818634722841	0.228897404311929	-4.92878611105167	8.27420969740886e-07	6.37965108221185e-05
"YIL136W"	809.457497398199	1.90542437998413	0.386708726426201	4.92728570568671	8.33797905843681e-07	6.37965108221185e-05
"YDR528W"	674.081940480098	1.12467237315726	0.22896569883172	4.91196881845539	9.01663946191663e-07	6.80931928195392e-05
"YER119C"	720.333170309021	1.08467334082207	0.222840527187071	4.86748687285015	1.13026336827361e-06	8.42625831603977e-05
"YMR251W-A"	4139.36241060739	1.42135936364538	0.292272460621431	4.86313134197893	1.15543121540448e-06	8.50485128807218e-05
"YOR004W"	1152.40688039685	-1.02837737671878	0.21227422618496	-4.84457013553182	1.26886091460813e-06	9.22303277305782e-05
"YHR016C"	715.615160857094	1.34022075136431	0.277212196040809	4.83463848454565	1.33387819861148e-06	9.57592805546387e-05
"YMR196W"	1037.10449053975	1.64410373404388	0.340343381481388	4.83072045323083	1.3603989471793e-06	9.64721936322882e-05
"YKR039W"	486.305038693343	1.08768287018198	0.225809177947419	4.8168231250337	1.45861875165588e-06	0.000102191181215409
"YDR513W"	1178.5778882277	1.19226766497875	0.247790198130212	4.81160140302331	1.49725735150886e-06	0.000103649422607429
"YHL021C"	588.063636602957	2.01505684447955	0.422577042130871	4.76849578556966	1.85606555174345e-06	0.000126976719804567
"YAL061W"	804.320822919136	1.88042336956208	0.395721970548063	4.75188013179494	2.01533842145768e-06	0.000134703366905476
"YDR399W"	3463.32973459747	-1.35658748463998	0.28534908467478	-4.75413294626866	1.99299865135447e-06	0.000134703366905476
"YDR165W"	1182.14232083298	-1.11688329759892	0.236539331981207	-4.72176567103714	2.33805967842063e-06	0.000154497920795636
"YLR270W"	724.086916237811	1.61166782892698	0.341520230010915	4.71909915519639	2.36891339201101e-06	0.000154777880612854
"YGR103W"	5037.88047472478	-1.22471785788299	0.261192108260156	-4.68895429513945	2.7460470741758e-06	0.000176136532482775
"YLR106C"	2387.59893470424	-1.30062457408984	0.277426056540384	-4.68818462947985	2.75639285570636e-06	0.000176136532482775
"YBL004W"	1779.47447966033	-1.16670531924329	0.251085845388301	-4.64663915020374	3.3738658029269e-06	0.000213250322217608
"YLR345W"	508.096889674456	1.32713840427807	0.286029360903731	4.6398677397484	3.48632231769774e-06	0.000217988863197982
