""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YGL089C"	2501.31409287146	5.82125917725011	0.169524255384834	34.3387980913727	2.06992697612436e-258	1.34835043224741e-254
"YJR004C"	5042.75962745488	4.21186931039707	0.130029581225958	32.3916240495916	3.60122853692663e-230	1.172920134477e-226
"YNL145W"	2511.38672194069	-8.40321787292385	0.265277331939841	-31.6771049055542	3.21186969812147e-220	6.97403973785441e-217
"YIL015W"	1654.28140824176	-4.92757246291322	0.156556539320919	-31.4747150408862	1.92733641249389e-217	3.1386673477463e-214
"YDR461W"	1578.40595711967	-7.45037733086426	0.251761771700872	-29.5929651294175	1.84057608632253e-192	2.397902525261e-189
"YPL187W"	10535.2484261318	12.4290660702594	0.433887387754978	28.6458339675877	1.80651678260362e-180	1.96127505364667e-177
"YKL178C"	1463.03457085387	4.77112778549133	0.171112744653613	27.8829481412949	4.29548112201707e-171	3.99725200411702e-168
"YKL209C"	1519.36582100985	-4.47729758579122	0.167526292349411	-26.7259396898303	2.35163851294481e-157	1.91482165916531e-154
"YFL026W"	4381.59320008692	-6.2614885603981	0.244801940879427	-25.5777733538562	2.6965432833855e-144	1.95169810533035e-141
"YLR040C"	1907.43431187547	3.32065826465862	0.13889176665035	23.9082441295325	2.51405369329551e-126	1.6376545758127e-123
"YGL032C"	655.597484203304	-6.8816414335403	0.309381360628391	-22.2432321700404	1.31159800438146e-109	7.76704490958258e-107
"YOR153W"	16111.3205657348	-2.92480624138477	0.156294932503647	-18.7133785755756	3.85165474852867e-78	2.09080658599298e-75
"YJL191W"	3252.37328927779	1.68891256125825	0.109401204738709	15.4377875937656	9.11744593987715e-54	4.56854175787383e-51
"YER175C"	689.129383803106	-2.57249291801655	0.167934428955134	-15.3184366899763	5.75859222788892e-53	2.67939069803346e-50
"YBL005W"	970.398206966175	-1.48007950985535	0.0996448543686952	-14.8535468211828	6.59832454507185e-50	2.8654324057732e-47
"YHL047C"	1536.8974909926	-2.42454493966286	0.164429658359289	-14.7451801813337	3.30436720859958e-49	1.34529049980111e-46
"YDR011W"	2984.33121812296	-1.61963991448097	0.10996507403612	-14.7286757061517	4.21892395178496e-49	1.61659238952513e-46
"YOR383C"	3808.96594913286	-4.04609394459492	0.306652814650276	-13.1943805870796	9.45286569334474e-40	3.42088706258042e-37
"YJR048W"	520.718826573775	1.80521555230517	0.140859045893381	12.8157587668993	1.33822836933719e-37	4.58801031466446e-35
"YJL088W"	783.326086537986	-3.71442780366988	0.303507533766383	-12.2383380655353	1.93963606064042e-34	6.31739464950584e-32
"YKL177W"	107.768235532167	5.19323104753888	0.430805785725305	12.0546919740076	1.8321615522248e-33	5.68319064342494e-31
"YBR039W"	2991.15296228101	1.09040705076287	0.0907064575005775	12.0212725842141	2.74707737952453e-33	8.1338463864649e-31
"YLR303W"	1946.55441395849	-14.3212629901959	1.19600016317987	-11.9742985252771	4.84518240812798e-33	1.37223992202373e-30
"YMR096W"	808.683346067549	-2.30515387717477	0.192798344621799	-11.9562949655852	6.01879549250217e-33	1.6336014099233e-30
"YDR377W"	1160.27897475975	1.02339968569795	0.0881355857451802	11.6116512648685	3.59603188582037e-31	9.36982068169356e-29
"YDL047W"	918.670026751693	-13.2381714014202	1.18668183410225	-11.1556198308497	6.72227016619995e-29	1.68418722548563e-26
"YJL170C"	149.157972237477	-3.06568699015844	0.278394448712944	-11.0120262969737	3.34397006669671e-28	8.06763741276384e-26
"YDR477W"	688.413665132238	-12.8219822841315	1.18691404123733	-10.802789282672	3.33903196846529e-27	7.76801937235103e-25
"YML081C-A"	1283.09223126452	0.984865671466272	0.0963215461700474	10.2247701643781	1.53591860446406e-24	3.44999096188928e-22
"YMR291W"	657.299979623992	-1.29788937114891	0.129818578924566	-9.99771667430656	1.55951335782681e-23	3.38622333762794e-21
"YLR307W"	59.1696179005736	3.65474610506371	0.365884998556764	9.98878368744244	1.70662925728901e-23	3.5861235425744e-21
"YKR075C"	500.736706986834	-1.68937195561627	0.170761636421422	-9.89315862168874	4.45737533991433e-23	9.07354467631311e-21
"YMR102C"	1293.67526639875	-1.21578939269944	0.125258791153795	-9.70622007046731	2.83661992905117e-22	5.59931582358768e-20
"YGL117W"	476.248529092687	-2.06090374667007	0.216554249521828	-9.51680122288405	1.78591729841776e-21	3.42160743585096e-19
"YOL058W"	5690.87607204971	-2.49808325617908	0.268942813408934	-9.28852950006397	1.5643456270747e-20	2.91147068993274e-18
"YLR041W"	200.463197541304	2.78969343361437	0.310739660339824	8.97759053531684	2.76760898369947e-19	5.00783469994954e-17
"YLR346C"	146.706719835983	-3.76466787471483	0.421071966512271	-8.94067564245011	3.86798141154017e-19	6.8097380850737e-17
"YCR097W"	151.29762830134	-10.6370566933535	1.19099507914702	-8.93123479651288	4.21279914693353e-19	7.22162464292764e-17
"YDR019C"	1332.77148959123	-2.4169420969088	0.271067671769329	-8.91637900282536	4.81782642054643e-19	8.04700546242038e-17
"YGR035C"	636.433627654408	-1.64363048546273	0.186287763565959	-8.82307272361862	1.11360974073818e-18	1.81351346279213e-16
"YLL027W"	913.579546095819	-1.02604160969779	0.117008513136038	-8.76894836279885	1.80342718852934e-18	2.86460349652803e-16
"YMR256C"	460.452711591452	1.3133478039916	0.149818490746145	8.76625974170948	1.84699642085013e-18	2.86460349652803e-16
"YNL217W"	1057.85550438311	1.03649728344948	0.1184603435918	8.74974064756328	2.13843641399648e-18	3.23948251180769e-16
"YFR033C"	1130.39774278387	1.06452124132857	0.122497388865171	8.69015455096967	3.6194676074684e-18	5.35845727160208e-16
"YMR189W"	1716.81586257444	-3.00402506620134	0.346708568552997	-8.66440964738416	4.53858657973436e-18	6.56985621786436e-16
"YKL218C"	304.646310773622	-1.29217609879952	0.152909921160899	-8.45057069540846	2.89882320681928e-17	4.1049857324393e-15
"YLL052C"	198.306684835661	2.68317384399484	0.317915158848947	8.43990533106261	3.17594787354335e-17	4.40172860601306e-15
"YNL040W"	599.912537991698	-0.874618766047923	0.104665335640819	-8.35633651478804	6.46959874895789e-17	8.77978463556494e-15
"YPL095C"	2508.03532806247	2.99347192873586	0.359291154855314	8.33160485106105	7.97537588068031e-17	1.06023670381126e-14
"YMR122W-A"	10835.7104093741	1.56022217608408	0.187429865101699	8.32429866626378	8.48294770733699e-17	1.10515842731186e-14
"YGR161C"	758.966592842658	-2.3477913183425	0.283629430816488	-8.2776717196938	1.25606927725908e-16	1.60432064158151e-14
