""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YMR303C"	6245.31254324469	-4.8389545895639	0.100920665738296	-47.9481041287632	0	0
"YPL134C"	1262.10044539903	-3.35327292538137	0.113154142016644	-29.6345574772519	5.36317706757374e-193	1.73659673448038e-189
"YDL215C"	3215.30308877319	-3.02931317393571	0.106142739983371	-28.5399941099157	3.73884984533137e-179	8.07093053278866e-176
"YNL117W"	896.35126337048	-5.27934865004927	0.205975923466727	-25.6309017150836	6.90448080935257e-145	1.11783544303418e-141
"YJR095W"	2073.94155704091	-7.71530831116614	0.30116183577567	-25.6184794839447	9.49694087314638e-145	1.23004378188992e-141
"YLR174W"	1772.83003957079	-5.51845493160647	0.227005307095959	-24.3098058023539	1.54400056737455e-130	1.66649127905293e-127
"YLR377C"	1821.12311580725	-5.70395843103232	0.239421446489435	-23.823924358773	1.88742764969929e-125	1.74614020849323e-122
"YKL217W"	1704.03673049277	-5.04262922590128	0.214518959440742	-23.5066832276624	3.48485141448973e-122	2.82098722002944e-119
"YBR039W"	4250.72454121542	-1.92825123896824	0.0829638865587729	-23.2420552959779	1.7116562300211e-119	1.23163174951296e-116
"YKL016C"	2814.89500728951	-1.93377660135371	0.0835950731503367	-23.1326623505194	2.17300335937002e-118	1.40723697552803e-115
"YIL162W"	5946.94703194413	-3.73080683128781	0.166233835447666	-22.4431254999368	1.49369503463697e-111	8.79379004028095e-109
"YJR121W"	14007.0773941991	-1.75669228483236	0.0824196845549923	-21.3139894227605	8.42057043819206e-101	4.54430117981098e-98
"YBL045C"	5068.33735457881	-2.35525789971281	0.111037770089694	-21.21132203763	7.50733961645449e-100	3.73981010431994e-97
"YLR038C"	1251.18636330667	-2.10056198699106	0.0994881138112292	-21.1136979737772	5.95278389953814e-99	2.75358775238636e-96
"YDR028C"	655.866312374679	8.24348914201115	0.415057257945291	19.8610890044904	8.83734855056527e-88	3.81537794756405e-85
"YBL043W"	389.762766355881	-3.76041269494624	0.190659749858872	-19.7231597006171	1.36433132026071e-86	5.52213101875521e-84
"YPR010C-A"	768.111737019309	-2.91348489068846	0.148078403095559	-19.6752857255511	3.51191829732175e-86	1.33783428785033e-83
"YDR377W"	1549.35539275719	-1.89777176229667	0.0973013035579916	-19.5040733566904	1.01377671515029e-84	3.64734333739628e-82
"YER065C"	2704.14104883328	-3.35395648093446	0.172786368495734	-19.4110016324423	6.23007041620597e-84	2.12347031659736e-81
"YPL078C"	3213.13276508211	-1.6120401162268	0.0863201969392669	-18.6751209263459	7.89110247867537e-78	2.55513898259509e-75
"YLR452C"	906.529642723838	1.97436185595047	0.106676272441832	18.5079756796624	1.78067723465689e-76	5.49126941506572e-74
"YDL004W"	2499.79579859593	-1.72752414824023	0.0935987696806599	-18.4566971781167	4.60663994182764e-76	1.35602728469435e-73
"YJL166W"	1057.18798185088	-1.93996782658252	0.10553507179558	-18.3822097581003	1.82385367540002e-75	5.13533756603936e-73
"YGL187C"	1775.88563201384	-2.22345464102664	0.123899799076562	-17.9455871405626	5.19585280159864e-72	1.4020142809647e-69
"YKR097W"	3400.34349036646	-6.21366057388744	0.352392571320544	-17.6327796882964	1.38011908706222e-69	3.57506048312596e-67
"YNL052W"	1831.4128709699	-1.92863461059273	0.111501056848341	-17.2970074464494	4.95465803939603e-67	1.2340909793511e-64
"YNR044W"	1340.22674737371	2.54205838698146	0.150872296866605	16.8490732876497	1.06571564488731e-63	2.55613870973711e-61
"YLR395C"	1542.58052894632	-1.60204420140721	0.0952684951081641	-16.816096439734	1.86018816944974e-63	4.30234949477019e-61
"YDR298C"	2755.37311016996	-1.74513186848245	0.103853001724463	-16.803865458916	2.28645536968825e-63	5.1058913703797e-61
"YPR020W"	779.386916672509	-2.0418781575596	0.121870848597518	-16.7544427650862	5.25509805350712e-63	1.13440049981707e-60
"YDR322C-A"	1087.12192339073	-1.78814033095217	0.109038267296865	-16.3991997972952	1.93773594097483e-60	4.04799288830741e-58
"YLR295C"	1172.57993792256	-1.51998887944011	0.0931843513756394	-16.3116323395633	8.15831131270299e-60	1.65103825190827e-57
"YGR067C"	300.433879551469	-2.89908043734895	0.177902727944964	-16.295873991577	1.05583479773594e-59	2.0719958030721e-57
"YBR297W"	489.6334374399	-2.72194243205426	0.170325970215088	-15.9807833686019	1.73946120032986e-57	3.313161980393e-55
"YJR048W"	1220.01662895062	-2.89184764693075	0.185707691230225	-15.572040273473	1.12752535717731e-54	2.08624406088007e-52
"YHR001W-A"	949.88815547381	-2.64287854767053	0.170792761501262	-15.4741835920898	5.18265869611203e-54	9.32302714333931e-52
"YDR461W"	1698.74459408501	2.57411460516557	0.166886355024236	15.4243563219518	1.12268909569925e-53	1.96500934695901e-51
"YBL100C"	744.512420750703	-2.09940530258245	0.137295477445597	-15.2911468144632	8.75939716701909e-53	1.49278568562146e-50
"YDR178W"	2213.44450458781	-2.80769173275237	0.186889748396106	-15.0232517130986	5.17076474539194e-51	8.58612115157903e-49
"YPR191W"	3630.9181923955	-2.31967128254123	0.154614469626851	-15.0029378759928	7.02401846993489e-51	1.13718859028246e-48
"YMR256C"	698.790305854627	-1.9183758063571	0.12837724753392	-14.9432694905709	1.72309410862424e-50	2.72164815791478e-48
"YBL099W"	7637.22714142775	-1.9179432371328	0.12861339986441	-14.9124682121363	2.73454277161144e-50	4.21640452117992e-48
"YPL156C"	633.118590364445	-2.21059866857594	0.148844627896404	-14.8517195401538	6.78068162347384e-50	1.02120219054922e-47
"YML081C-A"	1306.32440081812	-1.61794481696296	0.109460664561619	-14.7810615205261	1.94083012118211e-49	2.85654906017622e-47
"YGR182C"	396.883100210096	-1.98583670009624	0.13687583895293	-14.5083070561427	1.07337099940852e-47	1.54470013159324e-45
"YGR250C"	1058.98165694116	-1.40332394040361	0.0984551764917922	-14.2534297373445	4.2679458768568e-46	6.00852554315753e-44
"YNL145W"	3209.28707935583	1.832957192165	0.129748442057072	14.1270073313	2.58915596181925e-45	3.56752638483861e-43
"YHR051W"	1258.70835817435	-1.80923683010927	0.129070134453984	-14.0174707167002	1.21881550004389e-44	1.64438524547588e-42
"YGL191W"	1391.30732290947	-1.47825542379629	0.106986528222529	-13.8172108989419	2.00696395038368e-43	2.65246909034382e-41
"YDL067C"	1382.62922692696	-1.67098194285187	0.122246025237207	-13.6690083756056	1.55499779634173e-42	2.01403314582181e-40
"YIL125W"	2366.60467787526	-1.7265180297389	0.12658750818698	-13.6389289469913	2.34986448910291e-42	2.98386714341774e-40
"YDR529C"	2234.22184666537	-2.16159575811706	0.162260110241984	-13.3217939695308	1.72902255280922e-40	2.15329808692164e-38
"YJL079C"	3037.36803900809	-1.29197603932353	0.0974727848850403	-13.2547360870759	4.23604465634947e-40	5.1759670178338e-38
"YOL077W-A"	842.726067947073	-1.69315621164125	0.130229185433953	-13.001357614265	1.2019047746355e-38	1.44139542972954e-36
"YOR153W"	4129.67283530475	1.51782702461062	0.117028722597389	12.9696965917706	1.81748332990592e-38	2.14000400808558e-36
"YKL141W"	2503.91794063194	-2.30615331937988	0.1817456132872	-12.6889077412594	6.81292674042853e-37	7.87866313768127e-35
"YER015W"	749.890378291313	-2.21791003235695	0.178116448447722	-12.4520225486526	1.36345575387245e-35	1.54907709861017e-33
"YPL271W"	1276.11041136484	-1.76566687745152	0.142808968141369	-12.363837512667	4.10101270212125e-35	4.57899280326504e-33
