""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YMR303C"	7297.65318757887	-5.06976099987706	0.132422106036755	-38.2848540293559	0	0
"YHR092C"	21899.5805292064	-7.00468863105443	0.211057381686808	-33.1885507868606	1.57483989664453e-241	5.21350747784172e-238
"YJR048W"	1373.79417443348	-3.50965020637827	0.130066827332469	-26.9834382705986	2.31234243527861e-160	5.10333975465988e-157
"YGL009C"	6705.64888890158	-2.8288847032884	0.10699106453605	-26.4403828072505	4.7071076609013e-154	7.79143995570688e-151
"YJR095W"	2442.28644427612	-7.10481620787543	0.27099302121272	-26.2177091353892	1.66952117102969e-151	2.21077993467752e-148
"YKL217W"	2008.10100974944	-4.88238095339399	0.186452481407378	-26.1856582253069	3.87112193175464e-151	4.27178305169124e-148
"YOR153W"	14889.5891060086	3.44089288498961	0.138731857787143	24.8024710392691	8.43115816056872e-136	7.97467116873222e-133
"YJR121W"	15911.6063205647	-1.98047186387507	0.0818096532645634	-24.2082906459761	1.81961207865379e-129	1.50595644659584e-126
"YPL134C"	1493.87309087049	-3.23469952889221	0.13418456236013	-24.1063463039123	2.14458457990163e-128	1.57769938928096e-125
"YLR377C"	2150.58517060288	-5.34742062247521	0.222144822268451	-24.0717769960586	4.93877937883396e-128	3.26996582672597e-125
"YBR039W"	4869.15525547793	-2.11090180558469	0.0882517112104237	-23.9191033990439	1.93819845606356e-126	1.16661927069062e-123
"YDL215C"	3840.2906567229	-2.82142891793028	0.118266092485325	-23.8566173840602	8.64536061519682e-126	4.77007771943485e-123
"YDR298C"	3188.73466358612	-1.84044367483356	0.0836059979930235	-22.0132971199881	2.14789605743958e-107	1.09393998433134e-104
"YFR033C"	2515.86273855846	-2.62903968033312	0.120139555928365	-21.8832145667388	3.7542603811915e-106	1.77549699884778e-103
"YKL016C"	3242.56076711443	-2.07417583326519	0.0960638630520453	-21.5916346414411	2.15263010899092e-103	9.5017093010859e-101
"YDR461W"	1789.40066239374	2.38952450081305	0.112446096584701	21.2503997327566	3.26871034660491e-100	1.35263320030445e-97
"YDR377W"	1801.14584597239	-1.9693529942795	0.0934458601735011	-21.0748019294059	1.35471690008512e-98	5.27622387968446e-96
"YNL117W"	1060.42516449047	-4.91807442045343	0.235735215377839	-20.8627056953314	1.16869237260487e-96	4.2988401105649e-94
"YDR028C"	777.859999061112	8.25757338723664	0.403969996148647	20.4410561822966	7.21605792310821e-93	2.51460628994208e-90
"YBL043W"	494.664465511308	-2.63811729177978	0.129095120442851	-20.4354531970683	8.09378832342006e-93	2.67944862446821e-90
"YER065C"	3201.53483918831	-3.23099126580087	0.159731426150967	-20.2276492713911	5.59053424343105e-91	1.7626155821789e-88
"YJL153C"	5194.59641465639	-6.00652111406508	0.310672666069986	-19.3339220667453	2.78425793722329e-83	8.37935081925246e-81
"YDR277C"	1671.44197612927	-3.31888208693081	0.174197833366361	-19.0523729416931	6.27903316013388e-81	1.80754254579332e-78
"YDR216W"	1730.86030817945	-2.15272132791199	0.113758030100104	-18.9236867587955	7.27808785792917e-80	2.00784248780621e-77
"YKL120W"	1507.03966016071	-2.0179893777578	0.107147324307147	-18.8337822788095	3.99203748780897e-79	1.05725120827133e-76
"YKR075C"	2930.86246080421	-2.80912562719866	0.1551385746116	-18.1072027652149	2.79599371131593e-73	7.12010552408567e-71
"YDL067C"	1629.04380852331	-1.65171259411873	0.0914260186157168	-18.0661109291135	5.89237872482776e-73	1.44494220507721e-70
"YDR322C-A"	1296.79241819674	-1.68952305479581	0.0937301651184273	-18.02539292085	1.23134181957995e-72	2.91168363837103e-70
"YNL052W"	2038.33439117806	-2.34833174435239	0.132701337996986	-17.6963682491711	4.47234542758595e-70	1.02108272676023e-67
"YKR097W"	4035.53912749566	-5.38852400420894	0.306280847938921	-17.5934082737147	2.7672204845019e-69	6.1072556092957e-67
"YPR010C-A"	915.113398360645	-2.74958613409149	0.158519855682655	-17.345373689943	2.13783412336313e-67	4.56599991315719e-65
"YNR044W"	1390.3228855019	2.33039688106378	0.135836897802513	17.1558458619383	5.68364608785959e-66	1.1759818983662e-63
"YLR038C"	1418.34274105226	-2.39591197079291	0.140822078570766	-17.013752354102	6.4941894943301e-65	1.30297056490787e-62
"YMR256C"	775.633766648717	-2.35962214188808	0.139586456759035	-16.9043773778243	4.17713399069029e-64	8.13435416245895e-62
"YDL004W"	2889.10148402455	-1.8310682193219	0.108356369435284	-16.898574849497	4.60912304184777e-64	8.71914390287831e-62
"YMR102C"	1089.44538664904	1.95448341670958	0.117045412950255	16.6985050284734	1.34389946647127e-62	2.47165510208508e-60
"YJL212C"	798.024938070049	2.75577740169456	0.165783958071677	16.6227024239769	4.77316785117409e-62	8.54139036287125e-60
"YBL100C"	855.06310580788	-2.27763660754284	0.137439731336838	-16.5718936248558	1.1126597622575e-61	1.9386632331334e-59
"YGR182C"	457.161495674106	-2.13190767013719	0.129053995273353	-16.5195015126926	2.65584046620979e-61	4.50879992994231e-59
"YGR292W"	234.768575147877	-3.69406806298505	0.225017898682928	-16.4167743304294	1.45076971756562e-60	2.40138657500049e-58
"YGR183C"	1054.07753973668	-2.20765709623508	0.13487489233591	-16.3681843076978	3.22698318827194e-60	5.21118431452403e-58
"YGL187C"	1967.9915484228	-2.78181084949091	0.170040013177653	-16.3597426129611	3.7069127067575e-60	5.84368310272415e-58
"YML091C"	1388.58971985516	-2.45343298655342	0.151613703775839	-16.182132125608	6.74187695358506e-59	1.03809226301597e-56
"YOR375C"	6157.56167075784	-2.21251092967974	0.137974687235607	-16.0356292448168	7.20500930127144e-58	1.08419014962996e-55
"YIL162W"	7097.13692347872	-3.4296019425799	0.215890102621202	-15.8858692498629	7.93897344055897e-57	1.16808762555424e-54
"YJL166W"	1225.95080846072	-2.03214676390025	0.128080183195684	-15.8662075053054	1.08608372352735e-56	1.56325224640751e-54
"YBL099W"	8859.4557326274	-2.00553491261311	0.127804877071254	-15.6921626042094	1.71124844090112e-55	2.41067572919284e-53
"YBR298C"	679.62619366502	-2.35071182894783	0.151504327633519	-15.5158064833242	2.71205703546396e-54	3.7409436732931e-52
"YHR051W"	1397.35812444218	-2.21872835086243	0.143501724491585	-15.4613358043131	6.32726766826013e-54	8.54955902684701e-52
"YBL045C"	5819.59827920458	-2.56779693480367	0.167077233771888	-15.3689217665018	2.64534980490926e-53	3.50297221166084e-51
"YLR174W"	2127.15547299289	-4.51456601817756	0.293869568109923	-15.3624822305141	2.92170370550002e-53	3.79305886943444e-51
"YKL109W"	1985.23686455108	-2.3415532239164	0.155097841749976	-15.0972650392588	1.68790599346709e-51	2.14915876591261e-49
"YBL030C"	9813.37598324772	-1.7971401292418	0.122189053963968	-14.7078651560045	5.73895177866859e-49	7.16935843897448e-47
"YPR020W"	889.490667418141	-2.26405294668804	0.156834473867086	-14.4359393114474	3.07428677714428e-47	3.76941717619857e-45
"YOR356W"	1808.81802695001	-1.40055329083108	0.0974028953756125	-14.3789697978706	7.01307014469508e-47	8.44246135055021e-45
"YPR191W"	4159.78913854965	-2.54935649783385	0.177764471058281	-14.3412037436774	1.20939389102611e-46	1.42989231294354e-44
"YGR067C"	375.914890949783	-2.266933979001	0.159301886018742	-14.2304277473168	5.93178333317334e-46	6.89023464016503e-44
"YLR295C"	1348.1012161538	-1.64279569126543	0.117138687446686	-14.0243648539526	1.10597857349387e-44	1.26253174743154e-42
"YML081C-A"	1569.58798171187	-1.48853484200351	0.107141049725799	-13.8932262266708	6.96270835143175e-44	7.8135749143779e-42
"YPL078C"	3757.25278856507	-1.63840632165868	0.118750800043341	-13.7970129132663	2.65633370359767e-43	2.93126424192003e-41
"YBL005W"	919.73219537981	1.53594436658057	0.112187224854385	13.690902583375	1.15070931298646e-42	1.24899120676776e-40
"YLR395C"	1716.76278127781	-1.94604509146427	0.143124373737723	-13.5968810946934	4.17876845907153e-42	4.46252031734074e-40
"YDR178W"	2653.22064169186	-2.58816956022493	0.191881038218775	-13.4884071102117	1.83011872423461e-41	1.9233676306599e-39
"YDR529C"	2584.67180793366	-2.28614649020912	0.172272291510162	-13.2705408987624	3.43095266128206e-40	3.54942774536696e-38
"YMR191W"	1045.08470339994	-1.35578648405103	0.10389834372346	-13.049163590708	6.4248879522638e-39	6.54448971260594e-37
"YDR011W"	2912.99497833493	1.50971035752341	0.115790006528317	13.0383476328261	7.40443863363478e-39	7.42799821110544e-37
"YDR148C"	2816.10997070219	-1.75475119368412	0.138233285481207	-12.6941292582001	6.37348463749011e-37	6.29833459474955e-35
"YGL191W"	1544.32736454661	-1.81577197735348	0.143914100693068	-12.6170539829593	1.70065067319827e-36	1.65588354518319e-34
"YCL027W"	268.72336914262	2.16448360083111	0.171651244428206	12.6097751754804	1.8652434404376e-36	1.78982272741121e-34
