""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YHR092C"	19724.1153603454	8.56082242581111	0.138617439666902	61.7586246462408	0	0
"YLR174W"	1887.93801906746	5.4121217120283	0.135043227003113	40.0769578166518	0	0
"YMR011W"	17759.8494026233	4.92874254582706	0.111593780419689	44.1668211910264	0	0
"YMR303C"	6610.7292739258	5.03081373604987	0.0959953217828082	52.406863611877	0	0
"YFR053C"	13031.8555839203	6.17452710436675	0.16565959478592	37.2723784115614	4.59978531033123e-304	6.08827583675441e-301
"YDR342C"	3332.03505106186	8.77435779158746	0.244986171637394	35.8157267936512	6.28591713206485e-281	6.93336659666753e-278
"YDL215C"	3384.52846862348	3.16438326072059	0.0885062342022477	35.7532244959104	5.89487027790471e-280	5.5731787855962e-277
"YDR277C"	1416.56141324635	5.06217706438066	0.141730158940884	35.717006896832	2.15275722169585e-279	1.78086841164789e-276
"YBL045C"	5326.78375633859	2.45908480017069	0.0725480419883015	33.8959499495138	7.64289585514868e-252	5.620076085486e-249
"YKL148C"	3631.08700340057	3.62423157907474	0.108762992913221	33.3222862115096	1.83653759520885e-243	1.21542058050921e-240
"YKR075C"	2425.03271549346	4.48378593824857	0.136406130918878	32.8708534436413	5.73657823892621e-237	3.45133407138306e-234
"YLR327C"	1088.56454836681	5.29873877557365	0.166335229368344	31.8557818190143	1.09469932287597e-222	6.03726676566097e-220
"YKL109W"	1650.46429126132	3.32950018947842	0.108770631898177	30.61028635556	8.93094217953958e-206	4.54653656493792e-203
"YKL217W"	1813.57009262137	4.97784414834293	0.163407560755153	30.4627529187688	8.12000263911159e-204	3.83844124754575e-201
"YBR230C"	1499.02673278578	2.68308593555992	0.088087014604279	30.4594944852358	8.96826977258466e-204	3.95680062366435e-201
"YDR178W"	2356.71172340083	2.78904678167937	0.0917381798909164	30.4022467526144	5.12988487138733e-203	2.12184862992759e-200
"YLL041C"	2522.28300929126	3.08105959434562	0.101496729623213	30.3562450315734	2.07820949519938e-202	8.09034731719383e-200
"YNL117W"	948.717031520455	5.56980101999381	0.186020306244619	29.9418979166149	5.60957770330975e-197	2.06245473558355e-194
"YJL153C"	4679.00754564286	6.61623279320236	0.223822630971777	29.560160044927	4.86198545512521e-192	1.69350630221151e-189
"YLR377C"	1944.77334629499	5.41658320434389	0.183274094762923	29.5545489467598	5.74015094769876e-192	1.89941594859352e-189
"YIL162W"	6238.75518287898	4.02456305847475	0.139498458687194	28.8502331592013	5.03285828335887e-183	1.58606933901281e-180
"YJL079C"	2727.62010426933	2.39771252750396	0.0839419699779574	28.5639296782478	1.88614361505677e-179	5.67386292929349e-177
"YJR121W"	14098.4477319141	2.13979763785425	0.0754118000952711	28.3748383562114	4.13423893711795e-177	1.18958231677594e-174
"YBL030C"	8632.22597546773	1.99163581080057	0.0717658983013757	27.7518411660764	1.65557583998773e-169	4.56525037876617e-167
"YDR461W"	1767.62086066304	-2.53840635190748	0.0917745720388801	-27.6591467060407	2.16635632653883e-168	5.7347784676136e-166
"YPL134C"	1344.68188863176	3.31806539027716	0.120519708595801	27.5313094342544	7.40963165036414e-167	1.88603624085038e-164
"YNR044W"	1409.26121225991	-2.52370333176156	0.0931627745539653	-27.0891817450078	1.32052878147622e-161	3.23676276881838e-159
"YMR145C"	5237.49669150277	2.58729462890162	0.0958440652869795	26.9948339644678	1.69940814051929e-160	4.01667252641309e-158
"YDL181W"	771.634276732784	3.0245573740994	0.11218612554808	26.9601731882893	4.33457058449933e-160	9.89178900972985e-158
"YPR010C-A"	813.857496594124	2.95548081054332	0.110257620026467	26.8052295146029	2.80809055884308e-158	6.19464777280784e-156
"YJR048W"	1337.51656281386	2.55458543153952	0.0954201371192797	26.77197401578	6.85248266524116e-158	1.46289452511503e-155
"YML091C"	1215.07893447538	2.80384646221384	0.106175557650401	26.4076452647032	1.11938702170482e-153	2.31503228426327e-151
"YHR216W"	2621.10385845019	-3.17005613983151	0.120426524943286	-26.3235706695384	1.03050981717409e-152	2.06664059698732e-150
"YGL187C"	1878.85996181171	2.26305304649942	0.0862769597426905	26.2300972733471	1.20586903268012e-151	2.34718860537559e-149
"YDR216W"	1465.25191786725	2.77995706620767	0.106845205995412	26.0185474894122	3.05475489784658e-149	5.77610511827104e-147
"YBL099W"	7923.58057381337	2.094319465998	0.0808611344329273	25.9001989111987	6.62542648533627e-148	1.21797423555432e-145
"YKL016C"	2994.09817682952	1.9296710637681	0.0746392890382892	25.8532883770932	2.23452569460015e-147	3.99678136401725e-145
"YBR039W"	4419.8066014521	2.08926422272287	0.0815869786015633	25.6078146112747	1.24852232904322e-144	2.17440020358105e-142
"YBR297W"	486.957518268382	3.69447279156153	0.144441557725177	25.5776304946173	2.70642957640683e-144	4.59260280427189e-142
"YPR191W"	3837.02602611823	2.37135799349857	0.0930731482944162	25.4784332211188	3.41859729438842e-143	5.65606922356564e-141
"YMR120C"	5438.89867093662	3.31856934081881	0.130552535894454	25.4194169273106	1.5385776243036e-142	2.48348944332714e-140
"YKL141W"	2727.20369881795	2.10907131655464	0.083394884466048	25.2901761308068	4.09689324437586e-141	6.45553321220939e-139
"YLR038C"	1296.35581576765	2.30845692144125	0.0918932657762128	25.1210673811835	2.92776159504615e-139	4.50602935721289e-137
"YHR001W-A"	1017.36819048021	2.56564151163458	0.104830311227195	24.4742334693079	2.77903995310437e-132	4.17992872946471e-130
"YIL125W"	2410.68826691747	2.01272915229222	0.0824501528538791	24.4114665967842	1.29211584681831e-131	1.90027170538746e-129
"YDR529C"	2440.954485366	1.95814332171613	0.0804222249153744	24.3482858597436	6.0448246773574e-131	8.69666298146767e-129
"YIL015W"	2776.17928724496	-2.23602155609518	0.0925903794219048	-24.1496100356857	7.53740226358508e-129	1.06133038681715e-126
"YER065C"	2871.59146688187	3.37594217470952	0.140883843511762	23.9625928038204	6.83024482048715e-127	9.41720004624665e-125
"YNL055C"	8698.31362893528	1.86403025546303	0.0778161059760283	23.9542988187722	8.33460809109479e-127	1.12568237442582e-124
"YFR033C"	2445.05242243777	2.01500315441061	0.0853762024400652	23.6014614942045	3.72321247662803e-123	4.92804403406486e-121
"YDR298C"	2852.78819750763	1.91923852329445	0.0824305216125025	23.2831054050173	6.57554136197624e-120	8.53273190854093e-118
"YDR148C"	2437.63633974619	2.0598438718137	0.0898786938554317	22.9180441265303	3.07064200919616e-116	3.9079824647808e-114
"YJL212C"	656.639062392612	-2.595713771442	0.114459106870785	-22.6780886414949	7.372248798659e-114	9.20557406594816e-112
"YDR377W"	1617.94099733506	2.02391415087739	0.0896337700300936	22.5798172965154	6.84310293135847e-113	8.38660281476488e-111
"YNL052W"	1955.74285425119	1.89766893269733	0.0840918165536421	22.5666302676053	9.22112406926283e-113	1.10955271073421e-110
"YGL032C"	1088.76161125336	-2.25232678775946	0.100342868181835	-22.446306634149	1.3905677405082e-111	1.64335309047916e-109
"YOR065W"	2363.3226807548	2.24280858575121	0.100910438622377	22.2257341893453	1.93689974433902e-109	2.24884254526941e-107
"YKL150W"	2583.9121188178	1.92118205916626	0.0866093648637887	22.1821515743444	5.10770134744981e-109	5.82806336507291e-107
"YKL085W"	3226.82690673736	1.96975960595752	0.0896684721563703	21.9671369277097	5.93966041491501e-107	6.66248688574704e-105
"YPL078C"	3416.1939066232	1.61137977945414	0.0736482585492387	21.8794009688203	4.08169103385133e-106	4.50210521033802e-104
"YEL024W"	1473.45210835046	2.3387826659445	0.106903246184351	21.877564521393	4.24938236455891e-106	4.61023155551654e-104
"YML120C"	1814.2570059359	2.24327705460826	0.102543150178488	21.8764203235769	4.3573206491707e-106	4.65108839616317e-104
