""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDR342C"	3691.96801056708	8.6694886119847	0.225796463770702	38.3951478566494	0	0
"YGL009C"	6591.39302160113	3.08119156696673	0.0788358917107886	39.0836140760627	0	0
"YHR092C"	21856.2284348802	8.46340708509628	0.166710197434959	50.7671829037228	0	0
"YLR174W"	2107.51648997579	5.0013549136986	0.130005731887722	38.4702646650839	0	0
"YMR011W"	19556.4279646792	5.23619166131687	0.123652353111373	42.3460737265604	0	0
"YMR303C"	7285.11791913816	5.31596685714727	0.137007791859224	38.8004710170749	0	0
"YDR277C"	1575.96320783468	4.85957527621844	0.132503360200972	36.6751097394644	1.82129609554599e-294	1.69016277666668e-291
"YPL134C"	1497.12605459467	3.24136863973433	0.0939095958681745	34.5158405780427	4.64149500666949e-261	3.76889394541562e-258
"YJR121W"	15251.3214934248	2.33647936310934	0.0701270951574596	33.3177833455548	2.13411620385775e-243	1.54035765113999e-240
"YKR075C"	2654.68857475399	4.95221697807403	0.148806721239313	33.2795248549951	7.63815235463717e-243	4.9617437695723e-240
"YBL045C"	5802.83572559678	2.62511762893311	0.0794633006004378	33.0355976796495	2.50475003543702e-239	1.4791687481999e-236
"YPR191W"	4182.58424556854	2.5216211837066	0.0809601731294263	31.1464401104408	5.66745149091716e-213	3.06798040708315e-210
"YBR039W"	4810.67422305652	2.22905757461979	0.0740825565268324	30.0888316916066	6.7834802471613e-199	3.38965289888922e-196
"YFR033C"	2577.18898081674	2.41932846724593	0.081286338758272	29.7630389583727	1.17595389460511e-194	5.45642607096772e-192
"YBL030C"	9407.93766630019	2.11334563429213	0.0719311013070826	29.3801373243266	9.85193339145186e-190	4.26654395405809e-187
"YJR095W"	2443.98975553323	7.69728586861632	0.262662963243198	29.3048010026805	9.00876395953112e-189	3.65755816756963e-186
"YNL117W"	1061.82737001551	4.99043644408166	0.170748123410698	29.2268889660254	8.83243206867371e-188	3.37502815988849e-185
"YGL187C"	1999.88961989456	2.63477870315444	0.0927314766288139	28.4129919951662	1.397425557585e-177	5.04315356781787e-175
"YLR377C"	2151.58571996802	5.51101399795963	0.198247233060042	27.7986931413592	4.49841616603018e-170	1.53798481129116e-167
"YKL217W"	2007.51978521242	5.01613058319995	0.182238645904168	27.5250650503501	8.80133609421075e-167	2.85867396339965e-164
"YOR375C"	5961.31085319757	2.52547615173014	0.0956750398468857	26.396395086658	1.50716975520895e-153	4.66217844277967e-151
"YMR145C"	5665.84836756473	2.8480082500318	0.107966056738136	26.378737318706	2.40330852526787e-153	7.09631462733639e-151
"YDR298C"	3109.12216754152	2.03629638094052	0.0773411047777778	26.3287728665288	8.98438230044719e-153	2.53750206190021e-150
"YDL215C"	3832.23443938411	2.87719597151901	0.109362983437564	26.3086821617447	1.52565775989681e-152	4.12944700345403e-150
"YDR461W"	1817.43331808133	-2.41110948036671	0.0917103706357377	-26.2904779868717	2.46422655542577e-152	6.40304628161832e-150
