""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YHR092C"	25493.6991533685	7.83780336747539	0.171707944830596	45.6461311397561	0	0
"YMR303C"	8526.56914029456	4.54425558929898	0.103505872041579	43.9033602603097	0	0
"YMR011W"	22859.3795671561	4.5328606314929	0.138994903319705	32.6117039059107	2.79913427326177e-233	6.04986220927643e-230
"YLR174W"	2427.0904496487	5.20119561024229	0.162919800057328	31.9248833377656	1.20590678677636e-223	1.95477490136448e-220
"YDR277C"	1847.96557614116	4.07535432165563	0.143094665477429	28.4801275299705	2.06491173969405e-178	2.67777754403524e-175
"YKL096W"	4144.263474667	-3.66999282157617	0.130223924246255	-28.182170387034	9.67254444278188e-175	1.04527963611663e-171
"YER091C"	11217.5230388819	2.58146568169616	0.0935053294641773	27.6076850002987	8.99768042622681e-168	8.33442284052209e-165
"YDL215C"	4293.39184093017	2.87223212503578	0.107520747155055	26.7132827945638	3.29950356105616e-157	2.67424763623602e-154
"YJR095W"	2850.92187289965	7.01808449528455	0.270763311229406	25.9196287097347	4.00179359307016e-148	2.88306996194077e-145
"YPL134C"	1733.81994943865	2.76842521668806	0.10802631603265	25.6273222892403	7.56889692201484e-145	4.90767276423442e-142
"YDR342C"	4325.89568153526	6.61768577760774	0.258770820630105	25.5735394025251	3.00543349512385e-144	1.77156643476209e-141
"YNL117W"	1217.8532362892	5.54372886696266	0.217438719033168	25.4955920068543	2.2061147819534e-143	1.19203735384882e-140
"YKL029C"	3363.79866047916	2.29520261084025	0.091000000019654	25.2220067070828	2.29797379970508e-140	1.14615862440675e-137
"YKL217W"	2321.81103056971	4.92440554864309	0.196911885106081	25.0081682270737	4.98242803749954e-138	2.30757595679622e-135
"YKR075C"	3122.93243045008	4.0237868241844	0.162248974332486	24.8000755674346	8.9480996036145e-136	3.86796518865576e-133
"YMR120C"	6630.92459544056	4.13911481882027	0.168940315321236	24.5004563354214	1.46069131729904e-132	5.91945156335435e-130
"YLR377C"	2493.7775107796	5.40908834007357	0.221357234036147	24.4360134134594	7.08754765683841e-132	2.70327405923178e-129
"YIL162W"	7870.2020408491	4.21001466553928	0.174950024648329	24.0640987276334	5.94313178752529e-128	2.14084813946189e-125
"YDR461W"	1742.29939335021	-2.65302325627278	0.11089578557823	-23.9235715085064	1.7414004054937e-126	5.94275801537954e-124
"YJL212C"	771.714741440213	-3.01953985014835	0.128495030013798	-23.4992734724768	4.1490975832786e-122	1.34513743649892e-119
"YLR058C"	13990.8325114512	2.96778991646866	0.127698982830483	23.2405133595177	1.77422577084985e-119	5.47813328485258e-117
"YJL153C"	6027.11438525245	6.52695601521913	0.281750740854557	23.1657102140094	1.00970355123669e-118	2.97587173919032e-116
"YBR297W"	605.118008405051	4.22541058084616	0.185641387646169	22.7611452080921	1.11300962166684e-114	3.13771929864687e-112
"YPL095C"	1430.59182109294	-3.09820542783836	0.14177676917469	-21.8527015806158	7.32679042160174e-106	1.9794545455694e-103
"YOL155C"	2399.66962507027	-3.12338846997286	0.152493958176665	-20.4820473369469	3.11295460285865e-93	8.0737590579742e-91
"YDR028C"	638.687260375556	-8.32965546411624	0.408036166307375	-20.4140126584796	1.25542459258629e-92	3.1308357916652e-90
"YER065C"	3610.66727691501	3.31842821055861	0.163920710945533	20.2441057717304	4.00383967315378e-91	9.61514682989967e-89
"YJL079C"	3464.89294294503	1.97597982324079	0.099944344894935	19.7708016928623	5.31250577265539e-87	1.23022455106777e-84
"YAR015W"	3717.7455541683	2.10810687311079	0.110565221911049	19.0666362955141	4.78085433004587e-81	1.06893308537991e-78
"YDR216W"	1865.95563230124	2.37027795795791	0.126581686917926	18.7252833776403	3.08028013798373e-78	6.65751213822883e-76
"YDR178W"	3135.3569309016	1.90229858621529	0.10219157321796	18.6150239820456	2.42751371814752e-77	5.07741901563501e-75
"YJL191W"	2463.47914524792	-1.82048047201107	0.0989237486822909	-18.4028658058423	1.24597456262683e-75	2.52465595752261e-73
"YNL134C"	2660.33926008772	-1.75399522073761	0.0954165424225352	-18.3825065990167	1.81389955239451e-75	3.56403778718969e-73
"YGL009C"	8241.80908689739	1.74722213983178	0.0954724521789822	18.3007988163566	8.15444701922909e-75	1.5551010139024e-72
"YNL220W"	3265.41335567253	1.64841475985885	0.0926269561272062	17.7962747431218	7.55289390331753e-71	1.39922754483174e-68
"YPL111W"	2048.35840902663	-2.29627451044548	0.129796880463346	-17.6912919805799	4.89403296067864e-70	8.81469714362231e-68
"YBR298C"	724.026693784399	2.90821064999344	0.167033440735627	17.4109485932007	6.81453788647429e-68	1.19420172042971e-65
"YOL151W"	904.044255274569	-2.39888821562844	0.139268392692101	-17.2249292840765	1.7263859250043e-66	2.94575956255996e-64
"YGR061C"	5159.89674237666	1.57541659296628	0.0923582368041741	17.0576728993497	3.06525078321855e-65	5.09617591753566e-63
"YHR216W"	1495.73088875581	-2.35730204064439	0.139231801299734	-16.9307731325665	2.66851905275417e-64	4.3256693845145e-62
"YKL148C"	5046.61458763994	2.03558137940062	0.126124275991111	16.1394891142453	1.34651226632846e-58	2.12945988655457e-56
"YKR093W"	516.89517868266	-2.40942009340105	0.149328095455743	-16.1350754929781	1.44630646147792e-58	2.23282168957687e-56
"YOR107W"	790.474159231285	-2.45630967602346	0.153368932869653	-16.0156925530092	9.92949604763768e-58	1.49727563657867e-55
"YGR244C"	4056.00784578313	2.22185709673358	0.139669754324712	15.9079330201161	5.58263700777038e-57	8.22677689963253e-55
"YLR359W"	6089.99311332047	1.68750149908429	0.106263522866136	15.8803458945183	8.6698983887548e-57	1.24923602561525e-54
"YMR191W"	1063.37815265888	1.66598933506859	0.109280430833682	15.2450838851846	1.77504842375827e-52	2.50204651731492e-50
"YNL145W"	2920.78499281013	-1.60119891984461	0.106904680620542	-14.9778186563043	1.02527215546087e-50	1.4144392885124e-48
"YGR292W"	267.25492636215	3.7841795333356	0.254125792215086	14.890969941897	3.77256593531254e-50	5.09610781761803e-48
"YBR230C"	2001.5766336259	1.7813456396595	0.119675408689003	14.8848093286118	4.13664084372602e-50	5.47387331239173e-48
