""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YNL145W"	2516.95630716977	8.62346853076065	0.283249503169164	30.4447790173545	1.40453643714235e-203	9.28398584951091e-200
"YFL026W"	4422.00801137301	6.92619234357328	0.238874052168267	28.9951641072106	7.57130199863264e-185	2.50231531054809e-181
"YDL215C"	3583.95728443403	-3.20157576187672	0.112029825738411	-28.5778875471285	1.26523514265982e-179	2.78773476432714e-176
"YKL178C"	1333.42061242517	-5.50224093746266	0.211035673887084	-26.0725631648736	7.46591776300927e-150	1.23374291033728e-146
"YDR461W"	1462.98015979901	8.04898717241511	0.31942963614163	25.197997498411	4.21331342033233e-140	5.57000034167934e-137
"YIL015W"	1674.50813219584	5.41764953587836	0.218339510150622	24.8129600187386	6.49676968048416e-136	7.15727459800005e-133
"YLR040C"	1440.39239526583	-2.99154688977379	0.127214936953978	-23.5156889702034	2.81879094888026e-122	2.6617440245855e-119
"YPL134C"	1004.29941181836	-2.98529012785703	0.137004463563944	-21.7897289635655	2.90364063472874e-105	2.39913307444462e-102
"YPL187W"	7461.9610488272	-10.4891189619351	0.505254527005794	-20.7600692349954	9.94233475258169e-96	7.30209252384055e-93
"YGL032C"	516.855094527665	7.52592856476484	0.383495974274877	19.624530815467	9.54542030755917e-86	6.30952282329661e-83
"YJL079C"	3951.83964911821	-1.79861547602363	0.0973292956972319	-18.4796927085417	3.00890084315889e-76	1.80807587029821e-73
"YLR174W"	1062.19487723439	-4.75573583274301	0.261523259822884	-18.1847528054056	6.8162076300161e-74	3.75459436953387e-71
"YBR296C"	500.648635704082	-5.20148756395965	0.296652150560849	-17.5339620971085	7.8876664198169e-69	4.01057500269151e-66
"YMR303C"	5815.44133962728	-4.72978249064882	0.272273497463097	-17.3714391401237	1.35777420959376e-67	6.41063394672484e-65
"YBR297W"	782.96434695285	-3.47530660819895	0.212241067704055	-16.3743362478974	2.91671990738723e-60	1.28530123918864e-57
"YDR028C"	655.89204972554	9.29006072471324	0.57351651683872	16.1984187934481	5.17404254419865e-59	2.13752632607207e-56
"YNL117W"	486.679031022126	-4.36571139395104	0.302775025242508	-14.4189944017156	3.93027155773647e-47	1.52818205862577e-44
"YPR030W"	589.820916758501	-2.64838230049437	0.186605945071483	-14.1923790235078	1.02134156950325e-45	3.75059320800917e-43
"YLR452C"	882.930624274192	2.19083213076591	0.158875439953296	13.7896211737317	2.94301296330325e-43	1.02385872039129e-40
"YKL217W"	2841.38541568825	-5.7955842012878	0.42682606548156	-13.5783277311076	5.38417123959873e-42	1.77946859468738e-39
"YER065C"	1874.28807583383	-2.75928593071411	0.209674835915579	-13.1598335044129	1.49414755177602e-39	4.70300729392357e-37
"YKL209C"	1461.95203538947	4.17711445221991	0.327135191458776	12.7687713253751	2.44991167012078e-37	7.36087097249924e-35
"YJR095W"	1082.92844517129	-6.76846754192151	0.53044321193986	-12.7600229196427	2.74120417940184e-37	7.87798244602008e-35
"YKL016C"	1795.52423580174	-1.04887905719365	0.0829170051434049	-12.6497460367703	1.12237035867659e-36	3.09119502952177e-34
"YOR153W"	4662.9109324899	0.940864928342377	0.0746429764493313	12.604868844975	1.98502533997162e-36	5.24840699888495e-34
"YLR038C"	805.774170069504	-1.26256283787951	0.105954111661512	-11.916128766319	9.75362325795909e-33	2.38783147167073e-30
"YNR044W"	1364.89770851071	2.38856588685375	0.200402286828483	11.9188554414952	9.43964166511439e-33	2.38783147167073e-30
"YKL163W"	382.216697759453	-2.33691108632034	0.19881647635184	-11.7541117778628	6.7264341238353e-32	1.58791891280541e-29
"YDR384C"	3439.68552541164	-1.82651681506819	0.157003374815711	-11.6336149921118	2.78066997644536e-31	6.12674284810128e-29
"YPL156C"	736.501778146837	-2.46742068160769	0.212042499723596	-11.6364440375116	2.68998653507908e-31	6.12674284810128e-29
"YBL045C"	2937.80955665348	-1.34478692316829	0.117415289847306	-11.4532521694333	2.26485762781778e-30	4.82926094189533e-28
"YDR377W"	1055.59546268716	-1.14831309485309	0.101887092719377	-11.2704471607198	1.83634905281281e-29	3.67826279972505e-27
"YLR312C"	99.6713942853903	-2.77730967850915	0.246406275608091	-11.2712619500262	1.81943283310951e-29	3.67826279972505e-27
"YGR289C"	229.808589416059	-2.34959704970199	0.221231990374222	-10.6205121859979	2.39244789262307e-26	4.6512001677172e-24
"YJR078W"	147.551175816358	-2.81352521996252	0.266980816194021	-10.5383048118254	5.75264628128198e-26	1.08642834055068e-23
"YMR191W"	993.631676244535	-1.5813764130269	0.152122498874989	-10.3954143846036	2.60153656119009e-25	4.77671018596292e-23
"YFL052W"	71.3555959820525	-2.90984830640196	0.280776094696879	-10.3635899257855	3.63073802035703e-25	6.48626440934053e-23
"YGR292W"	254.066793901156	-3.63424985559577	0.354284485359562	-10.2579988844484	1.08940872593932e-24	1.89499781012076e-22
"YAR071W"	124.071261017656	-2.01774355992445	0.197784222737716	-10.2017417364994	1.9474821532803e-24	3.30073257261097e-22
"YKR097W"	5247.51460338688	-6.84466951049697	0.674077996450273	-10.1541209571316	3.17659838393985e-24	5.2493288294606e-22
