""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YFL026W"	4037.6143657679	-6.70050649792576	0.154097635795861	-43.4822147875272	0	0
"YHR092C"	10896.6989106434	7.7062913283557	0.138936083193828	55.466450120123	0	0
"YIL015W"	2323.02474268452	-5.79421815862398	0.128152781095683	-45.2133625902181	0	0
"YMR011W"	23907.6769940408	5.37456365592774	0.112755926174198	47.6654650295234	0	0
"YJL079C"	3708.56707555501	2.91662362666047	0.0795157473908058	36.679824089759	1.53190125787054e-294	2.02762450491745e-291
"YNL145W"	2810.24264284098	-8.68377599159955	0.246815448867726	-35.1832757286331	3.60364662091676e-271	3.97482222287118e-268
"YDL215C"	3787.82128883943	3.34948537430722	0.0960761911105222	34.8628035269852	2.7239062331109e-266	2.57525877867541e-263
"YLR174W"	1135.92810035366	4.66086336025203	0.138403890032331	33.6758118515546	1.30669375649429e-248	1.08096241005991e-245
"YDR461W"	1508.8123626182	-7.99795082347488	0.258353412223211	-30.9574034832752	2.01982332416141e-210	1.48524341770003e-207
"YDR277C"	1419.13012249077	5.06954993680726	0.175713387013988	28.8512447626071	4.88792356522895e-183	3.23482781546852e-180
"YKL178C"	1439.61253087929	4.87740116089678	0.169522054795093	28.7714844348263	4.87903820216659e-182	2.93540680199441e-179
"YBR105C"	2769.0233078202	2.65738847713572	0.104990885028364	25.3106588864148	2.4380525875919e-141	1.34458600205694e-138
"YBR297W"	801.145331860779	4.45955098997422	0.178477514429129	24.9866264903922	8.54429410834673e-138	4.34970295454144e-135
"YPL187W"	7954.5668858152	11.9442957633098	0.482871810227292	24.7359558175234	4.39099343197833e-135	2.07568532377375e-132
"YKR075C"	2620.31480510348	4.60565728154464	0.193632392856443	23.7855723084475	4.71043965671239e-125	2.07824597654151e-122
"YGL032C"	899.446402662209	-8.22249866030072	0.353359300422307	-23.2695125060352	9.02800372261694e-120	3.73420803976743e-117
"YLR040C"	1539.76539382019	2.9651856438045	0.130639000842648	22.6975529870748	4.73633952186398e-114	1.84382911504093e-111
"YBL045C"	3066.08510329861	1.46103491075477	0.0655563614157231	22.286699249363	4.97335091270209e-110	1.8285353522368e-107
"YBR230C"	1512.44796676676	2.70457029227199	0.124571570700397	21.7109752816448	1.61592284855603e-104	5.62851442723358e-102
"YER062C"	2224.0581496942	2.03982599730285	0.0951754763946055	21.4322646397435	6.68483517777104e-102	2.21201196032444e-99
"YBR298C"	635.68130680779	3.02581420911754	0.141878069608428	21.326863393818	6.39552045714696e-101	2.01550258978089e-98
"YFR053C"	22109.5245334834	6.95012965463558	0.338643604906195	20.5234339404129	1.32979449300327e-93	4.00026361577075e-91
"YDR216W"	1216.20817318749	2.47437523728298	0.123205256659424	20.0833576778538	1.03179346064875e-89	2.96887353155367e-87
"YBR296C"	532.284672583434	5.38507101280723	0.272329285185012	19.7741165043957	4.9746491443022e-87	1.37175950154133e-84
"YDR178W"	1390.98249528583	1.8827435654121	0.101139144794134	18.6153795273271	2.41145435938145e-77	6.38360198015458e-75
"YDR342C"	3238.55494669286	8.73460346938198	0.47381026418779	18.4348126867934	6.90574892943683e-76	1.75777870826973e-73
"YPL134C"	1073.59316916347	2.96246314147392	0.162481099140712	18.2326631044536	2.84141756065008e-74	6.96463015421564e-72
"YMR303C"	6178.56670456014	4.93521035527025	0.270915990265113	18.216755498414	3.80030849073603e-74	8.98230056846108e-72
"YJL170C"	173.03062304826	-4.65827698033195	0.273322596362753	-17.0431462393599	3.93008522071147e-65	8.96872551402362e-63
"YMR191W"	1017.45517941319	1.83609016045445	0.110934617214386	16.5511019604108	1.57198769490241e-61	3.46780485495471e-59
"YDR384C"	3705.67471503033	1.76401627584771	0.107752722720284	16.3709670745577	3.08276289925047e-60	6.58120157007729e-58
"YPR030W"	633.790005794318	2.57733109051301	0.158363190226277	16.2748116328699	1.48977219890568e-59	3.08103512886181e-57
"YKL016C"	1912.08940801763	1.05741069651691	0.0654691348526354	16.1512856233251	1.11219261175486e-58	2.23045172866475e-56
"YGR289C"	237.231345091639	2.67144676282754	0.165464105245414	16.145173957006	1.22801814927005e-58	2.3903012093733e-56
"YEL060C"	1637.08409286624	1.43829614441442	0.0892419023381536	16.1168252438687	1.94339965814853e-58	3.67469112503629e-56
"YNR044W"	1430.31247484449	-2.36014621806844	0.149067807119955	-15.8327023363886	1.85097853212999e-56	3.40271553489896e-54
"YNL117W"	514.953083533686	4.66930570871976	0.296635023946116	15.7409116651308	7.92929955458535e-56	1.41827309330394e-53
"YLR038C"	823.925073372319	1.4829795317009	0.0951388511830417	15.5875282627466	8.84917967283405e-55	1.54115450196884e-52
