""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YNL145W"	1612.6050981124	7.93042319180306	0.301258837512885	26.324283985408	1.01131286473301e-152	6.69489116453252e-149
"YKL178C"	1409.35852665186	-4.54673797757216	0.18204770366203	-24.9755305126679	1.1278474054379e-137	3.73317491199945e-134
"YFL026W"	3016.24132907594	6.3170590400628	0.25542441028206	24.7316183801188	4.8891161723333e-135	1.07886496869488e-131
"YDR461W"	1216.15143177983	7.73051205533949	0.326386422260921	23.6851521021899	5.12905826922426e-124	8.48859143556615e-121
"YLR040C"	1382.55007852479	-4.54805584609834	0.192378291270991	-23.6412113656409	1.45348622130886e-123	1.92441575701294e-120
"YLR174W"	1126.39022649549	-4.02981105655247	0.176420932490808	-22.8420233339512	1.75412451321907e-115	1.93538404625171e-112
"YDL215C"	3747.61947383105	-3.06977135672872	0.140252885820844	-21.8874024499573	3.4248155471957e-106	3.23889698891936e-103
"YPL187W"	7755.55633317656	-8.09984908511789	0.399631864066102	-20.268276414961	2.45091432831122e-91	2.02813160667753e-88
"YBR297W"	812.748483675745	-3.44321518214546	0.18406979115375	-18.7060307971415	4.42100983070268e-78	3.25189834213908e-75
"YDR277C"	1454.05240521392	-3.52790310593701	0.195075812534297	-18.0847797587246	4.20042522634092e-73	2.78068149983769e-70
"YIL015W"	791.933468069288	4.24736224096247	0.240958692015258	17.6269310122812	1.53052490199854e-69	9.21097713748212e-67
"YDR281C"	253.46040672199	3.67882785519914	0.213775561285533	17.2088326330504	2.27981207698016e-66	1.25769632913405e-63
"YHR092C"	10693.1503202474	-6.0384437892843	0.354315060496606	-17.0425828945031	3.96813000090773e-65	2.02069389276994e-62
"YDR028C"	760.067646599692	9.45390147351545	0.564990526845172	16.7328495334333	7.55363338450035e-63	3.57178950038516e-60
"YMR303C"	6066.54649329842	-4.47077698674386	0.267449539505926	-16.7163383231205	9.96573075960831e-63	4.39820917524047e-60
"YKL029C"	3095.64151558779	-1.68366335741762	0.103318240195953	-16.295896583453	1.05544470641822e-59	4.36690247280539e-57
