""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDR277C"	1404.65105429234	4.91810168634416	0.144417304175024	34.0547949876128	3.44684796326081e-254	2.23803838254524e-250
"YLR174W"	1119.93880005115	4.69879317841815	0.165039835817779	28.4706607658415	2.70469449074878e-178	8.78079066421593e-175
"YDL215C"	3867.06619397872	2.87234665557651	0.12376201573921	23.2086285797824	3.72565366969447e-119	8.06355642577539e-116
"YGR138C"	1148.91451121369	-2.79360861174815	0.123894729970883	-22.5482440811218	1.39719829063676e-112	2.26800212527613e-109
"YMR011W"	23858.9597582303	4.8171374044062	0.223324453623341	21.5701295861258	3.42732720579639e-103	4.45072710944719e-100
"YKR075C"	2660.6893027594	3.7907967251365	0.204864023991088	18.5039649777718	1.9182842528742e-76	2.07590327565203e-73
"YDR028C"	777.149645506945	-9.46296613476275	0.56833118353799	-16.6504432782549	3.00369090993867e-62	2.78613786831883e-59
"YBR230C"	1501.58544207005	2.63296803417079	0.16462438800837	15.9937908715987	1.41172640360142e-57	1.145792442323e-54
"YJL212C"	834.170855047137	-3.14502310191155	0.197357599123271	-15.9356574861206	3.58410990255537e-57	2.58573617747689e-54
"YMR303C"	6165.56817916395	4.44196352304274	0.282037158029303	15.7495684401317	6.91516100724704e-56	4.4900140420055e-53
"YNL117W"	509.774465133286	4.50371362851569	0.291679332800445	15.4406333327598	8.72393979502242e-54	5.14950373537096e-51
"YDR216W"	1199.79349880951	2.47109828375565	0.168306462765063	14.6821354519525	8.39058000161349e-49	4.54000299587303e-46
"YKL217W"	2987.03296333149	5.79610821778784	0.404666200001924	14.3231834478893	1.56773995201315e-46	7.83025808340107e-44
"YDR384C"	3989.18175919882	1.27842433620087	0.0912347322188588	14.0124742530522	1.30768415747687e-44	6.06485231035522e-42
"YLR205C"	291.890613296982	2.65078000244553	0.192684572419673	13.757095179743	4.61708378593621e-43	1.99858166813892e-40
"YBR296C"	539.800340700656	4.28539063221086	0.3132856868228	13.6788586662587	1.35807607321688e-42	5.51124246462325e-40
"YHR092C"	11145.2710515639	4.60139943806893	0.33967385187035	13.5465223853181	8.30735521047108e-42	3.1729210224464e-39
"YER065C"	1928.61477442461	3.02954291364862	0.2270439879488	13.3434183438136	1.29387659370178e-40	4.66730040161425e-38
