""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YHR092C"	14144.5456612966	6.99583233960903	0.199195392969794	35.1204525130251	3.28543361775952e-270	2.17232870806259e-266
"YMR011W"	30923.4434020483	4.99186667226802	0.151540882472429	32.9407259006575	5.74379487314704e-238	1.89889858506241e-234
"YFL026W"	3026.67778853814	-6.4841101148084	0.215547567028568	-30.0820380586761	8.32368443270882e-199	1.83454004896902e-195
"YNL145W"	1946.73403574119	-8.36594730061399	0.286806832367996	-29.169274774737	4.75900116581728e-187	7.86662892709596e-184
"YDR461W"	1402.61983626026	-8.1019784409154	0.293176622363518	-27.6351449020704	4.21013161147222e-168	5.56747804301087e-165
"YPL187W"	10331.537945141	10.0014368676168	0.369641907922836	27.057096755665	3.15142755895201e-161	3.47287316996511e-158
"YIL015W"	1274.64666750133	-5.1095240234751	0.188928670178949	-27.0447254968528	4.40599210748656e-161	4.16177425924302e-158
"YPL095C"	1411.10200941963	-3.15048007642188	0.124947701031282	-25.2143901041695	2.78544004711432e-140	2.30216619893999e-137
"YLR040C"	1834.53875089441	4.21888813508162	0.172220460234695	24.4970204430548	1.58919029978114e-132	1.16752514023921e-129
"YDL215C"	4828.46702000692	3.06928256594503	0.128393136081488	23.9053477438003	2.69462892105585e-126	1.78168864260213e-123
"YKL029C"	3552.2711467312	2.39764614139031	0.100834084298608	23.77813175047	5.62400063956854e-125	3.38053565716611e-122
"YDR277C"	1857.37109731496	4.09408687553133	0.172735149580221	23.7015273699692	3.47727379016463e-124	1.91597785838071e-121
"YLR174W"	1460.74268282238	4.46165526234119	0.192509091716633	23.1763353229498	7.88995449050507e-119	4.01295223778612e-116
"YKL178C"	1841.48047999829	5.05242906069742	0.222760554377399	22.6809862043064	6.90247563590548e-114	3.25994063604336e-111
"YJL079C"	4746.36880457042	2.50766154844385	0.113301826054778	22.1325784037361	1.53541931212344e-108	6.76812832784012e-106
"YGR138C"	1029.55992893869	-2.72526491186706	0.128044297629568	-21.2837663396088	1.60515937242773e-100	6.63332110655759e-98
"YBR297W"	1015.29645100013	5.00069245232977	0.250310598505524	19.9779493245046	8.56713325880664e-89	3.33211088866056e-86
"YDR384C"	4442.06918240569	1.76469244423884	0.0967097772773594	18.2473012958946	2.17386119217206e-74	7.98531677924537e-72
"YKR075C"	3384.39461132513	4.15698397817542	0.233737111701194	17.7848692829303	9.25790291891536e-71	3.22175021578254e-68
"YOL155C"	2403.99204033021	-3.03042767054985	0.17392942831766	-17.4233176056622	5.48995446521876e-68	1.81497894620132e-65
"YGL032C"	397.498804520074	-7.26851190092366	0.427524426213719	-17.0013956051487	8.01879194497482e-65	2.52477392096064e-62
"YBR296C"	684.838263397314	5.48256285361089	0.324576642306591	16.8914275982686	5.20287081756134e-64	1.56369917480525e-61
"YBR298C"	792.683127354945	3.06402198228857	0.183109328948232	16.7332926175204	7.49763951196103e-63	2.15540836752549e-60
"YPL134C"	1386.94629502901	2.42536336662676	0.149257732607816	16.2494989321561	2.25197425213768e-59	6.20418906463931e-57
"YDR028C"	632.026822978405	-9.35218093703435	0.581965271943695	-16.0699983107225	4.1409764132271e-58	1.0952054417703e-55
"YOL151W"	854.579344569705	-2.73284300469872	0.189113839560371	-14.450782719296	2.47853128421816e-47	6.30309571201941e-45
"YKR093W"	514.274384117642	-2.38147921674644	0.172416228134244	-13.8123843823576	2.14608716691804e-43	5.25552901765263e-41
"YJL212C"	756.532304161724	-3.12028000010426	0.229571593852303	-13.5917512604444	4.48225621352179e-42	1.05845278870736e-39
"YMR303C"	7985.99139261413	4.45965429073824	0.33141722580963	13.456314106316	2.82668867435653e-41	6.4448501775329e-39
"YDR216W"	1547.6534720031	2.0764904930893	0.156267831356407	13.2880227175698	2.71662423435896e-40	5.98743981252716e-38
"YMR191W"	1213.48525791886	1.90866507627415	0.143687843173583	13.283413781696	2.88916094024191e-40	6.16230068931598e-38
"YPR030W"	800.764430554582	2.27583649110429	0.172160568383905	13.2192668301916	6.7922780267656e-40	1.40345444728044e-37
"YNL117W"	659.07042366416	4.65051260728605	0.35480751245594	13.1071424477337	2.996784697052e-39	6.00446679300236e-37
"YER042W"	561.052086950714	-2.00823969509755	0.155218103091246	-12.9381796008485	2.74046261401676e-38	5.32939376584672e-36
"YIR035C"	937.744964837333	-1.47034859178519	0.116977719161901	-12.5694756430511	3.10778245000352e-36	5.87104501697808e-34
"YDR342C"	4213.15734353555	6.58358431381714	0.524711584298191	12.5470534877227	4.12578492474319e-36	7.57769164511167e-34
