""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YOR153W"	15910.2286100748	2.42162404034354	0.108153187184157	22.390685872439	4.85067171996324e-111	3.08260187803664e-107
"YGL009C"	4256.57801091169	-2.08053033471999	0.0968118560322156	-21.4904498270095	1.91249553029499e-102	6.07695454751234e-99
"YDR028C"	765.255757092844	8.21019582166447	0.40376167175294	20.3342625019847	6.39943784155757e-92	1.35561424943661e-88
"YMR102C"	1140.34290323392	1.56189762557972	0.0883824318163234	17.6720372304946	6.88644400864256e-70	1.09408379187309e-66
"YBR105C"	1709.57806614647	1.64148875974008	0.0958663266394741	17.1226833997015	1.00532411807935e-65	1.27776695407886e-62
"YLR136C"	845.714275264917	2.26792505764549	0.138614563741446	16.3613764414812	3.60878047123873e-60	3.82229998245369e-57
"YKL120W"	1288.2403788936	-1.76046952918281	0.108123350215136	-16.2820475473609	1.32364948235441e-59	1.20168463719461e-56
"YHL047C"	1492.69792590094	2.16266547431667	0.135061268905214	16.0124770916704	1.04562684500485e-57	8.30619825000724e-55
"YOR221C"	364.391107076963	-2.24792955027212	0.145795437632794	-15.4183806213048	1.2315389546893e-53	8.69603339672278e-51
"YOR383C"	3688.9513033984	3.4628820213454	0.240532802064576	14.3967142594369	5.42625605426759e-47	3.44838572248705e-44
"YMR096W"	773.618198938022	2.17636960334369	0.164955329755231	13.1936907196215	9.53979294655516e-40	5.51139856139619e-37
"YKR075C"	473.313649674901	1.66768889938355	0.126881890582634	13.1436321741867	1.85122844065985e-39	9.80379728366111e-37
"YMR291W"	585.404353012209	1.5973321976207	0.126247013551511	12.6524355126148	1.0845964976278e-36	5.30200826340357e-34
"YOL143C"	4423.68487664727	-1.09916738417201	0.0884605190069013	-12.4255136247421	1.90002165877212e-35	8.62474117249775e-33
"YPL111W"	1335.19529220626	-1.20296518818473	0.0971362602424353	-12.3843061816703	3.17821569631946e-35	1.34650405000734e-32
"YOR382W"	2960.89266439272	3.26569967498624	0.268834049428667	12.1476415726601	5.90443260549432e-34	2.34516682549478e-31
"YLR303W"	1833.22023860398	14.1395508913348	1.19318922191158	11.8502167398748	2.14634952515437e-32	8.02355954844473e-30
"YOL109W"	9157.06198341873	-0.90688911483028	0.0774568262041001	-11.708317514077	1.15549781235603e-31	4.07954922084589e-29
"YEL065W"	2100.85175964183	1.52719032059063	0.133834374989565	11.4110468309035	3.682703046699e-30	1.23176725588274e-27
"YBR115C"	742.985345403828	-13.1269064593409	1.18328802749593	-11.0935851240886	1.34775731900574e-28	4.28249888114073e-26
"YDR477W"	648.37927962613	12.6404255837173	1.1855498855313	10.6620781950921	1.53136716842436e-26	4.63420874063657e-24
"YBL005W"	1007.56104256312	1.00709101259472	0.102516147824869	9.82373054355459	8.89880949321653e-23	2.57054246951777e-20
"YLR350W"	1425.33196942345	-0.899730787693983	0.0933342381286952	-9.63987927402779	5.42517419197953e-22	1.49899921695782e-19
"YGR032W"	816.427554975148	1.20602915696214	0.125991926215853	9.57227334468983	1.04580362871978e-21	2.76920085854759e-19
"YJL116C"	639.162824273109	2.21421880143475	0.233765109062393	9.47198155582648	2.74584519861721e-21	6.97993849488496e-19
"YER175C"	760.974645924423	1.43573931724977	0.158131993956392	9.07937275264927	1.09202343695291e-19	2.58267990039562e-17
"YMR120C"	2786.50098205567	2.05372339385706	0.226209647794629	9.07884970371198	1.09728335658036e-19	2.58267990039562e-17
"YOR273C"	910.433083985641	-1.70348176882576	0.192522707607647	-8.84821219270084	8.89324386558166e-19	2.01844874163469e-16
"YML058W"	3649.57403538543	-0.67286594376756	0.0764453356855764	-8.80192280841165	1.34491681480521e-18	2.94722288209901e-16
"YJL191W"	2096.85126841879	-0.91952200217136	0.105064012271501	-8.75201681614043	2.09573163102234e-18	4.43945817171566e-16
"YLR346C"	141.148108980566	3.37835982668499	0.38671470928827	8.73605204441978	2.41398791966288e-18	4.94867523530891e-16
"YBR207W"	1487.6498034388	0.688904704159146	0.0794499353770798	8.67092843926825	4.2861102974426e-18	8.51194716882742e-16
"YKL001C"	610.847401303237	-0.856937217063387	0.102304692200762	-8.37632369179844	5.46065969925875e-17	1.05159067844816e-14
"YDR011W"	3284.02119313188	0.865978496519798	0.104614745576804	8.27778619299929	1.25486273550669e-16	2.34548608357207e-14
"YJR010W"	694.386873010878	-0.78831525433551	0.0958815931287023	-8.22175798932909	2.0054155439898e-16	3.64126165201577e-14
"YMR058W"	10851.8399178559	0.792327008218804	0.0972779531085337	8.14498026428248	3.79343777382375e-16	6.69647140351386e-14
"YOR135C"	421.223856965906	1.42605011800939	0.177775830894146	8.02161976032903	1.04359764607776e-15	1.79244947049301e-13
"YBR262C"	571.049861085574	0.940144309045684	0.117557922046048	7.99728587136326	1.27191701479022e-15	2.1271138497347e-13
"YOR375C"	3183.2105601825	-0.971675478164651	0.121669284952206	-7.98620192882982	1.39159671327478e-15	2.26758900329775e-13
"YDR476C"	620.772857849403	0.903744974731888	0.116265309385901	7.77312664891498	7.65721123480701e-15	1.21653943492996e-12
"YMR251W"	134.44677789723	1.64183606550324	0.212500011729703	7.72628694059383	1.10728883102673e-14	1.71629768809143e-12
"YGL209W"	1907.79568721294	0.898106301708915	0.11708640574521	7.67045752231279	1.71383918741973e-14	2.54390331640269e-12
"YGR281W"	970.137732760469	0.831326998614999	0.108388226771139	7.66990127415166	1.72128784587436e-14	2.54390331640269e-12
"YER125W"	1674.46002470292	0.821208462565249	0.107136882648363	7.66503973482747	1.78775846359588e-14	2.58209205367086e-12
"YBR047W"	145.858337864511	1.65262227993006	0.215694069160736	7.66188095185189	1.83229449480926e-14	2.58760700322507e-12
"YNL315C"	855.770414307971	0.744177265070276	0.0973137356367183	7.64719656686865	2.05408210355888e-14	2.83775908002537e-12
"YKL138C"	552.155433547628	0.815868147259728	0.107396662001648	7.5967737921613	3.03604561629306e-14	4.10512125351966e-12
"YLR023C"	1079.64183727958	0.7811095555358	0.102926556460692	7.58899920871353	3.22385730396392e-14	4.26825274306056e-12
"YPL274W"	1950.17075126621	-0.618041293506937	0.0823007513643763	-7.50954618592285	5.93326835468096e-14	7.69508579469337e-12
"YIL011W"	231.605311354086	1.12001572674759	0.149363966322434	7.49856711979511	6.45192131334823e-14	8.20039198926561e-12
"YDR347W"	1084.13676279843	0.663320636222654	0.0885664710856873	7.48952315804586	6.91242874091092e-14	8.61342836244881e-12
"YIL014C-A"	180.484135382135	1.23689170576687	0.1656032114008	7.46900796973853	8.08016461023941e-14	9.87489348039836e-12
"YHL040C"	1466.30933727768	1.34047251312942	0.181572534818957	7.38257311033293	1.55259224261284e-13	1.86164598147256e-11
"YMR241W"	2832.72983188007	-0.610841778289916	0.0843748413295492	-7.239619875599	4.49944033104843e-13	5.29517468589125e-11
"YGR076C"	409.13235565435	0.783705352607105	0.108868313034274	7.1986543261709	6.08096944081119e-13	6.90081442792055e-11
"YKR095W-A"	308.855657759847	-1.05898980598897	0.147091962080579	-7.19950832805427	6.04300657206416e-13	6.90081442792055e-11
"YNL037C"	4693.54279462537	1.71026374176183	0.23827518764501	7.17768290800735	7.09027683329442e-13	7.90503671501509e-11
"YDR345C"	18009.6505761151	2.24579044658842	0.314027261312303	7.15157797830475	8.5785965087474e-13	9.39947945053271e-11
"YJL079C"	1759.89196379982	1.43565245713892	0.201524354035677	7.123965061239	1.04865637017887e-12	1.12952732754013e-10
"YGR065C"	950.930570385676	1.06273064319335	0.150457078110279	7.06334761076782	1.62538436602748e-12	1.72155294101744e-10
"YLL028W"	996.546290031384	0.97325031265765	0.138102369852799	7.04731072823025	1.82408687601856e-12	1.90033968804884e-10
"YOR338W"	478.205576776906	1.62529705740428	0.231582869841514	7.01820932833488	2.247296906753e-12	2.30347932942182e-10
"YDR277C"	194.498906820559	1.73526400825043	0.247373119295741	7.01476382393788	2.30337706092595e-12	2.32348590828324e-10
"YJR048W"	321.641756938237	-0.961703531154599	0.138407330390674	-6.94835691462336	3.69565066220207e-12	3.66966561848346e-10
"YDR144C"	1567.12335149101	-0.563480341592395	0.0811507105124809	-6.94362794895964	3.82156160562907e-12	3.73631138519581e-10
"YMR015C"	2055.46160850563	-0.599274539744817	0.086558788069822	-6.9233240564946	4.41166989702747e-12	4.12296502876611e-10
"YMR272C"	2046.33023766008	1.110302342234	0.160277001214539	6.92739653113299	4.28655838332066e-12	4.12296502876611e-10
"YNL301C"	3850.86029450389	-0.705795292768442	0.101926815223983	-6.92453002889831	4.37425249178104e-12	4.12296502876611e-10
"YHR092C"	223.183838984757	1.54990843761574	0.225665275295934	6.86817427086737	6.50287528931727e-12	5.98924238603062e-10
"YBR083W"	1350.73598067587	-0.96397951646535	0.140600340983864	-6.85616770001989	7.07323391966612e-12	6.42148593706831e-10
"YEL034C-A"	6625.96239551782	-0.560768501954403	0.0823439245928009	-6.81007742498867	9.75462328976417e-12	8.73107478964103e-10
"YLR153C"	4330.66301514813	-0.494060335371217	0.0731182691437584	-6.75700260901747	1.40875654885564e-11	1.24342331499689e-09
"YDR296W"	732.198602638456	0.69885496097847	0.104688826369328	6.67554490020747	2.46315234776123e-11	2.14429221507159e-09
"YOL136C"	1070.09665406254	0.709965610125218	0.106689197586562	6.65452197772119	2.84222283771278e-11	2.4083101511553e-09
"YOR128C"	1461.9820200431	0.934481011789267	0.140402637076662	6.65572265055839	2.81911428353075e-11	2.4083101511553e-09
"YIL015W"	4008.40620865681	-0.728881278965564	0.109864658428074	-6.6343562105802	3.25921886485419e-11	2.66729912540033e-09
"YNL306W"	970.984804872785	0.64794088585384	0.0976741585924672	6.63369815712762	3.27378964250552e-11	2.66729912540033e-09
"YOR247W"	5640.21770661443	-0.554905794752973	0.0836424156267755	-6.63426313784435	3.26127584359088e-11	2.66729912540033e-09
"YJL082W"	767.732585282409	0.847628033032428	0.128151220516729	6.61427982983414	3.73364888921215e-11	2.96749722705861e-09
"YOR136W"	5434.66785064034	1.48445393877788	0.224434354092561	6.61420104234875	3.73563773665915e-11	2.96749722705861e-09
"YLR439W"	598.253290837195	0.683952353270478	0.103658053645592	6.59815932497556	4.16293767431895e-11	3.26610727411073e-09
"YLR042C"	481.885260853174	-1.00664660813726	0.153259456926834	-6.5682511756376	5.09096149729227e-11	3.94549516040151e-09
"YPR002W"	354.941469143937	1.68306998047773	0.257171082341901	6.54455378556184	5.96732858007266e-11	4.56896061763395e-09
"YOR011W"	379.590306799595	0.721049254087793	0.110792880861903	6.50808290639667	7.61159092616733e-11	5.75853099235636e-09
"YGL117W"	511.286649091253	1.27536826270732	0.196847736752249	6.47895822298676	9.23580692117841e-11	6.90512388048103e-09
"YMR095C"	127.124001249128	1.31182560930866	0.202596354003614	6.47507017468467	9.47678869622042e-11	7.0029060656373e-09
"YGR035C"	721.273079565764	0.764121412215868	0.118398379546	6.45381647236982	1.09067885448129e-10	7.96697025313629e-09
"snR4"	122.579036093827	-1.11173128553537	0.172819994258634	-6.43288579139524	1.25203729156807e-10	9.04170112263077e-09
"YDL066W"	2292.80036235564	0.573762654653323	0.0893634258150064	6.42055348058258	1.35779757232571e-10	9.69528491250546e-09
"YIL070C"	863.524078287664	0.727411471942113	0.113843880711562	6.38955266981021	1.66371726819889e-10	1.17476924882266e-08
"YGR161C"	810.509910797412	1.48752357016554	0.232997835943689	6.38428062707436	1.72205046980547e-10	1.20259678413338e-08
"YMR205C"	7887.50160178512	0.630686398961475	0.10012230577487	6.29915975346798	2.99263436537408e-10	2.06719471651655e-08
"YGR055W"	4968.73783685667	-0.637559209070222	0.101948650222097	-6.25372879073229	4.00766735643271e-10	2.73857269356235e-08
