""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YHR092C"	19724.1153603454	-8.56082224353664	0.138617439155025	-61.7586235593527	0	0
"YLR174W"	1887.93801906746	-5.41212156672984	0.135043226365144	-40.0769569300423	0	0
"YMR011W"	17759.8494026233	-4.92874239032941	0.111593780383051	-44.1668198121012	0	0
"YMR303C"	6610.7292739258	-5.03081363783927	0.0959953216703973	-52.4068626501687	0	0
"YFR053C"	13031.8555839203	-6.17452679306984	0.165659594628691	-37.272376567801	4.60010165181043e-304	6.08869454633628e-301
"YDR342C"	3332.03505106186	-8.77435749494656	0.244986169335074	-35.8157259193911	6.28611411462877e-281	6.93358386843554e-278
"YDL215C"	3384.52846862348	-3.16438317608869	0.0885062341496249	-35.7532235609427	5.89506748948179e-280	5.57336523505578e-277
"YDR277C"	1416.56141324635	-5.06217690662617	0.141730158292129	-35.7170059472607	2.15283029266114e-279	1.78092885960393e-276
"YBL045C"	5326.78375633859	-2.45908473792735	0.0725480419773845	-33.8959490966541	7.64311699491358e-252	5.62023869692646e-249
"YKL148C"	3631.08700340057	-3.62423145226426	0.108762992837571	-33.3222850687528	1.83660759341699e-243	1.21546690532336e-240
"YKR075C"	2425.03271549346	-4.48378576055946	0.136406130690032	-32.8708521961405	5.73681369757262e-237	3.45147573186687e-234
"YLR327C"	1088.56454836681	-5.29873857673047	0.166335228400306	-31.8557808089722	1.09473458078105e-222	6.03746121300751e-220
"YKL109W"	1650.46429126132	-3.32950007604224	0.108770631754149	-30.6102853531992	8.93121649967847e-206	4.54667621499016e-203
"YKL217W"	1813.57009262137	-4.97784391546352	0.163407560332536	-30.4627515724092	8.12033603637554e-204	3.83859884919524e-201
"YBR230C"	1499.02673278578	-2.68308585995013	0.0880870145085561	-30.4594936599823	8.96849545153601e-204	3.95690019321769e-201
"YDR178W"	2356.71172340083	-2.78904669377474	0.0917381798318566	-30.4022458139749	5.1300314217585e-203	2.12190924682486e-200
"YLL041C"	2522.28300929126	-3.08105948695863	0.101496729551016	-30.3562439951325	2.07827495260542e-202	8.0906021390251e-200
"YNL117W"	948.717031520455	-5.56980078951226	0.186020304976694	-29.9418968816876	5.60975172730432e-197	2.06251871840556e-194
"YJL153C"	4679.00754564286	-6.61623232312873	0.223822630509461	-29.5601580057789	4.86227886714538e-192	1.69360850225095e-189
"YLR377C"	1944.77334629499	-5.41658291676903	0.183274094254769	-29.5545474596068	5.74040353331271e-192	1.89949952917318e-189
"YIL162W"	6238.75518287898	-4.02456283635414	0.139498458620007	-28.8502315808164	5.03308774338717e-183	1.58614165170173e-180
"YJL079C"	2727.62010426933	-2.39771245104141	0.0839419699448157	-28.5639287786275	1.88619214258826e-179	5.6740089089314e-177
"YJR121W"	14098.4477319141	-2.13979756165642	0.0754118001011769	-28.3748373435662	4.13435787775668e-177	1.1896165406519e-174
"YBL030C"	8632.22597546773	-1.99163574525353	0.0717658983039379	-27.7518402517404	1.65561790435188e-169	4.56536637125032e-167
"YDR461W"	1767.62086066304	2.53840643721078	0.0917745721283832	27.6591476085534	2.16630217853566e-168	5.7346351270196e-166
"YPL134C"	1344.68188863176	-3.31806525518496	0.120519708419608	-27.5313083535899	7.40985239590379e-167	1.88609242908043e-164
"YNR044W"	1409.26121225991	2.52370341658253	0.0931627746608643	27.0891826243845	1.32049728199972e-161	3.23668556010155e-159
"YMR145C"	5237.49669150277	-2.58729452065577	0.0958440652702863	-26.9948328397741	1.69945980750795e-160	4.0167946450313e-158
"YDL181W"	771.634276732784	-3.02455726747158	0.112186125268338	-26.9601723050613	4.33467394205648e-160	9.89202487880338e-158
"YPR010C-A"	813.857496594124	-2.95548070580898	0.110257619777404	-26.805228625248	2.80815759564783e-158	6.19479565599911e-156
"YJR048W"	1337.51656281386	-2.55458534349531	0.0954201370214605	-26.7719731205245	6.85264713436096e-158	1.46292963661938e-155
"YML091C"	1215.07893447538	-2.80384635619539	0.10617555751538	-26.4076442997651	1.11941558678734e-153	2.31509136042457e-151
"YHR216W"	2621.10385845019	3.17005629204175	0.1204265250531	26.3235719094608	1.03047613432359e-152	2.06657304756167e-150
"YGL187C"	1878.85996181171	-2.26305296953035	0.086276959694146	-26.2300963959896	1.2058968240914e-151	2.34724270054027e-149
"YDR216W"	1465.25191786725	-2.77995695508092	0.106845205889293	-26.0185464751818	3.05483562896705e-149	5.77625776928684e-147
"YBL099W"	7923.58057381337	-2.09431938379237	0.0808611344329875	-25.9001978945523	6.62560120332e-148	1.21800635454366e-145
"YKL016C"	2994.09817682952	-1.92967100151768	0.0746392890222594	-25.8532875486287	2.23457362676491e-147	3.99686709781896e-145
"YBR039W"	4419.8066014521	-2.08926414477393	0.0815869785922369	-25.6078136587929	1.24855282839463e-144	2.17445332060938e-142
