""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YFL026W"	4037.6143657679	6.70050669698906	0.154097636421254	43.4822159028579	0	0
"YHR092C"	10896.6989106434	-7.70629115051449	0.138936082668975	-55.4664490496344	0	0
"YIL015W"	2323.02474268452	5.7942182871248	0.128152781740418	45.2133633654661	0	0
"YMR011W"	23907.6769940408	-5.37456349452167	0.112755670851669	-47.6655715311381	0	0
"YJL079C"	3708.56707555501	-2.91662355674518	0.0795157473425267	-36.6798232327662	1.53194944867891e-294	2.02768829027141e-291
"YNL145W"	2810.24264284098	8.68377627384383	0.246815450887966	35.1832765841939	3.60353806015071e-271	3.97470248034624e-268
"YDL215C"	3787.82128883943	-3.34948527362833	0.0960761910413223	-34.8628025041888	2.72400344245467e-266	2.57535068316643e-263
"YLR174W"	1135.92810035366	-4.66086321052239	0.138403889402627	-33.6758109229403	1.30673465582385e-248	1.08099624403028e-245
"YDR461W"	1508.8123626182	7.99795110257559	0.25835341417395	30.9574043298323	2.01977033580294e-210	1.48520445359376e-207
"YDR277C"	1419.13012249077	-5.0695496831376	0.175713386438676	-28.8512434134144	4.88811406373519e-183	3.23495388737995e-180
"YKL178C"	1439.61253087929	-4.8774009195599	0.169522054290202	-28.7714830968858	4.87922624843384e-182	2.93551993746683e-179
"YBR105C"	2769.0233078202	-2.65738835807462	0.104990884968173	-25.3106577669117	2.43812177917131e-141	1.34462416121298e-138
"YBR297W"	801.145331860779	-4.45955074524381	0.178477513769706	-24.9866252114991	8.5445675834811e-138	4.34984217442138e-135
"YPL187W"	7954.5668858152	-11.9442949363604	0.482871843007651	-24.7359524257271	4.39136244897965e-135	2.07585976338195e-132
"YKR075C"	2620.31480510348	-4.60565691431809	0.193632392588271	-23.7855704448754	4.71064882467137e-125	2.07833826144501e-122
"YGL032C"	899.446402662209	8.22249904202222	0.353359294134133	23.2695140003902	9.0276892204431e-120	3.73407795380578e-117
"YLR040C"	1539.76539382019	-2.96518547685819	0.130639000708094	-22.6975517325315	4.73647465213166e-114	1.84388172045925e-111
"YBL045C"	3066.08510329861	-1.46103486194276	0.0655563613983285	-22.2866985106958	4.97343295112031e-110	1.82856551502857e-107
"YBR230C"	1512.44796676676	-2.70457013905747	0.124571570587347	-21.710974071416	1.61596539758473e-104	5.62866263221881e-102
"YER062C"	2224.0581496942	-2.03982590022976	0.095175476349766	-21.4322636299027	6.6849801740181e-102	2.21205993958259e-99
"YBR298C"	635.68130680779	-3.02581404208061	0.141878069280679	-21.3268622657573	6.39567465922949e-101	2.01555118546575e-98
"YFR053C"	22109.5245334834	-6.95012829153253	0.338643604585825	-20.5234299346442	1.32990408107627e-93	4.00059327661944e-91
"YDR216W"	1216.20817318749	-2.47437509089682	0.123205256542764	-20.0833565087214	1.03181774732145e-89	2.9689434138145e-87
"YBR296C"	532.284672583434	-5.38507054317485	0.272329284433296	-19.7741148344766	4.97481383376549e-87	1.37180491466083e-84
"YDR178W"	1390.98249528583	-1.88274346238023	0.101139144731419	-18.6153785201562	2.41149970157395e-77	6.38372201000656e-75
"YDR342C"	3238.55494669286	-8.73460180867833	0.473810268159327	-18.4348090272733	6.90621618767036e-76	1.75789764346163e-73
"YPL134C"	1073.59316916347	-2.9624628967239	0.162481098948203	-18.2326616197265	2.84149471038032e-74	6.96481925677665e-72
"YMR303C"	6178.56670456014	-4.93520954643048	0.270915990030076	-18.216752528644	3.80051470724778e-74	8.98278797591635e-72
"YJL170C"	173.03062304826	4.65827731755339	0.273322597277539	17.0431474161035	3.93000613250911e-65	8.96854502929147e-63
