""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YGL009C"	4119.96672962132	2.32429460903568	0.0634346889956479	36.6407504448418	6.42389681172601e-294	3.92114661387755e-290
"YOR382W"	1773.481074627	-2.42682670646849	0.0878853968472953	-27.6135375560198	7.65349768867173e-168	2.33584749458261e-164
"YOR383C"	2192.88748536709	-2.62497769282518	0.104562532192467	-25.1043814431867	4.45456709667478e-139	9.06355918603429e-136
"YOR153W"	12228.6636527499	-1.96327506629865	0.107104968282353	-18.3303827804048	4.73560694199625e-75	7.22653619348627e-72
"YOR375C"	2971.70025164016	1.27593554731887	0.0702311597871371	18.1676559405553	9.30911817702609e-74	1.13645714705135e-70
"YOR221C"	375.591918658814	1.99266519323787	0.119973692866413	16.6091844439318	5.98006813284811e-62	6.08372264715081e-59
"YKL120W"	1306.17115432244	1.6629124014467	0.101312555402005	16.4136853013756	1.52651626204552e-60	1.33112218050369e-57
"YHR208W"	5794.13188402743	1.6901627499521	0.104611420235194	16.1565797133063	1.02069907186342e-58	7.78793391831787e-56
"YJR148W"	1633.77248226593	-1.14896482550441	0.0764170787646366	-15.0354455323162	4.30144551779683e-51	2.91733593784799e-48
"YHL047C"	953.702546041323	-1.32712104055394	0.0901056079665414	-14.7285065880332	4.22949397494106e-49	2.58168312230402e-46
"YEL065W"	1713.03596275693	-1.12041411409397	0.0835200233236486	-13.4149162022172	4.94491726633503e-41	2.74397954488264e-38
"YBR115C"	741.602144422419	10.6963848394189	0.837555631491573	12.770954474236	2.3821526018748e-37	1.21172162348698e-34
"YLR136C"	501.642828161091	-1.29952750387619	0.10314426462225	-12.5991252023126	2.13499275424819e-36	1.00246121322546e-33
"YNL037C"	4007.30589909858	-1.40981948416992	0.113389677215354	-12.4334023942262	1.72148180693723e-35	7.50566067824631e-33
"YLR346C"	136.213952052821	-3.33150732018507	0.271892210120859	-12.2530443910261	1.61805661013253e-34	6.58441169883265e-32
"YMR120C"	1750.8074761144	-1.1662389836529	0.0977463973161014	-11.9312733325752	8.13199839111954e-33	3.1023573862121e-30
"YOL143C"	4790.732312233	0.755605386205322	0.0680599297305568	11.1020594525545	1.22586129682922e-28	4.40156315049738e-26
"YOR136W"	4889.55493177683	-1.27864291481381	0.115506733015907	-11.0698561151212	1.75682456816042e-28	5.95758731336177e-26
"YMR096W"	485.805943889165	-1.30709066743246	0.119436084694485	-10.9438506024036	7.11139592410778e-28	2.28462951161863e-25
"YJR016C"	6878.35213419377	0.881593552255311	0.0870166921243346	10.131315391714	4.01215336518615e-24	1.22450920705481e-21
"YOR020C"	4564.93522079779	-0.661045439767559	0.0654398427149552	-10.1015743978322	5.43623246366943e-24	1.58013156943992e-21
"YBR105C"	1259.77841045833	-1.03185925243017	0.104607443674124	-9.86410924680125	5.95607365218687e-23	1.6525397078613e-20
"YPL135W"	2179.85853622585	-0.65044337640988	0.0665414986372833	-9.77500341486802	1.44152468485959e-22	3.82568116364475e-20
"YNL036W"	2207.32724472997	-0.752415598434358	0.0788660743481088	-9.54042159006486	1.42252833433421e-21	3.61796373032334e-19
"YGL062W"	1989.13034921006	-0.628963040727829	0.0669842518969233	-9.3897150884911	6.01627756245519e-21	1.46893432964906e-18
"YPL111W"	1501.71336693646	0.696393079349038	0.078052397400077	8.92212286292119	4.57434362898147e-19	1.07391513505011e-16
"YMR189W"	1538.40993621968	-0.686767741129102	0.0771204561776334	-8.90513068993334	5.33231887287572e-19	1.20549905185309e-16
"YLR304C"	8794.4196265064	-1.42095915351956	0.161146507964693	-8.81780915681333	1.16720972010241e-18	2.54451718982325e-16
"YOL158C"	1726.22527793956	-0.662509106137536	0.0755600353005449	-8.7679830151265	1.81895264513328e-18	3.82858170548053e-16
"YPL274W"	1953.49614855774	0.602959016966219	0.0697952614752158	8.63896780700977	5.6723155224689e-18	1.15412713163834e-15
"YER175C"	574.541902134654	-0.851163740401775	0.102309659526683	-8.31948561200893	8.83458793873627e-17	1.73955886380794e-14
"YLR350W"	1531.23408034246	0.611754305527787	0.074116715826373	8.25393163616279	1.53267047934839e-16	2.92356893935705e-14
"YMR102C"	854.005201816958	-0.977974978420158	0.118613429543227	-8.24506113840799	1.65075794169255e-16	3.05340196245192e-14
"YKL216W"	12127.9276777509	0.647853671964968	0.0797897684481786	8.11950810943551	4.68076909752122e-16	8.40335722684399e-14
"YHL040C"	1213.69051155561	-0.949462484500944	0.117308027214418	-8.09375544919445	5.78527826627947e-16	1.00895252963914e-13
"YBL005W"	909.489199395915	-0.785200597870075	0.0974227352156657	-8.05972647074493	7.64653544194918e-16	1.29651256493494e-13
"YLR348C"	1760.50016509735	0.728959027560682	0.090586151588982	8.04713540396549	8.47543962072356e-16	1.39821847148369e-13
"YER073W"	3504.05207323736	1.03698239319968	0.12909585066826	8.0326547122295	9.53858377608339e-16	1.53219777287403e-13
"YIR038C"	758.611576458406	-0.83548864165237	0.104600395221812	-7.98743293350525	1.37777565608259e-15	2.15639553967387e-13
"YDR019C"	1239.27729761136	-0.732106252691904	0.09214426703453	-7.94521760553541	1.93850185993678e-15	2.95815383826352e-13
"YNR037C"	430.652622557046	-0.835974398292206	0.106244280455062	-7.86841790175986	3.59154122649778e-15	5.34701649915669e-13
"YBR083W"	1423.83381949539	0.739704155005404	0.0960215405934982	7.70352308902124	1.32365176461802e-14	1.92370723124486e-12
"YLR420W"	3241.9931480995	0.660728768947856	0.0860912376432804	7.67475049767074	1.65740933659009e-14	2.3527503698944e-12
"YER091C"	9987.76776472561	0.589322908393478	0.0769019654824236	7.66330099232862	1.81213974522977e-14	2.51393204656421e-12
"YOR285W"	1279.10304490014	-0.579848892598563	0.0767580552885997	-7.55424157657996	4.21307569716822e-14	5.71480312344774e-12
"YPR002W"	289.246947134655	-1.28722407896849	0.170599817923573	-7.54528401399087	4.51302881384289e-14	5.98859301732543e-12
"YKL195W"	1763.59235049737	-0.50401881461487	0.0676630221123034	-7.44895511433597	9.40823711408271e-14	1.22186977328427e-11
"YJL088W"	759.77971319989	-1.16978778582078	0.157379681049332	-7.43290225282705	1.06240411741323e-13	1.35102390264383e-11
"YDR032C"	1909.89646399048	-0.58522648513553	0.079118801259992	-7.39680677431423	1.39498305366769e-13	1.73775031828319e-11
"YIL070C"	855.949556365278	-0.714115585393176	0.0967833576886623	-7.37849566751322	1.60087999703507e-13	1.95435430038041e-11
"YPR036W-A"	8078.28162585782	-0.807425109848499	0.109766814507614	-7.35582164309319	1.89756246381677e-13	2.27112181943874e-11
"YGR234W"	2636.3570564733	0.601981225988146	0.0833583412955429	7.22160753959644	5.13765682909922e-13	6.03081870861955e-11
"YKL096W-A"	30122.5753110443	0.403505040972814	0.0560196862358628	7.20291504800499	5.89386969853027e-13	6.78795861128844e-11
"YJR150C"	49.2123419594525	-3.04299815297943	0.424933488014492	-7.16111636011058	8.00226868002635e-13	9.0455274116446e-11
"YJL213W"	181.300730952425	-1.08197175515338	0.151290224446655	-7.15163031260414	8.57532585256366e-13	9.51705254619066e-11
"YJL116C"	322.849134046351	-0.893162070105453	0.12533141260876	-7.12640232416106	1.03026288730085e-12	1.12298654715792e-10
"YKL138C"	535.294733927518	-0.752179427974691	0.105670199096117	-7.11817933919581	1.09362016567711e-12	1.17113289320931e-10
"YER062C"	1339.07942262491	-0.863145644714341	0.122129582891402	-7.06745756662294	1.57797974986378e-12	1.66068765399457e-10
"YGR161C"	650.154497853142	-1.04293179620843	0.148935461236043	-7.00257539442214	2.51299569819209e-12	2.59988571894314e-10
"YEL071W"	6862.45023723243	-0.404121899755377	0.0577400849756603	-6.99898346054963	2.57826292458848e-12	2.62295281528135e-10
"YNL306W"	938.391350933629	-0.572363239363849	0.0822028155736209	-6.96281794449291	3.33532733551434e-12	3.33751443540648e-10
"YDR111C"	782.833902015472	0.599639390028686	0.0871191583480623	6.88297960401523	5.86134223906315e-12	5.77058597213572e-10
"YAL044C"	2011.51352053251	-0.592116612609578	0.086320153412766	-6.85954078160859	6.90822559335494e-12	6.58872015966227e-10
"YHR116W"	232.194533899069	-0.949837838784955	0.138455996537157	-6.86021452693129	6.87572147435853e-12	6.58872015966227e-10
"YKR071C"	1404.72952237022	0.54167110054676	0.079097869664708	6.84811238081224	7.48307729533116e-12	7.02718520164637e-10
"YDR406W"	746.229933885222	-1.54329045552126	0.226863396408241	-6.80273010082288	1.02654864730166e-11	9.35231782556613e-10
"YIL014C-A"	166.860718316295	-1.07929716775835	0.158631487547363	-6.8038015935273	1.01893847000034e-11	9.35231782556613e-10
"YOR185C"	541.826598874079	-0.880917308479183	0.129942738740652	-6.7792730630172	1.20782055182504e-11	1.08419656593236e-09
"YCR005C"	4325.31093016549	-0.904840050506554	0.134707890265427	-6.71705308964207	1.85436422607415e-11	1.64044046897922e-09
"YOR135C"	398.993574061994	-1.32490609228731	0.197685525481665	-6.70208953872138	2.05460069167786e-11	1.79161180314309e-09
"YOL151W"	1111.43698687009	-0.600051508437167	0.0899060899985754	-6.67420314293142	2.48579094949058e-11	2.13707999375922e-09
"YDR345C"	7927.20349907395	-0.617784845364538	0.0926676410505108	-6.66667283596654	2.61667499144075e-11	2.21835890941032e-09
"YLL039C"	2438.06501548452	-0.660089893688424	0.0990790512253749	-6.66225489167149	2.69657813358396e-11	2.25478259279404e-09
"YAL005C"	11173.2834486721	-0.708084675632322	0.106828247141093	-6.62825324370551	3.39682358052114e-11	2.80192042371636e-09
"YLL009C"	386.76737759258	-0.716439202984693	0.108920567281832	-6.57763011030696	4.78005532108531e-11	3.89032769065397e-09
