""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YML123C"	10828.2852591029	5.92243491005336	0.123193342053656	48.074309953162	0	0
"YPL019C"	3317.85617695358	3.50898694877211	0.124075450485369	28.2810736132358	5.90726797591052e-176	1.91631773138537e-172
"YOR065W"	2197.17246683888	2.18832697915046	0.0843654369998163	25.9386670296656	2.44089108246321e-148	5.2788337810071e-145
"YHR136C"	498.970179118089	6.57527504311021	0.295457538570857	22.2545516181958	1.01907396418255e-109	1.6529379699041e-106
"YHR215W"	1048.52321786084	4.73224085773874	0.212818026104973	22.2360903554502	1.53786889835394e-109	1.99553868250407e-106
"YKL109W"	1155.04051202004	2.82129226479664	0.129385435871179	21.8053310699175	2.06507215366744e-105	2.23303135549905e-102
"YLR348C"	1188.95396317051	-2.12350974026174	0.0975463168869844	-21.7692457083952	4.5404071886381e-105	4.20830883426915e-102
"YKL150W"	2126.27655915569	1.63571677353341	0.0769955072245089	21.2443145385597	3.72093490321618e-100	3.01767820650832e-97
"YNL055C"	8427.77392534489	1.88285694334688	0.0889418561193496	21.1695260870237	1.82382089226633e-99	1.31477221655822e-96
"YDR028C"	749.897356297103	8.36820697894024	0.400339776179525	20.9027617959892	5.05349586558188e-97	3.27870811758952e-94
"YJR048W"	1658.88854305127	2.98039507988614	0.144748404649402	20.5901756714004	3.36147967751817e-94	1.98266183161253e-91
"YDL181W"	729.955017748625	3.00289772124921	0.14605300783107	20.5603278278422	6.22113301094116e-94	3.36355924791552e-91
"YBL030C"	9478.56385134022	2.23218419006062	0.110894157552813	20.1289611582788	4.11531634281029e-90	2.05385941785793e-87
"YDR377W"	1620.4518954979	2.10181660223259	0.104579922454599	20.097706642927	7.72834347405348e-90	3.58153517568993e-87
"YLL053C"	292.237602664717	3.44583369355026	0.172763291967946	19.9454042250456	1.64316642576076e-88	7.1072425135572e-86
"YPL265W"	1427.92455225359	-2.88748353463875	0.147188613514154	-19.6175741159562	1.09453202557714e-85	4.43832736371532e-83
"YBR039W"	4569.95326898539	2.22226140177377	0.113353275260053	19.604739225007	1.40872503404433e-85	5.37635765934096e-83
"YLL041C"	2180.55977674005	2.91257209021103	0.148991661393851	19.5485577042585	4.24348975641677e-85	1.52954230775733e-82
"YDR281C"	244.649594446303	4.12499739584243	0.211242251390888	19.5273311502888	6.43138573971606e-85	2.19614898311988e-82
"YPL271W"	1697.72845576911	2.05333225179428	0.105397053041269	19.4818753707494	1.56442806247264e-84	5.07500463466126e-82
"YBL045C"	4914.40759745927	2.39289944205462	0.122894140295057	19.4712248794735	1.92610363417434e-84	5.95074303739195e-82
"YCR005C"	1496.60634345385	-2.96356654005219	0.153705804012065	-19.2807718556911	7.79053261635879e-83	2.29749889158799e-80
"YJL012C"	3387.09692887077	2.2047175445667	0.115630452449995	19.0669282862155	4.75423931100016e-81	1.30625995797118e-78
"YPR036W-A"	2932.58097803841	-2.90502157500182	0.152365964935322	-19.0660793323166	4.83203436980709e-81	1.30625995797118e-78
"YPL240C"	2001.18109912826	-1.99469095760472	0.10498270905118	-19.0001856080155	1.69942450281513e-80	4.41034646970582e-78
"YEL024W"	1521.91462610074	2.4660607217559	0.129981022793601	18.972467432202	2.88062681658431e-80	7.18827184076884e-78
