""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YKL209C"	1274.94264394284	4.61147651699596	0.122128865004528	37.7591040154594	0	0
"YIL015W"	2287.9926091128	5.73397180716393	0.160670126127315	35.6878527786823	6.10090802780485e-279	1.98004970042407e-275
"YNL145W"	2765.00240741311	8.69045574583702	0.2532830095973	34.3112463787213	5.33360725956287e-258	1.15401482406075e-254
"YFL026W"	3996.28497174338	5.99289419663917	0.216438181213658	27.6887107581229	9.54877370732191e-169	1.54952725335566e-165
"YPL187W"	7583.42252524805	-11.8994039157843	0.446744633733371	-26.6358071642473	2.61355270816327e-156	3.39291412573756e-153
"YBL045C"	3646.02488441321	-1.82222547730469	0.0750888773160401	-24.2675818634917	4.31317252590682e-130	4.66613381094352e-127
"YJR121W"	11609.0733901338	-1.82386040979987	0.0762057743694962	-23.933362332316	1.37713115618167e-126	1.27699404782503e-123
"YGR254W"	12028.2720416845	-2.05836469589709	0.0878795561919011	-23.4225658969223	2.51731751257043e-121	2.04248849676184e-118
"YBR039W"	3862.4850927841	-1.8811035809287	0.0818743003567306	-22.9755072438193	8.19384877643028e-117	5.90958582308988e-114
"YGL009C"	3753.01811822274	2.22739937733803	0.101209812342941	22.0077414015025	2.42789448422552e-107	1.57594630971079e-104
"YLL041C"	1296.31646716623	-1.98523292837642	0.0903278151929362	-21.9780908476094	4.666779541332e-107	2.75382418207146e-104
"YKL178C"	1002.68552574246	-4.35802833468701	0.200204096564551	-21.7679278769496	4.6728273218582e-105	2.52761017884846e-102
"YDR028C"	766.798675215665	-8.3682761415571	0.402746067190684	-20.7780455807532	6.83863775355529e-96	3.41458443525595e-93
"YKL120W"	1116.17749813702	2.0064508937812	0.0966686879314148	20.7559545569166	1.0830992775318e-95	5.02171243604207e-93
"YJR077C"	4551.09975071472	-1.5363271381652	0.0801744658346271	-19.1622996445542	7.64210118620155e-82	3.30699191997562e-79
"YOL077W-A"	758.691859060715	-1.89567035137971	0.100240619180629	-18.9111995404157	9.22346579242842e-80	3.7418447786658e-77
"YNL055C"	8038.38619096736	-1.75403065175024	0.0936655804755164	-18.7265230498276	3.00940004026497e-78	1.14905974478588e-75
"YDR377W"	1381.20835747723	-1.77026276417833	0.0992187262163984	-17.8420226875051	3.33405718893178e-71	1.20229806740868e-68
"YKL016C"	2152.13930347276	-1.33640987877048	0.0767379462989091	-17.4152416532611	6.32214057449799e-68	2.15984286679297e-65
"YLR040C"	1214.54954849371	-2.60140437313553	0.149616962148752	-17.3870952582847	1.03340575513692e-67	3.35391837829688e-65
"YDR345C"	17206.9126216993	-2.35278204979242	0.13574199840131	-17.3327494622306	2.66288148542905e-67	8.23083986758092e-65
"YKL085W"	3015.85454766108	-1.88213645829234	0.108875646027876	-17.2870290736134	5.89112871394289e-67	1.73815074919106e-64
"YDL048C"	813.955947697434	-2.09873214093316	0.121473239786231	-17.2773208702305	6.97118014036187e-67	1.9673882735256e-64
"YDL181W"	518.306760245832	-2.39496413752243	0.139254106536324	-17.1985171359935	2.72414086594855e-66	7.36766598369668e-64
"YBL099W"	5550.37145737302	-1.46707518221229	0.0873186074117587	-16.8014037980951	2.38335847460388e-63	6.1881519434615e-61
"YML123C"	1075.46329420362	-2.31851238937781	0.138254635756048	-16.7698708741228	4.05388753141754e-63	1.01206861409351e-60
"YGR138C"	1263.66114671878	-1.84952882995087	0.113286734912335	-16.3260847034041	6.4386057995342e-60	1.54788852758432e-57
"YDR298C"	2139.14167875687	-1.40989282189117	0.0875426149521823	-16.1052171295235	2.34473520540169e-58	5.43559864937942e-56
"YPL078C"	2696.86707780701	-1.17936700954174	0.0751076836807616	-15.702348305062	1.45745522317632e-55	3.21226334450506e-53
"YPL271W"	1491.37420284422	-1.77584110196702	0.113102425528596	-15.7011761124259	1.48463873571333e-55	3.21226334450506e-53
