""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YEL071W"	4071.73092773071	1.90332620488265	0.047401526308254	40.1532683252695	0	0
"YER091C"	8122.64711108919	2.08579619391866	0.0403547615887042	51.6864952685657	0	0
"YKL096W"	5093.81173106088	-1.90442300194746	0.0486682975281583	-39.1306681900186	0	0
"YOL155C"	2594.49078141241	-2.36067676396357	0.0580906499493338	-40.6378094585365	0	0
"YNL036W"	3385.70236456873	-1.91889575732627	0.0539212225840843	-35.5870224257983	2.22426770945423e-277	2.8239302839231e-274
"YGR234W"	5689.76788243771	-1.62801057292906	0.0460403546471357	-35.3605133020048	6.91145175062885e-274	7.31231595216532e-271
"YKL029C"	2923.75403766933	2.09536801351354	0.0606927453101076	34.52419235293	3.47811879592894e-261	3.15415687379384e-258
"YMR145C"	3057.84841957172	-1.73057261901151	0.050444703884638	-34.3063292227695	6.31465126920158e-258	5.01067578211146e-255
"YBL045C"	3251.87596150343	-1.66487365251773	0.0485848419660767	-34.2673472866329	2.4060581542189e-257	1.69707301810907e-254
"YJR121W"	8930.1641439128	-1.3405766904959	0.0408217115205536	-32.8397962888185	1.59299238704689e-236	1.01123156729737e-233
"YKL216W"	11263.3298486503	1.15033951513639	0.0359999085382463	31.9539566028138	4.7603690078019e-224	2.74716567832059e-221
"YBL030C"	5922.41156319258	-1.33370418123116	0.042356050417848	-31.487926000512	1.27102250221823e-217	6.72370903673444e-215
"YKL085W"	2709.33629850913	-1.74816095881685	0.0558856234907132	-31.2810495727465	8.44809198555404e-215	4.125268301869e-212
"YBR067C"	7047.75020874659	-1.35599060295964	0.0449722984407078	-30.1516855925743	1.0194184693822e-199	4.62233460259871e-197
"YER062C"	2050.82850013392	-2.01077229182349	0.0676427791264205	-29.7263406056316	3.50745872862562e-194	1.48435653395436e-191
"YCR005C"	2005.34690118588	2.27387284339885	0.0790979386158634	28.7475613548141	9.71619722893521e-182	3.85490125058004e-179
"YBR039W"	3090.24740788668	-1.49894709002551	0.0525452323857771	-28.5267953335999	5.45125236567397e-179	2.03556176572343e-176
"YLR058C"	4917.19870366887	1.24846994343427	0.0449161812304151	27.7955496044902	4.90973242964148e-170	1.73149897018689e-167
"YDR074W"	2659.23941323236	-1.82024287994886	0.0664057519865805	-27.4109218779225	2.03228713671535e-165	6.78997828624686e-163
"YOL058W"	2343.82605249817	1.66481280902985	0.0614684444000928	27.0840237666295	1.51882083845254e-161	4.82073734124837e-159
"YOL143C"	4435.62489504377	1.35823024891847	0.0507672566899668	26.7540603427346	1.10751343544994e-157	3.34785489916012e-155
"YPL265W"	2030.60609551133	1.63170584900237	0.0628198468729571	25.9743684555969	9.64936575664983e-149	2.78428062832787e-146
"YNL055C"	5744.42004258282	-1.07547381009846	0.0421358968651759	-25.523933038371	1.06945841734997e-143	2.95170523188591e-141
"YPR191W"	2373.27082223411	-1.58301654954142	0.0626264910017674	-25.2771075661376	5.70398539962538e-141	1.50870413820091e-138
"YKL109W"	792.896433407803	-2.24830178703155	0.0895760689911055	-25.0993575890766	5.05429068150125e-139	1.2833854898468e-136
"YOR065W"	1577.89216026306	-1.58815371948689	0.0659746111337396	-24.0721952307909	4.88922182981398e-128	1.19372231444843e-125
"YGR254W"	7571.41576141508	-1.17183074716517	0.0489312090845961	-23.9485344647671	9.5708380930116e-127	2.25021037831251e-124
"YML131W"	882.660348802219	-2.00427040168151	0.0838670840837624	-23.8981767826784	3.19938334978613e-126	7.25345910872942e-124
"YDL048C"	790.948790096993	-2.14637972370923	0.0901112841452633	-23.8192113681253	2.11210029097403e-125	4.62331470589763e-123
"YJR048W"	884.579190347828	-1.94553340118812	0.0829486377591745	-23.4546757336341	1.1843789643397e-121	2.5061458885428e-119
"YKL150W"	1876.96850324152	-1.37491064089894	0.0590184694985363	-23.2962774633294	4.83567259705294e-120	9.9022095632555e-118
