""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YFL026W"	4292.70478725661	6.38245876670555	0.164781803002562	38.7327887570591	0	0
"YGL089C"	2258.72382035674	-5.67581052854435	0.143823153991408	-39.463816298198	0	0
"YIL015W"	2468.31715841655	5.67263501387594	0.116217434983822	48.8105335887478	0	0
"YJR004C"	4562.61575073596	-4.1103885956499	0.106299166345477	-38.6681169473236	0	0
"YNL145W"	2980.43629631274	8.80022648460732	0.239610596820283	36.7272007222945	2.68832145742414e-295	3.49696855181732e-292
"YDR461W"	1602.28210834467	7.6242749399078	0.223476000396733	34.1167504625667	4.16380997618412e-255	4.51357001418359e-252
"YKL209C"	1379.27909059093	4.48616228871419	0.13578132715168	33.039611431274	2.19342211882738e-239	2.03800249440761e-236
"YKL178C"	1322.54253384535	-4.66183969450022	0.145145642442468	-32.1183579200324	2.44388043817594e-226	1.98687479623704e-223
"YGL009C"	3896.48757083309	2.56779970837477	0.0874604385662181	29.3595567375372	1.80440416611091e-189	1.30398274404282e-186
"YPL187W"	9497.94907201807	-12.1159959157605	0.426387813927816	-28.4154366517886	1.30353894938436e-177	8.47821732679588e-175
"YLR040C"	1748.44716644979	-3.07660155589529	0.109573231673787	-28.0780397629843	1.81669527812601e-173	1.07416237172105e-170
"YGL032C"	956.212554145101	7.58088596803566	0.273615030069267	27.7063945139144	5.84729508906456e-169	3.16923393827299e-166
"YDR028C"	765.131859524292	-8.25607058905369	0.399485597993476	-20.6667540219773	6.90038711169117e-95	3.45231675187995e-92
"YJL034W"	6323.42475027975	1.28996268647896	0.0692735321671004	18.6212922327583	2.15939811092324e-77	1.00319466524605e-74
"YJL170C"	191.32532285536	3.6282686853355	0.212141390610862	17.1030682644621	1.40792908708755e-65	6.10478052161163e-63
"YKL120W"	1225.85908183667	1.87802825767312	0.116378124649188	16.1372961055549	1.39520902383868e-58	5.67152468190422e-56
"YOR338W"	835.402063594986	-2.67067824399072	0.172173863998245	-15.5115194720724	2.89935626883267e-54	1.10925959838163e-51
"YNL007C"	2084.70646739262	2.24910003928589	0.14505333082094	15.5053319117662	3.1926260299648e-54	1.15360220549395e-51
"YER062C"	1661.2918948757	-1.37907632292668	0.0926304027164153	-14.8879448052134	3.94717215843705e-50	1.35117935360392e-47
"YLL024C"	21969.7618623381	1.56661959597855	0.113198931262053	13.8395263852082	1.47173068215342e-43	4.78606817836291e-41
"YLR041W"	180.488435079792	-2.81401485923105	0.207462224048919	-13.563986755331	6.54782270915953e-42	2.02795423335112e-39
"YKR093W"	496.730672115512	-1.57526095107142	0.118170381000109	-13.3304211913302	1.54025604570223e-40	4.55355696420331e-38
"YOL077W-A"	630.466990671697	-1.40010910011525	0.107192619829991	-13.06161844291	5.45554817406496e-39	1.54273414452689e-36
"YHR071W"	2118.1652986372	-1.30570639769172	0.101304126005514	-12.8889754956343	5.19290698237384e-38	1.40727779222331e-35
"YOL136C"	1420.19209336163	-1.3848828164157	0.107494411008628	-12.8833006611344	5.5893085489996e-38	1.45411451210774e-35
"YJL088W"	276.928834384005	2.17990943353461	0.169867237846676	12.8330186630939	1.07108165861608e-37	2.67935196447653e-35
"YGR234W"	5543.75101010953	-1.37507563824721	0.108726566591065	-12.6470988771223	1.16082618919993e-36	2.79630130909493e-34
"YKL177W"	97.9363229312949	-4.80469921691261	0.391411223864991	-12.2753230463567	1.22900280123975e-34	2.85479793545119e-32
"YGL028C"	6267.7068546364	-0.821521601354071	0.0676113066885133	-12.1506541078823	5.69084595382827e-34	1.27631938219652e-31
"YBR039W"	2723.75811871311	-1.04522695338561	0.0866176331634726	-12.0671382397735	1.57517261719466e-33	3.41497423407803e-31
