""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDR028C"	846.58796311978	9.52411074728752	0.55918988071045	17.0319797904553	4.75673329055787e-65	3.21460035775901e-61
"YKR075C"	489.352399539898	2.14124461382368	0.127625865528411	16.7775129669699	3.56454984977673e-63	1.20446139423956e-59
"YLR303W"	2032.55379237675	14.4406932632318	1.19468269453714	12.0874717021214	1.23014267726263e-33	2.77110140431361e-30
"YDR477W"	718.853234518298	12.941477345098	1.18655365084872	10.9067780760197	1.06981006994864e-27	1.80744411317823e-24
"YDR476C"	678.682131548441	0.962471934503081	0.112154974206576	8.58162503546494	9.35421336813327e-18	1.26431547883689e-14
"YER125W"	1820.87967304046	0.899306908983563	0.112466519835965	7.99621887736213	1.28298225973314e-15	1.44506568521276e-12
"YLR136C"	1170.39260511589	0.976481314406451	0.128956954891269	7.57214928989119	3.67099236398265e-14	3.54408091368496e-11
"YGL209W"	2062.6126935561	1.00293071565217	0.134742055303336	7.44333840978109	9.81721693921309e-14	8.29309400940026e-11
"YMR291W"	698.887794152168	1.20577846251441	0.169406987691944	7.11764301427188	1.09788279208669e-12	8.24387989880204e-10
"YNL190W"	5091.29749666534	0.626976676439857	0.0886699115759636	7.0709067517534	1.53924551431109e-12	1.04022211857143e-09
"YBR068C"	3593.33387150225	0.535275038658635	0.0781398503659202	6.85021837323724	7.37373405990205e-12	4.53015407061982e-09
"YMR011W"	3488.46889662881	2.41709810329386	0.353756541081116	6.8326598171357	8.33544604034017e-12	4.69424536171824e-09
"YLR023C"	1253.0948619489	0.606676522535718	0.0890369414051023	6.81376193927695	9.50789954307694e-12	4.94264500862415e-09
"YDR277C"	222.632584251475	1.54433875039719	0.228001991214811	6.77335641749811	1.2582844963457e-11	6.07391901878875e-09
"YBL043W"	106.558647920771	1.21267596042309	0.194097610950055	6.24776345513666	4.16371600281211e-10	1.87589284980028e-07
"YHL047C"	2106.13297439911	0.843939624074478	0.138789811202757	6.08070301962995	1.19656738800015e-09	5.05400150506564e-07
"YJL116C"	814.680215586686	1.32914942991309	0.221851019055652	5.99118018736558	2.08323665718604e-09	8.28147842897837e-07
"YBR127C"	8168.07638974014	0.504162873228998	0.0854660176069498	5.89898637312897	3.65741438007966e-09	1.37315591003213e-06
"YHR092C"	251.20908274057	1.46234630684121	0.250482963759494	5.83810685123203	5.27972949700341e-09	1.87791641793416e-06
"YGR032W"	991.662017896507	0.807576955818212	0.139926430964302	5.77143967907136	7.85970951363683e-09	2.65579584465788e-06
"YOL109W"	8914.22193773287	-0.608510107462597	0.106498694604581	-5.71377996436422	1.10493852227249e-08	3.55579739691308e-06
"YKL184W"	1181.34011640954	0.925880938737684	0.162920012596555	5.68303994077436	1.32321350901776e-08	4.06467131542819e-06
"YFL061W"	11.8312327977965	-7.00959004737669	1.27667661757055	-5.49049771171934	4.00802683856388e-08	1.14573365783963e-05
"YML058W"	3752.55719157272	-0.491560910411353	0.0895728288576796	-5.48783505757514	4.06889727554765e-08	1.14573365783963e-05
"YMR145C"	2109.4331498349	0.853383013692955	0.156480362627984	5.45361091552289	4.93571355513818e-08	1.33422208822495e-05
"snR4"	124.041395338766	-0.914241873245616	0.170053396300548	-5.37620472824789	7.60722897417796e-08	1.97729436182672e-05
"YDL160C"	729.508805220447	0.87100591509909	0.16223744490577	5.36871075358086	7.9301483950051e-08	1.98488677234979e-05
"YGR279C"	8943.83153008851	0.417823677400757	0.0781174238493605	5.34866175574961	8.86069625660689e-08	2.13859233221962e-05
"YDL066W"	2587.2358150635	0.51103729133866	0.096552180667077	5.29286120528728	1.20417312398954e-07	2.80613861100736e-05
"YMR096W"	1084.4801573121	0.876415686845114	0.166612959285162	5.2601891869954	1.43907261645126e-07	3.24175091399254e-05
"YMR205C"	8677.0322797825	0.659584374345635	0.125754809669525	5.24500316193852	1.56279647033622e-07	3.40689630533296e-05
"YCL026C-B"	203.832581384201	-0.972869752635169	0.193315766117665	-5.03254220891127	4.84017992669824e-07	0.000102218549826958
"YDR345C"	21805.5490120449	1.63746862312283	0.328421157804433	4.98588042886661	6.16802834897569e-07	0.000126313744189023
"YJR121W"	6249.65790566575	0.354972625459988	0.07143708947113	4.96902418740679	6.72906767855161e-07	0.000129928683919005
"YMR058W"	12623.6379547912	0.609562960545584	0.122589744887924	4.9723813448088	6.6135449792142e-07	0.000129928683919005
"YGL035C"	1459.13525500694	0.570946444358314	0.115525339544566	4.94217499476	7.72558235949099e-07	0.000145026348848445
"YKL109W"	518.996772022613	1.1348581550897	0.231725519196843	4.8974241551949	9.71010936541306e-07	0.000177353835382328
"YOR107W"	354.806841003199	0.987335432242846	0.20231582017304	4.88016918992484	1.05994869373262e-06	0.000188503507164343
"YBR105C"	2369.91719584621	0.617994098755969	0.128799220623197	4.79811986257211	1.60161928487479e-06	0.000277531875055996
"YOL136C"	1233.28853103787	0.56553623899816	0.118013966741181	4.79211278643359	1.65034077072123e-06	0.000278825073213351
"YLL013C"	384.543635818311	1.13734032176041	0.239110663993491	4.75654369723707	1.96935625712828e-06	0.000324607550870071
"YDL185W"	7081.30977266197	0.403521762356601	0.0869697425731719	4.63979483458972	3.48755243083234e-06	0.000561163793513451
"YKL176C"	1165.96624879202	0.628050500986434	0.136332224846242	4.6067648473775	4.0898205784244e-06	0.000642767615557955
"YPL111W"	1081.97975808583	-0.498902123405863	0.108870730056318	-4.58251839725684	4.59409275950236e-06	0.000705610883379931
"YOR113W"	429.871925821188	0.826881565481504	0.182364703707029	4.53421933451498	5.7816925014769e-06	0.000868281731666243
"YAL038W"	40269.6319720159	0.412482148713985	0.0910912106373552	4.52823215135569	5.94792145158985e-06	0.000873827242822701
"YGR240C"	10013.6854937727	0.548698565924595	0.121307005648124	4.52322240577108	6.09051824351225e-06	0.000875738772120336
"YCL064C"	3596.3748327821	0.679474684199136	0.1516244468445	4.48130033342169	7.41896216834114e-06	0.00100552085878199
"YJL026W"	2816.59357505351	0.332883111865001	0.0742924784672274	4.48071081666558	7.43948548965664e-06	0.00100552085878199
"YKL001C"	653.273870530784	-0.775045482192626	0.172776232915541	-4.48583389690813	7.2629308418455e-06	0.00100552085878199
"YDR232W"	2372.81066148159	0.812807234249036	0.182928149361851	4.4433141486673	8.85836772066805e-06	0.00117382056973088
"YIL123W"	4681.63676809401	0.405323273287558	0.0914063836631198	4.43429941153109	9.23721774628695e-06	0.00120048302941168
"YNL281W"	2019.91929029796	-0.594599378565066	0.135685240122647	-4.38219645723886	1.17488792052885e-05	0.00149809293715736
"YMR102C"	1570.1141683643	0.59244076902738	0.136763181526397	4.33187326015103	1.47846043680237e-05	0.00185026585776119
"YDR342C"	72.1932647062223	2.67527456194549	0.619034373242789	4.32168984079376	1.54838746427162e-05	0.00190254590609956
"YJL079C"	2135.52502099365	1.0001713883552	0.232803480454877	4.29620462031304	1.7374721587497e-05	0.0020967565801483
"YBR150C"	375.498920227478	0.586974439808465	0.13828729060642	4.24460149037886	2.18982240108802e-05	0.00259628417307944
"YJR010W"	718.108469606787	-0.625596446271249	0.148002925813522	-4.22691945333212	2.36912424837846e-05	0.0027604382190589
"YNL064C"	7457.43855827111	-0.380098148927345	0.0902995677164775	-4.20930197717863	2.5616083640416e-05	0.00293412700410053
"YLL028W"	1153.94230150116	0.793591927132886	0.189748782663471	4.18232947792008	2.88537415272926e-05	0.00324989308735739
"YML052W"	2790.3826802644	-0.454697517991495	0.108817947417952	-4.17851584945887	2.93417552149612e-05	0.00325068166791324
"YGL255W"	833.561899444958	1.59683744319507	0.385612695269017	4.14103960472842	3.4573525211486e-05	0.0037095479640149
"YNR047W"	318.709035943118	0.568749616062201	0.137346391470588	4.1409869598503	3.45814622274251e-05	0.0037095479640149
"YBR082C"	6111.31716339617	-0.465622869790293	0.113068835222926	-4.11804781461023	3.82095429420578e-05	0.00401673357710894
"YKL221W"	65.3416778142017	-1.04445001986703	0.253784392990079	-4.11550138115806	3.86338683800061e-05	0.00401673357710894
"YPR042C"	381.274313165579	0.540440432839625	0.131478432216769	4.11048735315462	3.94824906120874e-05	0.00404276775085586
"YML017W"	434.778603985219	0.645055616886208	0.157986213465888	4.08298675393904	4.44605581305097e-05	0.00448454405740275
"YGL167C"	1424.26585214399	0.416833442921479	0.102554139799165	4.06452088367938	4.81312295006865e-05	0.00478339483772999
"YMR182C"	351.805431904255	0.675997757780607	0.166769251638931	4.0534915827541	5.04588162816233e-05	0.00494203884682913
"YOL086C"	92158.9779030822	0.378239223345589	0.0939770343517103	4.02480484678867	5.70225832733856e-05	0.00550512311087915
"YPL201C"	44.9175604126135	1.32375294130288	0.329709961974604	4.0149012585942	5.94706869843459e-05	0.00566060426253816
"YOL143C"	3529.9519979464	-0.335315555344369	0.0841692171988391	-3.98382646891236	6.78144002857837e-05	0.00636513496015731
"YDR050C"	38336.9887595617	0.350009329343165	0.0885517770556	3.95259520453667	7.73081549981583e-05	0.00706011501996695
"YER175C"	1024.34570802829	0.592608480159281	0.149846270163364	3.95477631517431	7.66062902102852e-05	0.00706011501996695
"YGL263W"	114.743330768004	-0.792981759328054	0.200913430699135	-3.94688277716751	7.91752967221485e-05	0.00713422206997706
"YGR205W"	232.902896298468	0.737923972717175	0.188391356083454	3.91697362372767	8.96675552095767e-05	0.00797333339613578
"YJL192C"	1704.65556701216	-0.337369592025161	0.0870130049325411	-3.87723182628521	0.000105651679107892	0.00927264996637838
"YLR092W"	381.919374444326	-0.706348102793095	0.182788465136166	-3.86429254311484	0.000111411632678874	0.00965281812363881
"YBL051C"	2002.54253389563	0.412572513703613	0.107121276173845	3.85145256329896	0.000117419276931446	0.0100445502975027
"YCL025C"	1433.13055663929	0.581423783366302	0.151291004312398	3.84308231681595	0.000121498694274043	0.0102636021987998
"YLL019C"	778.571319827326	0.970132621521097	0.253173252151981	3.83189224483605	0.00012716143600746	0.0106093454881286
"YFL014W"	3161.55579886594	3.18466819446592	0.834967579826358	3.81412197480556	0.000136667959247906	0.0112634398609432
"YBR295W"	366.237974934038	0.632248625993609	0.166141291656395	3.80548760449748	0.000141525102345255	0.0115232125499908
"YMR120C"	3829.04193684862	0.896196793114201	0.237972101320309	3.76597419673125	0.000165900926380678	0.0133471245295312
"YCL027W"	574.088473814302	-0.48233434652189	0.128511489832329	-3.75323908509037	0.000174564215970498	0.0138788820179838
"YOR248W"	1256.89420515203	-0.416054533505658	0.111398105925592	-3.73484387412797	0.000187831677228614	0.0147600752873369
"YDR093W"	1402.60779265377	0.350455485952806	0.094408038303223	3.71213608768357	0.000205517429492998	0.0159642159599274
"YNL144C"	247.207169588605	0.627707979845384	0.169936333641212	3.69378323278805	0.000220942163751106	0.0169673538935225
"YDL099W"	1245.336200603	-0.3808666907497	0.103499626679399	-3.67988468141507	0.000233339449808197	0.0177180674359977
"YFL036W"	949.805017725456	0.704078182269973	0.191892871248185	3.66912109704875	0.000243385777391209	0.0182755675956643
"YOR247W"	5794.76431468453	-0.365660494096037	0.100460324050738	-3.63984983675104	0.000272797081610138	0.0202589305222123
"YDR186C"	1781.43208130787	0.332723123998219	0.0919847146062496	3.61715667024109	0.000297857029558263	0.0211886084816289
"YFR050C"	2498.59749627791	-0.342199039299855	0.094552565300142	-3.61914072044052	0.000295582879846735	0.0211886084816289
"YMR216C"	1440.63403010414	0.362219775083781	0.0999610596367795	3.62360879726516	0.000290520916067214	0.0211886084816289
"YOR128C"	1811.94351025401	0.509182679549933	0.140577936039912	3.62206683277358	0.000292258586627685	0.0211886084816289
"YCL055W"	992.044863112544	-0.460010528063925	0.128206389719891	-3.58804681318122	0.000333164480123503	0.0234533912153608
"YPR028W"	3679.07706146251	-0.425074834922985	0.118780326366005	-3.57866363839728	0.000345355604710807	0.0240609605838725
"YJL191W"	1912.36286538083	-0.463083788816629	0.129632657910538	-3.57227720453138	0.000353890521588042	0.0244040014784897
"YOR204W"	3964.11857290283	0.663479955517686	0.186056551551241	3.56601232252205	0.000362454336060093	0.0247420848797384
"YPL095C"	784.881849109645	-0.753670514524921	0.212275337099823	-3.55043842973857	0.000384590083390125	0.0259905978355047
"YDR029W"	107.81629455335	-0.911003070147512	0.258140064253437	-3.52910375528963	0.000416969617031048	0.0276262810970179
"YJR119C"	296.283912639298	0.520164583523716	0.147360157031207	3.52988619178494	0.000415738460103919	0.0276262810970179
"YPR089W"	1001.32072085445	0.314377916425072	0.0894976660083177	3.51269402261121	0.000443587995948561	0.0291045405497124
"YGL178W"	623.13157977719	0.518821682927608	0.148002149860598	3.50550099046724	0.000455748805643423	0.029614907966714
"YBR207W"	1854.45379226119	0.282874161930042	0.0812021173064436	3.48358110986836	0.000494753180319995	0.031843257072405
"YGR065C"	1196.01275534161	0.560602955271069	0.161047125228646	3.48098703702506	0.000499569668305832	0.0318499228151963
"YHR096C"	175.651388475449	0.920043180863627	0.264578489179542	3.47739222382243	0.000506316558541523	0.0319783860058281
"YBR040W"	57.8546520739395	-1.46720068753596	0.422716370279829	-3.47088684207973	0.00051874255160269	0.0324598348493609
"YGL206C"	1958.98429138262	0.45537816191219	0.131502147917222	3.46289523878226	0.000534396417502849	0.0331325778851766
"YJL171C"	785.356675471142	0.403104068261068	0.116520027808545	3.45952602177036	0.000541126988494548	0.0332448744386014
"tF(GAA)H1"	10.3503418165414	2.07860751492866	0.602914539177928	3.44759892133773	0.000565593247358495	0.0344349474382766
"YMR317W"	424.084365518969	0.410837955895561	0.119512319196392	3.43762014374803	0.000586850313169695	0.0354101287178643
"YAL021C"	1537.65403297834	0.406287516250222	0.118556694714647	3.42694705877311	0.000610408063908932	0.0363676543786873
"YOR383C"	5832.42135017695	0.845264305061586	0.246750519280742	3.42558267972632	0.000613482183955364	0.0363676543786873
"YBR159W"	1890.53721919508	-0.281351848484533	0.0824171761361813	-3.41375258986845	0.000640747330226815	0.0376536561536767
"YGL186C"	1329.31004174091	0.327566497753471	0.0961254610895709	3.40769754486005	0.000655134678632728	0.0381672427431032
"YIL015W"	3854.88688882676	-0.384631059611925	0.113263928645408	-3.39588308662751	0.000684075722511942	0.0395126814763736
"YJL099W"	393.50947715503	0.380942706204688	0.112287749111005	3.39255804146629	0.000692432604674621	0.0396138222244903
"YJR130C"	810.872708072664	0.489045906060669	0.144238345587751	3.39054017895087	0.000697550287764775	0.0396138222244903
"YKR031C"	680.136484939355	0.36245777803034	0.107110066758907	3.38397490542317	0.00071444532761755	0.040235179366995
"YEL065W"	3025.34486543731	0.414505092309124	0.123181262050466	3.36500118126171	0.000765433313440064	0.0424366292683263
"YMR095C"	165.884659860637	0.622964453205417	0.18514364476739	3.36476282503835	0.000766094816622641	0.0424366292683263
"YER083C"	1300.36279334711	-0.284163170578352	0.084561750117457	-3.36042206060834	0.000778234849800627	0.0427586269508344
"YLR120C"	1118.78737055532	0.37293235386172	0.111114908725125	3.3562764721724	0.000789995522349432	0.043054755968044
"YGR050C"	84.0544389455071	-0.894517728377543	0.26775152145154	-3.34085021638034	0.000835222688693986	0.0451554794415517
"YMR251W"	186.249980678601	0.621945296606019	0.186879227930427	3.32806007116833	0.000874530069612869	0.046536017405069
"YOR384W"	463.819974927194	0.425094416586489	0.127687776040343	3.32917080842712	0.000871049666711252	0.046536017405069
"YFR040W"	1298.75306898834	0.475400538347101	0.143755881907465	3.30699886529245	0.000943012740028155	0.0479829838029041
"YJR073C"	3318.66565503002	0.438031603895299	0.132072660290715	3.3165955992036	0.000911214067447193	0.0479829838029041
"YJR094C"	108.719702470144	-0.600558245182253	0.181454727600377	-3.30968640566301	0.000934005507782949	0.0479829838029041
"YLR179C"	4615.72127069743	-0.339808922934787	0.102582805092031	-3.31253295939734	0.000924552313801276	0.0479829838029041
"YLR399C"	2376.32022229512	-0.308653728417565	0.0933444664335481	-3.30660980999121	0.00094432329768959	0.0479829838029041
"YNL058C"	549.427780796656	-0.389195297317356	0.117401153491575	-3.31508921115741	0.00091613882086702	0.0479829838029041
"YKL062W"	564.587384022301	0.728583170046352	0.22063110910971	3.30226853767961	0.000959062047299537	0.0483682187735095
"YBR047W"	208.126612469308	0.521330794976314	0.157996909659708	3.29962653129831	0.000968135729098419	0.0484641574610897
"YDL194W"	242.73634942672	0.723213326024683	0.219836684026658	3.28977544956503	0.00100267364514031	0.0498240330430752
"YMR238W"	1074.08820325653	0.280600886231882	0.0856166578143943	3.27740995029481	0.00104764141532477	0.0516785451442683
"YFL031W"	1762.67119884312	0.473037595868766	0.144705862534147	3.26895944355496	0.00107943772412558	0.0528611604321786
"YCR065W"	972.078135897544	0.492558106750648	0.151024899297572	3.26143641903801	0.0011084928871914	0.0538934887168309
"YGL008C"	55477.3595514874	0.276324387271296	0.0850239785035172	3.24995833098854	0.00115421919308543	0.0557158093347951
"YDL048C"	418.927742156334	0.826888893432634	0.255002047833037	3.24267550186123	0.00118412993413904	0.0562859914413711
"YGR204W"	6125.67631570865	0.288597029787066	0.0890449742087498	3.24102547450351	0.00119100540121429	0.0562859914413711
"YMR214W"	1148.97898298608	-0.34486915916831	0.106407515751362	-3.24102256060699	0.00119101757563126	0.0562859914413711
"YGL032C"	1613.87141919956	-0.460881289618494	0.142313296369516	-3.23849774670257	0.00120160970148182	0.0563922108514871
"YMR264W"	1123.02879236317	-0.333669231498237	0.103110603716233	-3.23603217780118	0.00121203720288982	0.056489292531927
"YBR145W"	1079.43891009029	0.85212418546527	0.265026202700745	3.21524504664713	0.00130333212017866	0.0599178127086217
"snR44"	212.956832179478	-0.587449610241358	0.182632115905801	-3.21657342317797	0.00129731333132049	0.0599178127086217
"YJR074W"	827.416427830203	0.332865804450951	0.103601549149216	3.21294234675514	0.00131382659743008	0.0599921631448141
"YIL108W"	710.482592509738	0.358070113271976	0.111792545956063	3.20298737460284	0.00136009943637684	0.0616882683962058
"YPR103W"	3348.86010952007	-0.321325210136885	0.100705207617256	-3.19075068449415	0.00141903675467109	0.0639323359204483
"SCR1"	53.4874406412554	-2.63345628088964	0.826254833357322	-3.18722042470737	0.00143647255733264	0.0642892817381056
"YLR307W"	18.5506545352213	-1.60142006387606	0.504221561269105	-3.17602456318082	0.0014930830826865	0.065949382175133
"YOR382W"	4623.66309560402	0.846219411443261	0.266388451697419	3.17663699777966	0.00148993399642452	0.065949382175133
"YAR002C-A"	2665.68681645635	-0.227186695868873	0.0719531500066925	-3.15742529476114	0.00159169014755594	0.0680800127669813
"YBR101C"	1238.68032929647	-0.382127968488169	0.120950750394432	-3.15936831513663	0.00158111534761722	0.0680800127669813
"YBR196C"	18629.2978929051	0.271130706677568	0.0857326294790125	3.16251476625876	0.00156412802880675	0.0680800127669813
"YDL242W"	33.8098366732349	-1.06675752393442	0.337812431606604	-3.15783974811412	0.00158942905625888	0.0680800127669813
"YOR153W"	25616.7960778512	0.466198571547422	0.147646562844576	3.15753081254032	0.00159111420405762	0.0680800127669813
"YDL049C"	199.688913864353	1.0344153834267	0.32862948521653	3.14766455829468	0.0016458043951187	0.0681026989001114
"YHR131C"	650.712278913862	0.317182061357416	0.100657282214811	3.15110893497526	0.00162651813659672	0.0681026989001114
"YJR025C"	813.72580061218	-0.441695917360188	0.140379363730124	-3.14644478806258	0.00165268461373458	0.0681026989001114
"YMR241W"	2712.95529439919	-0.242855665507313	0.0770039612468358	-3.15380743503364	0.0016115538507463	0.0681026989001114
"YNL307C"	2343.5643553068	0.254671816509283	0.0808145859463624	3.15131004542066	0.00162539850211814	0.0681026989001114
"YPL221W"	1924.15564354687	0.384420774489371	0.122132979241809	3.1475591349349	0.00164639800242688	0.0681026989001114
"YKR018C"	1872.94382131424	0.279055870936752	0.0890189665368578	3.13479117757686	0.0017197648506235	0.0700130774729737
"YMR276W"	3806.4552339477	-0.273321948592543	0.0871685404056421	-3.13555724715166	0.00171527947076765	0.0700130774729737
"YHR042W"	4134.58573943961	0.345676352957908	0.110428661074161	3.13031372105256	0.00174619707825088	0.0706634721845475
"YGR109C"	225.494970468762	-0.916978877137012	0.293487896706206	-3.12441803368453	0.00178157150343194	0.0716658346440064
"YLR168C"	657.324496979322	0.453374465216931	0.145665585455455	3.11243361840999	0.0018555173778872	0.0741987363299507
"YLL062C"	216.501882499374	-0.625152642134834	0.202250867617427	-3.09097631817016	0.00199499544496712	0.0793069365711046
"YBR135W"	758.224362797438	-0.299257018444775	0.0971944744539441	-3.07895093960901	0.0020773088722377	0.0820962184712421
"YMR208W"	1113.24822665736	-0.260585943423788	0.0847391881973703	-3.07515270050552	0.00210394804067921	0.0826655863890122
"YOR020C"	5235.56949567544	-0.526858163642718	0.171632768556948	-3.0696828354657	0.00214286199543868	0.083707869162859
"YBR184W"	85.6829565195418	-0.819584360089283	0.267302741782405	-3.06612777191959	0.00216850625680447	0.0842227889855436
"YJR099W"	457.837913573371	-0.39050996206471	0.127791182019468	-3.05584435399633	0.00224427725825765	0.0866675754931725
"YGL158W"	54.9588416127818	1.33725134611875	0.438689391067182	3.04828740641682	0.0023014969438322	0.0883722519682842
"YGL137W"	2945.31632791197	0.240588784120442	0.0791963586294572	3.03787684540025	0.00238251301859722	0.0895531608719638
"YKR098C"	321.80756687997	0.730115798351744	0.240095330210248	3.04094126992138	0.00235839827952398	0.0895531608719638
"YLR058C"	9838.4642924364	0.469038390997956	0.154414410679264	3.03752991015975	0.00238525731828255	0.0895531608719638
"YPL124W"	210.444724821966	-0.536042302256024	0.176404135139946	-3.03871732842752	0.00237587667562551	0.0895531608719638
"YKL064W"	946.751859867138	0.355071096515055	0.117009489174798	3.03454958242423	0.00240895154855133	0.0899430638956347
"YBR203W"	196.195184773605	0.767480132242509	0.253951487339223	3.02215253898996	0.00250984037543937	0.0931950618528531
"YGL117W"	659.694117199858	0.634594504488133	0.21120860444649	3.00458641896338	0.00265942197378533	0.098209692343395
"YHR094C"	9334.98572063736	0.515504851780111	0.171754578531386	3.00140384138818	0.00268737900860557	0.0987027572834587
"YML016C"	1159.97545918308	0.301649166627315	0.100590473414907	2.99878464020245	0.00271058830411072	0.0990170581577312
