""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDR342C"	3691.96801056708	-8.66948832910172	0.225796462091671	-38.3951468893343	0	0
"YGL009C"	6591.39302160113	-3.08119149308541	0.0788358916836015	-39.0836131523876	0	0
"YHR092C"	21856.2284348802	-8.46340679653463	0.16671019708117	-50.7671812805418	0	0
"YLR174W"	2107.51648997579	-5.0013547651451	0.130005731544016	-38.4702636241219	0	0
"YMR011W"	19556.4279646792	-5.23619147023176	0.123652353052921	-42.3460722012364	0	0
"YMR303C"	7285.11791913816	-5.31596665261295	0.137007791720299	-38.8004695635521	0	0
"YDR277C"	1575.96320783468	-4.85957512993901	0.132503359782229	-36.675108751399	1.82136214478939e-294	1.69022407036455e-291
"YPL134C"	1497.12605459467	-3.24136855661369	0.0939095957328727	-34.5158397426586	4.64162895354857e-261	3.76900271028144e-258
"YJR121W"	15251.3214934248	-2.33647929649373	0.0701268484631308	-33.3178996019212	2.12585847854765e-243	1.53439740851617e-240
"YKR075C"	2654.68857475399	-4.95221676907901	0.148806720980207	-33.2795235084692	7.63849494971379e-243	4.96196631933408e-240
"YBL045C"	5802.83572559678	-2.62511755374408	0.0794633005782625	-33.0355967426577	2.50482763979456e-239	1.4792145771005e-236
"YPR191W"	4182.58424556854	-2.52162110860763	0.0809601731018133	-31.14643919346	5.66761352606015e-213	3.06806812210723e-210
"YBR039W"	4810.67422305652	-2.22905750995754	0.0740825565082658	-30.0888308263071	6.78365705779621e-199	3.3897412498034e-196
"YFR033C"	2577.18898081674	-2.41932839615014	0.0812863387185325	-29.7630380982895	1.1759840317759e-194	5.45656590744018e-192
"YBL030C"	9407.93766630019	-2.11334556798163	0.0719311012976212	-29.3801364063297	9.85219941740708e-190	4.26665916103176e-187
"YJR095W"	2443.98975553323	-7.69728539170266	0.262662962575387	-29.3047992615002	9.00922417696609e-189	3.65774501584823e-186
"YNL117W"	1061.82737001551	-4.99043621933732	0.170748122801962	-29.2268877539893	8.8327453201254e-188	3.37514785879615e-185
"YGL187C"	1999.88961989456	-2.63477861467827	0.0927314765662752	-28.4129910602167	1.39746272615901e-177	5.04328770507163e-175
"YLR377C"	2151.58571996802	-5.51101365147297	0.198247232648105	-27.7986914513717	4.49862777686276e-170	1.53805715992108e-167
"YKL217W"	2007.51978521242	-5.01613028328868	0.182238645569053	-27.5250634552592	8.80172303389174e-167	2.85879964140804e-164
"YOR375C"	5961.31085319757	-2.52547604180936	0.095675039823664	-26.3963939441676	1.50721527360663e-153	4.66231924635652e-151
"YMR145C"	5665.84836756473	-2.8480081123671	0.107966056705065	-26.3787360517122	2.40338896436244e-153	7.09655214204475e-151
"YDR298C"	3109.12216754152	-2.0362963139052	0.0773411047537492	-26.3287720079598	8.98458568744745e-153	2.53755950546342e-150
"YDL215C"	3832.23443938411	-2.87719583746213	0.109362983391444	-26.3086809470419	1.52570658671088e-152	4.12957916136412e-150
"YDR461W"	1817.43331808133	2.4111095663022	0.0917103707179752	26.2904789003281	2.46416729185801e-152	6.40289229116386e-150
"YDR529C"	2631.2937905114	-2.16313161670529	0.0826062631974182	-26.186048526801	3.83170215088731e-151	9.57336045083231e-149
"YIL162W"	6929.31447156744	-3.96232537881411	0.153205927293265	-25.8627420545516	1.74929200721736e-147	4.20866699217925e-145
"YJL153C"	5185.56016109357	-6.57745619721219	0.255581967244284	-25.7352123396307	4.71944273363361e-146	1.094910714203e-143
"YBL043W"	456.972534109312	-3.8494293346643	0.152090831512049	-25.3100683084853	2.4748272709819e-141	5.54361308699946e-139
"YBR297W"	555.926094503704	-3.18471942639962	0.126824430589543	-25.1112456140781	3.74833984391936e-139	8.11640520870006e-137
"YKL016C"	3251.77836934425	-2.07368768565433	0.0829187008073112	-25.0086851996538	4.91832513442471e-138	1.03062709913622e-135
"YPL078C"	3769.03202139987	-1.63585172546015	0.0660314657383765	-24.7738211952096	1.71717007813119e-135	3.48585525860632e-133
"YEL024W"	1587.41870989248	-2.60023072125748	0.105029312318885	-24.7571907674954	2.59401776180759e-135	5.10628466081882e-133
"YKL141W"	3044.00742658445	-2.05288656327436	0.0832640304631927	-24.6551428252306	3.24123156069249e-134	6.19265888772306e-132
"YLR038C"	1430.3764942014	-2.34194478926185	0.0951966146850521	-24.6011352085357	1.22833687453378e-133	2.2797932391347e-131
"YBR230C"	1657.95664095437	-2.70002707944885	0.109877937049835	-24.5729684406456	2.45798211852469e-133	4.43529217831566e-131
"YJL212C"	722.391425330243	2.58418413081157	0.106824280892933	24.190980825807	2.76828376259864e-129	4.86020846536238e-127
"YDL181W"	848.321955636263	-3.12871874085145	0.1297240567915	-24.1182616257531	1.6082514429854e-128	2.74926351937714e-126
"YNR044W"	1405.48960557744	2.34382021100723	0.0986847091944156	23.7505914557619	1.0833851310274e-124	1.80453072080871e-122
"YER065C"	3182.87070766337	-3.36954135239083	0.143185716040344	-23.5326640503822	1.88940932218285e-122	3.06840073922496e-120
"YLR395C"	1706.71498639195	-2.00711900857643	0.0855649732780049	-23.4572504575581	1.11484630701732e-121	1.76635161228891e-119
"YNL052W"	2045.66871712633	-2.34222923934945	0.100480482476464	-23.3102905322741	3.48640306385115e-120	5.39230340542312e-118
"YBL099W"	8735.7922863206	-2.13132642538237	0.09276659919346	-22.9751488565146	8.26172439015808e-117	1.24809678228993e-114
"YDR148C"	2725.20087740658	-1.99243956404135	0.0875130808703259	-22.7673342570773	9.66482473595555e-115	1.42687957919926e-112
"YHR051W"	1399.25858475867	-2.22914374372464	0.0981174636757318	-22.719133375601	2.89870196303037e-114	4.18443732263228e-112
"YPR020W"	899.781488681905	-2.19334123283807	0.0971883886967098	-22.5679349380171	8.95307002499868e-113	1.26432919309547e-110
"YLL041C"	2812.24025617775	-2.99495992077343	0.133096114698633	-22.5022340250492	3.9467448476994e-112	5.45490521928836e-110
"YDL004W"	2979.16146699453	-1.65518579676673	0.0738480825549343	-22.4133889398614	2.91395944426306e-111	3.94355844790268e-109
