""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YML123C"	11992.9320946631	5.89014987136577	0.173734815088168	33.9031061124772	5.99529676676522e-252	3.81960357010612e-248
"YPL019C"	3679.40848929681	3.47572075462914	0.137942913804448	25.1968053941242	4.34199737486314e-140	1.38314326376265e-136
"YHR136C"	550.501636321224	7.04446815117139	0.322993274572742	21.8099530415606	1.86667692239067e-105	3.96419955751698e-102
"YPR036W-A"	5365.59858420088	-3.70437164649621	0.173003479028959	-21.4121222722702	1.03013139043393e-101	1.64074177211364e-98
"YOR065W"	2322.92665733875	2.60221477192328	0.127958697968855	20.3363648835866	6.13098037733232e-92	7.81209519679684e-89
"YEL024W"	1640.55255021093	2.73448813385138	0.137631687007349	19.8681582222077	7.67682044044715e-88	8.15150383768146e-85
"YCR005C"	2921.64962470555	-3.85906010511305	0.194398718952106	-19.8512630428589	1.07465556157578e-87	9.78090083257039e-85
"YLL053C"	317.838629601464	3.79487757783587	0.191970624840159	19.7680118038664	5.61453336492364e-87	4.47127400849106e-84
"YPL271W"	1931.63585667034	1.860295626586	0.0942547638211611	19.7368870406988	1.03990718433239e-86	7.36138741264628e-84
"YHR215W"	1168.77973542294	4.47222475185743	0.228658405958512	19.5585407547575	3.48920530567347e-85	2.22297270024457e-82
"YDR281C"	269.68997459879	4.23115579173172	0.217393028445362	19.4631622825713	2.25436257336763e-84	1.30568581408411e-81
"YJR048W"	1755.20819982643	3.69951531289961	0.190209132534459	19.4497249611786	2.92998346910728e-84	1.55557705680687e-81
"YOR153W"	10653.7011393764	-2.95159242853271	0.15275815051792	-19.3219963617356	3.50817053470701e-83	1.71927342127834e-80
"YBR039W"	4972.74278967131	2.36779675985443	0.122762297436962	19.2876543473804	6.81980438800319e-83	3.10349812542631e-80
"YBL030C"	10335.6926836828	2.35985252253979	0.124586376556179	18.9414973592693	5.18999003626565e-80	2.2043617680699e-77
"YLL052C"	293.967019988976	3.61345317605584	0.193008000400206	18.7217792452296	3.2897658042617e-78	1.30994362118446e-75
"YGR234W"	9381.40822837554	3.04273828215892	0.164702877802732	18.4741051446792	3.33714736033748e-76	1.25064504898294e-73
"YDL181W"	801.331800364649	3.11325682477764	0.169310662138046	18.3878368052171	1.64410143070336e-75	5.81920567500616e-73
"YBL045C"	5341.85052516711	2.56463264782801	0.139988155950301	18.3203545358402	5.69406953301957e-75	1.90931142078251e-72
"YPR191W"	3641.66232301259	2.36539364721625	0.130764999592023	18.0888896462823	3.89862935993948e-73	1.24190838260872e-70
"YJR121W"	15092.9962930275	2.39910718034988	0.133398385221072	17.9845293957195	2.57566163877054e-72	7.8140668098129e-70
"YJL012C"	3753.96823272899	2.1943138230122	0.122164461386095	17.9619653548602	3.86864108764842e-72	1.12032328951855e-69
"YOR383C"	2010.88844700066	-3.3320768582632	0.186623595904265	-17.854531427915	2.66507971242238e-71	7.38227080341e-69
"YDR377W"	1798.2673128749	2.08154743317052	0.118736775496915	17.5307727909842	8.34278554249252e-69	2.21466194546749e-66
"YGL187C"	1877.4379657502	2.60808676991301	0.149077295803696	17.4948623521272	1.56790823299767e-68	3.99565734097127e-66
"YDR028C"	828.562322776641	9.68244476100872	0.55902457676952	17.3202488108152	3.30923840962616e-67	8.1089068875878e-65
"YBR296C"	181.527995540055	3.46556432118767	0.204736763077153	16.9269273827569	2.84867334309932e-64	6.72181402551324e-62
"YER072W"	3534.05903681796	1.84224143505937	0.110684824301143	16.6440290861115	3.34344922515969e-62	7.60754107624728e-60
"YNL055C"	9660.41266343759	1.66078108867551	0.102706285545612	16.1701991251348	8.18334273741378e-59	1.79779574414011e-56
"YOL077W-A"	976.004893832977	1.98995423921279	0.124179952101987	16.0247624961111	8.58181428955524e-58	1.82249129462521e-55
"YLL041C"	2429.27876345461	2.83308718383833	0.17790986586011	15.9242837385195	4.29908448388749e-57	8.835312015112e-55
"YAR071W"	542.515011437948	3.80803431897164	0.23988117300505	15.8746694093057	9.49096453034696e-57	1.88959171946377e-54
"YKL109W"	1262.40988112146	2.97403814760228	0.193890622293073	15.3387415669177	4.21282871301944e-53	8.13331264565056e-51
"YLR038C"	1146.67477041176	2.03653426692044	0.132898126744485	15.3240253779947	5.28411809384733e-53	9.90150481644157e-51
"YHR051W"	1493.37109623414	2.42236513266522	0.159873764614296	15.1517363621812	7.37909885119568e-52	1.34320682231336e-49
"YLR395C"	1577.17410597349	1.94843359661633	0.129374314853275	15.0604360597084	2.94835911418155e-51	5.21777664345852e-49
"YOR107W"	815.948664246162	2.76769266979855	0.184973625179166	14.9626340896858	1.28824387780227e-50	2.2182166879671e-48
"YDR148C"	2276.97420876771	1.74886027784351	0.118034014869747	14.816578761414	1.14467865440319e-49	1.9191441334744e-47
"YER175C"	458.370598234467	-1.839611287165	0.124181852798099	-14.8138495739465	1.19212808519803e-49	1.94744821302478e-47
"YFR033C"	1879.03652689729	1.94610191997076	0.132333172022518	14.7060777749634	5.89252131383352e-49	9.38531332260834e-47
"YDR529C"	2476.78847812216	2.13836388402643	0.14876454732928	14.3741497716745	7.5187738117029e-47	1.14052637986569e-44
"YMR256C"	812.929518708816	2.27609057819731	0.15832847122847	14.3757503659142	7.34694302590242e-47	1.14052637986569e-44
"YKL016C"	2830.48789427741	1.90710180141302	0.132700655977338	14.3714572273004	7.81689989941412e-47	1.15817370370157e-44
"YHL047C"	881.169146515791	-1.58606723877951	0.110815014942125	-14.3127466941899	1.82173641327921e-46	2.5791739308893e-44
"YHR001W-A"	865.715763727325	2.41473056379113	0.168710215270745	14.3128888782222	1.81801496264448e-46	2.5791739308893e-44
"YML081C-A"	1723.92362570585	1.76159355714585	0.123144116936873	14.3051377602463	2.03234968619764e-46	2.81480431538372e-44
"YJR077C"	5953.46632484592	2.06829151606375	0.14461843241705	14.3017143907301	2.13484826093649e-46	2.89385495115455e-44
"YMR145C"	4907.64249698284	2.68774601881811	0.188381975228887	14.2675328441188	3.48698021207267e-46	4.62823977731562e-44
"YBL099W"	7536.61226843549	1.95091095614667	0.137318164010607	14.2072315793267	8.26279474397466e-46	1.07433194518087e-43
"YDR214W"	1822.99733563431	-1.79770699550666	0.130970012054408	-13.7260962819477	7.08493127910298e-43	9.02761943583302e-41
"YKL085W"	4668.74595113833	2.2411784237945	0.164215168407287	13.6478161276547	2.08019569180261e-42	2.59861308872048e-40
"YJL166W"	1227.37208138697	1.86174013714516	0.136817451233146	13.607475657273	3.61516233122598e-42	4.42926907927706e-40
"YDR298C"	2804.69475159658	1.9346263222434	0.145495841004902	13.2967809174574	2.41650160125843e-40	2.90481730219198e-38
"YDL048C"	630.227608967142	1.90640425846609	0.144030791324186	13.2360882068275	5.43044506009501e-40	6.40691953293802e-38
"YBR115C"	894.565941305407	11.0111242940299	0.841544157971725	13.0844284161734	4.04189169011394e-39	4.68198035594835e-37
"YGR233C"	841.737440885278	1.71842115724002	0.13154846749476	13.063026806515	5.35553183299811e-39	6.09287380500553e-37
"YGR183C"	982.082317266627	2.23054301858972	0.171175473877716	13.0307395566679	8.18108223706748e-39	9.14415349690473e-37
"YPR010C-A"	625.637966542711	2.26965734388954	0.181673789586813	12.493036827445	8.14829222781009e-36	8.95047754885829e-34
"YEL071W"	4499.58826081445	-2.41520017847115	0.193539677774615	-12.4790957918394	9.70828554287423e-36	1.04833029141783e-33
"YHR137W"	345.686462625829	2.78517185288338	0.226068829651298	12.3200171256665	7.06792788092007e-35	7.50496142155696e-33
"YGL191W"	1668.33306617602	1.79413037699391	0.146426226285246	12.252793932549	1.62306255447061e-34	1.69516910402168e-32
"YOR221C"	303.056789053841	1.65239567162722	0.135089420664784	12.2318658522309	2.10057410880514e-34	2.15850929793509e-32
"YLR295C"	1240.97707454223	1.44354941221491	0.11847926930464	12.1839830772689	3.78343116805491e-34	3.82606983677426e-32
"YLR023C"	1441.99294077951	1.20815142514648	0.0993079487454457	12.1657071806337	4.73328299935094e-34	4.71183531076013e-32
"YOL136C"	1538.6091965694	1.33729564304958	0.110589883931056	12.0923867130856	1.15870948123384e-33	1.13571355460627e-31
"YKL141W"	2305.83699527481	1.62651077213653	0.135203909678789	12.0300572372554	2.4698948020451e-33	2.38419693694384e-31
