""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YKL209C"	1280.78971041629	4.46551384466261	0.137244891450823	32.5368310430896	3.21538777631496e-232	2.04980970740078e-228
"YNL145W"	2717.72360643721	8.51909505607042	0.264391873236447	32.2214709241526	8.83235503199245e-228	2.81531316644759e-224
"YIL015W"	1999.93174634964	5.38381553045074	0.181161512380579	29.7183185308178	4.45307919471657e-194	9.46279328877272e-191
"YJR121W"	12476.1417798932	-2.03043759149809	0.0779852359549144	-26.0361793695405	1.92921378889949e-149	3.07468447605856e-146
"YBR039W"	4186.85989776873	-2.0307447108657	0.0815998530229796	-24.88662216455	1.03858724542127e-136	1.32419873791212e-133
"YFL026W"	3992.94261228605	5.84353531416408	0.240234248004174	24.3243224590632	1.08413168371895e-130	1.15188991395139e-127
"YBL045C"	3934.9595509598	-1.99818712088748	0.0911768238069891	-21.9155157797272	1.84789350001612e-106	1.68290300894325e-103
"YOR153W"	10619.3296310601	3.26901370148493	0.160694074624384	20.3430880020071	5.34562952817787e-92	4.25979853026674e-89
"YKL178C"	1115.11500162233	-4.21949576121005	0.208025689948019	-20.2835321073296	1.79748668630488e-91	1.27321973613262e-88
"YPL187W"	8395.36177600685	-11.6809328816301	0.639199765589761	-18.2743072048104	1.32562647725167e-74	8.45086879247938e-72
"YHR051W"	1054.64476413884	-1.76747207226984	0.0997898257856234	-17.7119466674576	3.39137621480044e-70	1.96545666994116e-67
"YDR028C"	847.43371018408	-9.68676401293549	0.560305452553205	-17.2883629256056	5.75639686991578e-67	3.05808583714276e-64
"YGL187C"	1261.849876784	-1.8780500443306	0.110408270902145	-17.0100485134408	6.91804671403708e-65	3.39250367707588e-62
"YPR191W"	2605.8916299805	-1.72949379327684	0.101828909912088	-16.9843102000205	1.07307790258897e-64	4.88633687786048e-62
"YDR298C"	2314.02883000843	-1.53668118051498	0.0906217818033402	-16.9570841572036	1.70603051714318e-64	7.25062969785849e-62
"YOL077W-A"	862.464401919901	-1.72604533117115	0.102406187611259	-16.8548929652897	9.65827995260271e-64	3.84822091861514e-61
"YPL271W"	1703.72149670784	-1.58677541194259	0.0980724889231962	-16.1796180495149	7.02287392740344e-59	2.63357772277629e-56
"YDL048C"	865.706247351631	-2.43218132579927	0.150701426161953	-16.1390730515416	1.35561914181598e-58	4.80115112726493e-56
"YDR377W"	1533.06626625794	-1.75406246534995	0.11237222740121	-15.6093948292696	6.28301158332966e-55	2.10811572861719e-52
"YDL181W"	566.89500307453	-2.50970092785221	0.16236149167383	-15.4574887307267	6.71664518391155e-54	2.14093065237181e-51
"YKL016C"	2314.9420914479	-1.49007312174207	0.0970976628301654	-15.3461275823742	3.75969358837669e-53	1.14133555361435e-50
"YPL078C"	2964.67355049	-1.21379417198642	0.0792331497986621	-15.319271984905	5.68506867115024e-53	1.64737785357195e-50
"YER175C"	463.028880990266	1.90446254028784	0.125928576957348	15.1233547325234	1.1360456919091e-51	3.14882229822632e-49
"YDR529C"	1862.63009750712	-1.57718216184653	0.106142452566878	-14.8591079601518	6.07284168847047e-50	1.61309857349997e-47
"YLR040C"	1314.72834675469	-2.84911621433819	0.193332988113501	-14.736834319581	3.73905337105076e-49	9.53458609617945e-47
"YLL041C"	1450.63132064142	-1.90936830070412	0.129607241227547	-14.7319569695331	4.0189686374251e-49	9.85420194753271e-47
"YBL099W"	6092.71746886772	-1.5144206777216	0.103137976210459	-14.6834438037773	8.23020640422164e-49	1.94324317877456e-46
"YJR077C"	4916.46101583198	-1.68030010959627	0.114595890681875	-14.6628303999215	1.11525311115237e-48	2.53919235128442e-46
"YMR145C"	2448.42106770365	-1.40098098017136	0.0962773104708394	-14.5515176246608	5.71215925142636e-48	1.25569018027045e-45
"YNL055C"	9233.30085755685	-1.53592021388789	0.10693977980609	-14.3624778045449	8.89878018216447e-47	1.89099078870995e-44
"YGR138C"	1292.59427735079	-2.47026112849793	0.175800456658351	-14.0515057551791	7.5413344712302e-45	1.55083894368041e-42
"YPR157W"	340.749103127947	-2.23927577470823	0.161783827761703	-13.8411595626637	1.43866918154115e-43	2.86609876010151e-41
"YPR020W"	612.546149075234	-1.5363131467408	0.111363807398184	-13.7954438038174	2.7147699782006e-43	5.24444200334206e-41
"YLL053C"	188.008554790008	-2.92922128357139	0.213537421447786	-13.7176016442984	7.96570108463424e-43	1.49356895336892e-40
"YOR107W"	936.989362639573	-2.96248273616217	0.218024220702335	-13.5878606818038	4.72695869921874e-42	8.60981763071985e-40
"YKL085W"	3458.32585512195	-1.65973138933196	0.123394477369437	-13.4506132260912	3.05329618016452e-41	5.40687865237468e-39
"YEL024W"	1042.48896596839	-1.91434103967274	0.143341856525	-13.3550735708441	1.10648770178229e-40	1.90644840509786e-38
"YLL052C"	156.812523271329	-2.56594930879887	0.192547010661582	-13.3263523540687	1.62658322673188e-40	2.7288073869515e-38
"YBR238C"	1578.98869932821	-1.67846449694862	0.128794577379189	-13.0321053192091	8.03593220262713e-39	1.31356584081405e-36
"YKL177W"	94.9117171207849	-4.82743386948698	0.37252026474291	-12.9588490248136	2.09365350975335e-38	3.3367602811694e-36
"YDL004W"	2165.10716848804	-1.06915408099763	0.0841054276258017	-12.7120699719222	5.06750385668632e-37	7.87935050887202e-35
"YBL030C"	7042.76058463566	-1.63100999674164	0.129100891634836	-12.6336075304188	1.3781220438565e-36	2.09179238799647e-34
"YLR395C"	1185.64178536826	-1.36793719576189	0.108518018341657	-12.6056227036425	1.96613567687442e-36	2.91491045118009e-34
"YLR346C"	133.449437286835	3.48544801167326	0.276956126491197	12.5848380963114	2.55866840439552e-36	3.70716160864124e-34
"YML081C-A"	1430.62137358983	-1.36305865477513	0.108723015341976	-12.5369835493229	4.68490968633782e-36	6.63695538897858e-34
