""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YOR382W"	2513.7705992893	3.31598692207184	0.188471602297837	17.5940931240753	2.73397232706955e-69	1.73415864706022e-65
"YOR383C"	3154.13791081095	3.59592047296836	0.205331436038857	17.5127615251659	1.14502058866864e-68	3.63143279696259e-65
"YEL071W"	6751.4509750536	2.4294137020794	0.167445991027928	14.5086405901124	1.06816510205093e-47	2.25845708076967e-44
"YGR088W"	838.072522023387	-3.41495842031856	0.237236359701987	-14.3947513973338	5.58252569129443e-47	8.85249011497014e-44
"YCR005C"	4746.68913813449	3.25492130395377	0.228845432441229	14.2232303665911	6.57465316396675e-46	8.34060500380822e-43
"YPR036W-A"	8784.37265441097	2.72432615054853	0.192454653474814	14.1556782408748	1.72267637391629e-45	1.8211560399585e-42
"YGR234W"	4378.74783483049	-2.23615542202403	0.176726121572377	-12.6532252398705	1.07374665880006e-36	9.72967865252684e-34
"YJL088W"	877.472595982574	3.69840266017264	0.297741443373912	12.4215245894677	1.99718801119489e-35	1.58352044437615e-32
"YOR107W"	564.079103865794	-2.73439446290151	0.224041272786105	-12.2048693479441	2.92778086788296e-34	2.06343489388685e-31
"YOR153W"	16853.2321535596	2.37039168518385	0.199323349488012	11.8921927173736	1.29949485724329e-32	8.24269587949422e-30
"YOL155C"	2520.90550346197	-2.1458760943562	0.18072597722094	-11.8736449920137	1.62241575034629e-32	9.35543918586047e-30
"YMR189W"	1658.33703932513	2.16282782788423	0.191057917029222	11.3202732528138	1.04146784890361e-29	5.50502547132967e-27
"YMR145C"	2577.08777614738	-1.9954915094023	0.177589978689836	-11.2365096506231	2.69841433122949e-29	1.31661862330682e-26
"YBL045C"	2937.89453009619	-1.92600714911923	0.174826185282975	-11.0166972184503	3.1749572535813e-28	1.4384824185333e-25
"YEL065W"	2070.0395461999	1.9780063563412	0.180854847861606	10.9369827777843	7.6710468462092e-28	3.24383000970033e-25
"YJR048W"	671.186817797904	-2.71446836815606	0.250733086784101	-10.826127508626	2.58873159097368e-27	1.02627028009663e-24
"YPR191W"	2204.19981684447	-1.87100771697822	0.17429977792523	-10.7344239863624	7.01551034248874e-27	2.61761071190624e-24
"YPL111W"	2107.56613724545	-1.91860567014782	0.178926491314471	-10.722870917844	7.94967587130356e-27	2.80137744731547e-24
"YLR136C"	613.120953176237	2.55393620928807	0.238418728476498	10.7119781470515	8.94301691117839e-27	2.98555559303182e-24
"YOL058W"	5048.99359171007	2.41763426232649	0.229013171789525	10.556747646587	4.72758854105451e-26	1.49935470579544e-23
"YDL048C"	616.30662861657	-2.40812801757377	0.235351882258064	-10.2320321149301	1.42497388182762e-24	4.30409968211076e-22
"YJR121W"	8257.41299939708	-1.64956274438485	0.161353304227059	-10.2232969587258	1.55944845498543e-24	4.49617343180572e-22
"YHR137W"	251.141997177207	-2.85937457803964	0.283312523076325	-10.0926515601618	5.95391102691249e-24	1.64198511494373e-21
"YMR120C"	2134.21393319818	1.99981365128081	0.198329013839668	10.0833136441524	6.54798483618325e-24	1.73057782566293e-21
"YOR065W"	1374.92713890832	-2.16533137764646	0.216286816700996	-10.0113886304957	1.35832385217066e-23	3.4463392777274e-21
"YBR039W"	2801.65532181827	-1.68078060912642	0.169222082612032	-9.93239524761002	3.0093819858061e-23	7.34173459075695e-21
"YDR019C"	1363.14384219453	2.00191904104003	0.205221879003542	9.75490065075119	1.75772697016365e-22	4.12935635990669e-20
"YBL030C"	5681.49174433846	-1.59801246255877	0.165318539622184	-9.6662628777803	4.19414608889419e-22	9.50123880066281e-20
"YGR138C"	913.021291445941	-2.44025144508129	0.256448962731157	-9.51554422015529	1.80764221787702e-21	3.95374985792894e-19
"YDL181W"	387.266683548471	-2.4169171002373	0.25718960042768	-9.39741379985121	5.59206378910176e-21	1.18234868714241e-18
"YKL096W"	4290.82678115025	-2.288456022052	0.245420295688032	-9.32464047293378	1.11360492839012e-20	2.27857937444469e-18
"YEL024W"	813.086972056911	-1.92002419699759	0.208545372020245	-9.20674565154678	3.36162042492143e-20	6.66336198602395e-18
"YGL187C"	959.694163380416	-1.80133238632877	0.196057990043912	-9.18775300065718	4.01132713519245e-20	7.71025697531082e-18
"YHL047C"	1212.75381146721	1.83489411180366	0.200051378316462	9.17211432005747	4.63830753616849e-20	8.65317197115198e-18
"YDR529C"	1569.41077354431	-1.64152795487573	0.180473093535063	-9.09569356141616	9.39846763483278e-20	1.70327086307841e-17
"YKL085W"	2789.3372826535	-1.6404215200374	0.181142557149076	-9.05596976135968	1.3535958292374e-19	2.384960651348e-17
"YHR051W"	834.368789292946	-1.74525174074887	0.194976815408751	-8.95107316780257	3.52042924677645e-19	6.03515748981163e-17
"YBL043W"	159.623476457709	-2.83450646384431	0.319356327658022	-8.87568592935349	6.9503719236245e-19	1.16016339767237e-16
"YKL109W"	672.020556473526	-2.44114246927314	0.276843487883064	-8.81777096488634	1.16760780038716e-18	1.8990093020143e-16
"YCL030C"	3333.31062024537	1.77868188280929	0.205806857108816	8.64248114856954	5.50052324602058e-18	8.72245473737713e-16
"YFR033C"	1296.66117076985	-1.57885851299464	0.186049473133475	-8.48622942276185	2.13449841498346e-17	3.30222523079027e-15
"YOR221C"	299.029237486841	-2.10689712619024	0.250370115919662	-8.41513021013375	3.92458730323935e-17	5.92706125343981e-15
"YER175C"	657.783325065024	1.82619122701052	0.220988762913718	8.26372890156197	1.41191067128138e-16	2.08273241579949e-14
"YJL133C-A"	670.806360595763	2.25036253896688	0.276897500200543	8.12705978687801	4.3982847289662e-16	6.34052728087104e-14
"YLR346C"	208.722771119947	3.21755152074614	0.401959129391386	8.00467332491712	1.19784230600874e-15	1.68842527711409e-13
"YLL053C"	125.318778371072	-2.895379529939	0.363934931319374	-7.95576154078527	1.78033005592376e-15	2.45492033580965e-13
"YER091C"	7302.34607974585	1.4071901401317	0.177258405359395	7.93863702699228	2.04415008668004e-15	2.75873276591735e-13
