""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YOR382W"	2104.70761697298	3.34884468070517	0.113264192041201	29.5666672789841	4.01024052934845e-192	2.49717677762528e-188
"YEL071W"	5855.6848227837	2.31340229545352	0.087762102179868	26.3599234520638	3.94980749915998e-153	1.22977256486346e-149
"YOR383C"	2629.29825558327	3.60760111804999	0.140967166595791	25.5917828610008	1.88324178223082e-144	3.90898219265044e-141
"YGR234W"	5691.26578011323	-2.22418356234871	0.102494271574724	-21.7005646088929	2.0265918625219e-104	3.15489688198097e-101
"YPR036W-A"	7502.47893273771	2.67094457082832	0.126094057755378	21.1821605107669	1.39486146640794e-99	1.73716047026445e-96
"YMR145C"	3266.75508001226	-1.9832526556232	0.0985351839222216	-20.1273552925894	4.25084683493527e-90	4.41167054019033e-87
"YOR107W"	827.113456183908	-2.85129490878964	0.144303093813906	-19.7590698399487	6.70285468771688e-87	5.962668020059e-84
"YCR005C"	3998.56373086493	3.18279712597131	0.166151640955594	19.1559776819896	8.62896134991096e-82	6.71656779073695e-79
"YOL155C"	3085.66488154162	-2.03474151395595	0.106290300937671	-19.1432472766177	1.10184119080447e-81	7.62351677237716e-79
"YBL045C"	3535.11233060704	-1.82290339708755	0.0954787044460329	-19.0922510696393	2.928728483899e-81	1.82371922692391e-78
"YJR121W"	9584.2507997914	-1.52908237499593	0.0801865795375138	-19.0690559918519	4.5647084814596e-81	2.58403997400445e-78
"YBR039W"	3369.98338842602	-1.63062833241499	0.0857688441461813	-19.0118958538815	1.35949252709252e-80	7.05463330517092e-78
"YMR189W"	1446.88610404723	2.10987166068974	0.111797076392888	18.8723330588273	1.92604410772409e-79	9.22575127599839e-77
"YPR191W"	2584.89712466096	-1.72524023917358	0.0923088196173278	-18.6898743405633	5.98538102166129e-78	2.66221197299177e-75
"YPL111W"	2488.32788265865	-1.77824404010834	0.0995670672495657	-17.8597611562783	2.42675479021695e-71	1.0074268052454e-68
"YOR153W"	14537.9494500935	2.35107067905282	0.134958703746226	17.420667313712	5.75025651334718e-68	2.23792795678831e-65
"YDR028C"	702.5856426259	-9.58132409609741	0.560893199209155	-17.082261132078	2.01169640549172e-65	7.36872559823349e-63
"YBL030C"	6471.38109068633	-1.44723017092426	0.0863885468644673	-16.7525699117822	5.42320261297969e-63	1.87612681505692e-60
"YDL048C"	844.85308355416	-2.46121099581833	0.147238680356936	-16.7157909175215	1.00576673893722e-62	3.29626814913793e-60
"YJL088W"	735.968613967659	3.48551157537767	0.209981872791107	16.5991070040846	7.07354549883516e-62	2.20234839106233e-59
"YLR136C"	522.024612585283	2.63297654616302	0.160077884480304	16.4480968418032	8.65452167725933e-61	2.56627173734733e-58
"YEL065W"	1852.11345264309	1.77480773668143	0.108855117561737	16.3043114227023	9.19695185617142e-60	2.6031554185627e-57
"YMR120C"	1866.41278906685	1.99910734154687	0.124055114708006	16.1146708561936	2.01232562674785e-58	5.44815290337342e-56
"YHR137W"	328.220139207024	-2.75247502912012	0.172482499892053	-15.9579959175147	2.50651430291611e-57	6.50336023510775e-55
"YJR048W"	887.187515860006	-2.65294392622225	0.168115696034002	-15.7804654104736	4.24049754040991e-56	1.0562231273653e-53
"YGL187C"	1156.54045583262	-1.72729439607934	0.109700285132061	-15.7455779991817	7.36550346258999e-56	1.7640380792903e-53
"YHR051W"	981.572908094705	-1.63328998027117	0.105574334275879	-15.4705212348598	5.48610336533679e-54	1.26525798725749e-51
"YOR221C"	400.993055578585	-2.1818794266506	0.14234072858833	-15.3285672223929	4.92735439728619e-53	1.0958084225679e-50
"YDR529C"	1770.99366948861	-1.4610334660414	0.0965531039798827	-15.1319160733125	9.97482773642276e-52	2.14183628671395e-49
"YGL009C"	2412.33075846652	-1.31885543346213	0.0881238717778831	-14.9659270167601	1.22603519182842e-50	2.54484037983852e-48
"YOL058W"	4316.30572482847	2.49145664025654	0.166851488899287	14.9321810473049	2.03499527406342e-50	4.08771470051385e-48
"YDL181W"	503.506339952797	-2.37152550091719	0.159419234735371	-14.8760311442582	4.71661717969272e-50	9.1782422431083e-48
"YEL024W"	976.512712652551	-1.81322072738411	0.123245285090559	-14.712292856086	5.37547251992346e-49	1.01433537519889e-46
"YHL047C"	1080.29888961845	1.74232712435778	0.120100232538025	14.5072751945433	1.08963705068187e-47	1.99563821017529e-45
"YDR019C"	1201.06203439361	1.92911278405765	0.135503798166472	14.2365956538551	5.43089946576497e-46	9.6623459923767e-44
"YKL085W"	3217.26296912381	-1.50775817628104	0.105991298781115	-14.2253014504024	6.38287090892161e-46	1.10405936527375e-43
"YER091C"	6508.27388533509	1.50153691495072	0.105912584080691	14.1771341713913	1.2692495904451e-45	2.13611275667612e-43
"YPL271W"	1563.35614983555	-1.39255268960195	0.0990158696916143	-14.0639343363753	6.32687387422347e-45	1.03677483196815e-42
"YOR065W"	1631.15449263378	-1.98775927960492	0.141835555854446	-14.0145344207258	1.27028595036547e-44	2.02822323408353e-42
"YGR088W"	1003.69647378653	-3.1002868048851	0.223637141236569	-13.8630228759969	1.06109733454781e-43	1.6518632755573e-41
"YER175C"	582.997925906192	1.77895926634639	0.131344259559087	13.5442483159768	8.56865297341399e-42	1.30139029427924e-39
"YBL043W"	206.002118787285	-2.70957472205594	0.201565946374803	-13.4426214883421	3.40168702649576e-41	5.04340597952122e-39
"YGR138C"	1196.81292637353	-2.40525706332147	0.180913772155789	-13.2950467764844	2.4731851517606e-40	3.58151719535192e-38
"YFR033C"	1459.14370708512	-1.40438843566526	0.106109083107486	-13.2353272173943	5.4857300501021e-40	7.76355477772404e-38
"YAL044C"	2004.39448733354	1.38748576350341	0.105798363175335	13.1144350617599	2.72203043569938e-39	3.76668522735556e-37
"YDR298C"	1997.76128140252	-1.18995409673046	0.0917173105503809	-12.9741494772332	1.71489347270837e-38	2.32144383794674e-36
"YDR377W"	1297.56771907752	-1.40889665244177	0.10921927366595	-12.8997072142314	4.51810497012693e-38	5.98600843595328e-36
"YCL030C"	2908.0252186809	1.89809299922959	0.15213237927033	12.4765878791443	1.00188821265625e-35	1.29974122921052e-33
"YGL191W"	1369.56240977735	-1.34406534332182	0.108878622198992	-12.3446211586453	5.20788014441605e-35	6.61825911413852e-33
