""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YGL089C"	2503.92840083684	-5.8334657222799	0.151985813535627	-38.3816461982649	0	0
"YIL015W"	2153.7166828951	5.31735641870592	0.122606194135566	43.3693946394462	0	0
"YNL145W"	2922.89575931543	8.62095478331909	0.2433773741167	35.4221702596944	7.78269720324234e-275	1.62139525067549e-271
"YFL026W"	4277.69557552494	6.22425963648803	0.191500538595715	32.5025698733324	9.80764821276307e-232	1.53244503324423e-228
"YPL187W"	10546.1408804457	-11.9335780336339	0.367466072360787	-32.4753193048995	2.37918218436467e-231	2.97397773045584e-228
"YDR461W"	1611.15693823272	7.47980869231894	0.231339070150417	32.332665154466	2.43158821339113e-229	2.5329043889491e-226
"YJR004C"	5054.24786975427	-4.17721041324508	0.132156494997967	-31.6080599240267	2.86110337139894e-219	2.5545565816062e-216
"YKL178C"	1473.36035249495	-4.52907207328738	0.145648223572792	-31.0959650738469	2.73086072947364e-212	2.13348494490129e-209
"YKL209C"	1383.19682522248	4.3336554284528	0.152155717446872	28.4817126899355	1.97365104457702e-178	1.37059100317848e-175
"YGL032C"	905.296241331017	7.34962415364339	0.277648100769468	26.4710046035784	2.09132655431443e-154	1.30707909644652e-151
"YLR040C"	1908.86329525543	-3.3320433730776	0.167606892393487	-19.8801094960643	6.0501671441797e-88	3.43759496828392e-85
"YDR028C"	847.918496633012	-9.58168157344981	0.557020511707924	-17.2016673929487	2.57999240165846e-66	1.34374604253045e-63
"YER175C"	492.55054276688	1.98539567121246	0.119812300402688	16.5708834947627	1.13151009715203e-61	5.43995239015399e-59
"YDR019C"	1033.06550761975	1.96694209454309	0.123399248065255	15.9396602927673	3.36176313255071e-57	1.50078711274585e-54
"YOR153W"	12223.7288459465	2.46258404092314	0.155349434716883	15.8519021675946	1.36389208889434e-56	5.68288370372643e-54
"YOR383C"	2223.70545045731	3.20489483847931	0.204165807155009	15.6975101910481	1.57295446403556e-55	6.14435337513889e-53
