""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YML123C"	10341.7224031811	5.38008275571817	0.144207914225242	37.3078189544777	1.22565972383965e-304	7.93001841324254e-301
"YHR136C"	474.324450882164	6.20960332279133	0.299899656961762	20.7056032864455	3.08350005702377e-95	9.97512268447188e-92
"YHR215W"	991.296249225775	4.82962623437133	0.261266411223417	18.4854463754293	2.70451551610234e-76	5.83273846306071e-73
"YDR281C"	234.062746688738	3.89906724457848	0.230440302181862	16.9200752110686	3.20021578498095e-64	5.17634903220669e-61
"YDR377W"	1559.62747011577	1.98955600363674	0.125446493101184	15.8597977069952	1.2028068677995e-56	1.55643208693255e-53
"YER072W"	2936.30968920995	2.05397370678882	0.130837160755372	15.6987028374084	1.54366277245054e-55	1.66458302295917e-52
"YAR071W"	456.97768167784	4.21102312808263	0.271804427491286	15.4928422871906	3.87761711889696e-54	3.58402610846619e-51
"YBR039W"	4414.03745138518	2.07523883111993	0.135427932111742	15.3235658165972	5.32161963958035e-53	4.30385988351061e-50
"YPL271W"	1574.54363953231	2.22434679082298	0.147237381474489	15.1072150872798	1.45145644698048e-51	1.04343591244041e-48
"YJR048W"	1534.21566989291	3.33137040236795	0.220667469872543	15.0967897728294	1.70011351826314e-51	1.09997344631625e-48
"YML081C-A"	1447.33617706557	1.89177001727169	0.13194070813042	14.338031408788	1.26595719784851e-46	7.44613006370896e-44
"YBL045C"	4706.36695687153	2.30283034832163	0.162887678501495	14.1375355674953	2.22956466513899e-45	1.20210694862077e-42
"YBR296C"	155.10093220652	3.49378958287622	0.247531327041004	14.1145350151881	3.09047646928602e-45	1.53810636586773e-42
"YPL019C"	3261.33260080739	2.96369059751742	0.211832091926873	13.9907535754333	1.77520899141021e-44	8.20400155316002e-42
"YJL166W"	1033.53795038546	1.97846591628922	0.149102152491771	13.2691975482943	3.49301117875269e-40	1.50665215510199e-37
"YJL012C"	3381.8822025726	1.82666499547962	0.138370027592287	13.2013054218791	8.62276867592222e-40	3.48683208332605e-37
