""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YMR303C"	6459.22133296541	4.56098855931019	0.103195429261162	44.197583090308	0	0
"YLR174W"	1847.16330565348	4.77472513043586	0.15552301658208	30.7010835783006	5.50523997609732e-207	1.7875514202388e-203
"YML123C"	11204.0904426348	-4.91131087961929	0.179547027521032	-27.3538969005989	9.70576583275857e-165	2.10097477726447e-161
"YKL217W"	1761.51361416539	4.74095349305528	0.17398539946455	27.249145661911	1.70104831487352e-163	2.76165193919715e-160
"YNL117W"	928.419689422407	4.86107458510762	0.186938438158772	26.0036118466924	4.50759643585507e-149	5.85446625088857e-146
"YLR377C"	1890.74543391657	5.05724634932503	0.195804926863112	25.8279831378327	4.30126354992352e-147	4.65540091553389e-144
"YJR095W"	2141.64365520729	6.65798107144225	0.260143775574859	25.5934667540271	1.80368862650914e-144	1.67330770579291e-141
"YHR092C"	19163.4643882373	6.88654400140383	0.288510844901206	23.8692725875243	6.38852828015894e-126	5.18588783141902e-123
"YDL215C"	3341.26372294619	2.87854628947756	0.121934823489358	23.6072535072706	3.24665622084192e-123	2.34264283312749e-120
"YER065C"	2763.85260804466	3.43679921758784	0.148030245914937	23.2168716355625	3.07573691996127e-119	1.99738355582285e-116
"YPL019C"	3437.24670022306	-3.21673390557573	0.139552172965019	-23.0504035675751	1.45725657457634e-117	8.60311290481703e-115
"YHR136C"	512.575297919	-5.64741963109898	0.249051123448207	-22.6757444532204	7.77555412318215e-114	4.20787070632874e-111
"YIL162W"	6117.80398823091	3.69023664928423	0.170300949422808	21.6689141299057	4.03151129012918e-104	2.01389494754607e-101
"YDR277C"	1444.88348244381	3.51349504053157	0.164100301906302	21.4106555546601	1.06306795504781e-101	4.93111664291461e-99
"YJL212C"	599.788362919648	-2.50101674556261	0.119860508415674	-20.8660615462194	1.08948774027534e-96	4.71675559023203e-94
"YDR028C"	763.098346192894	-8.42403833976816	0.404261122346082	-20.838111493087	1.95396149819635e-96	7.93064123080443e-94
"YNL134C"	2859.81585031763	-1.87649827893147	0.0901628890306395	-20.8123131268985	3.34795080604779e-96	1.27891720791025e-93
"YPL134C"	1439.39881785092	2.18892162114169	0.108292451711295	20.2130581268703	7.51447436784597e-91	2.71105536359954e-88
"YBR230C"	1573.81807397747	1.96508853610877	0.0979628268972695	20.0595327671535	1.66642412204602e-89	5.69566223608781e-87
"YKR097W"	3533.52679697587	5.32712803947845	0.26946564508545	19.7692289782958	5.48071386884948e-87	1.77958779321543e-84
"YBR297W"	505.149224748933	2.66968335572823	0.141589150447374	18.8551407173002	2.66628566142641e-79	8.24517099300148e-77
"YHR215W"	1069.61203355034	-4.62555075975794	0.267902794108462	-17.265780206403	8.51452448997661e-67	2.51333281990491e-64
"YLL053C"	310.867977739741	-2.8271841003753	0.164413151669371	-17.1956079648704	2.86437546671591e-66	8.08750186124049e-64
"YKL029C"	2950.72873771101	1.58733913098211	0.0956864414601055	16.5889660725226	8.37497076500783e-62	2.26612750616503e-59
"YER072W"	3212.4026408941	-1.91905012065372	0.11704948870087	-16.3952029347007	2.06948458597165e-60	5.37569316051996e-58
"YMR011W"	17788.4531851178	3.81786184207607	0.240545856063287	15.8716591695165	9.95734472002834e-57	2.48703833122554e-54
"YGR292W"	206.062662913271	3.62367152138751	0.23124267834736	15.6704270478317	2.40954970447434e-55	5.79541325216903e-53
"YJL012C"	3569.4378018129	-1.94166393121454	0.124046023854244	-15.6527704063777	3.18066245010978e-55	7.3768649825046e-53
"YDR281C"	246.910712202973	-4.37970165057593	0.280630194428535	-15.6066657741324	6.55755640838181e-55	1.46844039020798e-52
"YGR244C"	3353.74437030233	1.91977153634247	0.127089454780406	15.1056713529819	1.48585319133285e-51	3.21637687483852e-49
"YBR298C"	584.289226152547	2.50591516853004	0.166322687197018	15.066586589968	2.68638229409666e-51	5.62753761866572e-49
"YIL053W"	16501.2021966447	-1.52776767829532	0.103249044320753	-14.7969183477298	1.53349079805097e-49	3.11202788829468e-47
"YAR071W"	502.245353082873	-3.6575867415792	0.247523986614528	-14.7766961562202	2.07077659374715e-49	4.07503733327091e-47
"YLL028W"	1111.3743112486	-1.63448040881787	0.112895271587581	-14.4778464663144	1.67255770140017e-47	3.19458520967433e-45
"YGR289C"	228.705972384641	2.3908537547301	0.166857030994874	14.3287564238366	1.44688282284442e-46	2.68458772901477e-44
"YFL054C"	623.845859365179	2.53295720014241	0.177006477212316	14.3099689911583	1.89597849552808e-46	3.42013454165537e-44
"YLL052C"	290.420924572115	-2.62138693225809	0.183835475154572	-14.259418265457	3.91706102238532e-46	6.87497142685683e-44
"YKR075C"	2552.27498077047	2.85471438535813	0.200895224701126	14.209966362342	7.94636689046681e-46	1.35799227859714e-43
"YHR094C"	4468.19889772319	-3.85455094099689	0.278122432037899	-13.8591875267064	1.11934049091464e-43	1.86384542256401e-41
"YGR067C"	322.565547536059	2.42636682590182	0.178446616712939	13.597157909724	4.16298586466261e-42	6.75860755127975e-40
"YDR461W"	1464.58003828906	-2.27470585208104	0.168790963223137	-13.4764670373611	2.15165698937391e-41	3.40801475341321e-39
"YOL151W"	654.502120647222	-1.75410198079089	0.130364927393969	-13.4553212727984	2.86491397906067e-41	4.42970270952857e-39
"YGR234W"	9372.33076127134	-2.19328836244837	0.166730451695499	-13.1546957388084	1.59925978673574e-39	2.4152541988516e-37
