""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YNL145W"	1612.6050981124	-7.93042269153126	0.301258837847804	-26.3242822955379	1.01135791833948e-152	6.69518941940735e-149
"YKL178C"	1409.35852665186	4.54673826649494	0.18204770409181	24.9755320407773	1.12780429279146e-137	3.73303220913974e-134
"YFL026W"	3016.24132907594	-6.31705845579217	0.255424409823179	-24.7316161370999	4.88938783816433e-135	1.07892491628826e-131
"YDR461W"	1216.15143177983	-7.73051149011756	0.326386423720704	-23.6851502644998	5.12928191787824e-124	8.48896157408848e-121
"YLR040C"	1382.55007852479	4.54805616897317	0.192378291702139	23.6412129909906	1.45343027226071e-123	1.92434168047319e-120
"YLR174W"	1126.39022649549	4.0298113274787	0.176420932872431	22.8420248202215	1.75406484901876e-115	1.9353182167507e-112
"YDL215C"	3747.61947383105	3.06977157527434	0.140252885898897	21.8874039960021	3.4246994162334e-106	3.23878716220931e-103
"YPL187W"	7755.55633317656	8.09985060788319	0.399631864483637	20.2682802042049	2.45072564579758e-91	2.0279754718975e-88
"YBR297W"	812.748483675745	3.4432154725892	0.184069791497813	18.7060323400763	4.42088186993832e-78	3.25180421988796e-75
"YDR277C"	1454.05240521392	3.5279034669604	0.195075812774515	18.0847815871373	4.2002859134174e-73	2.78058927468232e-70
"YIL015W"	791.933468069288	-4.24736176916057	0.240958691625397	-17.626929082781	1.53057712430046e-69	9.21129142079006e-67
"YDR281C"	253.46040672199	-3.67882756305333	0.213775560472442	-17.2088313319032	2.27986329656668e-66	1.25772458527262e-63
"YHR092C"	10693.1503202474	6.03844520688018	0.35431506085404	17.0425868782578	3.96785967868808e-65	2.02055623637808e-62
"YDR028C"	760.067646599692	-9.45390101062956	0.564990631939487	-16.7328456016632	7.55413211474884e-63	3.57202532854552e-60
"YMR303C"	6066.54649329842	4.47077778970816	0.267449539704591	16.7163413130055	9.96523091564803e-63	4.39798857743933e-60
"YKL029C"	3095.64151558779	1.6836634784342	0.103318240225522	16.2958977500886	1.05542456615583e-59	4.36681914246976e-57
"YLL052C"	271.645501143076	-3.45872816417054	0.215527241929356	-16.0477540250073	5.92703726089103e-58	2.3080580392411e-55
"YER065C"	1924.54398151242	2.8603344580988	0.189076341216244	15.1279342497298	1.0596993307081e-51	3.89733864960423e-49
"YLL053C"	291.349878048816	-3.80414022234665	0.257278731093646	-14.7860657045996	1.8018260773186e-49	6.27794138518375e-47
"YMR011W"	23848.1191533793	4.27039120479928	0.289492119685596	14.7513210702839	3.01700610410497e-49	9.98629020458746e-47
"YBR230C"	1592.79821505325	1.99266852531532	0.136117205917038	14.6393581317694	1.57548520326327e-48	4.96652954552516e-46
"YBR298C"	636.656599192352	2.65642538063637	0.181959411821523	14.5989996013064	2.84996659800228e-48	8.57580858126141e-46
"YML123C"	11602.6482873313	-3.78268891190825	0.262333808614221	-14.4193725234666	3.90879967404145e-47	1.12505451487628e-44
"YJL212C"	591.300439311119	-2.60509173931871	0.183221179021448	-14.2182893551502	7.05566513585531e-46	1.94618763330676e-43
"YHR136C"	538.353780920315	-3.77121087609168	0.267906170873274	-14.076610717099	5.28860269587396e-45	1.40042199386742e-42
"YKL217W"	2953.48189443804	5.51285317694438	0.394959534039678	13.9580202573121	2.81135111932573e-44	7.15813246536013e-42
"YGR289C"	235.503089996484	2.44847686255892	0.176171693007076	13.898242224763	6.49160773435569e-44	1.59164604449758e-41
"YNL117W"	511.479326247035	3.96680934942764	0.289245598373322	13.714329178167	8.33335477308132e-43	1.97024316420708e-40
"YPL134C"	1181.79285374201	1.84002916746929	0.135081156995797	13.6216568497896	2.97735494096968e-42	6.79658265835148e-40
"YOL151W"	620.75159479226	-2.09270403847023	0.156135009188795	-13.4031697909581	5.79349010088365e-41	1.27843014892833e-38
"YGL032C"	215.552206055738	-6.23147824378293	0.467153005451173	-13.3392660885583	1.36799656903247e-40	2.92133460870804e-38
"YGR292W"	258.960139493618	3.98257507017018	0.310545881513113	12.8244337061093	1.19657630323782e-37	2.47541722732324e-35
"YPL019C"	3488.93020989941	-2.97793532359013	0.233337481507127	-12.7623530705639	2.66041304646557e-37	5.33694980836427e-35
"YPR158C-D"	326.256681209223	2.0994054168941	0.169247466498183	12.4043535795948	2.47502083116464e-35	4.81901114773822e-33
"YKL177W"	99.3430536842737	5.32046071798703	0.429109114601519	12.3988527321955	2.65091830318777e-35	5.01402261917229e-33
"YER072W"	3359.30288787139	-1.61902962739129	0.132741867932404	-12.1968272151763	3.23172537982756e-34	5.94278389290513e-32
"YHR215W"	1140.83579239303	-3.14868081601211	0.259812647355194	-12.1190436572839	8.37304526685808e-34	1.49809620720542e-31
"YJL012C"	3544.10765005001	-1.97477985255304	0.163427036276051	-12.0835566596053	1.29015854788982e-33	2.24759199658701e-31
"YLR041W"	136.04304896099	3.07990318735119	0.263702896655528	11.6794438984659	1.62354192845297e-31	2.75585835034837e-29
"YKR075C"	2751.87228699121	2.98225075365582	0.256653948445081	11.6197345559013	3.27151119036477e-31	5.4143510200537e-29
"YER042W"	596.915008116884	-2.07998207620038	0.182381964116663	-11.4045381969343	3.96877802689853e-30	6.40812452148007e-28
"YJR095W"	1133.5890337003	5.72570176005012	0.503526010311863	11.3712134880656	5.81731458626009e-30	9.1691958478671e-28
"YDR384C"	3667.26711524901	1.64771974331997	0.144966906169842	11.3661785772645	6.16270242812203e-30	9.48769536608555e-28
"YDL047W"	920.683362622805	13.2307619973902	1.18891861281949	11.1284000895686	9.12587397186613e-29	1.37302922031259e-26
"YKL163W"	406.248909537652	2.12985156560614	0.193788511977284	10.9905976565618	4.24108356859561e-28	6.23910516091177e-26
"YPR030W"	635.477094945918	2.2812423631368	0.209523654245187	10.8877557111869	1.31849415071673e-27	1.8974850603793e-25
"YHR046C"	693.964408839379	-1.16148422593472	0.107170270534043	-10.8377465144661	2.2801849814456e-27	3.21166480365317e-25
"YKL209C"	916.996565833999	-3.40066912447188	0.318569903123948	-10.6747972458301	1.3354874837151e-26	1.84185982129041e-24
"YMR191W"	997.72408252167	1.76932775625243	0.166736905323172	10.6114945148052	2.63500133159893e-26	3.55994057452753e-24
"YOL104C"	108.528929714308	2.85374712363665	0.275033185713955	10.3760101393897	3.188225155641e-25	4.22121010606868e-23
"YNL104C"	4177.67521992216	1.04538595687589	0.100894074631374	10.3612225068252	3.72174442040064e-25	4.83097020844162e-23
