""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YML123C"	10828.2852591029	-5.92243474234185	0.123193341910696	-48.0743086475817	0	0
"YPL019C"	3317.85617695358	-3.50898678419294	0.124075450397951	-28.2810723067172	5.90748652425355e-176	1.91638862846785e-172
"YOR065W"	2197.17246683888	-2.18832690355954	0.0843654369616856	-25.9386661453952	2.44094715229327e-148	5.27895504135958e-145
"YHR136C"	498.970179118089	-6.57527467291425	0.295457538165775	-22.2545503957492	1.01910174422197e-109	1.65298302912804e-106
"YHR215W"	1048.52321786084	-4.73224048766144	0.212818025610834	-22.2360886681421	1.53792671517949e-109	1.99561370561691e-106
"YKL109W"	1155.04051202004	-2.82129210739127	0.129385435729917	-21.8053298771626	2.06512597610989e-105	2.23308955550017e-102
"YLR348C"	1188.95396317051	2.12350983269083	0.0975463169845785	21.7692466341557	4.54031549395858e-105	4.20822384640047e-102
"YKL150W"	2126.27655915569	-1.63571670966025	0.0769955072030491	-21.2443137149107	3.7210001558062e-100	3.01773112635883e-97
"YNL055C"	8427.77392534489	-1.88285684258717	0.0889418561133468	-21.1695249555808	1.82386467419693e-99	1.31480377846552e-96
"YDR028C"	749.897356297103	-8.36820657968545	0.400339792313259	-20.902759956316	5.05369064047392e-97	3.27883448753948e-94
"YJR048W"	1658.88854305127	-2.98039487199917	0.144748404529624	-20.5901742522434	3.36157813432317e-94	1.98271990322625e-91
"YDL181W"	729.955017748625	-3.00289753810705	0.146053007579997	-20.5603266092434	6.22128924908075e-94	3.36364372066966e-91
"YBL030C"	9478.56385134022	-2.23218403263148	0.110894157541356	-20.1289597407243	4.11543405891899e-90	2.05391816725126e-87
"YDR377W"	1620.4518954979	-2.10181649035528	0.104579922399951	-20.0977055836509	7.72850840999742e-90	3.58161161171881e-87
"YLL053C"	292.237602664717	-3.44583349576889	0.17276329106326	-19.9454031846797	1.64320060795387e-88	7.10739036293648e-86
"YPL265W"	1427.92455225359	2.88748374556004	0.147188613667838	19.617575528473	1.0945016179448e-85	4.43820406076616e-83
"YBR039W"	4569.95326898539	-2.22226125094458	0.113353275235571	-19.6047378986295	1.40876176081913e-85	5.37649782599676e-83
"YLL041C"	2180.55977674005	-2.91257185979767	0.148991661299732	-19.5485561701225	4.24361735250955e-85	1.52958829906011e-82
"YDR281C"	244.649594446303	-4.12499714199383	0.21124224992442	-19.5273300841556	6.43151998375418e-85	2.19619482392616e-82
"YPL271W"	1697.72845576911	-2.05333213713966	0.105397052991428	-19.4818742921272	1.56446102322262e-84	5.07511155933418e-82
"YBL045C"	4914.40759745927	-2.39289926402448	0.122894140266406	-19.4712234353667	1.92615793624361e-84	5.95091080492787e-82
"YCR005C"	1496.60634345385	2.96356677110849	0.153705804169582	19.2807733391696	7.79030919375474e-83	2.29743300223094e-80
"YJL012C"	3387.09692887077	-2.20471739341331	0.115630452417669	-19.066926984335	4.75435764914947e-81	1.30621904947092e-78
"YPR036W-A"	2932.58097803841	2.90502182638108	0.152365965029061	19.0660809704253	4.83188304366556e-81	1.30621904947092e-78
"YPL240C"	2001.18109912826	1.99469107429448	0.104982709109544	19.0001867089667	1.69938885622339e-80	4.41025395967095e-78
"YEL024W"	1521.91462610074	-2.46606055257913	0.12998102270812	-18.9724661431293	2.8806974632694e-80	7.18844813141995e-78
"YLL052C"	266.911816336626	-3.51189071415842	0.186985620108784	-18.7816085114742	1.06795283643693e-78	2.56625111214919e-76
"YOL077W-A"	861.46866997643	-2.16405484295526	0.11775712861408	-18.3772725135598	1.99763503851895e-75	4.62880576068249e-73
"YGR254W"	14463.9151841969	-2.41972329142836	0.13254766103093	-18.2554959673239	1.87103993288446e-74	4.18596796019116e-72
"YJR121W"	13963.5554899672	-2.19661062842595	0.12072538403363	-18.1951016019469	5.64344025317578e-74	1.22048801208681e-71
"YPR191W"	3351.45755799137	-2.20883968897777	0.12505013875698	-17.6636324512233	7.99264549173349e-70	1.67278335323764e-67
"YER072W"	3190.38095646351	-1.8470789989213	0.105873260874915	-17.4461330807931	3.68340747500418e-68	7.46810865557097e-66
"YAR071W"	485.217577099906	-4.04765514943035	0.233336197820576	-17.3468805407672	2.08249958789331e-67	4.09432040189447e-65
"YML081C-A"	1525.73655235036	-1.89672035479475	0.109625977108867	-17.3017418390822	4.56379377220606e-67	8.70879235119791e-65
"YDR214W"	1462.14974687408	1.57323365618917	0.0917420257599136	17.1484512485726	6.45499782393357e-66	1.19657216804803e-63
"YKL085W"	4111.25269846444	-2.46789765889266	0.145861129150668	-16.9195019486202	3.23151597191814e-64	5.82390989605692e-62
"YHR001W-A"	799.762352814732	-2.22440538508992	0.131611784916679	-16.9012629567949	4.40372532950995e-64	7.72199187509744e-62
"YGR234W"	8958.21652538678	-2.43345282145756	0.144086604952652	-16.888820596871	5.43791881930025e-64	9.28453086832106e-62
"YGL187C"	1767.89596993364	-2.23007338034036	0.132141588819216	-16.8763929680863	6.71227695495379e-64	1.11664750983949e-61
"YLR038C"	1041.84609384991	-1.99624199874637	0.120143351200647	-16.6155012224731	5.3823115153365e-62	8.7301092778758e-60
"YDR148C"	2037.7296167686	-1.80977375807835	0.109998596560718	-16.452698622199	8.02132080585781e-61	1.26932510703428e-58
"YBR296C"	162.214282639041	-3.65138792697933	0.224076756341292	-16.2952551911181	1.06657558362906e-59	1.64760533013936e-57
"YPR010C-A"	557.466700749306	-2.39419804229381	0.147105009251803	-16.2754351770279	1.4746739798697e-59	2.22504297241735e-57
