""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YML123C"	11992.9320946631	-5.89014952617721	0.173734814951374	-33.9031041523013	5.9956955497921e-252	3.81985763477255e-248
"YPL019C"	3679.40848929681	-3.47572054715212	0.137942913745543	-25.1968039008052	4.34216101024162e-140	1.38319538981247e-136
"YHR136C"	550.501636321224	-7.04446772127104	0.322993277203414	-21.8099515329373	1.8667384712627e-105	3.9643302668049e-102
"YPR036W-A"	5365.59858420088	3.70437198681509	0.173003479149691	21.4121242244492	1.03008823802716e-101	1.64067304111776e-98
"YOR065W"	2322.92665733875	-2.60221459837281	0.127958697934343	-20.3363635327707	6.13114920717387e-92	7.81231031978094e-89
"YEL024W"	1640.55255021093	-2.73448794395835	0.137631686941584	-19.8681568519826	7.67702996269581e-88	8.15172631538917e-85
"YCR005C"	2921.64962470555	3.85906049769791	0.19439871915953	19.8512650411603	1.07461282448307e-87	9.78051186397378e-85
"YLL053C"	317.838629601464	-3.79487733211697	0.191970624151801	-19.7680105947677	5.61466790384244e-87	4.47138115192252e-84
"YPL271W"	1931.63585667034	-1.86029553254318	0.0942547638276765	-19.7368860415831	1.03992774329127e-86	7.36153294723185e-84
"YHR215W"	1168.77973542294	-4.47222429933882	0.228658405629364	-19.5585388038956	3.4893387886093e-85	2.22305774222299e-82
"YDR281C"	269.68997459879	-4.2311555103776	0.217393027564998	-19.4631610671714	2.25441604217365e-84	1.30571678224439e-81
"YJR048W"	1755.20819982643	-3.69951496140773	0.190209132365188	-19.4497231305641	2.9300880672134e-84	1.55563258968471e-81
"YOR153W"	10653.7011393764	2.95159272510229	0.152758150570115	19.3219982965658	3.50803903553843e-83	1.71920897657041e-80
"YBR039W"	4972.74278967131	-2.36779658174641	0.122762297431148	-19.2876528974575	6.81999562063599e-83	3.10358514993371e-80
"YBL030C"	10335.6926836828	-2.35985232249265	0.12458637656025	-18.94149575296	5.19014838651308e-80	2.20442902469832e-77
"YLL052C"	293.967019988976	-3.61345292646365	0.193007999760926	-18.7217780140695	3.28984184773942e-78	1.30997390074674e-75
"YGR234W"	9381.40822837554	-3.04273794319387	0.164702877775681	-18.4741030896737	3.33727442457126e-76	1.25069266817315e-73
"YDL181W"	801.331800364649	-3.11325657362892	0.169310661953102	-18.3878353419424	1.64414579831603e-75	5.81936271170635e-73
"YBL045C"	5341.85052516711	-2.56463241549959	0.13998815593286	-18.3203528784937	5.69424293777183e-75	1.90936956613391e-72
"YPR191W"	3641.66232301259	-2.36539345289237	0.130764999575396	-18.088888162528	3.89873431634732e-73	1.24194181647244e-70
"YJR121W"	15092.9962930275	-2.39910694144567	0.133398385224811	-17.9845276043076	2.57574487700366e-72	7.81431933875729e-70
"YJL012C"	3753.96823272899	-2.19431365185864	0.122164461378894	-17.9619639549096	3.86873866887974e-72	1.12035154815604e-69
"YOR383C"	2010.88844700066	3.33207720926932	0.186623596106048	17.854533289434	2.66499085969822e-71	7.38202468136406e-69
"YDR377W"	1798.2673128749	-2.08154728630278	0.118736775477441	-17.5307715569407	8.34296661357786e-69	2.21471001229602e-66
"YGL187C"	1877.4379657502	-2.60808654106763	0.149077295744085	-17.4948608240441	1.56795028546492e-68	3.99576450747881e-66
"YDR028C"	828.562322776641	-9.68244437362364	0.559024686334083	-17.3202447232129	3.30947348222499e-67	8.10948290586746e-65
"YBR296C"	181.527995540055	-3.46556407285655	0.20473676216881	-16.9269262449267	2.84872839916385e-64	6.7219439374344e-62
"YER072W"	3534.05903681796	-1.842241294273	0.110684824306523	-16.6440278133453	3.34352030726268e-62	7.60770281341804e-60
"YNL055C"	9660.41266343759	-1.66078095149035	0.102706285566393	-16.1701977861595	8.18352059350893e-59	1.79783481728432e-56
"YOL077W-A"	976.004893832977	-1.98995409200076	0.124179952058761	-16.0247613162157	8.58197717915984e-58	1.82252588694758e-55
"YLL041C"	2429.27876345461	-2.83308684831013	0.177909865783913	-15.9242818593948	4.29921363378024e-57	8.83557743897224e-55
"YAR071W"	542.515011437948	-3.80803386842316	0.239881172672872	-15.874667553073	9.49124530664094e-57	1.88964762026905e-54
"YKL109W"	1262.40988112146	-2.97403778795086	0.193890622155736	-15.3387397228633	4.21294837882387e-53	8.13354367317785e-51
"YLR038C"	1146.67477041176	-2.03653409428958	0.132898126701933	-15.3240240839298	5.28422332295032e-53	9.90170199721073e-51
"YHR051W"	1493.37109623414	-2.42236487605009	0.159873764546297	-15.1517347635146	7.37927836606624e-52	1.3432394991488e-49
"YLR395C"	1577.17410597349	-1.94843342453491	0.129374314828113	-15.0604347325325	2.94841830369978e-51	5.21788139246425e-49
"YOR107W"	815.948664246162	-2.76769236203499	0.184973625028208	-14.9626324380728	1.28827585485664e-50	2.21827174899774e-48
"YDR148C"	2276.97420876771	-1.74886012628923	0.118034014866848	-14.8165774777896	1.14470052345002e-49	1.91918079865791e-47
"YER175C"	458.370598234467	1.83961141640588	0.124181853087215	14.8138505801963	1.19211023469777e-49	1.94741905263064e-47
"YFR033C"	1879.03652689729	-1.94610173540818	0.132333172000943	-14.7060763826799	5.89264251744879e-49	9.38550636966657e-47
"YDR529C"	2476.78847812216	-2.13836364306547	0.148764547299448	-14.3741481548098	7.51894939573085e-47	1.14055301429051e-44
"YMR256C"	812.929518708816	-2.27609034791875	0.158328471140909	-14.3757489194288	7.34709653438981e-47	1.14055301429051e-44
"YKL016C"	2830.48789427741	-1.90710160498568	0.132700655966059	-14.371455748293	7.81706685009343e-47	1.15819843958012e-44
"YHL047C"	881.169146515791	1.58606735530708	0.110815015080672	14.3127477278457	1.82170933157619e-46	2.57913558921598e-44
"YHR001W-A"	865.715763727325	-2.41473030121595	0.168710215166767	-14.3128873306755	1.8180554265735e-46	2.57913558921598e-44
"YML081C-A"	1723.92362570585	-1.76159339838272	0.123144116925212	-14.3051364723544	2.03238731070872e-46	2.81485642533158e-44
"YJR077C"	5953.46632484592	-2.0682912611517	0.144618432409172	-14.3017126288567	2.13490231560826e-46	2.89392822398729e-44
"YMR145C"	4907.64249698284	-2.68774560379738	0.188381975182552	-14.2675306445472	3.48709017623274e-46	4.62838573182892e-44
"YBL099W"	7536.61226843549	-1.9509107192199	0.137318164010672	-14.2072298539346	8.26299828650307e-46	1.07435840986349e-43
"YDR214W"	1822.99733563431	1.79770717613254	0.130970012144242	13.726097651672	7.08479737710232e-43	9.02744881790377e-41
"YKL085W"	4668.74595113833	-2.24117810614499	0.164215168382585	-13.6478141953582	2.08025084211457e-42	2.59868198335528e-40
"YJL166W"	1227.37208138697	-1.86173995105106	0.136817451199934	-13.6074743004127	3.61522943688174e-42	4.4293512966103e-40
"YDR298C"	2804.69475159658	-1.93462608651915	0.145495840986136	-13.2967792990283	2.41655389557782e-40	2.90488016391062e-38
"YDL048C"	630.227608967142	-1.9064040731975	0.144030791254164	-13.23608692695	5.43053757499381e-40	6.40702868338621e-38
"YBR115C"	894.565941305407	-11.0111243544672	0.841544782183687	-13.084418782676	4.04240414011292e-39	4.68257395939262e-37
"YGR233C"	841.737440885278	-1.71842099412234	0.131548467458541	-13.06302557013	5.35561883163535e-39	6.09297278149086e-37
"YGR183C"	982.082317266627	-2.23054274047274	0.171175473794558	-13.0307379382504	8.18125577564224e-39	9.14434746431872e-37
"YPR010C-A"	625.637966542711	-2.2696570533445	0.181673789466121	-12.4930352364767	8.14845520986882e-36	8.95065657621969e-34
"YEL071W"	4499.58826081445	2.41520061545442	0.193539677846459	12.4790980450555	9.70801083709729e-36	1.04830062784995e-33
"YHR137W"	345.686462625829	-2.78517146001494	0.226068829408313	-12.3200154010817	7.06807903093952e-35	7.50512191768595e-33
"YGL191W"	1668.33306617602	-1.79413015354325	0.146426226258457	-12.2527924087617	1.6230930576354e-34	1.69520096232707e-32
"YOR221C"	303.056789053841	-1.65239552724361	0.135089420546945	-12.2318647941005	2.10060147588238e-34	2.15853741981398e-32
"YLR295C"	1240.97707454223	-1.44354927071286	0.118479269299632	-12.1839818834647	3.78348656543094e-34	3.82612585846992e-32
"YLR023C"	1441.99294077951	-1.20815132306833	0.0993079487619881	-12.1657061507122	4.73334270192427e-34	4.71189474280617e-32
"YOL136C"	1538.6091965694	-1.33729551565806	0.110589883938351	-12.0923855603606	1.15872574182053e-33	1.13572949248286e-31
"YKL141W"	2305.83699527481	-1.6265105721738	0.135203909669966	-12.0300557590689	2.46993902318916e-33	2.3842396237482e-31
"YKL150W"	2460.26863913103	-1.38962948089807	0.115863899613437	-11.9936363745253	3.83683888658513e-33	3.64843291737819e-31
"YGL188C"	150.665852963333	-2.58785329511827	0.216536172220984	-11.9511362400794	6.40435873964331e-33	6.00031904856876e-31
"YNL052W"	1817.96071996709	-2.21665887756352	0.186143249358205	-11.9083495383595	1.0707570399858e-32	9.88665666920217e-31
"YLL019C"	794.137973653038	-1.28644175175778	0.108755795204353	-11.8287190980539	2.77341628652441e-32	2.52420502306386e-30
"YPL265W"	1604.86519737046	2.91082413186639	0.247366849738226	11.767236131061	5.75801931368198e-32	5.16680859823492e-30
"YBL015W"	1399.86527151474	-1.9666420627808	0.167219210679246	-11.7608620133553	6.20970411693754e-32	5.49472568458459e-30
"YLR348C"	887.67386196209	1.38638731177662	0.119586542487303	11.5931716306942	4.46294657127828e-31	3.89499076789232e-29
"YOL058W"	3497.66711673358	2.09024818414737	0.180753558511812	11.5640776389515	6.26610029291752e-31	5.39477364407805e-29
"YGR182C"	416.302705197691	-2.11035795826243	0.182701756873718	-11.5508356042854	7.31061681705532e-31	6.21012529886126e-29
"YNL134C"	3516.14195871305	-1.18996987119294	0.103414953247334	-11.5067486260611	1.21991447520036e-30	1.02264146335546e-28
"YGR254W"	16454.0097378013	-2.18487106161999	0.191431420426847	-11.4133356830777	3.5870444601223e-30	2.96792990330379e-28
"YPL078C"	3420.67806925485	-1.53945602197278	0.135295745495079	-11.3784510838796	5.35422248632399e-30	4.37330146927822e-28
"YDR322C-A"	981.053078336351	-1.37253508651944	0.12276342498899	-11.1803257903772	5.09027751029297e-29	4.1050832934274e-27
"YBR068C"	3762.61664582153	-0.943860382136706	0.0846173019405486	-11.1544608548244	6.81043935828038e-29	5.42366364395054e-27
"YGL255W"	1172.75479128081	-2.44743621760272	0.220046321685254	-11.1223682307375	9.76450785075362e-29	7.60972485350829e-27
"YPR020W"	767.318294834701	-1.99553865468856	0.179421094112103	-11.1220961201013	9.79434057428473e-29	7.60972485350829e-27
