""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YKL209C"	867.762249720109	-4.06496803212959	0.138112933869392	-29.4322039091117	2.12723351079689e-190	1.32654281733294e-186
"YNL145W"	1575.57032845946	-7.91399265889813	0.306113815997821	-25.8531051043918	2.24515428236857e-147	7.00039105242521e-144
"YPL187W"	7430.56271072298	8.07012855229879	0.323975797455621	24.9096649060776	5.84626187014492e-137	1.21524296740746e-133
"YML123C"	11442.846006638	-3.59428628813817	0.157673154991885	-22.7958036884792	5.04637298176209e-115	7.8672954785671e-112
"YLR040C"	1073.58476981549	4.20104157909264	0.195780648181013	21.4579000433612	3.85317682864464e-102	4.8056821406856e-99
"YFL026W"	2970.13073384441	-5.59377526598106	0.279961188536279	-19.9805383568593	8.13419934021866e-89	8.45414451426726e-86
"YKL178C"	990.158483838792	4.04552121790479	0.216281238057821	18.7049105795448	4.51489479572345e-78	4.02212627801877e-75
"YIL015W"	776.585148433869	-4.15244237430887	0.24669807609523	-16.8320825197921	1.42017885230426e-63	1.10702941537117e-60
"YER072W"	3315.82347436459	-1.55863213619078	0.111888546850535	-13.9302205637978	4.15071711799071e-44	2.87598577197668e-41
"YCR005C"	2246.33081450085	3.62073046283105	0.267171684926877	13.5520740673624	7.70226548232218e-42	4.80313275477611e-39
"YPL019C"	3519.43819856207	-2.60895355788666	0.198522397042661	-13.1418600457762	1.89510338467059e-39	1.07435133698234e-36
"YJR048W"	1839.99761134493	-1.94004219911802	0.163332023061634	-11.8779046677573	1.54183847813843e-32	8.01242062472602e-30
"YKL177W"	83.3029441514787	5.09051006019427	0.439853255545693	11.5732008255318	5.63408129041152e-31	2.70262545592356e-28
"YBR115C"	800.96640550428	-13.1163613533951	1.18480973387866	-11.0704368628511	1.74547610308448e-28	7.77484927059631e-26
"YDR281C"	269.01604113859	-2.54005432505231	0.235734817766935	-10.7750494776873	4.51539289555594e-27	1.87719933977912e-24
"YGL089C"	959.382178252287	4.34397921154783	0.411721163170264	10.5507795083912	5.03773885777434e-26	1.96345871981755e-23
