""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YOR273C"	1768.03199613105	2.05398950542725	0.248787927784103	8.2559854238976	1.50654012779309e-16	4.64918283436948e-13
"YMR120C"	810.894564803706	-1.83428467249417	0.228747713622727	-8.01881095747016	1.06773684475651e-15	1.6475179514593e-12
"YBL003C"	4357.69910070841	1.26191500250543	0.181694330095146	6.94526351947592	3.77754515541831e-12	3.88583478320697e-09
"YOL002C"	1530.25815594471	1.34796109216755	0.198406423011727	6.79393878336227	1.09112700070393e-11	8.4180448104308e-09
"YPL111W"	2650.26848227513	1.85202847169886	0.279001426581744	6.63806093893301	3.17836470013326e-11	1.96168669292225e-08
"YBL002W"	4126.40218702791	1.13166180571939	0.18096508756626	6.25348138107048	4.01402438856701e-10	1.78069871936702e-07
"YJL052W"	5007.50024858589	-1.86909816239022	0.298935829529583	-6.25250631659478	4.03917402319156e-10	1.78069871936702e-07
"YPL095C"	2174.62844361073	1.58866362771724	0.268995020267468	5.90592207297219	3.50679720647452e-09	1.35274702239755e-06
"YCL025C"	2047.48786411102	1.22403579554235	0.208888227476247	5.85976438371349	4.63524367892328e-09	1.58937355479525e-06
"YGL055W"	17056.3251316096	2.34931512435135	0.406207662674398	5.78353226742175	7.31481489971949e-09	2.25735187805343e-06
"YMR246W"	5135.03023554192	1.45279683887171	0.254693524496867	5.70409805958604	1.16960733879685e-08	3.28128022502462e-06
"YDR492W"	1981.86256956962	1.31684206609171	0.236965010266881	5.5571160679318	2.74268391644236e-08	7.0532688051176e-06
"YBR009C"	6552.50374867213	1.09340186232831	0.197586992569599	5.53377450665517	3.13411853005997e-08	7.43991521828082e-06
"YNL031C"	8341.294031337	0.94373929165771	0.172086640268735	5.4840938854053	4.15594027515226e-08	8.55015445941324e-06
"YOR382W"	603.958039071991	-1.82640257572862	0.332632606776141	-5.4907502707868	4.0022991993857e-08	8.55015445941324e-06
"YPL081W"	2860.97594968963	-0.926579792999152	0.176733268374509	-5.24281478819071	1.58145265304234e-07	3.05022680455541e-05
"YNL030W"	7321.6334865605	0.937953828855631	0.183101989358484	5.12257585044185	3.01389793788624e-07	5.47111119783349e-05
"YDR224C"	6659.67411286968	1.02540994033174	0.207525949267013	4.94111673240632	7.76763834608154e-07	0.000126162799663198
"YDR399W"	2459.14215519533	-1.04874341545983	0.212021167257373	-4.94640902616463	7.55950318008089e-07	0.000126162799663198
"YLR058C"	2845.05657559521	-1.51944838696902	0.308444020306462	-4.9261722936283	8.38560632429402e-07	0.000129389905583857
"YJL116C"	670.734998619254	-1.85573367310006	0.401668158406588	-4.62006667509251	3.8361674508619e-06	0.000563733940636182
"YNL007C"	1341.7466767308	0.988382129964301	0.214928537712405	4.59865469929755	4.25227898696251e-06	0.000596478770625741
"YDR225W"	5746.74658496972	0.877397510149098	0.197820165415921	4.43532896812795	9.19317944224124e-06	0.00123348485907637
"YBR067C"	13375.4160174003	1.44365894437726	0.338296608786788	4.26743546012644	1.97732950445144e-05	0.00247826212263063
"YJL141C"	623.938805660607	0.959068157864582	0.224920245233048	4.26403660048856	2.00766536182002e-05	0.00247826212263063
"YHR018C"	1564.52673908029	0.917320395085687	0.218768828007661	4.19310375906737	2.75163506726893e-05	0.00326597916061228
"YLR350W"	1308.1800981185	0.820837246223403	0.199548328340291	4.11347593362759	3.89745690022655e-05	0.00445464888670339
"YER070W"	4662.22242359894	-0.928186915360634	0.227961131318081	-4.07168937087572	4.66733948806054e-05	0.00514407487862673
"YDR044W"	2707.62633347684	1.25000270104595	0.307645865664549	4.06312205218754	4.84206947485944e-05	0.00515262979290215
"YPR035W"	8991.3316875603	0.749264125393805	0.185049814173162	4.04898609999507	5.1439999503274e-05	0.00529146128223678
"YMR006C"	1234.75421441424	1.54625240348133	0.394469186091346	3.91983064330725	8.86112151657785e-05	0.00882110354843846
"YNR019W"	1062.70232478193	1.04230513799924	0.267345744931399	3.89871601759249	9.67041075617052e-05	0.00932590237298195
"YNL067W"	5206.87721355726	-0.671226508499538	0.172890771697924	-3.88237325744784	0.000103441934383359	0.00967338816688021
"YBR208C"	836.912038412192	1.01381355001802	0.263029839406244	3.85436706461355	0.000116029406485041	0.0105313749533187
"YIL121W"	1483.58433453418	0.907884134845999	0.238259592459909	3.81048303437674	0.000138695530701252	0.0121044091030677
"YKR080W"	631.076942593529	-1.17600582762283	0.308983452201867	-3.80604792665245	0.000141205031662488	0.0121044091030677
"YOL143C"	3544.54261364509	1.56702272017029	0.443193503694345	3.53575290952596	0.000406614821252944	0.0339138740104483
"YDR451C"	631.860666300746	0.92537472143119	0.26553635009649	3.48492671943005	0.000492271839140895	0.0399776551470737
"YLR413W"	4477.68979565247	0.716751657405652	0.207175050190742	3.45964273567571	0.000540892518509834	0.0427998541569576
"YMR011W"	2100.87001344704	-0.989887174347477	0.287377466875575	-3.44455390017084	0.000572002576876372	0.0441299988060121
"YBR010W"	5550.08263525207	0.807270977223005	0.235620988064742	3.42614205913265	0.000612220092454136	0.0460807611052064
"YAR015W"	1512.66814457919	-0.662950255221385	0.19656199389607	-3.37272858338989	0.000744272795008237	0.0526213927888005
"YCR065W"	727.503885782915	-0.684248804733404	0.202356810289552	-3.38139746200937	0.000721181432793662	0.0526213927888005
"YPL026C"	1525.79499354641	-0.773904035506672	0.22960988553853	-3.37051705631727	0.000750272612672463	0.0526213927888005
"YOL126C"	7430.29108636849	1.67541480108285	0.511308797053192	3.27671812168831	0.00105021158711224	0.0720211768406304
"YHR146W"	2393.34041170104	0.606649665047265	0.186227180286179	3.25757853453515	0.00112367160611667	0.0753837081842618
"YLR131C"	554.04041683294	0.835824479425743	0.259109356909695	3.2257595379585	0.00125638865454812	0.077614123325779
"YNL141W"	2182.4440446831	-0.576018359487266	0.178582549199381	-3.22550194332909	0.00125751982057322	0.077614123325779
"YNR001C"	3216.77725545168	-0.566207938760298	0.175414190835612	-3.22783428218139	0.00124731210290885	0.077614123325779
"YOL123W"	3159.38657015415	0.785690261147012	0.242829386405433	3.23556498979579	0.00121402245170467	0.077614123325779
"YBL035C"	545.415456729652	-0.674907212742234	0.210627278285624	-3.20427258157425	0.00135404215053885	0.081932825030645
"YFL034C-A"	1488.24638097599	-0.688124822792156	0.216977134614747	-3.17141630621103	0.00151697573418621	0.0900266753018968
"YPR138C"	667.232161239321	0.666004596874996	0.210826663686894	3.15901501844237	0.00158303332445066	0.0921743554576365
"YPL231W"	19211.710596678	1.38147797327893	0.440142194976149	3.13870832891583	0.00169694262747632	0.0969771286739245
"YFL026W"	6045.13636625451	0.55475705708609	0.17743571119739	3.12652426809926	0.00176885904736888	0.0986471210651252
"YNL102W"	609.596264204995	-0.652391828521691	0.208898193457647	-3.12301326173968	0.00179009681777285	0.0986471210651252
"YNR016C"	11305.7133451635	1.3359880003798	0.429794890646238	3.10843155527283	0.00188083205344874	0.101828907314786
"YDR517W"	918.630497522395	0.681706977518799	0.220125510995177	3.09690128343977	0.00195554983977408	0.102285200093946
"YKL216W"	12167.1291807468	1.78175431520541	0.574916257562814	3.09915451470902	0.00194073776636535	0.102285200093946
"YHL040C"	920.863163900659	-0.750957620979818	0.246526586877868	-3.04615267055091	0.00231790107889374	0.119217378824435
"YLR073C"	567.423825474041	-0.683354535316998	0.226340257076935	-3.0191471201021	0.00253487403352559	0.124168591546984
"YML052W"	1809.67661192717	0.656655312859417	0.217148294086479	3.02399480328362	0.00249460723607157	0.124168591546984
"YMR136W"	837.889670649429	0.831850727689721	0.275488429502938	3.0195486946244	0.00253151594831099	0.124168591546984
"YOR128C"	1001.55400924427	-0.807246171005024	0.268635677019449	-3.00498496685747	0.00265593976135626	0.126095847746853
"YPL170W"	530.561416656282	0.692025332404563	0.230277803635313	3.00517601557687	0.00265427199911738	0.126095847746853
