""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YML123C"	11623.6206354799	-5.81331211860942	0.145053875727941	-40.0769168657907	0	0
"YGL089C"	2210.20232668542	5.47274685628781	0.154338863740738	35.4592921293049	2.08596376519085e-275	6.51759378433881e-272
"YPL187W"	9295.39446587296	8.27919839254683	0.279788585168575	29.5909083909143	1.95621372935378e-192	4.07479319824392e-189
"YNL145W"	1702.93902075077	-8.02687363263879	0.277928948219598	-28.8810276297545	2.06684231057483e-183	3.22892439969552e-180
"YLR040C"	1585.07634016307	4.67187121513301	0.163924029580198	28.5002218838657	1.16403480535441e-178	1.45481069973194e-175
"YJR004C"	4397.21018767541	4.47550670391927	0.162493344438147	27.5427077914742	5.41131008418965e-167	5.63587945268352e-164
"YKL178C"	1302.65718003725	4.34555305827098	0.162066392398534	26.8134126635269	2.25424628910216e-158	2.01239786579992e-155
"YDR461W"	1286.51515201178	-7.33795685340838	0.285719243521546	-25.6824033375093	1.83824272569416e-145	1.43589734910785e-142
"YFL026W"	3196.03090391282	-5.98756539494946	0.237441155449417	-25.2170496037913	2.60449690244949e-140	1.8083890159341e-137
"YKL209C"	942.502738369428	-3.94566560021024	0.166065927743369	-23.7596336215802	8.73640381865672e-125	5.45937874627859e-122
"YPL019C"	3574.58759541509	-3.41920459792916	0.145220845607797	-23.544860819524	1.41715465582705e-122	8.05072676751202e-120
"YHR136C"	533.344199071531	-7.01545015438203	0.325293919715173	-21.5664964181462	3.7073218924392e-103	1.93058787548771e-100
"YIL015W"	841.111694422098	-4.10250630822781	0.203342982073602	-20.1753031572187	1.61371213518905e-90	7.75699010215107e-88
"YHR215W"	1119.74060501878	-4.87676911640096	0.249285563331534	-19.5629825138136	3.1981224742123e-85	1.42750481009662e-82
"YAR071W"	508.588121253943	-4.74862736476907	0.271635623775332	-17.4816075254423	1.97842083708209e-68	8.24210120728398e-66
"YGL032C"	229.851582021213	-5.53524894882088	0.339932683443605	-16.2833679090442	1.29539171019243e-59	5.0593142481203e-57
"YDR281C"	273.646744690961	-3.28085318701698	0.201951203296409	-16.245771916504	2.3931013261261e-59	8.79675893350705e-57
"YBR296C"	175.019022102783	-3.53155346031086	0.21871167673448	-16.1470732291913	1.19079241572074e-58	4.13403433657717e-56
"YJL012C"	3704.67948563052	-2.04823015483613	0.133513127072779	-15.3410394898445	4.06630972122895e-53	1.33738786568209e-50
"YCR005C"	1824.91675991113	3.17056064753522	0.208483646661923	15.2077186786578	3.14306544939848e-52	9.82050799664555e-50
"YNR044W"	2460.44683447959	2.64304943385343	0.193333068532831	13.6709640720599	1.51376240641307e-42	4.50452441794061e-40
"YJR048W"	1934.06583952516	-2.14839937498354	0.165347394881337	-12.9932459868833	1.33636574830944e-38	3.79588616417532e-36
"YLR041W"	169.339351595044	3.34452775161801	0.259582689058577	12.8842480357513	5.52110020255279e-38	1.5000589202501e-35
"YER072W"	3549.71317830425	-1.61475002128386	0.128965091904727	-12.5208302296001	5.74312469675661e-36	1.495366092918e-33
"YGR233C"	835.160355999291	-1.57449177986318	0.128293918811093	-12.2725363326187	1.27205176887351e-34	3.17962060147624e-32
"YLR042C"	371.415531515124	1.9064284429482	0.161253926535115	11.8225241636709	2.98576336073418e-32	7.17616740047227e-30
"YKL177W"	94.8769293032374	5.16823860661369	0.445212210346229	11.6084835197905	3.73175135727474e-31	8.63693119689253e-29
"YBR115C"	865.802586595617	-13.337415059773	1.18581704268362	-11.2474476075915	2.38390977338289e-29	5.32037577638203e-27
"YDR477W"	500.364771872592	-12.5466544198479	1.18742197923695	-10.5662979456641	4.27020068826319e-26	9.20154624170919e-24
"YCL027W"	472.856208651462	1.59235677909099	0.158962876474458	10.0171613297829	1.28130180275551e-23	2.58285644045781e-21
"YGL009C"	2685.75241878966	-1.96198427262035	0.195842201632216	-10.0181894212202	1.26804561681058e-23	2.58285644045781e-21
"YMR291W"	578.455306310781	-1.29999699053964	0.132827275001359	-9.78712384580904	1.27881789248766e-22	2.49729156567356e-20
"YLL041C"	2480.35457475824	-2.3057385692733	0.23818886823998	-9.68029524767806	3.65658470217979e-22	6.92424175876409e-20
"YCL055W"	843.181095092549	1.35407483959279	0.140002001697437	9.6718248537555	3.9723077960189e-22	7.30086806391827e-20
"YPR036W-A"	2091.02332700598	2.21691233590349	0.234554144407777	9.45160163978743	3.33685162916252e-21	5.95771023732474e-19
"YPL018W"	231.737194800396	-1.68191870569473	0.179198147646425	-9.3858040821567	6.24381865071672e-21	1.08382285412024e-18
"YBL030C"	11109.114380723	-1.61664526460797	0.174157330125335	-9.28267138365362	1.65281644003756e-20	2.79147295507965e-18
"YPL017C"	348.796072680238	-1.6439716126175	0.179067440206692	-9.18074000901513	4.28138972707254e-20	7.04063273802007e-18
