""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YKL209C"	1397.52648123935	4.8298976054497	0.14812352681898	32.6072279615125	3.23945575786141e-233	2.10175889570048e-229
"YNL145W"	2452.15053145361	8.5975374882329	0.301675696288933	28.4992712173887	1.19604380294985e-178	3.8799660967693e-175
"YIL015W"	1634.73533961471	5.31388847538413	0.236782191407523	22.4420951753017	1.52870633066163e-111	3.30608222444422e-108
"YFL026W"	4330.73526833635	6.19089189336877	0.277476752141037	22.3113894969552	2.86458099514815e-110	4.64635037413031e-107
"YKL178C"	933.868282283929	-5.01291976683689	0.247477718963378	-20.2560448182355	3.1421286650162e-91	4.07722615572503e-88
"YBR039W"	3741.79668055609	-1.73757389710149	0.09532974653814	-18.2269853870462	3.15224993991505e-74	3.40863293502814e-71
"YLR040C"	1144.66623653868	-2.6572019178066	0.164735052725922	-16.1301548992583	1.56627124703379e-58	1.45170969296503e-55
"YJR121W"	11699.3657854747	-1.4582882919963	0.0956542112718212	-15.2454165123192	1.76603175808456e-52	1.37325221037142e-49
"YPL187W"	7188.49428580581	-10.4730152426215	0.687184519495205	-15.2404702747303	1.9049429552008e-52	1.37325221037142e-49
"YBL045C"	3501.95372156758	-1.73584060158873	0.122818196389935	-14.1334155085426	2.36395003595927e-45	1.53373078333037e-42
"YDR377W"	1332.09321955621	-1.66162498455636	0.118320852783427	-14.0433824255626	8.45775465241215e-45	4.98853747135e-42
"YKL016C"	2030.81591989333	-1.35787819820908	0.0998505234182435	-13.59910946607	4.05338787618439e-42	2.19153171172369e-39
"YML081C-A"	1194.92715471559	-1.49283749624073	0.116639152010134	-12.7987684282121	1.66571970763407e-37	8.31322266394602e-35
"YPL271W"	1376.82558426212	-1.95044923392514	0.152661597629394	-12.7762925595742	2.22421693456922e-37	1.03076567653465e-34
"YGL009C"	3418.78600054426	2.15840636413088	0.173804660500381	12.4185758766011	2.07217295079527e-35	8.96283873650646e-33
"YOR153W"	3841.34271632043	1.80591149123754	0.148300010240647	12.1774198687315	4.10049455064592e-34	1.66275054028692e-31
"YOL077W-A"	760.899788648823	-1.54447972231203	0.126889934822202	-12.1718064121961	4.39252532959308e-34	1.67639437284705e-31
"YPL078C"	2545.8041201266	-1.19751119515159	0.101626713664526	-11.7834292969919	4.75196211071942e-32	1.71281834301931e-29
"YML123C"	1096.0966190903	-1.77942781982872	0.152578467665002	-11.6623783621657	1.98421228605674e-31	6.77556279575586e-29
"YGL089C"	917.401590531231	-4.89679202251956	0.42368335564135	-11.5576690878193	6.75166388967836e-31	2.19023976581166e-28
"YMR256C"	532.271754246326	-1.44897237457693	0.126459930583718	-11.4579564284807	2.14516645451111e-30	6.62754283660385e-28
"YDL047W"	733.546856117268	13.0331943202808	1.18679229779146	10.9818662832028	4.67171288616613e-28	1.37773060024754e-25
"YDL004W"	1820.70445966534	-1.14902976891803	0.10589603742865	-10.8505454672203	1.98238737893495e-27	5.59205622370867e-25
"YJL166W"	757.023337064249	-1.34975634243256	0.124894089032785	-10.8072075538999	3.18209356581883e-27	8.60225960626357e-25
"YBR115C"	566.118752529709	12.6594091249243	1.18715686449909	10.6636363765338	1.50591784607524e-26	3.90815799413446e-24
"YDR298C"	2090.6496364837	-1.25310655361936	0.118986393750573	-10.5315113276414	6.18336380534298e-26	1.5429870911179e-23
"YGL187C"	1154.638529253	-1.47383142453504	0.140253246957387	-10.5083586762368	7.90574385887023e-26	1.89972096875371e-23
"YBL015W"	963.601874999238	-1.65430016291703	0.159574374463688	-10.3669537698453	3.50520858182608e-25	8.12206902817414e-23
"YHR051W"	970.320694449812	-1.35504849086076	0.132740249576485	-10.2082713810176	1.82079671162599e-24	4.07356174656187e-22
"YPR020W"	538.592974260954	-1.39151724531734	0.138999493643592	-10.0109519023525	1.36433404689304e-23	2.95059976541402e-21
"YJR078W"	114.15414476504	-2.42171842367537	0.252918186025991	-9.57510593337288	1.01752941317558e-21	2.12959059118812e-19
"YGL191W"	1096.65012688168	-1.04121147147683	0.109724116322873	-9.48935845983913	2.32460479984989e-21	4.71313623169565e-19
"YJR004C"	2714.05601131225	-3.49874809774161	0.369355833509212	-9.47256759017547	2.73047966074035e-21	5.36828849663133e-19
"YKL120W"	848.434627440727	1.59701297471266	0.168792952315085	9.46137236661116	3.03927703005296e-21	5.79965569734812e-19
"YBL099W"	5422.15694214269	-1.30837248950418	0.13913212049544	-9.40381333113559	5.26206079260166e-21	9.75435726354274e-19
"YBL100C"	475.93019207951	-1.29994231896798	0.139420543009382	-9.32389367383612	1.12147427629653e-20	2.0211458623922e-18
"YPR191W"	2304.80582592762	-1.53489549670514	0.166113317076494	-9.2400508503381	2.46380119538519e-20	4.32030869071868e-18
"YDR461W"	1432.96745231485	6.74498864379736	0.733051996812858	9.2012417579149	3.53836787618383e-20	5.88639250786684e-18
"YLR038C"	730.181300050892	-1.11294388215127	0.120946020946937	-9.20198840307075	3.5138626312489e-20	5.88639250786684e-18
"YDR529C"	1592.10953897683	-1.5837724013142	0.175039685789647	-9.0480761215345	1.45509323355992e-19	2.36016122483419e-17
"RDN5-1"	132.665419925948	-4.65802673743157	0.521639214774788	-8.929594642233	4.27572587619215e-19	6.76607548408163e-17
"YCR097W"	117.248169334777	10.3879092482438	1.19466560778315	8.69524424288048	3.46084518146879e-18	5.22185198543476e-16
"YGR182C"	279.872306004243	-1.37047374281133	0.157567457840793	-8.69769533374121	3.38692404600273e-18	5.22185198543476e-16
"YHR001W-A"	519.717561711845	-1.61437553304408	0.186524131638899	-8.65504918242656	4.92699158501445e-18	7.26507304626677e-16
"YLR295C"	869.797018012001	-0.955796065786641	0.110997946694346	-8.61093465466172	7.24672903284086e-18	1.0448172881127e-15
"YKL177W"	79.0054228555521	-7.23013203007841	0.865115658582987	-8.35741667411381	6.41065556940683e-17	9.04181159441555e-15
"YLR307W"	45.3370601915688	-3.17111095684188	0.382234448690881	-8.29624584519435	1.07453049408048e-16	1.48330932884982e-14
"YJL191W"	2257.80437677681	-1.27652890211603	0.155741064019458	-8.19648247655832	2.47523346665669e-16	3.34569056909763e-14
"YLR395C"	1104.28648009366	-0.970694332424062	0.119387420649746	-8.13062487774024	4.27083075537384e-16	5.6549285593603e-14
"YBL043W"	139.811048696812	-2.11987317593786	0.261939830654142	-8.09297757673546	5.82235865790187e-16	7.55509259449347e-14
"YJR077C"	4676.28319300393	-1.12595377570938	0.140351062627343	-8.02241005256218	1.03690323758423e-15	1.31910356969539e-13
"YLR041W"	114.028280815661	-2.14094565607853	0.267125311176042	-8.01476148648301	1.10350950275576e-15	1.37684031805372e-13
"YGR183C"	657.616386120023	-1.31065268915556	0.168289389076078	-7.78808869858728	6.80304194320046e-15	8.32795021273294e-13
"YNL054W-B"	551.783013901202	-1.52431092913881	0.19606728517848	-7.77442768053438	7.57892740751689e-15	9.105940929624e-13
"YPR010C-A"	388.756619251133	-1.77598928169085	0.232137187782673	-7.65060220921401	2.00040264613701e-14	2.35974770329762e-12
"YJL078C"	2011.40885419254	-0.890558208841485	0.116696408338127	-7.63141061086556	2.32198818112165e-14	2.69018916412808e-12
"YDR186C"	1431.59801909953	-1.01219720537547	0.132703621190196	-7.6275025225178	2.39345126055568e-14	2.72433539973425e-12
"YLR121C"	1007.11442472133	-1.22673883822398	0.160952042589261	-7.62176620121896	2.50227960545201e-14	2.7991017379608e-12
"YLL041C"	1244.04760520588	-1.89676371678815	0.252187945926215	-7.52123068302044	5.42630090104702e-14	5.96709156711747e-12
"YEL024W"	912.656753002745	-1.76534828228879	0.235274325222993	-7.50336136599519	6.22017644077171e-14	6.72608412462114e-12
"YLR023C"	1381.14150692525	-1.36328794274576	0.182904211423034	-7.45356234358457	9.08530359065179e-14	9.6631884747785e-12
"YML131W"	517.056993666744	-2.0285075287529	0.276822191756192	-7.32783566188755	2.33899285413726e-13	2.44764284478106e-11
"YKL141W"	1483.12546790135	-1.38345433703044	0.190035696056732	-7.27997089882226	3.33892194229913e-13	3.41179118214508e-11
"YPL088W"	334.275607002871	-1.27831826572204	0.175619689846785	-7.27890059956988	3.36551534613571e-13	3.41179118214508e-11
"YJL170C"	92.1009580291852	2.72066309638797	0.376387746448054	7.2283519377628	4.88890442507395e-13	4.87987875536612e-11
"YHR046C"	735.742858033059	-0.924414448921523	0.130711078745543	-7.0721966170985	1.52500132042467e-12	1.49912251013868e-10
"YLL053C"	170.139260478321	-2.34170643193389	0.331432325044443	-7.06541352482706	1.60138386205138e-12	1.55071320850587e-10
"YML120C"	1083.39579082756	-1.96096683659302	0.281186055117128	-6.97391211586286	3.08246684476469e-12	2.94103601306372e-10
"YJR048W"	510.427427736475	-1.3845214962501	0.199008806964072	-6.95708655999357	3.47381539964999e-12	3.26639337868539e-10
"YFL027C"	338.91798043797	1.20660625009436	0.17618675332335	6.8484504500739	7.46541828204212e-12	6.91937625912704e-10
"YLL052C"	139.933554170456	-2.18349077505662	0.319287076154096	-6.83864439913255	7.99460554152586e-12	7.30549306386194e-10
"YCL054W-A"	56.9759696658571	8.38107014341456	1.23854451613219	6.76687033388799	1.31597915494921e-11	1.18584343851535e-09
"YDR322C-A"	747.502887372345	-1.09592187195053	0.165315095240366	-6.62929099340307	3.3730305830432e-11	2.99783868805264e-09
"YOL136C"	1588.62299999225	-1.52036896346414	0.233113049880561	-6.52202424636083	6.93647983160047e-11	6.08160556046269e-09
"YFR011C"	487.09768804192	-1.15260687036371	0.177139328269369	-6.506781309518	7.67780566955677e-11	6.64181375787791e-09
"YHR143W"	5864.35707737977	-0.731963912660446	0.112720282480323	-6.49363092918277	8.37918774437066e-11	7.06028182928271e-09
