""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YKL209C"	1407.60123006383	4.60839317354117	0.145875542347024	31.5912667702598	4.86660089707618e-219	3.28787556606467e-215
"YNL145W"	2336.29266157848	8.30300424116575	0.308817673039439	26.8864283557547	3.16522242023072e-159	1.06921213355394e-155
"YPL187W"	8392.78356068338	-12.2017186693218	0.471506576598669	-25.8781515993732	1.17347033022382e-147	2.64265518366405e-144
"YOR153W"	14238.9758181112	3.7300477263804	0.165604407219677	22.5238433505723	2.42405912876193e-112	4.0942358684789e-109
"YIL015W"	1536.68875323089	4.99213496471846	0.222172601337055	22.4696246732285	8.22836443059834e-112	1.11181660186245e-108
"YFL026W"	4089.18197226023	5.87928993529137	0.286388004601409	20.5291068090442	1.18329924090028e-93	1.33239494525371e-90
"YBR039W"	4251.24015874557	-1.91922682880124	0.0973168987219365	-19.7214137935596	1.41225227497043e-86	1.36302519567146e-83
"YKL178C"	1106.4089575215	-4.45805061326131	0.238595811673291	-18.6845300510376	6.61588906824956e-78	5.58711831813675e-75
"YJR121W"	13142.9454744144	-1.68109268545547	0.0926542960769845	-18.143710077498	1.43975622322548e-73	1.08077700490126e-70
"YLR040C"	1315.14863218998	-2.83945036394607	0.183915157534376	-15.4389143451395	8.95956921629248e-54	6.0530849625272e-51
"YDR377W"	1537.96324642147	-1.73207625643815	0.11280471246471	-15.354644487747	3.29712031397606e-53	2.02503134920202e-50
"YER175C"	646.071828687564	2.4918862630084	0.176055276800676	14.1539992909706	1.7643138048049e-45	9.93308672105158e-43
"YMR102C"	1143.24590428435	1.47709442428172	0.105447312208744	14.007890702398	1.39486556577035e-44	7.24900904795729e-42
"YMR256C"	578.02941651887	-1.88954507707393	0.135819447216951	-13.9121835333026	5.34232460780713e-44	2.57805321788178e-41
"YKL016C"	2310.79405393935	-1.49733387009285	0.108576662152833	-13.7905682529197	2.90462875836788e-43	1.30824479276889e-40
"YHL047C"	1455.92661777757	2.26267570381628	0.164760522438421	13.7331180450824	6.43053655083538e-43	2.71529405859024e-40
"YDR298C"	2396.20651693516	-1.34752274974989	0.0994241076877458	-13.5532797938903	7.57675993762622e-42	3.01109353756487e-39
"YDR461W"	1474.68145302836	6.55707808501524	0.48726825519585	13.456813603381	2.80764965762878e-41	1.05380450483e-38
"YJR048W"	538.971688553008	-2.0005935279297	0.149381505800788	-13.3925114571924	6.68803726518545e-41	2.37812525071542e-38
"YBL005W"	911.935183325361	1.42234416643018	0.113274865907224	12.5565733849124	3.6583608838465e-36	1.23579430656335e-33
"YML081C-A"	1430.19107791164	-1.36254589069051	0.111972925327612	-12.1685299076	4.57243380934669e-34	1.47101727694982e-31
"YHR051W"	1054.97251468345	-1.7635930466249	0.146748604333672	-12.017784118852	2.86553087978598e-33	8.79978482901548e-31
"YKL177W"	94.3559648666022	-5.10384402737064	0.426615180701079	-11.9635780868914	5.51339594866817e-33	1.61950013170444e-30
"YLR303W"	1809.74504520799	14.1121492785524	1.19633902878892	11.796112087757	4.08764748643897e-32	1.12031143133625e-29
"YPL271W"	1673.58550248063	-1.69039253611419	0.143315222366373	-11.79492665331	4.14561660500388e-32	1.12031143133625e-29
"YGR183C"	729.679518293695	-1.58723677072309	0.135086222265485	-11.7498050067881	7.0781990079967e-32	1.83924278838561e-29
"YLR121C"	1170.50855009927	-1.25110841833034	0.10860135752623	-11.5201913385674	1.0437895710245e-30	2.6117934599413e-28
