""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDR277C"	1398.96292172026	-4.90763760015761	0.137056774608635	-35.8073332323145	8.49206371294532e-281	5.74233348269362e-277
"YLR174W"	1856.87926223394	-5.44583715984688	0.15370797413716	-35.4297634226012	5.94585195664400e-275	2.01029254654133e-271
"YMR303C"	6586.31493196617	-4.53566251960895	0.137062638611583	-33.091895541734	3.88707203285404e-240	8.761460362053e-237
"YPL187W"	7724.7115305748	10.7375877230971	0.326906729813997	32.8460283739235	1.29789668949138e-236	2.19409435358517e-233
"YKL209C"	760.464305138287	-3.79836390697345	0.139379495600126	-27.2519561835035	1.57546992781121e-163	2.13066553037188e-160
"YNL117W"	935.936055543949	-5.40280518113121	0.198786596555436	-27.1789208867737	1.15295998136218e-162	1.29938589899518e-159
"YLR377C"	1908.30655389823	-5.58711035808747	0.214252872465115	-26.0771783071295	6.61826101505528e-150	6.39324014054341e-147
"YKL217W"	1783.43057763331	-5.02767816855382	0.194591804899119	-25.8370498755602	3.4019276909173e-147	2.87547938074785e-144
"YGL009C"	5909.64025685963	-2.96156170256436	0.118557517805708	-24.9799570485085	1.00961526385476e-137	7.58557601576207e-135
"YDL215C"	3463.23571980256	-2.68471321658038	0.110448305020176	-24.3074188969215	1.63639727223357e-130	1.10653183548434e-127
"YNL145W"	742.769373684925	-6.75979498927009	0.279584011110346	-24.1780456701515	3.78706393147155e-129	2.32801148223733e-126
"YJR095W"	2178.77020145234	-6.82341755528974	0.288975257044682	-23.6124629668023	2.87028448216152e-123	1.61740530569802e-120
"YJL212C"	843.996666658571	3.03573543724044	0.133050234608859	22.8164606110233	3.14767141619988e-115	1.63727339356489e-112
"YKR075C"	2464.7586687006	-3.66766180460983	0.161342371154425	-22.7321674918203	2.15433679990179e-114	1.04054467435257e-111
"YKL120W"	1303.44876328649	-2.24999358015538	0.0999617449592408	-22.5085464551746	3.42310508298088e-112	1.54313577140778e-109
"YMR011W"	17740.4175923012	-4.3676910860927	0.197406993616618	-22.1253107910409	1.80390760430048e-108	7.62376451267491e-106
"YIL162W"	6228.7911017754	-3.71091534130482	0.168085135022984	-22.0775938383689	5.18992581756816e-108	2.06436931637623e-105
"YLR040C"	1138.5862772298	3.79054330998281	0.178486936162402	21.2370910245994	4.33944324620226e-100	1.63018417948998e-97
"YBR230C"	1485.81597757812	-2.60952797114181	0.12552756701101	-20.7884852170594	5.50203932867846e-96	1.95814683897493e-93
"YDR028C"	780.536437791383	8.42942565335601	0.406545216738048	20.7342881094267	1.69950890247365e-95	5.74603959926342e-93
"YER065C"	2788.25235236674	-3.60889399009035	0.184803139477343	-19.5283153754691	6.30863992824672e-85	2.03138205689545e-82
"YKL178C"	1018.82796841588	4.42661759356385	0.227492895629074	19.4582673947824	2.48029000633501e-84	7.62350955583516e-82
"YDR216W"	1442.86900838234	-2.77446999222501	0.1469391863091	-18.8817568813036	1.61135886050522e-79	4.73739504988536e-77
"YHR092C"	19799.2054349005	-5.45232756937235	0.292454837017041	-18.6433147250515	1.43092992708155e-77	4.03164506955227e-75
"YDR178W"	2629.82226343815	-1.74827524854893	0.0963902291043664	-18.1374737335252	1.61275920002409e-73	4.36219108422516e-71
"YFL026W"	1518.53840045532	-4.5326229357822	0.250372942110559	-18.1034855347136	2.99125607146156e-73	7.77956675200887e-71
"YIL015W"	521.753371553072	-3.4756262489811	0.203681774965772	-17.0640021649711	2.75048796958695e-65	6.88844431494332e-63
"YPL134C"	1402.60886674748	-2.59050916601098	0.152344364903721	-17.0042992246424	7.63122490164247e-65	1.84294081374666e-62
"YKR097W"	3610.55350609423	-5.12913129722074	0.321989097243181	-15.9295185493408	3.95389685957159e-57	9.21939674635279e-55
"YIL053W"	17592.4834232238	1.61533562520362	0.104107321169217	15.5160617626308	2.70129202123298e-54	6.08871221585913e-52
"YGR067C"	324.94036736988	-2.53961788664977	0.166439794072656	-15.2584777024006	1.44582103698208e-52	3.15375543615252e-50
"YFL054C"	602.206841981271	-3.17020497840216	0.208090577487756	-15.2347358379968	2.07965974169435e-52	4.39458099166787e-50
"YBR203W"	324.554297467027	-2.12724651509329	0.13988722584931	-15.2068675476116	3.18418852225938e-52	6.5246917537933e-50
"YGR292W"	212.284835883615	-3.42169057325612	0.237150452390981	-14.4283535568168	3.43175687590467e-47	6.82515882201981e-45
"YKL148C"	4043.76364889737	-2.16460258471356	0.15054690585998	-14.3782601996936	7.08533741083421e-47	1.36888718777317e-44
"YJR048W"	1521.50127186503	-1.50466614365427	0.104803669373634	-14.3569986876127	9.63084377127463e-47	1.80899348837109e-44
"YOL119C"	467.050822366678	1.65425198122722	0.119575739724994	13.8343445336967	1.58171652980962e-43	2.89069383096557e-41
"YGL146C"	245.921192980871	-2.18953011530094	0.160319649621868	-13.6572785710622	1.8268436023306e-42	3.25082011551566e-40
"YLL028W"	968.79490864069	1.32859506409309	0.100549534315346	13.2133388099671	7.34908956459625e-40	1.27421906758461e-37
"YMR145C"	6051.49235872318	-1.43655451773102	0.110384796300609	-13.0140614094977	1.01785239616093e-38	1.72067947571005e-36
"YGR289C"	229.705530092895	-2.52259904192812	0.194234274613466	-12.9874042413379	1.44236553221984e-38	2.37884773874892e-36
"YGR138C"	1382.68513930672	1.42142223812333	0.110426502884712	12.8721113228346	6.46114993192058e-38	1.04024513903921e-35
"YHR094C"	3976.80445439946	3.64612268785752	0.290808010881444	12.5379031918896	4.63086754352765e-36	7.28230844868232e-34
"YHR214W-A"	225.237247640513	-2.64563206457854	0.212200373791057	-12.4676126498418	1.12135418439807e-35	1.72331749884085e-33
"YPL274W"	1458.96923549318	1.76074419241443	0.142319269590343	12.3717905346383	3.71447574846186e-35	5.58161889135535e-33
"YMR191W"	902.152615960177	-1.5224346039574	0.12327118370424	-12.3502878629779	4.85374422319256e-35	7.13500400809306e-33
"YPR157W"	322.303123265573	2.01751619234167	0.165656436170389	12.1789182417671	4.02586066041735e-34	5.79209995441322e-32
"YDR133C"	5019.91111321654	-1.43156037034175	0.121457935135951	-11.7864705071708	4.58349876658635e-32	6.32522829788917e-30
"YKL177W"	86.4212030766734	5.3301210796328	0.452183492227504	11.7875180568314	4.52685541572536e-32	6.32522829788917e-30
"YOR375C"	6138.54877643283	-1.47328069239289	0.125559161474452	-11.7337570201332	8.55742255615134e-32	1.15730582649391e-29
"YGL157W"	1179.92021120139	1.29490599347993	0.111140160906017	11.6511077806962	2.26495165115551e-31	3.00305942453207e-29
"YOR107W"	892.242528250697	2.56076787985578	0.220173299096822	11.6306922336195	2.87754515758686e-31	3.74191545300045e-29
"YJL191W"	2275.47955703127	1.61746813554522	0.139529847840345	11.5922733420879	4.51000922713885e-31	5.75409101771942e-29
"YOR356W"	1536.01333608574	-1.67056613635685	0.146791641355232	-11.3805263088116	5.22832442436618e-30	6.54702402917853e-28
"YML091C"	1455.42497473158	-1.3544098363425	0.120098563023503	-11.2774857770567	1.69521808989427e-29	2.08419358615728e-27
"YGL089C"	991.909613601275	4.69691457703724	0.418104547228572	11.2338280178271	2.78160459848811e-29	3.3587875526744e-27
"YLR303W"	938.977516744171	-13.2859983079835	1.18390007979533	-11.2222294218278	3.17172167067346e-29	3.76266349773577e-27
"YDL047W"	932.578591294667	-13.2760846091213	1.18475546259791	-11.205759355614	3.82063259800136e-29	4.45433062546296e-27
"YBR298C"	576.582127068239	-2.84717200953056	0.25426161443967	-11.1978051260511	4.1796050329877e-29	4.79025241238353e-27
"YLR041W"	113.645016440437	2.85389303815091	0.25660592403944	11.1216958409435	9.83838941267465e-29	1.10878648680843e-26
"YBR297W"	508.569980291731	-2.80331294846207	0.252944080849202	-11.082737888353	1.52147587899455e-28	1.68659342520675e-26
