""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YDR277C"	1404.65105429234	-4.91810151835062	0.144417303577818	-34.0547939651881	3.44696808261701e-254	2.23811637604323e-250
"YLR174W"	1119.93880005115	-4.69879296004166	0.165039835223799	-28.4706595451332	2.70478860802562e-178	8.78109621595516e-175
"YDL215C"	3867.06619397872	-2.87234648352272	0.123762015679546	-23.2086272007723	3.72577313145306e-119	8.06381498084158e-116
"YGR138C"	1148.91451121369	2.79360875600382	0.123894730112386	22.5482452197095	1.39716235033191e-112	2.26794378517627e-109
"YMR011W"	23858.9597582303	-4.81713675286912	0.223324453545238	-21.5701266762233	3.42754279591204e-103	4.45100707477138e-100
"YKR075C"	2660.6893027594	-3.79079629287021	0.204864023804379	-18.5039628846203	1.91835876828361e-76	2.07598391374424e-73
"YDR028C"	777.149645506945	9.46296662742568	0.568331078748746	16.6504472151331	3.00349331699912e-62	2.78595458675361e-59
"YBR230C"	1501.58544207005	-2.63296776454276	0.164624387882176	-15.9937892460211	1.4117632501472e-57	1.14582234790072e-54
"YJL212C"	834.170855047137	3.14502344505539	0.197357599363523	15.9356592054123	3.58401132260754e-57	2.5856650575212e-54
"YMR303C"	6165.56817916395	-4.44196262673001	0.282037157830814	-15.7495652732206	6.91550730621594e-56	4.49023889392601e-53
"YNL117W"	509.774465133286	-4.50371301075609	0.291679332337737	-15.4406312393132	8.72422296653354e-54	5.14967088379111e-51
"YDR216W"	1199.79349880951	-2.47109800951851	0.168306462629487	-14.6821338343877	8.39078019046864e-49	4.54011131472608e-46
"YKL217W"	2987.03296333149	-5.79610666177123	0.404666199481411	-14.3231796211274	1.56782629929135e-46	7.8306893548452e-44
"YDR384C"	3989.18175919882	-1.27842423788803	0.0912347322041243	-14.0124731777339	1.30770396099502e-44	6.06494415624334e-42
"YLR205C"	291.890613296982	-2.65077972836927	0.192684571949156	-13.7570937909276	4.61717246239832e-43	1.99862005322349e-40
"YBR296C"	539.800340700656	-4.28538988721914	0.313285686419991	-13.6788563058516	1.35812015495402e-42	5.51142135382277e-40
"YHR092C"	11145.2710515639	-4.60139804539157	0.339673851693838	-13.5465182923147	8.30781831599276e-42	3.17309790151418e-39
"YER065C"	1928.61477442461	-3.02954238857523	0.227043987782382	-13.3434160409436	1.29391657362358e-40	4.66744461807663e-38
"YPL134C"	1137.5545587069	-2.23709144105524	0.185384125832569	-12.0673300964058	1.57150537544904e-33	5.37041284357401e-31
"YGR289C"	236.018376413159	-2.57617501176185	0.216185464241103	-11.9165042885989	9.70977301419928e-33	3.1522778090598e-30
"YMR191W"	1015.83348674419	-1.75576210547338	0.147642785214737	-11.8919600637426	1.30312033838005e-32	4.02912397957221e-30
"YGR292W"	265.293583807983	-3.77920909807844	0.318011350550349	-11.8838811619087	1.43544267729421e-32	4.23651331985059e-30
"YLL052C"	145.789176297389	2.41627257457177	0.206746917868651	11.6871032443002	1.48360894357051e-31	4.18829255243622e-29
"YBR297W"	820.08088980626	-3.5738371329147	0.306344584458047	-11.6660692378067	1.90000945956524e-31	5.14031725873212e-29
"YOL104C"	110.211162986071	-2.8543437503363	0.250407452684093	-11.3987971194182	4.23935938090987e-30	1.10104641840991e-27
"YJR095W"	1151.19067256679	-5.88932822458207	0.521613604430359	-11.2905955185231	1.46043789570823e-29	3.64716279108983e-27
"YBR299W"	141.417877269577	-2.84860856320595	0.252948660227665	-11.2616076346958	2.03020839870882e-29	4.88227523437642e-27
"YDL047W"	935.629364008618	-13.2845926576196	1.19062147123314	-11.1576961936195	6.56713338026566e-29	1.52287132278803e-26
"YNL104C"	4000.38000498115	-1.32584830773223	0.119237322777911	-11.1194068840486	1.00940799895193e-28	2.26002970248099e-26
"YGL009C"	4859.03462546838	-2.64377195838614	0.241957635048864	-10.926590342364	8.60201396007076e-28	1.86176255475798e-25
"YBR115C"	586.857913869797	-12.6118219602605	1.1881144193731	-10.6149893937952	2.53823256894423e-26	5.31636905488867e-24
"YLL053C"	172.19852776226	2.94437958399081	0.277549632397143	10.6084794944989	2.72141602899142e-26	5.5219232113254e-24
"YHR046C"	734.08658058085	1.24434550145999	0.117431897774956	10.5963160353981	3.09950323944224e-26	6.09850743445408e-24
"YBR298C"	628.287493053946	-2.99405955800011	0.290345678554827	-10.3120513895809	6.21601058810602e-25	1.18707519848742e-22
"YBR050C"	176.478751326097	-3.47474117650875	0.340358771598658	-10.2090542875918	1.80616614162765e-24	3.35069621645381e-22
"YFL052W"	75.3968265701766	-2.85987442434116	0.284702460068293	-10.0451342206708	9.65161962332519e-24	1.74077683928474e-21
"YKL120W"	1295.1997484185	-2.243036525095	0.228877719196403	-9.80015238254897	1.12415927394681e-22	1.97274761236125e-20
"YFL054C"	809.897240354857	-3.64555579900968	0.378725533736573	-9.62585163731103	6.21896039714215e-22	1.06262394364853e-19
"YJR008W"	519.465572123712	-1.60195604913832	0.167095575294495	-9.58706444688903	9.06267911315791e-22	1.50881988414703e-19
"YER042W"	735.176617534987	2.41422508194382	0.259113378224915	9.31725369983881	1.19390491358151e-20	1.93800615097118e-18
"YDR009W"	184.857411448407	-1.73561856645945	0.187641987389502	-9.24962792499472	2.25275483535082e-20	3.48265170141259e-18
"YOL151W"	527.026806720456	1.7691282629517	0.191239149891796	9.25086868432892	2.22675493666445e-20	3.48265170141259e-18
"YHR214W-A"	236.861395243707	-2.72947154835843	0.295865321211043	-9.22538517588372	2.82543571514101e-20	4.26640792986293e-18
"YPR158C-D"	352.332067933667	-1.68750573491674	0.184600117557775	-9.14141202747932	6.16421344581642e-20	9.09641770538319e-18
"YMR251W"	96.6051068943793	-2.03767604640479	0.224292008081537	-9.08492488802377	1.03770307848669e-19	1.49729024191424e-17
"YIL162W"	7197.39169470097	-3.93898605554544	0.435137294463586	-9.05228328084635	1.40009525438078e-19	1.97626488841183e-17
"YKR098C"	470.227364367122	-2.05448175159574	0.227455046300947	-9.03247382288211	1.6783397342427e-19	2.31860848817827e-17
"YKR097W"	5593.38561619324	-5.77815669020526	0.640095214300528	-9.02702685649574	1.76399135967038e-19	2.38616581215412e-17
"YOR107W"	852.823383919173	3.05480333785518	0.342327133567208	8.92363776725119	4.51217884523977e-19	5.97909739635547e-17
"YGL157W"	1113.17937442226	1.58669388465698	0.177860218870657	8.92101614814073	4.62029226543793e-19	5.9999115358977e-17
"YLR377C"	995.624138195498	-4.6259276686816	0.51908364964662	-8.91171908772473	5.02473114959284e-19	6.397172422413e-17
"YLL028W"	889.963852874812	1.79994327043192	0.204237909061572	8.81297345190353	1.21869418189168e-18	1.52172717750436e-16
"YIL057C"	448.442818120041	-6.47927469577708	0.737654001803522	-8.78362305353949	1.58291538250038e-18	1.93922067520283e-16
"YGL146C"	196.010187537083	-1.79029348386244	0.206094999456116	-8.68673906978342	3.72991517714827e-18	4.48487763800439e-16
"YDR342C"	3229.08229661569	-6.0612266082354	0.700419181348798	-8.65371304732587	4.98504542007408e-18	5.88507271137109e-16
"YKR093W"	407.839652617075	1.87688084667383	0.218365424466968	8.59513749145639	8.31651611116955e-18	9.64270341246855e-16
"YPR182W"	425.474279537958	-1.79466758455642	0.209219892873195	-8.57790126890155	9.66198254407921e-18	1.1006184676966e-15
"YCL055W"	627.899860502855	1.30956151838742	0.155163037134555	8.4399064530542	3.17591738793208e-17	3.49512399997339e-15
"YPL274W"	1451.38560841873	1.7709967879052	0.209800995037753	8.44131739025602	3.13780839022478e-17	3.49512399997339e-15
"YDR133C"	5891.6968329862	-1.74581532851661	0.208130868675959	-8.38806535341327	4.9420747285429e-17	5.34814853540485e-15
"YIL053W"	18872.307162167	1.22777681987993	0.147566853564469	8.32013958570673	8.78597802686361e-17	9.3520254636763e-15
"YML058W-A"	55.0090907438425	3.19093587983448	0.387254624046124	8.23989097017063	1.72367657190161e-16	1.78102457828508e-14
"YNR044W"	1768.62500921987	2.73660429586891	0.332128884660454	8.23958536056455	1.72808483646943e-16	1.78102457828508e-14
"YMR096W"	743.122654015044	-2.37219506647325	0.289092901445145	-8.2056496531561	2.29347309679224e-16	2.32680012773e-14
"YMR081C"	357.57343420187	-3.04194987938297	0.37401192341932	-8.13329653122454	4.1777102306899e-16	4.17321115813377e-14
