""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YKL209C"	1274.94264394284	-4.61147639886153	0.122128864439646	-37.7591032228132	0	0
"YIL015W"	2287.9926091128	-5.73397159088152	0.160670125520871	-35.6878515672578	6.10117200168782e-279	1.98013537314778e-275
"YNL145W"	2765.00240741311	-8.69045545331813	0.253283007311705	-34.3112455334327	5.33376208310322e-258	1.1540483227141e-254
"YFL026W"	3996.28497174338	-5.99289374772999	0.216438180804994	-27.6887087363271	9.54930896686824e-169	1.54961411259854e-165
"YPL187W"	7583.42252524805	11.8994044688478	0.446744606179447	26.6358100450531	2.61335188932439e-156	3.39265342272092e-153
"YBL045C"	3646.02488441321	1.82222554221427	0.0750888773335541	24.2675827222682	4.31308248635663e-130	4.66603640315681e-127
"YJR121W"	11609.0733901338	1.82386048655537	0.0762057743739598	23.9333633381278	1.37709794797657e-126	1.27696325433084e-123
"YGR254W"	12028.2720416845	2.05836479783414	0.0878795561987119	23.4225670550702	2.5172491027215e-121	2.04243299072066e-118
"YBR039W"	3862.4850927841	1.88110365859263	0.0818743003750801	22.9755081872452	8.19367083584812e-117	5.90945748838779e-114
"YGL009C"	3753.01811822274	-2.22739926021373	0.101209812304986	-22.0077402525131	2.42795600458634e-107	1.57598624257699e-104
"YLL041C"	1296.31646716623	1.98523300917773	0.0903278152584223	21.9780917262097	4.66668924109473e-107	2.75377089672236e-104
"YKL178C"	1002.68552574246	4.35802866897569	0.20020409700998	21.7679294982582	4.67266206229713e-105	2.52752078719755e-102
"YDR028C"	766.798675215665	8.36827655812396	0.402746051334942	20.7780474330822	6.83837394780949e-96	3.4144527150178e-93
"YKL120W"	1116.17749813702	-2.00645080338188	0.0966686878432395	-20.7559536407031	1.08311992249297e-95	5.02180815492991e-93
"YJR077C"	4551.09975071472	1.53632721487294	0.0801744658454151	19.1623005987361	7.64196107837815e-82	3.30693129065017e-79
"YOL077W-A"	758.691859060715	1.89567044310996	0.100240619291419	18.911200434615	9.22330938771374e-80	3.74178132722812e-77
"YNL055C"	8038.38619096736	1.7540307632399	0.0936655804839993	18.7265242384265	3.00933286687313e-78	1.14903409640432e-75
"YDR377W"	1381.20835747723	1.77026286367137	0.0992187262683787	17.8420236809224	3.33399791022304e-71	1.20227669084765e-68
"YKL016C"	2152.13930347276	1.33640994286329	0.0767379463181452	17.4152424841122	6.32204879745901e-68	2.15981151285823e-65
"YLR040C"	1214.54954849371	2.60140458865262	0.149616962276196	17.3870966839332	1.0333800553288e-67	3.35383496956962e-65
"YDR345C"	17206.9126216993	2.35278230094475	0.135741998411262	17.3327513111782	2.66279586631927e-67	8.2305752229897e-65
"YKL085W"	3015.85454766108	1.88213659153263	0.108875646056766	17.2870302928104	5.89100413935062e-67	1.73811399402386e-64
"YDL048C"	813.955947697434	2.0987322766086	0.12147323990687	17.2773219699881	6.9710472423639e-67	1.96735076739931e-64
"YDL181W"	518.306760245832	2.39496429966233	0.139254106776131	17.1985182707217	2.7240875245702e-66	7.36752171749381e-64
"YBL099W"	5550.37145737302	1.46707527557655	0.0873186074203166	16.801404865685	2.38331557427517e-63	6.18804055704806e-61
"YML123C"	1075.46329420362	2.31851257202535	0.138254635868826	16.7698721815384	4.05379833629648e-63	1.01204634618848e-60
"YGR138C"	1263.66114671878	1.84952895779061	0.113286734975498	16.3260858227631	6.43848769850448e-60	1.54786013522195e-57
"YDR298C"	2139.14167875687	1.40989290514311	0.0875426149745582	16.1052180763947	2.34469931267217e-58	5.4355154423411e-56
"YPL078C"	2696.86707780701	1.17936707303781	0.0751076836928663	15.7023491479319	1.45743585622075e-55	3.21220507765425e-53
"YPL271W"	1491.37420284422	1.77584123290463	0.113102425579412	15.701177263062	1.48461180603339e-55	3.21220507765425e-53
"YHR051W"	1006.66382398198	1.44467484292879	0.0926063212514446	15.6001752731999	7.25945435240134e-55	1.5200360710141e-52
"YGL187C"	1213.60669864869	1.49602399063047	0.0969671888645607	15.4281464498269	1.05867237841069e-53	2.14745075258243e-51
"YML081C-A"	1260.68991629353	1.49433482165742	0.0970162884119161	15.40292713851	1.56425136953884e-53	3.07683504232624e-51
"YPR191W"	2417.64206869027	1.56881724028375	0.106585188367902	14.7189047963084	4.87491448661084e-49	9.30678527429146e-47
"YML120C"	1219.92654632796	1.55210442202636	0.10664731498721	14.5536193031442	5.53930586497496e-48	1.02730383913007e-45
"YDR529C"	1749.77485101932	1.36289770172007	0.0949653475548755	14.351526496889	1.04217786133195e-46	1.87910458275158e-44
"YOL136C"	1607.86320922473	1.76882348424061	0.123914112205201	14.2745927220254	3.15123417003156e-46	5.52828675612835e-44
"YMR145C"	2336.44123890573	1.13024196383061	0.0792406581911165	14.2634095883535	3.6992960454944e-46	6.31898174508004e-44
"YLR121C"	1050.20249246646	1.2849472346808	0.0905191980836065	14.1953006863138	9.79653410754555e-46	1.63049494595072e-43
"YBL015W"	1040.87821862776	1.51939737176573	0.108334730608668	14.0250256148619	1.09572573211295e-44	1.7780889317863e-42
"YBL100C"	476.227194451802	1.58511639561558	0.113272919127045	13.9937807538776	1.70122210351701e-44	2.69332504242168e-42
"YMR256C"	561.084382598941	1.45495685644865	0.104651106177258	13.9029285938387	6.08017342352357e-44	9.39676326002179e-42
"YPR020W"	548.084535520388	1.59192475251759	0.116510134656644	13.663401533343	1.67951384633605e-42	2.53528473873658e-40
"YJL170C"	176.916344650982	-3.67745565495296	0.273655051034702	-13.4382889738316	3.60680137917192e-41	5.32085176186475e-39
"YDL004W"	1986.25195037711	1.00016884720654	0.0744692845920415	13.4306224732207	4.00034697990567e-41	5.77027827701505e-39
"YLL053C"	175.081372017032	2.57842485909549	0.192955713032168	13.3627806017106	9.97665203991905e-41	1.40779235632858e-38
"YBR238C"	1458.88917981775	1.54492806982985	0.116495506333732	13.2616966821364	3.86061193075258e-40	5.33175149840745e-38
"YOR027W"	3375.00931113062	-1.22582791827146	0.0926094477147286	-13.2365320010056	5.39846006702699e-40	7.30029256147337e-38
"YLR023C"	1406.29143861666	1.55662948259748	0.118634026718829	13.1212732607214	2.48720649035587e-39	3.29478720997958e-37
"YLL052C"	143.042337714662	2.45992779921436	0.190572518368206	12.9080930465616	4.05212089475194e-38	5.26046334556697e-36
"YPR157W"	320.716207163334	1.92691603116752	0.150006810878165	12.8455236124749	9.11332112834787e-38	1.1598934792962e-35
"YBL030C"	6508.24136018932	1.49897455256876	0.116964638518933	12.8156216404339	1.34059637437419e-37	1.67342520501209e-35
"YHR001W-A"	557.60219088409	1.51920153737513	0.120040807383303	12.6557090916938	1.04031999871848e-36	1.27409756824182e-34
"YLR038C"	740.456311268714	1.30347808913304	0.103214129086679	12.6288726230339	1.463600923658e-36	1.75930251767854e-34
