""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YPL187W"	11642.7441822008	9.96155669095675	0.447784737602984	22.2463068846015	1.22472001524521e-109	8.23746682253926e-106
"YNL145W"	1169.21718278914	-8.411066354841	0.436892679784505	-19.2520194181091	1.35766240629195e-82	4.56581867235984e-79
"YKL209C"	572.842352997911	-4.2743901836396	0.249538577526143	-17.1291758813997	8.99194110101965e-66	2.01599319484861e-62
"YIL015W"	800.350694109291	-5.08484460279072	0.342235595506699	-14.8577315438575	6.19888746104678e-50	1.04234292657502e-46
"YFL026W"	1730.43512067507	-5.6950319506694	0.411976362140441	-13.8236861966561	1.83430899456683e-43	2.4675124594913e-40
"YLR040C"	1642.1977519031	3.68718144916363	0.287157611657679	12.8402706370156	9.75329161065276e-38	1.09334398955417e-34
"YKL178C"	1490.16590317695	4.44708895626556	0.361647402219405	12.2967534924185	9.42882051154043e-35	9.05974953723156e-32
"YCR097W"	55.8479226633099	-10.2065995947977	1.28911504148337	-7.91752424442512	2.42286395387312e-15	2.03702286921882e-12
"YCR005C"	3401.75654657657	2.99110565247726	0.392379612064135	7.62298947374554	2.47867100132627e-14	1.85239346165783e-11
"YLR041W"	157.695342018662	2.82332402094986	0.41660896121985	6.77691620622618	1.22768040960241e-11	8.25737843498581e-09
"YKL177W"	127.858480873185	5.94813347214911	0.894124540156884	6.65246641268279	2.88221608224944e-11	1.76234412447361e-08
"RDN5-1"	208.874010161965	5.06401733277131	0.819571776790594	6.1788576378286	6.45670841856419e-10	3.61898506860523e-07
"YDR477W"	765.395927471962	12.5652100681856	2.05114347530573	6.12595375187624	9.01419885931461e-10	4.66380780982693e-07
"YDL023C"	189.15474586556	-2.26346324888992	0.371351220276595	-6.09520886239183	1.09294655588186e-09	5.25082752490099e-07
"YDL110C"	465.566074615767	-1.38901859128851	0.228878227713749	-6.06881049876754	1.28861085291421e-09	5.77813106446732e-07
"YOR028C"	247.289081785521	-2.6541244053477	0.438123045404029	-6.05794292993676	1.3787329064369e-09	5.79584845543411e-07
"YDL022W"	2685.73531976892	-1.97562229159393	0.328424830377514	-6.01544739879449	1.79390548343709e-09	7.09753428329285e-07
"YAL061W"	371.251168494698	-2.34567187311003	0.394298852955954	-5.94896955830622	2.69835813533851e-09	1.00828648990482e-06
"YOR221C"	260.982904355621	-2.03440090701375	0.346429501210479	-5.87248170235282	4.29319105971967e-09	1.51978963514076e-06
"YDR345C"	24547.8974168167	1.58347809326152	0.270597036881372	5.85179391286425	4.86298978850787e-09	1.55754615797638e-06
"YER053C-A"	39.4255881534685	-3.55346533693872	0.607097803170017	-5.85320078310937	4.82201396691911e-09	1.55754615797638e-06
"YFR015C"	170.043199890978	-2.54515115761572	0.442562301669005	-5.75094432584378	8.87463388831288e-09	2.71321761512693e-06
"YHR087W"	472.895555567335	-2.54699054904868	0.451427072139893	-5.64208641049199	1.68001740163173e-08	4.91295523625e-06
"YMR120C"	2684.0371680423	2.59524190763514	0.471645119336486	5.50253103707751	3.74377293190505e-08	1.04919236416639e-05
"YLR108C"	582.719901340238	-1.28673651611112	0.235037128055998	-5.47460959361515	4.38477210336785e-08	1.17967908669009e-05
"YML123C"	1548.51645180979	1.40581532475193	0.258673565238992	5.43470811736438	5.48862025383253e-08	1.41986383951068e-05
"YPL274W"	1956.45441710455	1.13561057290846	0.210686962424822	5.39003723741886	7.04430857421974e-08	1.75481553593341e-05
"YDR074W"	2449.66040451058	-1.66514845022912	0.309430369757037	-5.38133490754828	7.39354925518042e-08	1.77603615322655e-05
"YJL170C"	76.3836696338856	-3.11506507500955	0.589365475884206	-5.28545563402083	1.25392261015349e-07	2.9082356813422e-05
"YER091C"	7681.47171176797	1.74060885712434	0.329958051538118	5.27524286499571	1.3258038869714e-07	2.97245231458988e-05
"YIL101C"	194.631543523094	-1.55061644573601	0.294429246743575	-5.26651636305165	1.39036859326489e-07	3.01665134138698e-05
"YLR257W"	2067.00108653392	-1.14405543852974	0.221505302677361	-5.16491219262658	2.40551820172523e-07	5.05609857025122e-05
"YGL234W"	5529.03158600247	1.04828630452736	0.203811349136257	5.14341477532995	2.69789071296239e-07	5.49879179860153e-05
"YEL011W"	277.751306554438	-2.37871989867688	0.467463677236964	-5.08856626623222	3.60780714671131e-07	7.1370914319942e-05
"YDR461W"	858.902386865593	-6.87309946946413	1.35497981226329	-5.07247370570316	3.92677407735458e-07	7.33652290119081e-05
"YJL133C-A"	642.524517252712	2.42528242692011	0.477879364543488	5.07509343751838	3.87305632880145e-07	7.33652290119081e-05
"YGL009C"	1760.22576672287	-1.14372092793163	0.227378192630058	-5.03003790602055	4.90382877555679e-07	8.91436549848513e-05
"YPR149W"	3232.00719156739	-1.72805135699151	0.354024391727573	-4.88116468065645	1.05461125545162e-06	0.000186666192214936
"YDR171W"	364.239149657585	-2.31270397264704	0.476095339455763	-4.85764883834138	1.18787839387837e-06	0.000199741751930647
"YNL054W-B"	738.687178746883	1.5543077051484	0.319745564138342	4.86107667931838	1.1674901658717e-06	0.000199741751930647
"YEL071W"	3903.99702257942	1.82247078288642	0.379698337990897	4.79978604207141	1.58835227736596e-06	0.000260567254086913
"YBR238C"	1959.6146045504	0.932371616453173	0.198770279729477	4.69069932246469	2.72272840398355e-06	0.000436025505837937
"YDR232W"	2916.96520827759	0.976724618995277	0.212091456642481	4.60520491705484	4.12059900604473e-06	0.000644538346852484
"YJR048W"	991.470754669531	-0.981011308863199	0.214112474630183	-4.5817569039712	4.61085708321552e-06	0.000704832380493354
"YGR052W"	305.183916798233	-1.71695436560453	0.378061497113442	-4.54146846138457	5.58637440141506e-06	0.000834976760531504
"YBR214W"	525.305996808058	-1.39383737372158	0.310388712490353	-4.49061875523228	7.10165662812722e-06	0.00103838570610399
"YCL030C"	1953.50359529244	1.1689429646123	0.263051148495328	4.44378582377893	8.83895970254819e-06	0.00126491155232636
"YPL111W"	1754.05103396443	-2.00576812924292	0.4550487982969	-4.40780886961982	1.0442162862905e-05	0.00146320807116457
"YMR205C"	8921.01689079844	0.873721583173777	0.198556495801525	4.4003676618424	1.08067618529859e-05	0.00148339347394252
"YGR194C"	255.340394733377	-1.249363124662	0.28551637921655	-4.37580193504213	1.20986838738753e-05	0.0016275149547137
"YCL054W-A"	10.7730273628667	-6.83762477500379	1.57152778159006	-4.35094107473272	1.35554480621489e-05	0.00178772438560811
"YNL146C-A"	12.9137913812529	-6.15366494970215	1.43247782736767	-4.29581863826133	1.7404983712946e-05	0.00225126770102452
"YJL107C"	191.431671054477	-1.29415322670066	0.302136252604115	-4.28334307964152	1.84105956128656e-05	0.00233640879419121
"YAL067C"	132.003984531738	1.87619575050322	0.443004429926299	4.23516250348862	2.28386483569978e-05	0.00284468053424384
"YJL163C"	90.0588845821461	-1.58711746611797	0.375311923301019	-4.22879574983558	2.34945519458937e-05	0.00287317011614692
"YDR133C"	3356.78442379232	-0.940466580858835	0.22357197303192	-4.20654954243554	2.59299259810892e-05	0.00311436932408582
"YHR092C"	720.472614698452	2.07324196190822	0.496139280143214	4.17874988916372	2.93115815834127e-05	0.0034587666268427
"YFR017C"	65.5316965725655	-2.25315492147417	0.541558707495568	-4.16049985031884	3.17551825067301e-05	0.00367513795008084
"YLR438W"	542.534010621633	-1.63068344316029	0.392269188006696	-4.15705207805527	3.22380521936916e-05	0.00367513795008084
"YNL220W"	2739.70004954101	1.17140919761665	0.282056362284911	4.15310325967185	3.279966403996e-05	0.00367684233887952
"YOL151W"	1039.23195296684	-1.03683167741336	0.253611186500253	-4.08827264964643	4.34597185270744e-05	0.00479196830841152
"YGL089C"	1461.59487777847	4.34574653554836	1.06645098282473	4.07496134893862	4.60219901657055e-05	0.00491859446498987
"YJR004C"	4133.6951841103	3.84296561032488	0.943124954320203	4.07471522487162	4.60706885659176e-05	0.00491859446498987
"YKR039W"	275.585465835204	-1.24904225205579	0.30729837135458	-4.06459118722295	4.81167247206777e-05	0.00505676703861372
"YKL035W"	2294.08533244919	-0.95779973151604	0.236476540273788	-4.05029492738314	5.11531212927352e-05	0.00529316759715287
"YIL099W"	44.5908355818184	-2.01955833862171	0.500548023531698	-4.0346944622264	5.46733943056476e-05	0.00557171591060281
"YPL014W"	463.199261646416	-0.956674770054167	0.237877840063109	-4.02170614043057	5.77781118594856e-05	0.00580023254278955
"YBR230C"	533.645514231464	-1.05236818208817	0.262400735294692	-4.0105382361307	6.05804883638659e-05	0.00590528064833858
"YGR204W"	5429.14022918418	0.750266717181271	0.186993227012178	4.01226680329128	6.01384755682385e-05	0.00590528064833858
"YHR214C-B"	219.116060931841	1.15038379390366	0.289213152555467	3.97763304932348	6.96046772180077e-05	0.00668801512811886
"YKL014C"	1149.80696100356	0.88303616014412	0.222408526835505	3.97033410862534	7.17719145702968e-05	0.00679912531549037
"YIR042C"	67.5259732929439	-1.80800254724324	0.457683809714674	-3.95033101208097	7.80431841365398e-05	0.00729053411808842
"YMR045C"	338.033818350542	1.43645333012546	0.365536162752982	3.92971606230974	8.50462278998428e-05	0.007755041809391
"YMR229C"	3321.58500797204	0.750356291099264	0.19098193129651	3.9289386488311	8.53216018279712e-05	0.007755041809391
"YOL109W"	5239.38110953582	-0.985892161724568	0.25166210484723	-3.91752330897434	8.94633976250127e-05	0.00791751068981363
"YOR161C"	400.88557518221	-1.30528940252102	0.33309861180614	-3.91862756630364	8.90545938080673e-05	0.00791751068981363
"YKL096W"	4479.54252496923	-1.62655084028586	0.416961415110581	-3.90096249038891	9.5810996957821e-05	0.00836915279919875
"YJR009C"	57923.1378493414	1.001047331251	0.257278145699062	3.89091474727096	9.98670192007467e-05	0.00861160988646439
"YHL050C"	213.089156377017	1.28572149405411	0.33163619431512	3.8769034143252	0.000105794330825619	0.00876442685504871
"YHR094C"	8625.90599407807	-0.7305337027701	0.188550001649973	-3.87448261138854	0.000106851472214391	0.00876442685504871
"YLR258W"	801.60974099789	-1.78790654337682	0.461199833658827	-3.87664177845177	0.000105908107192227	0.00876442685504871
