""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YGL037C"	2530.00240820085	-3.30354579404232	0.301359305174993	-10.9621496244293	5.81026068552666e-28	3.37866658863375e-24
"YCL040W"	3855.19618464182	-3.48335531014934	0.325652033578327	-10.6965562962207	1.05631255135358e-26	3.07122874306055e-23
"YPL061W"	17200.2311258709	-2.10635323836165	0.221248950079972	-9.52028580293963	1.72703425478647e-21	3.3475680638611e-18
"YOL052C-A"	542.947216332079	-4.39786682069779	0.464412622396634	-9.46974007295988	2.80540908911927e-21	4.07836346330713e-18
"YML100W"	2673.47437754765	-4.45031886379322	0.47584272722723	-9.35249949016885	8.56004731788981e-21	9.95533503070585e-18
"YPR149W"	6166.63337973732	-1.87949111447015	0.203954071935949	-9.21526644028169	3.10506188792947e-20	3.00932247971831e-17
"YDR171W"	666.599292358456	-4.10366479805965	0.458435704525309	-8.95145111419458	3.50839476496827e-19	2.91447365118436e-16
"YPR160W"	849.205085557421	-3.41225217667126	0.383511867570188	-8.89738353676048	5.71786366990461e-19	4.15617215506192e-16
"YGR248W"	263.318054251923	-4.98293727751076	0.572411533732457	-8.70516574852904	3.17110984810182e-18	2.04888930741246e-15
"YFR053C"	5793.5194458847	-2.55975841691797	0.305196471071328	-8.38724775529835	4.97655480136642e-17	2.89386661699457e-14
"YLL026W"	3144.3035171356	-2.66494062485042	0.319253614498062	-8.34740940690774	6.97765136505859e-17	3.68864024434688e-14
"YMR105C"	1342.74077117814	-2.89793589522827	0.348485560257849	-8.31579906233145	9.1136119354421e-17	4.41630445038298e-14
"YDR258C"	956.218614347029	-2.72634627606124	0.332175204030401	-8.20755505823886	2.25737956453043e-16	1.00974324367265e-13
"YML128C"	1617.64930967827	-3.08164682819458	0.381220270156183	-8.08363843541702	6.28625231991047e-16	2.6110398028771e-13
"YNL036W"	3913.0582921048	-2.24690827286433	0.279929149299565	-8.02670346581096	1.00126710132e-15	3.8815787961172e-13
"YKL103C"	1268.42095925533	-2.08946499385737	0.26265276147428	-7.95523710517689	1.78788776710693e-15	6.49785460357924e-13
"YFR015C"	309.5858682861	-3.46248775286847	0.470209152957037	-7.36371831788828	1.78856902719247e-13	6.117958172426e-11
"YEL007W"	1235.72637984232	-1.41691222821497	0.196573309162046	-7.20806010874516	5.67545783286384e-13	1.83348818322796e-10
"YLR327C"	532.742089818222	-2.70022264674828	0.37975138007748	-7.11050120791492	1.15622290663224e-12	3.53865063266656e-10
"YPL240C"	2523.92462170664	-3.0765508268477	0.441812484472859	-6.96347644073127	3.31976700533974e-12	9.65222256802529e-10
"YBR054W"	1280.73221283515	-3.23663870665482	0.473141956239622	-6.84073492948834	7.87879234243955e-12	2.18167511768028e-09
"YMR250W"	1031.4254012651	-2.79970411516464	0.410630815163758	-6.81805654075942	9.22803265894029e-12	2.4391368141699e-09
"YLR258W"	1253.06416446835	-2.45417060760444	0.360981268567696	-6.79860929444378	1.05633860613736e-11	2.67069956290816e-09
"YBR214W"	877.667472279776	-2.09299690390098	0.310066318597502	-6.75015884784928	1.47683378319776e-11	3.57824518720624e-09
"YBR085C-A"	1230.99741582391	-1.57276908303762	0.2359077247951	-6.6668825041811	2.61294109029596e-11	6.0777009760284e-09
"YIL101C"	414.767702461833	-1.91920937990802	0.289946535659555	-6.61918369033899	3.61187807610685e-11	8.07810423560051e-09
"YDL124W"	3682.84952752878	-1.59676694947209	0.242303568523384	-6.58994400785308	4.39992479465095e-11	9.4761343262575e-09
"YER150W"	682.580704692141	-2.41521851111635	0.36743631819358	-6.57316218219866	4.92577537628992e-11	1.02297799332592e-08
"YBR139W"	811.005544837555	-1.68729935786032	0.260617009438407	-6.47424878942559	9.52847925206859e-11	1.91062437416479e-08
"YOL151W"	1738.18471520335	-1.22910724639873	0.19057648231625	-6.44941721801278	1.1228106944906e-10	2.17638139615428e-08
"YBR072W"	1052.64416250441	-2.60360754037223	0.415183520479584	-6.27097996896594	3.58782778009055e-10	6.73007049716986e-08
"YNL200C"	516.671582811311	-1.7390440224109	0.277684565315416	-6.2626600093367	3.78465198655585e-10	6.87742228181946e-08
"YDR516C"	1435.16994031538	-1.80083894366569	0.291283585792611	-6.18242507131129	6.31242753910654e-10	1.11232624666377e-07
"YPL004C"	4665.09064625249	-1.53030434751166	0.248957379367516	-6.14685273197944	7.90354460614877e-10	1.35173858484574e-07
"YGR008C"	1162.4362546798	-2.55119666171754	0.418255932357469	-6.09960663878191	1.0632980406604e-09	1.7665937446972e-07
"YHL028W"	438.355709338446	-1.52763844741971	0.254809936274215	-5.99520752509327	2.0322574765081e-09	3.28266034052628e-07
"YDL130W-A"	662.722336436194	-1.82330289916907	0.308337830779644	-5.91332855445852	3.35262474736588e-09	5.26905754214394e-07
"YKR077W"	435.205319095512	-1.41396775374259	0.241257119922763	-5.86083326450745	4.60550236763669e-09	6.86692211995061e-07
"YLL039C"	3589.45299981653	-1.33863069896826	0.228325523227159	-5.86281673659617	4.55080406527367e-09	6.86692211995061e-07
"YDR358W"	376.368101279597	-1.48961077003268	0.255420481868454	-5.83199420475549	5.47688217032446e-09	7.64941768210811e-07
"YKL035W"	3396.70876840702	-1.47035613695296	0.252003697754173	-5.83466095956766	5.39000535169415e-09	7.64941768210811e-07
"YNL274C"	480.963480080666	-2.36858608132292	0.406238101292219	-5.83053650996444	5.52494484348307e-09	7.64941768210811e-07
"YEL039C"	102.944967222544	-5.3313894735169	0.916979922967033	-5.81407437609577	6.09703032986068e-09	8.24517008561392e-07
"YBR126C"	3354.08636279946	-1.97572997042178	0.344114860960315	-5.74148400597446	9.38504242478162e-09	1.23659305922491e-06
"YOR173W"	359.580318825982	-2.22863846799361	0.38838717379899	-5.73818760849977	9.56950776700277e-09	1.23659305922491e-06
"YNL112W"	12160.8655817958	1.55521757779204	0.273691919153663	5.6823657147103	1.32844211370421e-08	1.67932410678043e-06
"YDL204W"	460.934500299779	-2.27018272638493	0.403473028477594	-5.62660343109155	1.83792601131842e-08	2.27394462889716e-06
"YJL164C"	296.472343710911	-2.10366766709412	0.374691746984291	-5.6143955238553	1.97250563553517e-08	2.38960838971604e-06
