""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YHR092C"	30497.1575783056	-7.53310014434249	0.22984959841825	-32.774040921467	1.38024462903546e-235	9.27110317323118e-232
"YDR342C"	5166.89336957348	-6.17571312400896	0.246919357630447	-25.0110529335325	4.63509625950236e-138	1.55669707875387e-134
"YMR303C"	10069.9117731469	-4.5081275256699	0.18153373507919	-24.8335524176999	3.8934972733295e-136	8.71754039498474e-133
"YMR011W"	26974.83588037	-4.60010293257741	0.205731936327357	-22.3596929805678	9.71789166007573e-111	1.63187695701822e-107
"YLR174W"	2883.12907538105	-5.05108223841958	0.230879696512004	-21.8775505803602	4.25068130322911e-106	5.71036526275799e-103
"YDR277C"	2178.4750876349	-3.81167507100542	0.202113489469541	-18.8590829885199	2.47474810717381e-79	2.77048050598109e-76
"YJR095W"	3404.25451488376	-7.41392911034819	0.39858593897929	-18.6005786589813	3.17858191275448e-77	3.05007638685312e-74
"YKL217W"	2745.30150454283	-5.13201567401734	0.280411512285511	-18.3017295980059	8.01631134854534e-75	6.73069541602238e-72
"YDR028C"	391.751312694236	8.35956281262327	0.463595045404192	18.0320365704833	1.09194635479356e-72	8.14955962794261e-70
"YKL096W"	2877.53610564685	3.75512786483064	0.20923834228273	17.9466527208315	5.09713554664145e-72	3.42374594667906e-69
"YLR377C"	2961.45822793405	-5.58680167114642	0.314389417518349	-17.7703235536557	1.1999665434345e-70	7.32743206568143e-68
"YNL117W"	1447.1115426395	-5.69523042338027	0.323731217711114	-17.5924659464336	2.81362843383573e-69	1.57492851583955e-66
"YMR120C"	7792.66632521176	-4.13211037450774	0.243589927855344	-16.9633876527178	1.53248629092683e-64	7.91823878165808e-62
"YIL162W"	9260.79336050312	-4.17193627479669	0.249000134642194	-16.7547550959827	5.22757329540932e-63	2.50811498751889e-60
"YKR075C"	3670.85222434122	-3.91336736384139	0.238317322579751	-16.4208263229871	1.35705974429699e-60	6.07691353496193e-58
"YJL153C"	7210.59791025788	-5.8640641681615	0.364569413302068	-16.084904422036	3.25554346125008e-58	1.36671783932605e-55
"YDL215C"	4922.38581570895	-2.89363680390715	0.185398234725632	-15.607682609219	6.45389280897206e-55	2.5500469410509e-52
"YBR297W"	712.987405629405	-4.10801743535014	0.27474066317703	-14.9523459245023	1.50357693846735e-50	5.61084794204731e-48
"YLR058C"	16090.8953485309	-2.9675998185542	0.200542514213991	-14.7978588489601	1.51220182482033e-49	5.34603139858852e-47
"YER091C"	12806.4135810546	-2.48019450316953	0.172067983145257	-14.4140383227238	4.22280020042333e-47	1.41822744731218e-44
"YJL212C"	542.118608965654	3.04966827024934	0.21614247589991	14.1095277897231	3.31792219377124e-45	1.06126111312197e-42
"YOL155C"	1752.0199040535	3.24198086688511	0.229838207445816	14.1054914364027	3.51333224019489e-45	1.0726842116995e-42
