""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YHR092C"	16870.5891289696	-6.68666268662326	0.337998042636632	-19.7831402645483	4.1596182824361e-87	2.74576402823607e-83
"YPL187W"	12341.4722729519	-10.0040967287169	0.544134618833575	-18.3853340376726	1.72175938637599e-75	5.68266685473395e-72
"YNL145W"	1203.12359822962	8.41863651541707	0.474624510065132	17.737466854086	2.15430290244785e-70	4.74018448635275e-67
"YDR461W"	870.972417607881	8.15124819158123	0.463070771930985	17.6025970233251	2.35283483242025e-69	3.88276568220151e-66
"YFL026W"	1743.29406244168	6.40322946047778	0.399992274431322	16.008382835847	1.11674825675785e-57	1.47433104857172e-54
"YMR011W"	36561.527870773	-5.0539111641745	0.321377656909442	-15.7257701508434	1.00718667833725e-55	1.10807321061737e-52
"YIL015W"	819.540620008655	5.16666358167552	0.375474013228834	13.76037595051	4.41226444981746e-43	4.16076537617787e-40
"YKL178C"	2180.72410171325	-4.96169294703671	0.381568917911141	-13.0033991610191	1.17023834135672e-38	9.65592911411961e-36
"YDR028C"	387.447743979256	9.37425219070339	0.727721383793076	12.8816500373293	5.71015595303304e-38	4.18808216066345e-35
"YLR174W"	1722.83865325938	-4.30832105699648	0.342914115595258	-12.5638486753972	3.33697232060796e-36	2.20273542883331e-33
"YBR297W"	1201.91629489177	-4.88231455316941	0.405276431704769	-12.0468750986389	2.01442932026055e-33	1.20884072209453e-30
"YDR277C"	2186.46567943348	-3.82709509884061	0.324214537212877	-11.8042057328471	3.7128023514472e-32	2.04235069349191e-29
"YLR040C"	2159.39889268444	-4.04842643075609	0.346169602596378	-11.6949217966905	1.35311789442579e-31	6.87071632392665e-29
"YBR296C"	812.535737205803	-5.45478036983122	0.49126107007985	-11.1036284005663	1.20452440677434e-28	5.679332577941e-26
"YGL032C"	250.480751533261	7.37578835427071	0.701001947542452	10.5217801179134	6.85657388441974e-26	3.01734961407031e-23
"YDR342C"	5025.87479377673	-6.14555350393671	0.602409687927352	-10.2016179804164	1.94996566172144e-24	8.04482708313952e-22
"YKR075C"	3978.68234878408	-4.04223678112253	0.399136361987242	-10.1274580972698	4.17357858084848e-24	1.62057601248122e-21
"YPL095C"	1002.00779004683	3.22509534739849	0.327420630954027	9.85000651303285	6.85395342641703e-23	2.51349703154327e-20
"YDL215C"	5556.25230562606	-3.08601294580443	0.321396965550413	-9.60187331115411	7.85044299764146e-22	2.7274091698648e-19
"YNL117W"	776.644096509938	-4.80050302031379	0.524226475605466	-9.1573074686267	5.32083013938414e-20	1.75613998750374e-17
"YMR303C"	9410.69361116343	-4.41899840619292	0.491259603184791	-8.9952407597632	2.35715006338496e-19	7.40930836590671e-17
"YKL217W"	4639.71485158502	-5.9046692564096	0.659607570893567	-8.9517912118725	3.49760020114467e-19	1.00381125772852e-16
"YOL155C"	1767.80201626896	3.15141186703178	0.352014393382663	8.95250855156365	3.47493960472948e-19	1.00381125772852e-16
"YGR138C"	745.367628086526	2.76922565836318	0.329454065926755	8.40549850424017	4.26047985446663e-17	1.17180947997226e-14
"YJR095W"	1783.05779927563	-6.48782146685003	0.779290689558179	-8.32529061848323	8.41221028313163e-17	2.22116000315808e-14
"YCR097W"	57.476419855799	10.2660143630171	1.33490062658824	7.69047085493936	1.46594521354071e-14	3.72180936714701e-12
"YJL212C"	527.518695472627	3.15921147304471	0.411392127111399	7.67931923060171	1.59936227469312e-14	3.91014458342566e-12
"YBR298C"	923.495671754503	-2.66365685697732	0.348457472532885	-7.64413756897104	2.10350418278205e-14	4.95901111090869e-12
