""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YOR273C"	1768.03199613105	-2.05398891599641	0.248787933280131	-8.25598287230296	1.50657231765397e-16	4.64928217228015e-13
"YMR120C"	810.894564803706	1.83428521139337	0.228747718613774	8.01881313837472	1.06771789006569e-15	1.64748870437136e-12
"YBL003C"	4357.69910070841	-1.26191462735281	0.181694332464811	-6.94526136414962	3.777602831162e-12	3.88589411232198e-09
"YOL002C"	1530.25815594471	-1.34796070684554	0.198406425463268	-6.79393675733098	1.09114233249174e-11	8.41816309517374e-09
"YPL111W"	2650.26848227513	-1.85202767310481	0.279001435818256	-6.63805785684644	3.17843114252032e-11	1.96172770116354e-08
"YBL002W"	4126.40218702791	-1.13166143345782	0.180965089910389	-6.25347924297552	4.01407936841932e-10	1.78065765085845e-07
"YJL052W"	5007.50024858589	1.86909932008551	0.298935842532155	6.25250991735612	4.03908086714489e-10	1.78065765085845e-07
"YPL095C"	2174.62844361073	-1.58866289339045	0.268995028383178	-5.90591916489783	3.50685907530062e-09	1.35277088829721e-06
"YCL025C"	2047.48786411102	-1.22403534634076	0.208888230879649	-5.85976213780077	4.63530636715526e-09	1.58939504989346e-06
"YGL055W"	17056.3251316096	-2.34931304230635	0.406207695456069	-5.78352667511299	7.31505819117488e-09	2.25742695779657e-06
"YMR246W"	5135.03023554192	-1.4527960940376	0.254693531987252	-5.70409496739917	1.16962856867292e-08	3.28133978447694e-06
"YDR492W"	1981.86256956962	-1.31684149390128	0.236965015551184	-5.55711352934646	2.74272379081872e-08	7.05337134872215e-06
"YBR009C"	6552.50374867213	-1.09340139146452	0.197586995944819	-5.53377202905539	3.13416282437593e-08	7.4400203661724e-06
"YNL031C"	8341.294031337	-0.943738921462129	0.172086642433777	-5.48409166519301	4.15599246330038e-08	8.55026182782999e-06
"YOR382W"	603.958039071991	1.82640366922248	0.332632623381999	5.49075328406685	4.00223091090795e-08	8.55026182782999e-06
"YPL081W"	2860.97594968963	0.926580164118073	0.176733270714356	5.24281681866033	1.58143524360158e-07	3.05019322609655e-05
"YNL030W"	7321.6334865605	-0.937953415938824	0.183101992012171	-5.1225735210815	3.01393518268459e-07	5.47117880809685e-05
"YDR224C"	6659.67411286968	-1.02540941807991	0.207525953257155	-4.94111412084099	7.76774240354195e-07	0.000126164489775424
"YDR399W"	2459.14215519533	1.04874394169495	0.212021171532326	4.94641140842416	7.5594107117056e-07	0.000126164489775424
"YLR058C"	2845.05657559521	1.51944953417622	0.308444034442511	4.92617578719753	8.38545647458135e-07	0.00012938759340279
"YJL116C"	670.734998619254	1.85573529352249	0.401668188834937	4.62007035933107	3.83609933115694e-06	0.000563723930283349
"YNL007C"	1341.7466767308	-0.988381675821092	0.214928541213042	-4.59865251140091	4.25232363687532e-06	0.000596485033790783
"YDR225W"	5746.74658496972	-0.877397040430149	0.19782016880275	-4.4353265177173	9.19328401768246e-06	0.00123349889037253
"YBR067C"	13375.4160174003	-1.44365747124279	0.338296627635019	-4.26743086780137	1.97737019629443e-05	0.0024782845545548
"YJL141C"	623.938805660607	-0.959067715872626	0.224920248199875	-4.26403457913827	2.00768353415003e-05	0.0024782845545548
"YHR018C"	1564.52673908029	-0.917319911789637	0.218768831959213	-4.19310147416549	2.75166279415117e-05	0.00326601207028866
"YLR350W"	1308.1800981185	-0.820836852160193	0.199548331007428	-4.11347390387162	3.89749118535647e-05	0.00445468807333706
"YER070W"	4662.22242359894	0.928187569523701	0.227961136880058	4.0716921411568	4.66728396768429e-05	0.00514401368724062
"YDR044W"	2707.62633347684	-1.25000168949394	0.307645878901436	-4.06311858932594	4.84214133746517e-05	0.00515270626462673
"YPR035W"	8991.3316875603	-0.749263689630524	0.185049816986045	-4.04898368360466	5.14405305525077e-05	0.00529151590950129
"YMR006C"	1234.75421441424	-1.54625094671222	0.394469213276496	-3.91982668018355	8.86126722948105e-05	0.00882124860328339
"YNR019W"	1062.70232478193	-1.04230446165166	0.267345752310048	-3.89871338012835	9.67051607201333e-05	0.00932600393694786
