""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YPL187W"	11642.7441822008	-9.96155570209485	0.447784741940046	-22.2463044607907	1.22478618786411e-109	8.23791189957402e-106
"YNL145W"	1169.21718278914	8.4110679478942	0.436892700298226	19.2520221604818	1.35759053639104e-82	4.56557697388308e-79
"YKL209C"	572.842352997911	4.27439077787924	0.249538583482057	17.1291778539193	8.99163626121356e-66	2.01592484976408e-62
"YIL015W"	800.350694109291	5.08484577332214	0.342235612655108	14.8577342196309	6.19863991698986e-50	1.04230130204185e-46
"YFL026W"	1730.43512067507	5.69503383628491	0.411976394766231	13.823689678911	1.83422024011452e-43	2.46739306700205e-40
"YLR040C"	1642.1977519031	-3.68718077490358	0.287157618436055	-12.8402679858715	9.75362562216904e-38	1.09338143224515e-34
"YKL178C"	1490.16590317695	-4.44708798478972	0.361647415950835	-12.2967503392705	9.42918849368106e-35	9.06010311549983e-32
"YCR097W"	55.8479226633099	10.2065977222457	1.28911343133844	7.91753268108345	2.42269961298427e-15	2.03688469961653e-12
"YCR005C"	3401.75654657657	-2.99110413902295	0.392379639611796	-7.62298508144363	2.47875537756873e-14	1.85245651883637e-11
"YLR041W"	157.695342018662	-2.82332310061138	0.416608970903264	-6.77691383958928	1.22770051173628e-11	8.25751364193824e-09
"YKL177W"	127.858480873185	-5.94813213090587	0.894124900659964	-6.65246223040594	2.88229801179636e-11	1.76239422066748e-08
"RDN5-1"	208.874010161965	-5.06401472118142	0.819571978091644	-6.1788529336653	6.4569007809813e-10	3.61909288774002e-07
"YDR477W"	765.395927471962	-12.5652207340981	2.05115205715923	-6.1259333213455	9.01535575765439e-10	4.6644063712295e-07
"YDL023C"	189.15474586556	2.2634643826783	0.371351240955626	6.09521157611742	1.09292801453651e-09	5.25073844698038e-07
"YDL110C"	465.566074615767	1.38901908298554	0.228878232327852	6.06881252471344	1.28859459996142e-09	5.778058186227e-07
"YOR028C"	247.289081785521	2.65412606823603	0.438123082569858	6.05794621152569	1.37870478714158e-09	5.79573024894642e-07
"YDL022W"	2685.73531976892	1.97562359394252	0.328424847660695	6.01545104767345	1.79386507333555e-09	7.09737440191464e-07
"YAL061W"	371.251168494698	2.34567331034025	0.394298880719034	5.94897278445919	2.69830495781155e-09	1.00826661923558e-06
"YOR221C"	260.982904355621	2.03440194861072	0.34642951860761	5.87248441410972	4.29312081096541e-09	1.51976476708176e-06
"YDR345C"	24547.8974168167	-1.58347709317925	0.270597046567744	-5.85179000755587	4.86310400282549e-09	1.55758273919068e-06
"YER053C-A"	39.4255881534685	3.55346741599983	0.607097863155652	5.85320362936077	4.8219314098929e-09	1.55758273919068e-06
"YFR015C"	170.043199890978	2.54515274347942	0.442562338162414	5.7509474349925	8.87447066256626e-09	2.71316771256458e-06
"YHR087W"	472.895555567335	2.54699251052007	0.451427115419887	5.64209021460979	1.67998027282086e-08	4.91284665869265e-06
"YMR120C"	2684.0371680423	-2.5952397335568	0.471645168667122	-5.50252585198951	3.74388307347777e-08	1.04922323134215e-05
"YLR108C"	582.719901340238	1.2867370513767	0.235037133348922	5.47461174769556	4.38471876945974e-08	1.17966473773545e-05
"YML123C"	1548.51645180979	-1.40581467047827	0.258673572375089	-5.43470543809464	5.48870272219885e-08	1.41988517344267e-05
"YPL274W"	1956.45441710455	-1.13561011624405	0.210686966177064	-5.39003497392272	7.04439730043198e-08	1.75483763861872e-05
"YDR074W"	2449.66040451058	1.66514958745358	0.309430384118408	5.38133833300735	7.3934085406854e-08	1.77600235159464e-05
"YJL170C"	76.3836696338856	3.11506746546232	0.589365555269287	5.2854589780684	1.25389970282798e-07	2.90818255214517e-05
"YER091C"	7681.47171176797	-1.74060756396872	0.329958068869056	-5.27523866876395	1.32583422520181e-07	2.97252033290246e-05
"YIL101C"	194.631543523094	1.55061715219	0.294429255817654	5.26651860014321	1.39035165834564e-07	3.01661459807508e-05
"YLR257W"	2067.00108653392	1.14405600204422	0.22150530768787	5.16491461981734	2.40548698751101e-07	5.05603296187471e-05
"YGL234W"	5529.03158600247	-1.04828581252556	0.203811352973733	-5.14341226448099	2.69792678701727e-07	5.49886532408429e-05
"YEL011W"	277.751306554438	2.37872182790546	0.467463723782993	5.08856988656881	3.60773828441759e-07	7.13695520617432e-05
"YDR461W"	858.902386865593	6.87311768376163	1.35498101815561	5.07248263382853	3.92658979053337e-07	7.33617859197985e-05
"YJL133C-A"	642.524517252712	-2.42528064327933	0.477879410237825	-5.0750892198355	3.87314224000099e-07	7.33617859197985e-05
"YGL009C"	1760.22576672287	1.14372150970716	0.227378198018359	5.03004034544604	4.90376638461825e-07	8.91425208187631e-05
"YPR149W"	3232.00719156739	1.72805289776803	0.354024413507164	4.88116873254296	1.05458958374486e-06	0.000186662356322841
"YDR171W"	364.239149657585	2.31270606370302	0.476095389839425	4.85765271636643	1.18785513563361e-06	0.000199737841056791
"YNL054W-B"	738.687178746883	-1.55430682508566	0.319745576889077	-4.86107373308518	1.16750754414209e-06	0.000199737841056791
