""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ETS2-2"	3.00393370628214	0.800954439154568	2.40885288973388	0.332504505596045	0.739508338088397	0.999765477487217
"HRA1"	18.2891700717886	-0.904388522418377	1.0475065324715	-0.863372680153655	0.387932595260061	0.999765477487217
"ICR1"	110.08817495539	-0.0386608754266488	0.417478246216999	-0.0926057244346894	0.926216795853046	0.999765477487217
"IRT1"	151.151060534329	0.0447041587164851	0.358308503835168	0.124764436897234	0.900710042591161	0.999765477487217
"LSR1"	40.4265871840163	-0.858479538372991	0.711116401447811	-1.20722786962184	0.227344400255708	0.999765477487217
"NME1"	27.1560956091118	-0.832010316779053	0.8555840078892	-0.972447251359565	0.330828094629931	0.999765477487217
"Q0020"	2.95442695887116	0.135853460461594	2.45033373734001	0.0554428396390897	0.955785667206451	0.999765477487217
"Q0050"	2.60563915969567	-1.68911650734018	2.81004520761904	-0.601099406785479	0.547773778475735	0.999765477487217
"Q0055"	1.25149050208198	-0.380907590200825	4.02440464085458	-0.0946494262366071	0.924593289565081	0.999765477487217
"Q0105"	0.350002686078733	2.55008457579614	5.94815443694212	0.428718622360973	0.668128006724428	0.999765477487217
"Q0110"	0.600991877335501	-2.23346405117151	6.04150196563604	-0.369686886452311	0.711615803761658	0.999765477487217
"Q0130"	0.30049593866775	-1.30301972444193	6.1159531975535	-0.213052599055723	0.831285936243489	0.999765477487217
"Q0158"	9.71526194520574	-0.310891821359915	1.42136831083972	-0.218727137075573	0.826862608462213	0.999765477487217
"Q0285"	1.00171619772846	0.104773397081275	4.07268156522133	0.0257258996077639	0.97947596579109	0.999765477487217
"RDN5-1"	8.11395796355291	0.349319777931305	1.51142728940068	0.231119141741724	0.817222244695952	0.999765477487217
"RME2"	178.511257567601	-0.0901721182381313	0.329514513966719	-0.273651430866073	0.784352505903199	0.999765477487217
"RNA170"	12.0204051662337	-0.498371653923823	1.27740777598528	-0.390142962406365	0.696430835556569	0.999765477487217
"RPR1"	15.1704293409423	0.500681506410234	1.12109065566155	0.446602158248105	0.655162337023554	0.999765477487217
"RUF20"	58.7991664273925	-0.0794521593044986	0.572195144560117	-0.13885500438068	0.889564727728312	0.999765477487217
"RUF21"	1.05243783204269	0.0128463336435235	4.32332073016777	0.00297140426197919	0.997629165904242	0.999765477487217
"RUF23"	24.8438522731723	0.124160432334687	0.877316791529494	0.141522917985223	0.887456856314632	0.999765477487217
"RUF5-2"	0.351217572981979	-1.41673122291873	6.10975957001631	-0.231880028450112	0.816631196791733	0.999765477487217
"SCR1"	17.8281942283633	0.491286537984212	1.02192879845511	0.480744391122854	0.630698177117214	0.999765477487217
"SRG1"	192.781981598967	0.0643384230671392	0.320059067549247	0.201020466502607	0.840682570756775	0.999765477487217
"YAL001C"	528.51279704951	-0.0053101667650576	0.196589684185066	-0.027011421209969	0.978450624547748	0.999765477487217
"YAL002W"	396.544995522901	-0.162091517926123	0.225581920730187	-0.718548354413549	0.47241924433782	0.999765477487217
"YAL003W"	20979.8684483933	0.0191517878118799	0.0627041082317285	0.305431148802927	0.760037801158887	0.999765477487217
"YAL005C"	7562.83968418662	0.278940631294592	0.0740575658376515	3.76653793761037	0.00016552694110346	0.999765477487217
"YAL007C"	1305.82358473349	-0.0259214957064099	0.131677940935951	-0.196855263092383	0.843940803445914	0.999765477487217
"YAL008W"	369.262700846225	0.0868535804387903	0.231929313330351	0.374482980144384	0.708045016848868	0.999765477487217
"YAL009W"	303.166440212791	-0.0208605395212999	0.25507357864624	-0.0817824395298553	0.934819720515808	0.999765477487217
"YAL010C"	292.050709462399	0.0693649239153731	0.262039584284565	0.264711624027175	0.791231622168241	0.999765477487217
"YAL011W"	528.983566785555	0.119858434118359	0.195434109709671	0.613293320681922	0.539682409052458	0.999765477487217
"YAL012W"	10130.9328407924	0.0467715222243294	0.0659800866179828	0.708873307413664	0.478403100812312	0.999765477487217
"YAL013W"	749.836226711209	0.087733198505814	0.173976778662471	0.504281083833742	0.614063868256824	0.999765477487217
"YAL014C"	859.843009094544	0.07101091586235	0.15624126621105	0.454495266099731	0.649472398394937	0.999765477487217
"YAL015C"	518.154669452735	0.110116116051503	0.19785708976167	0.556543696180631	0.577839231715126	0.999765477487217
"YAL016C-A"	118.240894890732	0.232228602198661	0.400950958908849	0.579194530001001	0.562457921294787	0.999765477487217
"YAL016W"	1762.85001993787	-0.0774612376930646	0.117667579445847	-0.65830569522945	0.510341719117367	0.999765477487217
"YAL017W"	626.669895999521	-0.0601289264152233	0.192449104695677	-0.312440665859715	0.754705649189423	0.999765477487217
"YAL018C"	5.75566333440427	1.6319493766106	1.77337230376461	0.92025198157556	0.35744109582431	0.999765477487217
"YAL019W"	1028.1991448622	-0.147093310510622	0.145969553681225	-1.00769857001722	0.313599191707953	0.999765477487217
"YAL019W-A"	13.071817317881	0.26443777966838	1.19050419074301	0.222122510550208	0.824218514653839	0.999765477487217
"YAL020C"	292.236019963487	0.105037349966361	0.258602705476221	0.406172664639887	0.684615737534832	0.999765477487217
"YAL021C"	1237.35269823243	0.0304180344331146	0.133256997723653	0.228265944398621	0.81943949812123	0.999765477487217
"YAL022C"	908.142284146082	0.0201884804161178	0.15259195206884	0.132303703717022	0.894744077987581	0.999765477487217
"YAL023C"	4376.35429281272	0.0670012671280268	0.0824607661466002	0.812522976186163	0.416491608171502	0.999765477487217
"YAL024C"	404.611951310243	0.102670875931109	0.224708295500464	0.456907368294718	0.647737627670463	0.999765477487217
"YAL025C"	2442.35914379993	0.0438044413968653	0.10737681509791	0.407950648907988	0.683309907043458	0.999765477487217
"YAL026C"	987.716518435388	-0.0805787424902697	0.147254137927954	-0.547208680340743	0.584235373308448	0.999765477487217
"YAL026C-A"	55.652139646014	-0.0379655840596871	0.599265687282507	-0.0633535089116311	0.949485007352095	0.999765477487217
"YAL027W"	229.563666340673	-0.209141955916819	0.292752246921465	-0.71439914848177	0.474980398378859	0.999765477487217
"YAL028W"	202.363755155188	0.465228843717572	0.310721729648745	1.49725236224544	0.134327605220116	0.999765477487217
