""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YPL187W"	15171.9511678728	-10.1855830421256	0.398092696058934	-25.5859581021244	2.18643110729156e-144	1.44588689125191e-140
"YNL145W"	1303.84229090697	8.50931281341012	0.337470858123439	25.2149559245723	2.74592095250796e-140	9.07938762946757e-137
"YDR461W"	947.455667770349	7.75930299460341	0.356382661921088	21.7723919361754	4.23920957059887e-105	9.34463096345678e-102
"YGL089C"	3564.55866160615	-5.48663272401452	0.258163344223852	-21.2525629481198	3.12152804944624e-100	5.160666247747e-97
"YIL015W"	895.989144617149	5.02143951897786	0.240661320764124	20.8651706183373	1.10997765702089e-96	1.46805644917582e-93
"YJR004C"	6993.30167092835	-4.45485712396194	0.216565982337782	-20.5704380525175	5.05077697667635e-94	5.56679802446012e-91
"YFL026W"	1906.31869464374	6.07577483255424	0.322304313853672	18.8510503005947	2.88065915514683e-79	2.72139985614085e-76
"YLR040C"	2542.92531289133	-4.17025281215006	0.227549437419994	-18.3267990439058	5.05809090546699e-75	4.18114439473165e-72
"YKL178C"	2057.35124011042	-4.7586350793927	0.272747679030622	-17.4470231838653	3.62646493377034e-68	2.66464584522481e-65
"YGL032C"	275.101454986273	6.65655417482663	0.391194168789969	17.0159851702711	6.25128125174072e-65	4.13397229177614e-62
"YKL209C"	647.240457592027	4.14294367869184	0.287727214365745	14.3988593078496	5.26045683115852e-47	3.16249100222285e-44
"YCR005C"	2841.2998455006	-2.55304437245522	0.285363649322187	-8.94663485878234	3.66484115627409e-19	2.01963288053671e-16
"YLR041W"	260.302666425365	-3.40909583526769	0.387576465702284	-8.79593096317251	1.41866798675388e-18	7.21665492031032e-16
"YCR097W"	62.312046144579	10.4149177304737	1.27540613878134	8.16596173860763	3.18884343407996e-16	1.50627297354077e-13
"YNR044W"	3801.40423551403	-1.81270637965936	0.23564329963566	-7.69258613532435	1.44190344027938e-14	6.3568716337117e-12
"YEL071W"	4162.34989559761	-1.75059017803806	0.241479474598781	-7.24943675211598	4.18508331667668e-13	1.72974724832393e-10
"YOR028C"	272.667610976381	2.70828332907071	0.379996226738402	7.1271321621179	1.0248168270745e-12	3.98653745731982e-10
"YJL170C"	86.2886000996484	3.052555095109	0.430052168842493	7.09810417495418	1.26479835792407e-12	4.64672863386217e-10
"YEL011W"	293.36080624197	2.6066108425425	0.369382933900691	7.05666289185761	1.70548692419542e-12	5.935992120897e-10
"YGL009C"	1731.01934314521	1.47649384553789	0.211130763813986	6.99326720022072	2.68557326599734e-12	8.87984800402022e-10
"YKL177W"	151.822512562145	-6.03874259149709	0.895806613987551	-6.74112302499813	1.57167055621646e-11	4.94926542298068e-09
"YFR015C"	182.682530283531	2.71183769296467	0.431482494027141	6.28493097751049	3.27999386284617e-10	9.85936337045533e-08
"YGR052W"	267.099647171912	2.58103756129144	0.417948750966257	6.17548815572323	6.59593514241716e-10	1.88721216535023e-07
"YLR327C"	272.171221592294	2.77925811411543	0.450480949501677	6.16953528709672	6.84909904255338e-10	1.88721216535023e-07
"YDL023C"	219.95782540245	2.11390511783362	0.365685883153946	5.78065825128861	7.44089069216463e-09	1.96826440589139e-06
"YMR120C"	1644.08815110358	-1.66320967737143	0.29736392013679	-5.59317914764623	2.22949035438698e-08	5.67062296675426e-06
"YAL061W"	405.502416096044	2.42871371710807	0.437042939563556	5.5571512481896	2.74213138672814e-08	6.71619068904933e-06
"YJR048W"	1021.70566730243	1.17630976004094	0.216025168999266	5.4452440217507	5.1734412611061e-08	1.22185596641767e-05
"YIL101C"	205.900928379734	1.70445149623086	0.328398651883501	5.19019029601716	2.10079270102261e-07	4.79053176960777e-05
"YDL022W"	3046.04110838196	1.92170298740765	0.378707221064309	5.07437640615074	3.88768819657503e-07	8.56976068131689e-05
"YLR177W"	274.732887436373	1.40746151935916	0.278672372806179	5.05059581323504	4.40434124627098e-07	9.39545440696452e-05
"YDR074W"	2456.34082542884	2.00208233736164	0.402456171967538	4.97465929662305	6.53624961734269e-07	0.000135075683498398
"YFL061W"	9.44895781700583	7.69362906884974	1.65154502988103	4.65844341489373	3.18609355938471e-06	0.000638473839642761
"YNL146C-A"	14.2628627879518	6.39400680397302	1.38340973765583	4.62191831525459	3.80207731358095e-06	0.000739504037491494
"YCL054W-A"	12.4924777236475	5.56585689126031	1.22101106620718	4.55840003854306	5.1544787382865e-06	0.000967740056532663
"YLR178C"	382.63468843453	1.60280718015584	0.351970313206967	4.55381354623892	5.26820535841159e-06	0.000967740056532663
"YOR221C"	365.643615932153	1.35014346721924	0.300220316342009	4.49717555317331	6.88621281700465e-06	0.00123077095564464
"YML047C"	71.6741317476963	-3.03076610762621	0.678843413643806	-4.46460265609422	8.02174807940925e-06	0.00139599526445088
